"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.101961 30.419607 30.101961 30.188234
"2012-09-18" 30.270588 30.396078 30.031372 30.294119
"2012-09-19" 30.200001 30.803923 30.200001 30.756863
"2012-09-20" 30.603922 31.121569 30.603922 31.035294
"2012-09-21" 31.062744 31.454903 31.015686 31.270588
"2012-09-24" 31.254902 31.419607 31.105883 31.313725
"2012-09-25" 31.356863 31.666668 31.325491 31.478432
"2012-09-26" 31.517647 31.556864 30.980392 31.105883
"2012-09-27" 31.12549 31.239216 30.929413 31.215687
"2012-09-28" 31.200001 31.235294 30.894117 31.066668
"2012-10-01" 31.243137 31.537254 30.87451 31.062744
"2012-10-02" 31.058825 31.149019 30.839216 31.054901
"2012-10-03" 31 31.152941 30.799999 30.976471
"2012-10-04" 30.992157 31.278431 30.847059 31.180391
"2012-10-05" 31.309805 31.482353 31.039215 31.086275
"2012-10-08" 30.956863 31.219608 30.956863 31.188234
"2012-10-09" 31.058825 31.160784 30.262745 30.34902
"2012-10-10" 30.407843 30.494118 30.094118 30.231373
"2012-10-11" 30.498039 30.584314 30.282352 30.466667
"2012-10-12" 30.411764 30.584314 30.180391 30.207844
"2012-10-15" 30.25098 30.333332 30.07843 30.254902
"2012-10-16" 30.372549 30.407843 30.101961 30.258823
"2012-10-17" 30.176472 30.450979 30.05098 30.34902
"2012-10-18" 29.870588 29.882353 29.129412 29.631372
"2012-10-19" 29.607843 29.607843 29.22353 29.376471
"2012-10-22" 29.341175 29.623529 29.196077 29.454903
"2012-10-23" 29.180391 29.254902 28.886274 28.992157
"2012-10-24" 29.156862 29.439217 28.764706 29.243137
"2012-10-25" 29.466667 29.709805 29.215687 29.337255
"2012-10-26" 29.290195 29.486275 28.933332 29.090197
"2012-10-31" 29.129412 29.160784 28.811766 28.92157
"2012-11-01" 29.05098 29.925489 29.011765 29.780392
"2012-11-02" 29.803923 29.94902 29.207844 29.215687
"2012-11-05" 29.231373 29.866667 29.12549 29.741177
"2012-11-06" 29.882353 30.419607 29.819609 30.274509
"2012-11-07" 30.274509 31.196077 29.960785 30.705881
"2012-11-08" 30.627451 30.807842 30.05098 30.086275
"2012-11-09" 30.121569 30.505882 30.09804 30.235294
"2012-11-12" 30.266666 30.384314 29.972549 30.22353
"2012-11-13" 30.211765 30.607843 30.176472 30.443136
"2012-11-14" 30.533333 30.87451 30.294119 30.450979
"2012-11-15" 30.298038 30.77647 30.215687 30.709805
"2012-11-16" 30.662745 30.839216 30.521568 30.725491
"2012-11-19" 30.952942 31.266666 30.839216 31.172548
"2012-11-20" 30.705881 31.282352 30.666668 31.25098
"2012-11-21" 31.313725 31.337255 31.086275 31.329412
"2012-11-23" 31.396078 31.686275 31.290195 31.666668
"2012-11-26" 31.635294 31.843138 31.521568 31.6
"2012-11-27" 31.568626 31.882353 31.345098 31.388235
"2012-11-28" 31.388235 31.490196 30.980392 31.419607
"2012-11-29" 31.57255 31.682352 31.392157 31.670588
"2012-11-30" 31.74902 31.764706 31.380392 31.674509
"2012-12-03" 31.764706 31.933332 31.415686 31.635294
"2012-12-04" 31.666668 31.92157 31.305882 31.611765
"2012-12-05" 31.764706 31.764706 31.231373 31.388235
"2012-12-06" 31.52549 31.52549 31.023529 31.254902
"2012-12-07" 31.235294 31.34902 31.101961 31.329412
"2012-12-10" 31.290195 31.568626 31.266666 31.34902
"2012-12-11" 31.372549 31.909803 31.356863 31.772549
"2012-12-12" 31.705881 31.992157 31.670588 31.725491
"2012-12-13" 31.643137 31.980392 31.607843 31.709805
"2012-12-14" 31.545097 31.94902 30.964706 31.890196
"2012-12-17" 31.780392 32.215687 31.705881 32.17255
"2012-12-18" 32.298038 32.513725 32.203922 32.247059
"2012-12-19" 32.305882 32.305882 32 32.003922
"2012-12-20" 31.956863 32.17255 31.956863 32.160786
"2012-12-21" 31.729412 32.329411 31.729412 31.741177
"2012-12-24" 31.87451 32.027451 31.741177 31.847059
"2012-12-26" 31.831373 32.023529 31.443136 31.57255
"2012-12-27" 31.517647 31.737255 31.254902 31.458824
"2012-12-28" 31.290195 31.603922 31.180391 31.356863
"2012-12-31" 31.345098 31.635294 31.203922 31.537254
"2013-01-02" 31.996078 32.368626 31.996078 32.321568
"2013-01-03" 32.215687 32.443138 32.094116 32.333332
"2013-01-04" 32.443138 32.443138 32.274509 32.30196
"2013-01-07" 32.254902 32.61961 32.22353 32.580391
"2013-01-08" 32.443138 32.760784 32.38039 32.407845
"2013-01-09" 32.588234 32.752941 32.200001 32.580391
"2013-01-10" 32.764706 32.811764 32.533333 32.690197
"2013-01-11" 32.77647 32.890198 32.498039 32.576469
"2013-01-14" 32.615685 32.960785 32.568626 32.960785
"2013-01-15" 32.8549 32.976471 32.603924 32.94902
"2013-01-16" 32.819607 33 32.690197 32.925491
"2013-01-17" 33.062744 33.356861 32.882355 33.180393
"2013-01-18" 33.070587 33.349018 33.070587 33.321568
"2013-01-22" 33.188236 33.486275 33.188236 33.482353
"2013-01-23" 33.427452 33.725491 33.349018 33.635296
"2013-01-24" 33.705883 34.192158 33.662746 34.141174
"2013-01-25" 34.325489 34.470589 34.141174 34.427452
"2013-01-28" 34.376472 34.470589 34.1451 34.180393
"2013-01-29" 34.207844 34.309803 34.058823 34.117645
"2013-01-30" 34.043137 34.282352 33.913727 34.011765
"2013-01-31" 33.882355 34.062744 33.760784 33.858826
"2013-02-01" 34.066666 34.356861 33.678432 34.333332
"2013-02-04" 34.082352 34.533333 33.909805 34.17255
"2013-02-05" 34.321568 34.501961 34.17255 34.431374
"2013-02-06" 34.254902 34.77647 34.254902 34.764706
"2013-02-07" 34.764706 34.988235 34.431374 34.760784
"2013-02-08" 34.92157 35.031372 34.823528 34.945099
"2013-02-11" 34.996078 35.168629 34.866669 35.07843
