"Index" "Open" "High" "Low" "Price"
"2012-09-17" 70.07 70.5 69.849998 56.232906
"2012-09-18" 70.5 71.349998 70.25 56.784607
"2012-09-19" 71.089996 71.379997 70.699997 57.000496
"2012-09-20" 71.220001 72.239998 71.169998 57.520191
"2012-09-21" 72.120003 72.139999 71.459999 57.312321
"2012-09-24" 71.589996 71.980003 71.449997 57.400269
"2012-09-25" 71.940002 71.940002 70.900002 56.720654
"2012-09-26" 70.980003 71.349998 70.650002 56.504772
"2012-09-27" 70.709999 70.989998 70.459999 56.640675
"2012-09-28" 70.599998 70.959999 70.050003 56.680664
"2012-10-01" 71.029999 71.610001 71.019997 57.072445
"2012-10-02" 71.440002 71.940002 70.639999 57.072445
"2012-10-03" 71.580002 72 71.169998 57.264351
"2012-10-04" 71.720001 71.809998 71.050003 57.016479
"2012-10-05" 71.589996 71.900002 71.309998 57.160439
"2012-10-08" 71.339996 71.870003 71.160004 57.312321
"2012-10-09" 71.639999 71.82 71.279999 57.048466
"2012-10-10" 71.279999 71.839996 70.599998 56.536747
"2012-10-11" 70.959999 70.959999 70.129997 56.28088
"2012-10-12" 70.559998 70.730003 69.230003 55.593258
"2012-10-15" 69.599998 70.32 69.260002 56.216934
"2012-10-16" 70.309998 70.709999 70.029999 56.504772
"2012-10-17" 70.959999 71.349998 70.620003 56.704651
"2012-10-18" 70.800003 71.419998 70.419998 57.008484
"2012-10-19" 71.339996 71.480003 70.300003 56.232906
"2012-10-22" 70.470001 70.709999 70.050003 56.408829
"2012-10-23" 70.150002 70.470001 69.720001 56.104984
"2012-10-24" 70.529999 70.769997 69.660004 56.065006
"2012-10-25" 70.589996 71.32 69.230003 55.849144
"2012-10-26" 69.739998 70.129997 69.010002 55.433353
"2012-10-31" 68.879997 69.300003 68.089996 55.049576
"2012-11-01" 68.879997 70.099998 68.230003 55.745182
"2012-11-02" 69.919998 70.169998 69.400002 55.561268
"2012-11-05" 69.160004 69.32 68.419998 55.25745
"2012-11-06" 69.089996 69.739998 69.089996 55.57729
"2012-11-07" 69.25 69.910004 68.809998 55.641235
"2012-11-08" 69.43 70.480003 69.239998 55.889111
"2012-11-09" 69.940002 70.779999 69.839996 56.248905
"2012-11-12" 70.400002 71.150002 70.18 56.872559
"2012-11-13" 70.900002 72 70.900002 57.416237
"2012-11-14" 71.830002 72 71.400002 57.216343
"2012-11-15" 71.449997 71.669998 71.099998 57.216343
"2012-11-16" 71.620003 71.860001 71.089996 57.360306
"2012-11-19" 72 72.989998 71.779999 58.047905
"2012-11-20" 72.339996 72.709999 71.889999 58.192677
"2012-11-21" 72.379997 72.43 71.839996 57.854893
"2012-11-23" 72 72.629997 71.949997 58.224834
"2012-11-26" 72.269997 72.739998 72.160004 58.433929
"2012-11-27" 72.610001 72.889999 72.120003 58.120281
"2012-11-28" 72.169998 72.580002 71.910004 58.321335
"2012-11-29" 72.43 72.779999 72.110001 58.345467
"2012-11-30" 72.550003 73.290001 72.230003 58.924496
"2012-12-03" 73.279999 73.389999 72.68 58.458088
"2012-12-04" 72.800003 72.800003 72.169998 58.224834
"2012-12-05" 72.470001 72.720001 72.239998 58.1605
"2012-12-06" 72.43 72.480003 71.940002 57.935322
"2012-12-07" 72.18 72.300003 71.75 58.120281
"2012-12-10" 72.220001 72.82 71.900002 58.546516
"2012-12-11" 73 73.629997 72.93 58.95668
"2012-12-12" 73.470001 73.970001 73.25 59.029053
"2012-12-13" 73.470001 74.019997 73.290001 59.342693
"2012-12-14" 73.5 74.5 73.5 59.527653
"2012-12-17" 74.029999 74.660004 73.809998 60.02626
"2012-12-18" 74.629997 74.709999 73.790001 59.591988
"2012-12-19" 74.099998 74.099998 73.379997 59.23814
"2012-12-20" 73.790001 74.029999 73.57 59.487446
"2012-12-21" 74.080002 74.080002 72.739998 59.004921
"2012-12-24" 73.199997 73.360001 72.800003 58.715401
"2012-12-26" 73 73.07 72.120003 58.023788
"2012-12-27" 72.029999 72.459999 71.599998 57.951389
"2012-12-28" 71.839996 72.239998 71.440002 57.452789
"2012-12-31" 71.209999 72.260002 70.949997 58.080067
"2013-01-02" 72.860001 74.330002 72.540001 59.776947
"2013-01-03" 74.199997 74.279999 73.269997 59.117519
"2013-01-04" 73.57 74.589996 73.480003 59.945839
"2013-01-07" 74.360001 74.540001 73.940002 59.881512
"2013-01-08" 74.379997 74.470001 73.639999 59.23814
"2013-01-09" 73.779999 74.650002 73.669998 59.881512
"2013-01-10" 74.870003 75.959999 74.269997 61.063709
"2013-01-11" 75.949997 76.129997 75.559998 61.216503
"2013-01-14" 76.019997 76.620003 75.870003 61.562317
"2013-01-15" 76.120003 76.379997 75.919998 61.272793
"2013-01-16" 75.949997 76.540001 75.949997 61.554253
"2013-01-17" 76.910004 78.120003 76.809998 62.744514
"2013-01-18" 77.949997 78.309998 77.650002 62.953587
"2013-01-22" 78.309998 78.790001 78.169998 63.36375
"2013-01-23" 78.709999 78.809998 78.300003 63.371769
"2013-01-24" 78.5 78.779999 77.900002 62.800789
"2013-01-25" 78.379997 78.379997 77.550003 62.607788
"2013-01-28" 77.959999 77.959999 76.849998 62.093079
"2013-01-29" 77.57 77.910004 77.32 62.559547
"2013-01-30" 77.769997 78.360001 77.639999 62.953587
"2013-01-31" 78.309998 79.959999 78.309998 63.894512
"2013-02-01" 80 80.449997 79.400002 64.449432
"2013-02-04" 78.449997 79.800003 78.449997 64.087509
"2013-02-05" 79.900002 80.440002 79.830002 64.352921
"2013-02-06" 79.709999 80.360001 79.589996 64.618309
"2013-02-07" 80.300003 80.400002 79.769997 64.602211
"2013-02-08" 80.110001 80.300003 79.919998 64.50573
"2013-02-11" 80.209999 80.650002 80.029999 64.64241
"2013-02-12" 80.449997 80.889999 80.209999 64.95607
"2013-02-13" 80.769997 81.370003 80.720001 65.422523
"2013-02-14" 81.529999 81.809998 80.830002 65.052567
"2013-02-15" 81.080002 81.239998 80.699997 65.084724
"2013-02-19" 81 81.790001 80.269997 65.728134
"2013-02-20" 81.57 81.709999 80.82 65.020409
"2013-02-21" 79.959999 80.82 79.139999 64.915306
"2013-02-22" 80.300003 81.239998 79.860001 65.66713
"2013-02-25" 81.230003 81.830002 80.599998 65.165939
"2013-02-26" 80.68 81.709999 80.349998 65.98243
"2013-02-27" 81.540001 82.690002 81.220001 66.774666
"2013-02-28" 82.559998 83.669998 82.559998 67.372894
"2013-03-01" 83 83.550003 82.57 67.4618
"2013-03-04" 83.559998 84.769997 83.360001 68.375305
"2013-03-05" 84.860001 85.5 84.690002 68.876534
"2013-03-06" 85.220001 85.43 84.349998 68.294479
"2013-03-07" 84.639999 85.059998 84.459999 68.326828
"2013-03-08" 84.93 84.93 83.93 68.165123
"2013-03-11" 84.5 84.769997 84.059998 68.084297
"2013-03-12" 84.220001 84.480003 84 68.140877
"2013-03-13" 84.519997 84.550003 84.139999 68.197479
