"Index" "Open" "High" "Low" "Price"
"2012-09-17" 70.949997 71.25 70.160004 65.223892
"2012-09-18" 70.709999 71.269997 69.760002 64.485092
"2012-09-19" 69.940002 70.410004 69.769997 64.466629
"2012-09-20" 69.400002 70.019997 69 64.568199
"2012-09-21" 70.120003 70.300003 69.480003 64.900665
"2012-09-24" 70.029999 70.410004 69.410004 64.919159
"2012-09-25" 70.169998 71.199997 70.120003 65.353172
"2012-09-26" 70.440002 71.120003 69.400002 64.574608
"2012-09-27" 69.980003 70.720001 69.470001 65.25119
"2012-09-28" 70.099998 70.660004 69.669998 65.019485
"2012-10-01" 70.550003 71.730003 70.279999 66.103897
"2012-10-02" 71.889999 72.779999 71.580002 67.392258
"2012-10-03" 73.010002 74.160004 72.860001 68.662041
"2012-10-04" 74.849998 76.839996 74.849998 69.375755
"2012-10-05" 75.230003 75.400002 73.559998 68.634232
"2012-10-08" 74.07 75.019997 73.730003 68.791809
"2012-10-09" 74.050003 75.050003 73.720001 69.320145
"2012-10-10" 74.830002 75.489998 74.43 69.097702
"2012-10-11" 74.790001 75.629997 74.790001 69.820633
"2012-10-12" 75.589996 76.269997 74.389999 69.347931
"2012-10-15" 74.879997 75.489998 73.889999 69.264534
"2012-10-16" 74.57 75.489998 74.019997 69.61673
"2012-10-17" 75.610001 75.779999 74.209999 69.338661
"2012-10-18" 74.760002 75.870003 74.760002 70.182114
"2012-10-19" 75.269997 75.290001 74.510002 69.496246
"2012-10-22" 74.760002 76.32 74.75 70.627007
"2012-10-23" 75.519997 75.519997 73.919998 69.23671
"2012-10-24" 75.099998 75.57 74.720001 69.839157
"2012-10-25" 76.650002 76.989998 74.949997 70.024536
"2012-10-26" 75.540001 75.809998 74.059998 69.023521
"2012-10-31" 74.459999 75.190002 73.709999 68.83815
"2012-11-01" 74.389999 76.199997 74.389999 70.386017
"2012-11-02" 76.099998 76.529999 75.199997 69.709435
"2012-11-05" 75.879997 76.769997 72.879997 69.996735
"2012-11-06" 75.519997 77.019997 74.57 70.589958
"2012-11-07" 70.830002 71.839996 68.07 65.028755
"2012-11-08" 70.169998 70.779999 68.459999 64.074104
"2012-11-09" 68.519997 69.510002 68.330002 63.740414
"2012-11-12" 68.809998 69.300003 68.480003 64.101913
"2012-11-13" 68.800003 69.029999 68.129997 63.295509
"2012-11-14" 68.480003 68.940002 66.480003 61.747662
"2012-11-15" 66.480003 67.279999 65.75 61.274929
"2012-11-16" 66.379997 66.800003 65.169998 60.709579
"2012-11-19" 65.889999 66.970001 65.889999 62.053528
"2012-11-20" 66.779999 66.970001 65.989998 61.784752
"2012-11-21" 66.650002 66.699997 65.889999 61.692055
"2012-11-23" 66.489998 67.18 66.18 61.812546
"2012-11-26" 66.199997 66.480003 65.400002 61.284199
"2012-11-27" 65.779999 66.300003 64.379997 59.680752
"2012-11-28" 64.199997 65.25 63.93 60.375885
"2012-11-29" 65.150002 65.970001 65.150002 60.922749
"2012-11-30" 65.690002 65.800003 65.139999 60.626156
"2012-12-03" 65.75 66.360001 64.849998 60.30175
"2012-12-04" 65.160004 66.129997 65.07 60.375885
"2012-12-05" 65.349998 65.82 64.459999 60.30175
"2012-12-06" 65.050003 65.209999 64.559998 60.422241
"2012-12-07" 65.489998 66.720001 65.480003 61.775467
"2012-12-10" 66.370003 67.360001 66.120003 62.09985
"2012-12-11" 67.150002 68.150002 66.68 62.850616
"2012-12-12" 67.849998 68.669998 67.489998 62.655968
"2012-12-13" 67.5 68.190002 66.779999 61.979355
"2012-12-14" 65.849998 66.790001 65.779999 61.274929
"2012-12-17" 66.120003 67.419998 66.07 61.914497
"2012-12-18" 67.050003 68.510002 66.790001 63.332577
"2012-12-19" 68.489998 68.489998 67.809998 62.850616
"2012-12-20" 67.910004 68.610001 67.68 63.23991
"2012-12-21" 67.690002 68.419998 67.309998 63.388199
"2012-12-24" 68.419998 68.599998 67.760002 63.137947
"2012-12-26" 68.220001 68.760002 67.839996 63.397476
"2012-12-27" 68.370003 68.599998 67.529999 63.267216
"2012-12-28" 67.629997 68.169998 67.300003 62.811329
"2012-12-31" 67.260002 68.75 66.760002 63.85339
"2013-01-02" 69.739998 70.099998 68.099998 63.676605
"2013-01-03" 68.260002 68.279999 66.07 61.639023
"2013-01-04" 66.830002 67.75 66.449997 62.774082
"2013-01-07" 67.139999 67.800003 66.650002 62.59734
"2013-01-08" 67.25 67.779999 65.989998 61.415714
"2013-01-09" 66.209999 67.089996 66.199997 62.25309
"2013-01-10" 67.339996 69.480003 67.25 64.420906
"2013-01-11" 69.669998 69.769997 68.75 64.718651
"2013-01-14" 69.599998 70.360001 69.400002 65.351326
"2013-01-15" 69.870003 71.75 69.779999 66.598038
"2013-01-16" 71.400002 71.57 70.620003 65.835106
"2013-01-17" 70.760002 71.699997 70.620003 66.532928
"2013-01-18" 71.660004 71.739998 71.199997 66.430565
"2013-01-22" 71.260002 71.989998 70.699997 66.923676
"2013-01-23" 71.93 72.580002 71.519997 67.52845
"2013-01-24" 72.610001 73.949997 72.480003 68.719345
"2013-01-25" 74 74.970001 73.519997 69.714905
"2013-01-28" 75.129997 75.260002 74.57 69.556747
"2013-01-29" 74.540001 74.82 74.010002 69.33342
"2013-01-30" 74.290001 74.900002 74.029999 69.193893
"2013-01-31" 74.099998 74.599998 73.330002 69.184563
"2013-02-01" 74.769997 75.389999 73.980003 70.105637
"2013-02-04" 75.449997 79.959999 75.019997 73.371353
"2013-02-05" 79.25 80.699997 78.93 75.018188
"2013-02-06" 80.529999 81.32 80.110001 75.585716
"2013-02-07" 81.199997 81.629997 80.470001 75.84623
"2013-02-08" 81.870003 81.870003 81.190002 75.688065
"2013-02-11" 81.160004 81.199997 79.959999 74.599503
"2013-02-12" 80.400002 80.629997 78.82 73.687698
"2013-02-13" 79.480003 79.480003 77.699997 72.654961
"2013-02-14" 78.080002 78.169998 77.730003 72.413017
"2013-02-15" 77.870003 78.82 77.529999 72.56189
"2013-02-19" 69.970001 73.339996 69.779999 67.928535
"2013-02-20" 73.25 73.419998 72.260002 67.547066
"2013-02-21" 72.739998 73.720001 71.82 67.593575
"2013-02-22" 72.639999 72.940002 70.269997 65.695557
"2013-02-25" 70.779999 71.209999 69.660004 64.811684
"2013-02-26" 69.709999 69.809998 67.82 64.160408
"2013-02-27" 68.910004 69.360001 68.089996 64.392982
"2013-02-28" 69.139999 69.5 68.010002 63.509125
"2013-03-01" 68.050003 68.260002 67.519997 63.155567
"2013-03-04" 67.550003 67.779999 66.650002 62.197258
"2013-03-05" 66.949997 67.779999 66.879997 62.746189
"2013-03-06" 67.459999 67.769997 66.68 62.336807
"2013-03-07" 67.089996 67.709999 67.010002 62.699677
"2013-03-08" 67.470001 68.599998 67.230003 63.29512
"2013-03-11" 67.739998 68.489998 67.739998 63.574249
"2013-03-12" 68.260002 68.540001 67.610001 63.769669
"2013-03-13" 68.489998 68.889999 67.949997 64.048744
"2013-03-14" 68.900002 69.269997 68.410004 64.411613
"2013-03-15" 69.309998 69.790001 69.059998 64.932655
"2013-03-18" 69.349998 71.370003 68.989998 65.462959
"2013-03-19" 70.489998 71.07 70.040001 65.379211
"2013-03-20" 70.720001 71.18 69.309998 64.616341
"2013-03-21" 69.07 69.660004 67.860001 63.602158
"2013-03-22" 67.559998 68.07 65.879997 62.429874
"2013-03-25" 67.25 67.309998 66.169998 62.057709
"2013-03-26" 66.699997 67.480003 66.440002 62.300556
"2013-03-27" 66.849998 69.800003 66.800003 64.187309
"2013-03-28" 68.629997 69.449997 68.050003 64.551582
"2013-04-01" 69.339996 75.669998 69.07 70.071747
"2013-04-02" 82.470001 82.470001 78.660004 73.892006
"2013-04-03" 79.18 81.410004 78.830002 74.545815
"2013-04-04" 79.790001 81.279999 79.019997 74.349686
"2013-04-05" 78.5 79.580002 77.599998 73.107414
"2013-04-08" 78.349998 78.349998 77.040001 72.546982
"2013-04-09" 77.910004 78.610001 77.489998 72.88324
"2013-04-10" 78.489998 79.349998 78.410004 73.630463
"2013-04-11" 79 79.190002 78.43 73.621132
"2013-04-12" 78.550003 78.739998 77.25 72.444214
"2013-04-15" 77.239998 78.419998 75.900002 70.931084
"2013-04-16" 76.440002 77.339996 75.580002 71.220642
"2013-04-17" 75.809998 76.139999 74.400002 69.632774
"2013-04-18" 72.879997 72.879997 70.580002 67.447128
"2013-04-19" 72.510002 73.449997 71.650002 68.231697
"2013-04-22" 72.989998 73.360001 72.120003 67.549873
"2013-04-23" 72.540001 73.720001 72.230003 68.072929
"2013-04-24" 73.400002 73.709999 71.949997 67.344353
"2013-04-25" 72.389999 73.07 72.190002 68.231697
"2013-04-26" 72.860001 74 72.860001 68.642677
"2013-04-29" 73.559998 74 73.089996 68.297066
"2013-04-30" 73.150002 74.150002 72.129997 69.221771
"2013-05-01" 76.18 79.879997 76.089996 72.444214
"2013-05-02" 77.620003 77.940002 74.919998 70.342636
"2013-05-03" 75.470001 76 73.629997 69.053665
"2013-05-06" 75.900002 77.120003 75.449997 70.510773
"2013-05-07" 75.5 77.32 74.809998 71.809067
"2013-05-08" 76.790001 78.82 76.690002 73.537071
"2013-05-09" 78.440002 79.010002 76.879997 72.91124
"2013-05-10" 78.120003 80.269997 77.980003 74.807358
"2013-05-13" 79.82 80.169998 78.790001 74.508461
"2013-05-14" 79.629997 80.209999 79.129997 74.24691
"2013-05-15" 79.120003 79.889999 78.540001 74.256287
"2013-05-16" 79.18 80 78.849998 74.116165
"2013-05-17" 79.370003 81.389999 79.050003 75.143593
"2013-05-20" 80.339996 80.339996 79.459999 74.368355
"2013-05-21" 79.519997 80.050003 78.839996 74.27494
"2013-05-22" 79.400002 80.550003 78.650002 73.948021
"2013-05-23" 78.459999 80.010002 77.980003 74.573837
"2013-05-24" 79.419998 79.650002 78.230003 73.723862
"2013-05-28" 79.389999 80.980003 79.339996 75.237038
"2013-05-29" 80.309998 81.440002 80.150002 75.862831
"2013-05-30" 81.25 83.400002 80.720001 77.553421
"2013-05-31" 82.75 82.910004 80.660004 75.451859
"2013-06-03" 81.169998 81.169998 79.330002 75.311752
"2013-06-04" 80.459999 81.25 80 74.891411
"2013-06-05" 80 80.370003 78.550003 73.976028
"2013-06-06" 79.199997 80.029999 78.790001 74.70462
"2013-06-07" 80.440002 81.190002 79.82 75.676018
"2013-06-10" 81.059998 82.110001 81.040001 76.376541
"2013-06-11" 81.010002 82.290001 80.360001 76.021606
"2013-06-12" 81.779999 82 80.760002 75.573273
"2013-06-13" 80.900002 81.870003 80.150002 76.086983
"2013-06-14" 81.32 82.050003 80.800003 75.591972
"2013-06-17" 81.260002 82.440002 81.150002 76.815529
"2013-06-18" 82.089996 83.709999 82.029999 78.085838
"2013-06-19" 83.599998 85.360001 83.379997 78.60891
"2013-06-20" 83.510002 84.790001 83.150002 78.113846
"2013-06-21" 84.230003 84.959999 84.019997 79.309425
"2013-06-24" 84.440002 85.900002 84 79.019852
"2013-06-25" 85.019997 85.269997 84.040001 78.842415
"2013-06-26" 84.709999 85.480003 83.910004 78.86116
