"Index" "Open" "High" "Low" "Price"
"2016-11-01" 22.24 22.639999 18.75 18.262018
"2016-11-02" 18.860001 18.969999 17.629999 17.316103
"2016-11-03" 17.73 18.049999 17.42 16.881752
"2016-11-04" 17.6 17.799999 17.51 17.065142
"2016-11-07" 17.9 18 17.280001 16.736969
"2016-11-08" 17.360001 17.549999 17.219999 16.892208
"2016-11-09" 16.950001 17.700001 16.75 17.00864
"2016-11-10" 17.549999 18.530001 17.549999 17.901279
"2016-11-11" 18.43 18.940001 18.309999 18.299086
"2016-11-14" 18.940001 19.120001 18.83 18.522242
"2016-11-15" 19.16 19.959999 19.16 19.317854
"2016-11-16" 19.75 19.799999 19.450001 19.026779
"2016-11-17" 19.549999 19.620001 19.360001 18.92005
"2016-11-18" 19.459999 19.91 19.370001 19.317854
"2016-11-21" 19.889999 20.190001 19.82 19.579824
"2016-11-22" 20.07 20.280001 19.799999 19.29845
"2016-11-23" 19.809999 20.4 19.709999 19.676851
"2016-11-25" 20.32 20.65 20.24 19.919416
"2016-11-28" 20.4 20.43 19.92 19.55072
"2016-11-29" 20.040001 20.040001 19.51 19.084991
"2016-11-30" 19.59 19.85 19.25 18.706593
"2016-12-01" 19.34 19.82 19.26 18.92005
"2016-12-02" 19.389999 19.719999 19.35 19.104397
"2016-12-05" 19.639999 20.280001 19.610001 19.657448
"2016-12-06" 19.889999 20.34 19.700001 19.715662
"2016-12-07" 20.41 20.9 20.379999 20.25901
"2016-12-08" 21.01 21.209999 20.889999 20.288109
"2016-12-09" 21.129999 21.82 21.110001 21.151644
"2016-12-12" 21.73 22.200001 21.51 20.938189
"2016-12-13" 21.57 21.76 20.91 20.55979
"2016-12-14" 20.91 21.389999 20.700001 20.132875
"2016-12-15" 20.709999 21.01 20.43 19.948526
"2016-12-16" 20.49 20.870001 20.129999 19.657448
"2016-12-19" 20.049999 20.200001 19.85 19.424587
"2016-12-20" 20 20.370001 20 19.502207
"2016-12-21" 20.02 20.200001 19.93 19.424587
"2016-12-22" 19.92 20.129999 19.809999 19.473097
"2016-12-23" 20 20.09 19.67 19.191725
"2016-12-27" 19.799999 20.129999 19.629999 19.191725
"2016-12-28" 19.690001 19.860001 19.23 18.677483
"2016-12-29" 19.26 19.299999 18.68 18.143843
"2016-12-30" 18.780001 19.08 18.469999 17.988604
"2017-01-03" 18.74 19.200001 18.639999 18.619268
"2017-01-04" 19.200001 19.73 19.01 19.114101
"2017-01-05" 19.700001 20.200001 19.6 19.502207
"2017-01-06" 20.15 20.709999 20.01 20.016441
"2017-01-09" 20.59 20.629999 20.290001 19.783577
"2017-01-10" 20.18 20.93 20.18 20.094061
"2017-01-11" 20.73 21.1 20.65 20.472464
"2017-01-12" 20.93 21.030001 20.5 20.375437
"2017-01-13" 20.940001 21.23 20.889999 20.501572
"2017-01-17" 20.700001 20.9 20.58 20.123169
"2017-01-18" 20.73 20.959999 20.629999 20.25901
"2017-01-19" 20.790001 21.35 20.790001 20.67622
"2017-01-20" 21.299999 21.639999 21.139999 20.656813
"2017-01-23" 21.26 21.370001 21.09 20.695627
"2017-01-24" 21.48 22.4 21.42 21.510639
"2017-01-25" 22.360001 22.719999 22.23 22.015177
