"Index" "Open" "High" "Low" "Price"
"2012-09-17" 196.510513 198.843216 196.510513 135.026062
"2012-09-18" 197.782028 198.738052 197.399612 134.973907
"2012-09-19" 198.422562 198.441681 196.950287 134.556732
"2012-09-20" 196.797318 197.887192 196.271515 134.393784
"2012-09-21" 198.240921 198.79541 196.864243 134.263367
"2012-09-24" 196.00383 196.998093 195.889099 133.813644
"2012-09-25" 196.558319 198.202682 195.936905 133.611572
"2012-09-26" 196.032501 196.9216 194.933075 132.972763
"2012-09-27" 195.382416 197.801147 195.162521 134.217773
"2012-09-28" 196.615677 199.158707 196.281067 135.221603
"2012-10-01" 198.862335 202.437866 198.79541 137.190109
"2012-10-02" 201.682602 202.170166 199.33078 136.779495
"2012-10-03" 200.707458 202.007645 200.095596 137.216187
"2012-10-04" 201.032501 201.692154 199.359467 137.137955
"2012-10-05" 201.864243 202.476105 200.822174 137.268326
"2012-10-08" 200.783936 201.376678 200.009567 136.766418
"2012-10-09" 200.71701 201.472275 198.565964 135.573563
"2012-10-10" 198.680695 199.072662 196.032501 134.159164
"2012-10-11" 197.485657 198.154877 196.587006 134.12001
"2012-10-12" 196.596558 198.814529 196.520081 135.449768
"2012-10-15" 199.694077 200.191208 198.680695 136.186295
"2012-10-16" 200.707458 201.72084 200.258133 137.535568
"2012-10-17" 192.361374 194.46463 189.818359 130.776108
"2012-10-18" 191.118546 191.338425 185.53537 127.080292
"2012-10-19" 186.701721 187.456985 184.684509 126.037315
"2012-10-22" 185.191208 186.118546 183.977051 126.715286
"2012-10-23" 185.019119 185.468445 182.543015 124.661949
"2012-10-24" 183.977051 184.789673 182.179733 124.316521
"2012-10-25" 182.992355 183.977051 182.323135 124.890099
"2012-10-26" 183.068832 185.344162 183.049713 125.978676
"2012-10-31" 186.233276 187.772461 185.114716 126.799973
"2012-11-01" 186.118546 189.187378 185.994263 128.507751
"2012-11-02" 188.843216 189.292542 184.789673 126.083
"2012-11-05" 183.900574 186.395798 183.565964 126.545761
"2012-11-06" 186.673035 188.097519 186.118546 127.151985
"2012-11-07" 184.856598 185.162521 182.753342 125.148643
"2012-11-08" 182.982788 183.374756 181.730408 124.454689
"2012-11-09" 181.500961 183.212234 180.573608 124.153519
"2012-11-12" 181.673035 182.380493 179.168259 123.898216
"2012-11-13" 180.105164 182.485657 179.971313 123.289383
"2012-11-14" 180.822174 180.946457 177.131927 121.449715
"2012-11-15" 177.657745 178.967499 176.653915 121.672302
"2012-11-16" 178.135757 179.311661 176.959854 122.385872
"2012-11-19" 180.325043 182.017212 180.019119 124.61834
"2012-11-20" 181.529633 181.749527 179.971313 123.865517
"2012-11-21" 180.975143 182.495224 180.640533 124.579063
"2012-11-23" 182.600388 184.980881 182.40918 126.674019
"2012-11-26" 183.986618 184.86615 183.336517 126.274704
"2012-11-27" 183.632889 184.560226 182.600388 125.194443
"2012-11-28" 182.581268 183.59465 180.946457 125.685501
"2012-11-29" 184.273422 184.416824 181.835571 125.390869
"2012-11-30" 183.317398 183.556412 181.166351 124.435074
"2012-12-03" 182.370941 182.887192 180.076477 124.048798
"2012-12-04" 181.367111 182.361374 180.707458 123.970215
"2012-12-05" 180.697891 181.128113 178.718933 123.505348
"2012-12-06" 180.850861 181.816437 180.124283 124.192818
"2012-12-07" 181.778198 183.747604 181.749527 125.665848
"2012-12-10" 183.718933 185.028687 183.221802 126.104515
"2012-12-11" 184.684509 186.233276 184.655838 127.138908
"2012-12-12" 186.042068 186.185471 183.99617 126.320496
"2012-12-13" 183.728485 184.560226 182.954117 125.692039
"2012-12-14" 183.26004 184.894836 182.848953 125.541443
"2012-12-17" 183.326965 185.382416 183.326965 126.759148
"2012-12-18" 185.325043 187.304016 185.315491 128.114395
"2012-12-19" 186.864243 187.810699 186.424469 127.714996
"2012-12-20" 185.917786 186.376678 184.66539 127.512039
"2012-12-21" 184.608032 185.946457 183.145309 126.628189
"2012-12-24" 184.560226 185.305923 183.575531 125.960464
"2012-12-26" 183.757172 185.019119 182.552582 125.665848
"2012-12-27" 183.107071 184.780121 182.313583 126.163406
"2012-12-28" 182.705551 183.766724 181.481842 124.277893
"2012-12-31" 180.908218 183.250473 180.53537 125.403976
"2013-01-02" 185.554489 187.715103 185.277252 128.546432
"2013-01-03" 187.065002 187.657745 185.889099 127.839363
"2013-01-04" 185.650101 185.908218 184.302109 127.001373
"2013-01-07" 184.894836 185.258133 183.881454 126.444901
"2013-01-08" 184.435944 184.79924 183.173996 126.268173
"2013-01-09" 184.971313 184.980881 183.221802 125.908073
"2013-01-10" 184.177826 184.474182 182.868073 126.274704
"2013-01-11" 185.611862 186.424469 184.416824 127.302544
"2013-01-14" 184.340347 184.780121 183.317398 126.104515
"2013-01-15" 182.896744 184.254303 182.017212 126.025948
"2013-01-16" 183.556412 184.684509 182.934998 126.084831
"2013-01-17" 185.325043 185.908218 184.741867 126.778763
"2013-01-18" 185.497131 186.424469 185.277252 127.315643
"2013-01-22" 185.812622 187.456985 185.478012 128.369675
"2013-01-23" 194.550674 199.407272 194.416824 134.026093
"2013-01-24" 194.942642 196.042068 194.149139 133.829681
"2013-01-25" 195.458893 196.156784 195.152969 134.189804
"2013-01-28" 195.841293 197.151047 195.305923 134.16362
"2013-01-29" 195.353729 196.682602 194.684509 133.489258
"2013-01-30" 194.732315 195.86998 194.254303 133.240524
"2013-01-31" 194.378586 195.478012 194.034424 132.945892
"2013-02-01" 195.650101 196.319305 194.875717 134.327209
"2013-02-04" 195.210327 196.00383 194.617584 133.417267
"2013-02-05" 195.325043 195.745697 193.604202 132.762589
"2013-02-06" 191.577438 192.437866 190.783936 132.157715
"2013-02-07" 191.797318 192.07457 189.942642 131.316238
"2013-02-08" 191.175903 193.202682 190.898666 132.591629
"2013-02-11" 192.141495 193.068832 190.965576 131.592346
"2013-02-12" 191.214142 191.912048 190.267685 131.513458
"2013-02-13" 191.826004 192.112808 190.793503 131.546326
"2013-02-14" 190.946457 191.510513 190.497131 131.257019
"2013-02-15" 191.185471 192.399612 191.032501 132.131393
"2013-02-19" 191.778198 193.011475 191.414917 131.697525
"2013-02-20" 191.797318 192.848953 190.114716 131.033508
"2013-02-21" 189.894836 190.315491 189.397705 130.389236
"2013-02-22" 190.468445 192.246658 190.095596 132.203781
"2013-02-25" 192.801147 193.585083 188.824097 129.850098
"2013-02-26" 189.894836 191.108994 189.139572 130.921768
"2013-02-27" 190.143402 193.833649 189.86615 133.019028
"2013-02-28" 193.288712 194.187378 191.959854 132.032822
"2013-03-01" 191.826004 194.015289 190.592728 133.40033
"2013-03-04" 193.680695 196.166351 193.642441 134.899261
"2013-03-05" 196.806885 198.565964 196.644363 135.780197
"2013-03-06" 197.92543 199.321228 197.571701 136.99646
"2013-03-07" 199.13002 200.382416 199.082214 137.680161
"2013-03-08" 200.621414 201.472275 200.219879 138.31134
"2013-03-11" 200.803055 200.956024 199.847031 138.11412
"2013-03-12" 200.191208 201.462708 199.894836 138.423157
"2013-03-13" 200.956024 203.021027 200.544937 139.415817
"2013-03-14" 202.820267 206.367111 202.820267 141.874664
"2013-03-15" 205.908218 206.40535 204.024857 141.296082
"2013-03-18" 203.537292 205.066925 203.288712 140.17186
"2013-03-19" 204.713196 205.659653 202.514343 140.323135
"2013-03-20" 205.315491 206.328873 204.875717 141.388168
"2013-03-21" 203.59465 203.632889 200.86998 139.547318
"2013-03-22" 202.877625 203.79541 202.313583 139.42894
"2013-03-25" 203.193115 203.451248 200.812622 138.548004
"2013-03-26" 202.456985 203.154877 202.198853 139.613037
"2013-03-27" 201.682602 202.829834 200.860428 138.646637
"2013-03-28" 200.602295 204.053543 200.516251 140.231064
"2013-04-01" 203.441681 204.110901 201.959854 139.62619
"2013-04-02" 203.556412 205.267685 202.265778 140.927902
"2013-04-03" 204.894836 205.439774 203.27916 139.810287
"2013-04-04" 203.412994 203.565964 200.803055 138.922714
"2013-04-05" 199.904404 200.611862 197.265778 137.673599
"2013-04-08" 199.875717 200.114716 198.212234 137.614487
"2013-04-09" 200.344162 200.764816 199.435944 137.548721
"2013-04-10" 202.543015 203.164429 201.214142 139.376358
"2013-04-11" 202.198853 203.718933 201.577438 139.981232
"2013-04-12" 201.520081 202.189301 200.554489 138.968811
"2013-04-15" 201.185471 202.380493 200.057358 137.574997
"2013-04-16" 201.567871 202.676865 200 139.376358
"2013-04-17" 201.271515 201.806885 200.286804 137.844559
"2013-04-18" 200.86998 201.00383 197.084137 136.187836
"2013-04-19" 187.131927 187.858505 181.414917 124.912811
"2013-04-22" 182.74379 182.963669 179.426392 123.48616
"2013-04-23" 180.946457 184.082214 180.315491 125.971268
"2013-04-24" 183.709366 184.034424 182.686417 126.037003
"2013-04-25" 184.216064 186.587006 183.862335 127.509659
"2013-04-26" 185.621414 186.147232 184.751434 127.746338
"2013-04-29" 186.214142 190.898666 186.089859 130.928329
"2013-04-30" 190.372849 193.680695 188.671127 133.157043
"2013-05-01" 192.992355 193.27916 190.439774 131.243896
"2013-05-02" 191.319305 193.527725 190.965576 133.058441
"2013-05-03" 194.971313 196.290634 194.789673 134.452164
"2013-05-06" 194.827911 195.019119 192.657745 133.314804
"2013-05-07" 193.891006 194.770554 192.782028 133.873657
