"Index" "Open" "High" "Low" "Price"
"2012-09-17" 28.030001 28.177999 27.747999 25.082279
"2012-09-18" 27.955999 28.23 27.836 25.076923
"2012-09-19" 28.034 28.1 27.591999 24.691038
"2012-09-20" 27.438 27.562 27.054001 24.617794
"2012-09-21" 27.653999 27.768 27.514 24.576708
"2012-09-24" 27.450001 27.604 27.278 24.501671
"2012-09-25" 27.483999 27.636 27.032 24.155094
"2012-09-26" 26.996 27.106001 26.892 24.058622
"2012-09-27" 27.17 27.375999 26.986 24.142584
"2012-09-28" 26.996 27.246 26.636 23.833521
"2012-10-01" 26.771999 26.950001 26.337999 23.567341
"2012-10-02" 26.521999 26.598 25.944 23.310087
"2012-10-03" 26.096001 26.414 26.014 23.492308
"2012-10-04" 26.375999 26.584 26.186001 23.58341
"2012-10-05" 26.538 26.618 26.134001 23.402975
"2012-10-08" 26.125999 26.243999 26.044001 23.304726
"2012-10-09" 26.086 26.18 25.667999 23.167164
"2012-10-10" 26.014 26.112 25.638 22.988514
"2012-10-11" 25.908001 25.982 25.742001 23.070692
"2012-10-12" 25.785999 26.101999 25.676001 23.177879
"2012-10-15" 26.167999 26.172001 25.604 23.047472
"2012-10-16" 25.997999 26.34 25.872 23.478012
"2012-10-17" 26.216 26.332001 26.048 23.363678
"2012-10-18" 26.146 26.247999 26.030001 23.308296
"2012-10-19" 26.09 26.434 26.028 23.260065
"2012-10-22" 26.104 26.378 25.812 23.503025
"2012-10-23" 26.011999 26.162001 25.84 23.292213
"2012-10-24" 26.091999 26.25 26.032 23.308296
"2012-10-25" 26.282 26.282 25.728001 23.313652
"2012-10-26" 26.139999 26.309999 26.030001 23.436924
"2012-10-31" 26.238001 26.450001 26.011999 23.402975
"2012-11-01" 25.912001 26.254 25.912001 23.445858
"2012-11-02" 26.372 26.492001 25.92 23.19396
"2012-11-05" 25.83 26.782 25.728001 23.810301
"2012-11-06" 26.606001 26.764 26.358 23.840666
"2012-11-07" 26.576 26.65 26.101999 23.504805
"2012-11-08" 26.294001 26.572001 25.978001 23.292213
"2012-11-09" 26.076 26.336 26.028 23.277927
"2012-11-12" 26.146 26.25 25.862 23.32259
"2012-11-13" 26.018 26.268 25.634001 22.927774
"2012-11-14" 25.664 25.886 25.525999 22.856318
"2012-11-15" 25.596001 25.976 25.214001 22.641939
"2012-11-16" 25.370001 25.615999 25.243999 22.795576
"2012-11-19" 25.788 26.068001 25.785999 23.229692
"2012-11-20" 25.924 26.129999 25.75 23.201113
"2012-11-21" 25.959999 26.222 25.75 23.31723
"2012-11-23" 26.205999 26.246 26.006001 23.436924
"2012-11-26" 26.115999 26.308001 26.052 23.369036
"2012-11-27" 26.191999 26.285999 25.969999 23.218971
"2012-11-28" 25.966 26.226 25.889999 23.402975
"2012-11-29" 26.33 26.486 26.077999 23.619144
"2012-11-30" 26.393999 26.502001 26.226 23.608425
"2012-12-03" 26.448 26.686001 26.370001 23.581623
"2012-12-04" 26.530001 26.534 26.049999 23.376183
"2012-12-05" 26.17 26.222 25.858 23.256489
"2012-12-06" 26.032 26.33 25.804001 23.427988
"2012-12-07" 26.32 26.444 26.087999 23.352959
"2012-12-10" 26.059999 26.354 26.035999 23.402975
"2012-12-11" 26.24 26.34 25.774 23.067114
"2012-12-12" 25.948 26.114 25.77 23.170734
"2012-12-13" 25.959999 26.056 25.694 23.084984
"2012-12-14" 25.83 25.931999 25.542 22.849169
"2012-12-17" 25.646 25.726 25.042 22.838455
"2012-12-18" 25.684 25.834 25.422001 22.874184
"2012-12-19" 25.58 25.736 25.416 22.922411
"2012-12-20" 27.049999 27.08 24.691999 23.242199
"2012-12-21" 25.506001 25.936001 25.195999 22.554399
"2012-12-24" 25.233999 25.392 24.941999 22.33824
"2012-12-26" 25.014 25.104 24.823999 22.331089
"2012-12-27" 25.054001 25.158001 24.544001 22.191744
"2012-12-28" 24.636 24.870001 24.563999 22.091698
"2012-12-31" 24.714001 24.768 24.566 22.118494
"2013-01-02" 25.134001 25.284 24.806 22.316792
"2013-01-03" 25.035999 25.389999 24.854 22.674093
"2013-01-04" 25.344 26.02 25.236 23.152876
"2013-01-07" 25.690001 25.798 25.368 22.6723
"2013-01-08" 25.336 25.455999 25.1 22.720541
"2013-01-09" 25.384001 25.606001 25.327999 22.797359
"2013-01-10" 25.554001 25.698 25.392 22.867037
"2013-01-11" 25.544001 25.884001 25.454 23.109991
"2013-01-14" 25.804001 25.993999 25.694 23.138578
"2013-01-15" 25.834 25.834 25.459999 22.972439
"2013-01-16" 25.591999 25.733999 25.534 22.881329
"2013-01-17" 25.714001 26.323999 25.667999 23.440496
"2013-01-18" 26.23 26.672001 26.110001 23.819231
"2013-01-22" 26.514 26.823999 26.156 23.95858
"2013-01-23" 26.77 26.902 26.502001 23.860321
"2013-01-24" 26.746 27.114 26.705999 23.988949
"2013-01-25" 26.856001 27.002001 26.688 24.085417
"2013-01-28" 26.98 27.17 26.66 24.155094
"2013-01-29" 27.096001 27.386 26.974001 24.423061
"2013-01-30" 27.393999 27.944 27.378 24.814304
"2013-01-31" 27.591999 27.888 27.514 24.787506
"2013-02-01" 27.969999 28.488001 27.83 25.168032
"2013-02-04" 27.92 28.280001 27.712 25.248426
"2013-02-05" 28.266001 28.719999 28.114 25.643236
"2013-02-06" 28.474001 29.118 28.212 25.943363
"2013-02-07" 29.002001 29.832001 28.732 26.609724
"2013-02-08" 29.834 29.931999 29.584 26.618654
"2013-02-11" 29.809999 29.99 29.615999 26.766933
"2013-02-12" 30 30.375999 29.959999 26.92415
"2013-02-13" 30.1 30.374001 29.826 27.120659
"2013-02-14" 30.290001 31.226 30.174 27.783447
