"Index" "Open" "High" "Low" "Price"
"2012-09-17" 49.799999 49.799999 48.474998 48.740002
"2012-09-18" 48.779999 49.049999 48.450001 48.814999
"2012-09-19" 48.674999 48.98 48.445 48.810001
"2012-09-20" 48.474998 49.310001 48.474998 49.224998
"2012-09-21" 49.525002 50 49.389999 49.514999
"2012-09-24" 49.360001 50.110001 49.174999 50.075001
"2012-09-25" 50.334999 50.59 49.794998 49.965
"2012-09-26" 49.939999 50.205002 49.25 49.494999
"2012-09-27" 49.610001 49.955002 49.459999 49.794998
"2012-09-28" 49.57 49.845001 49.174999 49.674999
"2012-10-01" 49.855 49.855 48.220001 48.830002
"2012-10-02" 48.915001 49.18 48.605 48.849998
"2012-10-03" 49.044998 49.465 48.764999 49.09
"2012-10-04" 49.189999 49.605 49.189999 49.5
"2012-10-05" 49.639999 50.025002 49.299999 49.395
"2012-10-08" 49.395 49.849998 49.209999 49.445
"2012-10-09" 49.294998 49.619999 47.830002 47.865002
"2012-10-10" 47.959999 48.185001 47.705002 47.84
"2012-10-11" 48.220001 48.630001 48.009998 48.450001
"2012-10-12" 48.48 48.724998 47.884998 47.970001
"2012-10-15" 48.209999 48.790001 47.889999 48.52
"2012-10-16" 48.900002 49.095001 48.66 49.014999
"2012-10-17" 49.040001 49.474998 48.740002 49.244999
"2012-10-18" 49.064999 49.599998 48.375 49.48
"2012-10-19" 49.110001 49.5 47.639999 48.794998
"2012-10-22" 48.66 49.07 48.314999 48.945
"2012-10-23" 48.575001 49.040001 48 48.494999
"2012-10-24" 48.75 48.775002 47.945 48.025002
"2012-10-25" 48.23 48.5 47.849998 48.119999
"2012-10-26" 48 48.73 47.610001 47.880001
"2012-10-31" 47.834999 49.205002 47.650002 48.099998
"2012-11-01" 47.945 48.220001 47.605 47.715
"2012-11-02" 47.994999 48.110001 47.224998 47.32
"2012-11-05" 47.345001 47.345001 46.82 46.950001
"2012-11-06" 47.255001 47.424999 46.865002 46.945
"2012-11-07" 46.625 46.82 46.099998 46.445
"2012-11-08" 46.205002 46.404999 44.945 44.955002
"2012-11-09" 44.889999 45.105 44.599998 44.775002
"2012-11-12" 44.775002 44.98 44.470001 44.855
"2012-11-13" 44.665001 45.244999 44.450001 44.994999
"2012-11-14" 45.025002 45.560001 44.560001 44.66
"2012-11-15" 44.740002 45.110001 43.755001 44.880001
"2012-11-16" 44.924999 45.400002 44.825001 45.16
"2012-11-19" 45.380001 46.32 45.330002 46.310001
"2012-11-20" 46.215 46.330002 45.544998 45.974998
"2012-11-21" 46 46.235001 45.564999 45.935001
"2012-11-23" 45.900002 47.084999 45.900002 47.025002
"2012-11-26" 46.810001 47.130001 46.705002 46.965
"2012-11-27" 46.66 47.150002 46.035 46.150002
"2012-11-28" 45.849998 46.025002 45.110001 45.709999
"2012-11-29" 46.060001 46.889999 46.044998 46.630001
"2012-11-30" 46.59 46.924999 46.490002 46.735001
"2012-12-03" 46.814999 46.985001 45.900002 46.080002
"2012-12-04" 46.064999 46.299999 45.73 46.16
"2012-12-05" 46.224998 46.48 45.904999 46.34
"2012-12-06" 46.330002 46.639999 46.264999 46.549999
"2012-12-07" 46.625 46.950001 46.445 46.755001
"2012-12-10" 46.650002 47.215 46.525002 46.91
"2012-12-11" 46.91 47.439999 46.900002 47.25
"2012-12-12" 47.27 48.369999 47.095001 47.794998
"2012-12-13" 47.735001 47.904999 47.400002 47.52
"2012-12-14" 47.189999 48.384998 47.014999 47.84
"2012-12-17" 47.799999 48.215 47.779999 47.959999
"2012-12-18" 47.884998 48.16 47.810001 48.02
"2012-12-19" 48.235001 48.455002 47.779999 47.794998
"2012-12-20" 47.665001 48.189999 47.665001 48.119999
"2012-12-21" 47.330002 48.57 47.330002 47.619999
"2012-12-24" 47.810001 48.355 47.195 47.630001
"2012-12-26" 47.814999 47.830002 46.275002 46.279999
"2012-12-27" 46.349998 46.625 45.955002 46.459999
"2012-12-28" 46.165001 46.48 45.794998 45.855
"2012-12-31" 45.75 46.5 45.544998 46.400002
"2013-01-02" 47.294998 47.404999 46.695 47.025002
"2013-01-03" 46.834999 47.375 46.689999 47
"2013-01-04" 47.16 47.965 46.945 47.439999
"2013-01-07" 47.325001 47.939999 47.255001 47.720001
"2013-01-08" 47.799999 48.290001 47.560001 48.005001
"2013-01-09" 48.25 48.945 48.07 48.57
"2013-01-10" 48.845001 49.009998 48.450001 48.630001
"2013-01-11" 48.709999 48.955002 48.360001 48.549999
"2013-01-14" 48.584999 48.700001 47.970001 47.98
"2013-01-15" 47.875 48.330002 47.459999 47.474998
"2013-01-16" 47.375 47.939999 46.715 47.195
"2013-01-17" 47.365002 47.650002 47.125 47.165001
"2013-01-18" 47.125 47.334999 46.599998 46.625
"2013-01-22" 46.715 47.779999 46.715 47.744999
"2013-01-23" 47.625 47.669998 47.41 47.619999
"2013-01-24" 47.625 48.32 47.514999 48.314999
"2013-01-25" 48.424999 49.875 48.32 49.73
"2013-01-28" 49.400002 50.404999 49.400002 49.825001
"2013-01-29" 46.744999 49.07 46.744999 48.709999
"2013-01-30" 48.705002 49.134998 47.970001 48.080002
"2013-01-31" 47.764999 48.060001 47.41 47.605
"2013-02-01" 47.82 48.115002 47.105 47.23
"2013-02-04" 47.035 47.23 46.605 46.810001
"2013-02-05" 46.985001 47.080002 46.810001 46.900002
"2013-02-06" 46.845001 47 46.634998 46.950001
"2013-02-07" 47 47 46.68 46.950001
"2013-02-08" 46.950001 47.07 46.740002 46.785
"2013-02-11" 46.900002 46.985001 46.525002 46.779999
"2013-02-12" 46.935001 47.014999 46.349998 46.465
"2013-02-13" 46.595001 46.605 45.794998 46.040001
"2013-02-14" 46.029999 46.255001 45.75 45.84
"2013-02-15" 45.799999 45.825001 45.375 45.599998
"2013-02-19" 45.610001 46.130001 45.509998 45.98
"2013-02-20" 45.865002 46.345001 45.849998 46.035
"2013-02-21" 45.855 45.93 45.535 45.605
"2013-02-22" 45.834999 46.174999 45.634998 46.099998
"2013-02-25" 46.205002 46.450001 46.005001 46.099998
"2013-02-26" 46.139999 46.485001 45.599998 45.650002
"2013-02-27" 45.66 46.695 45.610001 46.275002
"2013-02-28" 46.384998 46.615002 45.985001 46.060001
"2013-03-01" 45.915001 46.029999 45.389999 45.625
"2013-03-04" 45.52 45.665001 45.095001 45.575001
"2013-03-05" 45.849998 46.685001 45.75 46.625
"2013-03-06" 46.779999 47.134998 45.970001 46.064999
"2013-03-07" 46 46.189999 45.285 45.509998
"2013-03-08" 45.529999 46.025002 45.119999 45.73
"2013-03-11" 45.755001 46.310001 45.689999 45.915001
"2013-03-12" 45.790001 45.900002 45.494999 45.755001
"2013-03-13" 45.779999 46.005001 45.509998 45.830002
"2013-03-14" 45.82 46.575001 45.814999 46.360001
"2013-03-15" 46.290001 46.424999 46.009998 46.224998
"2013-03-18" 45.724998 46.174999 45.52 45.595001
"2013-03-19" 45.709999 46.07 45.165001 45.68
"2013-03-20" 45.744999 46.209999 45.689999 45.785
"2013-03-21" 45.599998 46.009998 45.355 45.799999
"2013-03-22" 45.860001 46.215 45.860001 46.035
"2013-03-25" 46.200001 46.215 45.470001 45.630001
"2013-03-26" 45.884998 46.169998 45.700001 46.139999
"2013-03-27" 45.985001 46.610001 45.865002 46.445
"2013-03-28" 46.435001 46.505001 45.884998 46.195
"2013-04-01" 46.029999 46.200001 45.145 45.415001
"2013-04-02" 45.470001 45.900002 45.375 45.5
"2013-04-03" 45.404999 45.529999 44.404999 44.535
"2013-04-04" 44.674999 44.825001 43.945 44.814999
"2013-04-05" 44.48 44.974998 44.224998 44.865002
"2013-04-08" 44.855 45.275002 44.700001 45.195
"2013-04-09" 45.25 45.57 44.950001 45.255001
"2013-04-10" 45.564999 45.564999 45.014999 45.445
"2013-04-11" 45.400002 45.794998 45.389999 45.48
"2013-04-12" 45.349998 45.470001 43.950001 44.314999
"2013-04-15" 44.099998 44.52 43.799999 43.860001
"2013-04-16" 44.169998 44.855 43.625 44.82
"2013-04-17" 44.544998 44.634998 44.07 44.48
"2013-04-18" 44.505001 44.799999 44.325001 44.66
"2013-04-19" 44.75 45.32 44.509998 45.279999
"2013-04-22" 45.41 45.485001 44.775002 45
"2013-04-23" 41.919998 44.105 41.525002 43.325001
"2013-04-24" 43.224998 43.299999 42.014999 42.134998
"2013-04-25" 42.290001 43.764999 42.224998 43.514999
"2013-04-26" 43.529999 43.974998 43.349998 43.965
"2013-04-29" 44.115002 44.535 44.07 44.18
"2013-04-30" 44.290001 44.474998 43.744999 43.98
"2013-05-01" 43.759998 43.990002 42.575001 42.619999
"2013-05-02" 42.755001 42.880001 42.049999 42.200001
"2013-05-03" 42.544998 42.744999 42.330002 42.654999
"2013-05-06" 42.794998 43 42.705002 42.900002
"2013-05-07" 42.994999 43.165001 42.794998 42.950001
"2013-05-08" 42.869999 43.755001 42.869999 43.68
"2013-05-09" 43.5 43.75 43.27 43.41
"2013-05-10" 43.470001 43.970001 43.294998 43.880001
"2013-05-13" 43.860001 44.035 43.48 43.5
"2013-05-14" 43.77 44.52 43.564999 44.384998
"2013-05-15" 44.25 44.474998 43.605 43.764999
"2013-05-16" 43.790001 44.064999 43.25 43.299999
"2013-05-17" 43.470001 43.470001 43.02 43.200001
"2013-05-20" 43.075001 43.419998 42.75 42.825001
"2013-05-21" 42.825001 43.084999 42.654999 42.779999
"2013-05-22" 42.779999 43.125 41.669998 41.685001
"2013-05-23" 41.535 42.485001 41.200001 42.240002
"2013-05-24" 42.119999 42.134998 41.744999 41.904999
"2013-05-28" 42.224998 42.494999 42.185001 42.235001
"2013-05-29" 42 42.200001 41.540001 41.849998
"2013-05-30" 41.994999 41.994999 40.785 41.605
"2013-05-31" 41.48 41.799999 41.005001 41.220001
"2013-06-03" 41.389999 41.700001 41.110001 41.465
"2013-06-04" 41.580002 42.165001 41.48 41.845001
"2013-06-05" 41.884998 42.095001 41.695 41.790001
"2013-06-06" 41.855 42.360001 41.810001 42.025002
"2013-06-07" 42.330002 42.330002 41.810001 41.939999
"2013-06-10" 42.064999 42.439999 41.75 41.990002
"2013-06-11" 42.884998 42.889999 41.735001 42.529999
"2013-06-12" 42.814999 43.044998 42.389999 42.965
"2013-06-13" 43.014999 44.82 42.755001 44.68
"2013-06-14" 44.75 44.865002 44.535 44.639999
"2013-06-17" 45.044998 46.299999 45.044998 45.439999
"2013-06-18" 45.465 45.939999 45.064999 45.244999
"2013-06-19" 45.310001 45.474998 44.509998 44.525002
"2013-06-20" 44.125 44.435001 43.895 44.09
"2013-06-21" 44.384998 45.52 44.119999 44.950001
"2013-06-24" 44.505001 45.16 44.205002 44.735001
"2013-06-25" 44.970001 45.290001 44.404999 45.130001
"2013-06-26" 45.540001 45.615002 45.215 45.355
"2013-06-27" 45.455002 45.970001 45.360001 45.360001
"2013-06-28" 45.360001 45.630001 44.825001 44.845001
"2013-07-01" 45.220001 46.095001 44.755001 45.365002
"2013-07-02" 45.424999 45.790001 44.82 44.924999
"2013-07-03" 44.950001 44.950001 43.994999 44.365002
"2013-07-05" 44.735001 45.695 44.5 45.529999
"2013-07-08" 45.52 45.865002 45.154999 45.549999
"2013-07-09" 45.799999 46.424999 45.595001 46.27
"2013-07-10" 46.130001 46.27 45.48 45.735001
"2013-07-11" 46.330002 46.709999 45.865002 46.630001
"2013-07-12" 46.630001 47 46.345001 46.945
"2013-07-15" 47.799999 48.485001 47.799999 48.040001
"2013-07-16" 48.205002 48.209999 47.695 47.779999
"2013-07-17" 48 48.105 47.619999 48.025002
"2013-07-18" 47.974998 48.240002 47.724998 47.799999
"2013-07-19" 47.689999 48.25 47.599998 48.009998
"2013-07-22" 47.895 48.900002 47.799999 48.709999
"2013-07-23" 48 48.52 45.514999 48.185001
"2013-07-24" 48.494999 49.349998 48.259998 48.395
"2013-07-25" 48.215 49.009998 48.215 48.685001
"2013-07-26" 48.639999 48.700001 48.02 48.299999
"2013-07-29" 48.009998 48.91 48.009998 48.865002
"2013-07-30" 48.875 49.310001 48.654999 48.924999
"2013-07-31" 49.055 49.450001 48.805 48.994999
"2013-08-01" 49.145 50.185001 49.145 49.595001
"2013-08-02" 49.439999 49.794998 49.205002 49.455002
"2013-08-05" 49.345001 49.68 49.044998 49.325001
"2013-08-06" 49.209999 49.43 48.59 48.744999
"2013-08-07" 48.610001 48.830002 48.365002 48.384998
"2013-08-08" 48.5 48.685001 48.395 48.5
"2013-08-09" 48.509998 48.654999 48.27 48.419998
"2013-08-12" 48.279999 48.575001 48.154999 48.525002
"2013-08-13" 48.5 48.57 48.095001 48.5
"2013-08-14" 48.555 48.595001 48.139999 48.264999
"2013-08-15" 47.875 48.080002 47.43 47.830002
"2013-08-16" 47.709999 48.009998 47.525002 47.880001
"2013-08-19" 47.740002 48.220001 47.740002 48
"2013-08-20" 48.060001 48.465 47.77 48.255001
"2013-08-21" 48.029999 48.365002 47.904999 47.935001
"2013-08-22" 48.154999 48.985001 48.044998 48.57
"2013-08-23" 48.755001 48.865002 48.285 48.645
"2013-08-26" 48.595001 49.174999 48.595001 48.82
"2013-08-27" 48.41 48.450001 47.474998 47.77
"2013-08-28" 47.669998 48.130001 47.34 47.639999
"2013-08-29" 47.650002 47.904999 47.25 47.584999
"2013-08-30" 47.424999 47.740002 46.849998 46.91
"2013-09-03" 47.130001 47.450001 46.044998 46.595001
"2013-09-04" 46.544998 47.805 46.419998 47.669998
"2013-09-05" 47 47.860001 47 47.625
"2013-09-06" 47.810001 48.125 47.244999 47.700001
"2013-09-09" 47.880001 48.325001 47.68 48.205002
"2013-09-10" 48.305 48.645 48.244999 48.595001
"2013-09-11" 48.400002 48.66 48.16 48.615002
"2013-09-12" 48.599998 49 48.099998 48.18
"2013-09-13" 48.174999 48.580002 47.924999 48.369999
"2013-09-16" 48.544998 48.779999 48.305 48.52
"2013-09-17" 48.599998 49.169998 48.325001 49.035
"2013-09-18" 49.02 49.375 48.404999 49.174999
"2013-09-19" 49.275002 49.459999 48.814999 49.040001
"2013-09-20" 49.130001 49.474998 48.805 49.23
"2013-09-23" 49.025002 49.775002 48.959999 49.595001
"2013-09-24" 49.709999 49.720001 48.970001 49.005001
"2013-09-25" 48.924999 49.119999 48.73 48.845001
"2013-09-26" 48.970001 49.195 48.82 49.130001
"2013-09-27" 48.84 49.400002 48.639999 49.285
"2013-09-30" 48.974998 50.174999 48.395 49.825001
"2013-10-01" 49.834999 51.404999 49.564999 51.369999
"2013-10-02" 50.895 51.755001 50.535 51.389999
"2013-10-03" 51.145 51.384998 50.224998 50.630001
"2013-10-04" 50.540001 51.360001 50.540001 50.994999
"2013-10-07" 50.610001 51.134998 50.450001 50.799999
