"Index" "Open" "High" "Low" "Price"
"2012-09-17" 41.970001 41.970001 41.139999 35.894485
"2012-09-18" 41.080002 41.669998 40.790001 36.190693
"2012-09-19" 41.540001 42.73 41.490002 36.983517
"2012-09-20" 41.98 42.389999 41.59 36.835396
"2012-09-21" 43.060001 43.959999 42.290001 36.852825
"2012-09-24" 39.189999 41.82 39.18 36.330093
"2012-09-25" 41.740002 42 41.389999 36.164558
"2012-09-26" 41.529999 41.57 40.799999 35.938026
"2012-09-27" 41.43 41.939999 41.34 36.521759
"2012-09-28" 41.639999 42.049999 41.490002 36.391071
"2012-10-01" 41.919998 42.02 41.32 36.330093
"2012-10-02" 41.599998 41.720001 40.82 36.025162
"2012-10-03" 41.360001 41.599998 41.119999 36.094849
"2012-10-04" 41.66 41.73 41.189999 36.260399
"2012-10-05" 41.82 42.16 41.470001 36.303947
"2012-10-08" 41.790001 41.939999 41.330002 36.147133
"2012-10-09" 41.490002 41.540001 40.5 35.284618
"2012-10-10" 40.439999 40.689999 40.279999 35.180073
"2012-10-11" 40.5 40.59 40.18 35.19759
"2012-10-12" 40.259998 40.5 39.830002 34.978687
"2012-10-15" 39.990002 40.41 39.939999 35.381458
"2012-10-16" 40.509998 41.060001 40.43 35.898026
"2012-10-17" 41.029999 41.860001 41 36.589733
"2012-10-18" 41.57 41.77 41.25 36.265766
"2012-10-19" 41.080002 41.330002 40.48 35.626617
"2012-10-22" 40.700001 40.84 40.200001 35.381458
"2012-10-23" 40.900002 41.73 39.740002 36.335815
"2012-10-24" 41.799999 41.959999 41.240002 36.292042
"2012-10-25" 41.619999 42.34 41.509998 36.931202
"2012-10-26" 42.209999 42.389999 41.799999 37.00124
"2012-10-31" 42.240002 42.810001 42.099998 37.23764
"2012-11-01" 42.630001 43.990002 42.529999 38.463432
"2012-11-02" 44.209999 44.209999 43.07 37.710426
"2012-11-05" 43.060001 43.610001 42.830002 38.060673
"2012-11-06" 43.490002 43.98 42.73 38.3321
"2012-11-07" 43.18 43.470001 42.459999 37.456528
"2012-11-08" 42.779999 43.169998 42.189999 36.948704
"2012-11-09" 42.119999 42.990002 41.869999 37.342712
"2012-11-12" 42.849998 43.150002 42.169998 37.21138
"2012-11-13" 42.169998 42.950001 42.139999 37.228893
"2012-11-14" 42.650002 42.73 41.560001 36.49342
"2012-11-15" 41.700001 42.25 41.330002 36.572212
"2012-11-16" 41.759998 42.09 41.490002 36.782345
"2012-11-19" 42.5 42.880001 42.259998 37.535332
"2012-11-20" 42.84 43.18 42.700001 37.789246
"2012-11-21" 43 43.369999 42.869999 37.929333
"2012-11-23" 43.5 44.310001 43.380001 38.647305
"2012-11-26" 43.889999 44.450001 43.490002 38.428417
"2012-11-27" 43.919998 44.23 43.650002 38.550983
"2012-11-28" 43.709999 44.630001 43.529999 39.041306
"2012-11-29" 44.77 45.150002 44.490002 39.409039
"2012-11-30" 44.799999 45.110001 44.700001 39.356506
"2012-12-03" 45.220001 45.25 44.540001 39.137619
"2012-12-04" 44.68 45 44.540001 39.163883
"2012-12-05" 44.799999 44.959999 44.41 39.268944
"2012-12-06" 44.75 45.119999 44.630001 39.470325
"2012-12-07" 45.23 45.400002 44.889999 39.706722
"2012-12-10" 45.41 45.959999 45.330002 40.18829
"2012-12-11" 45.98 46 45.610001 40.258331
"2012-12-12" 45.310001 45.900002 45.310001 39.838062
"2012-12-13" 45.490002 45.84 44.810001 39.470325
"2012-12-14" 44.889999 45.419998 44.459999 39.40028
"2012-12-17" 44.990002 45.400002 44.830002 39.715488
"2012-12-18" 45.380001 46 45.25 40.275845
"2012-12-19" 45.990002 46.23 45.650002 40.293346
"2012-12-20" 46 46.459999 45.91 40.661087
"2012-12-21" 45.880001 46.369999 45.709999 40.503487
"2012-12-24" 46.25 46.41 46 40.459702
"2012-12-26" 46.23 46.41 46.110001 40.415939
"2012-12-27" 46.169998 46.32 45.75 40.389671
"2012-12-28" 45.689999 46.330002 45.669998 40.205791
"2012-12-31" 45.860001 46.689999 45.75 40.739895
"2013-01-02" 47.509998 47.990002 47.43 41.965675
"2013-01-03" 47.810001 48.5 47.700001 42.061989
"2013-01-04" 48.23 48.23 47.84 42.105766
"2013-01-07" 47.959999 48.490002 47.84 42.324657
"2013-01-08" 48.389999 48.610001 47.880001 42.097012
"2013-01-09" 48.189999 48.290001 47.950001 42.351978
"2013-01-10" 48.48 48.529999 47.490002 41.80687
"2013-01-11" 47.57 47.77 47.43 41.885998
"2013-01-14" 47.57 47.990002 47.48 42.184929
"2013-01-15" 47.689999 48.349998 47.669998 42.439903
"2013-01-16" 48.23 48.560001 48.07 42.650921
"2013-01-17" 48.689999 49.75 48.450001 43.591682
"2013-01-18" 49.759998 49.849998 49.400002 43.688381
"2013-01-22" 49.700001 49.709999 49.07 43.204823
"2013-01-23" 49.110001 49.34 48.939999 43.239994
"2013-01-24" 49.200001 49.68 49.040001 43.521343
"2013-01-25" 49.75 49.75 49.16 43.71479
"2013-01-28" 49.779999 50.110001 49.09 43.354301
"2013-01-29" 49.27 49.860001 49.27 43.7939
"2013-01-30" 49.799999 49.830002 49.369999 43.618065
"2013-01-31" 49.48 49.98 49.389999 43.864235
"2013-02-01" 50.27 50.689999 50.049999 44.330231
"2013-02-04" 50.119999 50.5 49.759998 43.96096
"2013-02-05" 49.5 50 48.02 43.046574
"2013-02-06" 48.509998 48.779999 48.290001 42.747631
"2013-02-07" 48.560001 48.779999 48.439999 42.791599
"2013-02-08" 48.700001 49.25 48.68 43.204823
"2013-02-11" 49.110001 49.220001 48.73 43.011402
"2013-02-12" 49.02 49.810001 48.869999 43.670807
"2013-02-13" 49.75 50.16 49.59 44.048874
"2013-02-14" 49.950001 50.419998 49.810001 44.233528
"2013-02-15" 50.27 50.689999 50.169998 44.356609
"2013-02-19" 50.439999 51.200001 50.439999 44.787422
"2013-02-20" 50.950001 51.029999 50.25 44.24231
"2013-02-21" 50.189999 50.32 49.380001 43.626858
"2013-02-22" 49.84 50.290001 49.84 44.145592
"2013-02-25" 50.389999 50.439999 48.880001 42.976234
"2013-02-26" 49.110001 49.75 48.919998 43.64444
"2013-02-27" 49.599998 50.869999 49.560001 44.602787
"2013-02-28" 50.709999 51.459999 50.68 44.778633
"2013-03-01" 50.740002 50.98 49.799999 44.646748
"2013-03-04" 50.48 50.740002 49.82 44.330231
"2013-03-05" 50.529999 51.709999 50.529999 45.227032
"2013-03-06" 51.59 51.790001 51.189999 45.033615
"2013-03-07" 51.130001 51.639999 51.130001 45.130325
"2013-03-08" 51.68 51.990002 51.470001 45.622681
