"Index" "Open" "High" "Low" "Price"
"2012-09-17" 47.669998 48.830002 46.950001 47.700001
"2012-09-18" 47.700001 49.27 47.189999 47.900002
"2012-09-19" 47.470001 48.25 47.380001 47.68
"2012-09-20" 47.720001 48.299999 47.240002 48.130001
"2012-09-21" 48.209999 48.75 47.93 48.48
"2012-09-24" 48.150002 48.459999 47.32 48.119999
"2012-09-25" 48.18 48.360001 47.389999 47.48
"2012-09-26" 47.689999 47.75 46.84 46.849998
"2012-09-27" 46.959999 47.380001 46.580002 46.98
"2012-09-28" 46.849998 48.5 46.5 48.189999
"2012-10-01" 48.220001 50.080002 48.200001 49.029999
"2012-10-02" 52.279999 52.959999 50.509998 51
"2012-10-03" 51.439999 52.189999 50 51.419998
"2012-10-04" 51.580002 52.880001 51.119999 52.25
"2012-10-05" 52.779999 52.970001 51.450001 51.790001
"2012-10-08" 51.619999 52.470001 51.25 51.950001
"2012-10-09" 52.060001 52.060001 50.799999 50.869999
"2012-10-10" 51.029999 52.41 50.630001 51.09
"2012-10-11" 51.73 52.580002 51.25 52.23
"2012-10-12" 52.16 52.459999 50.98 51.16
"2012-10-15" 51.299999 51.299999 46.5 48.07
"2012-10-16" 49 49.470001 47.84 48.189999
"2012-10-17" 48.349998 48.549999 47.709999 47.91
"2012-10-18" 47.68 48.049999 46.93 47.130001
"2012-10-19" 47.139999 47.380001 46.48 46.68
"2012-10-22" 46.889999 47.32 45.900002 46.619999
"2012-10-23" 46.279999 46.630001 44.849998 45.189999
"2012-10-24" 45 47.32 44.779999 46.119999
"2012-10-25" 46.82 49.369999 46.220001 47.599998
"2012-10-26" 47.98 48.25 46.389999 47.93
"2012-10-31" 47.73 47.73 46.650002 47.5
"2012-11-01" 48.060001 49.200001 47.75 49.040001
"2012-11-02" 48.889999 48.990002 47.52 47.93
"2012-11-05" 47.59 48.41 47.59 48.279999
"2012-11-06" 48.220001 48.240002 47.59 47.68
"2012-11-07" 47.549999 52.220001 47.02 48.209999
"2012-11-08" 48.029999 49.02 47.799999 48.209999
"2012-11-09" 48.099998 49.740002 47.759998 48.830002
"2012-11-12" 48.810001 49.200001 47.950001 48.220001
"2012-11-13" 48.049999 49.540001 47.68 48.700001
"2012-11-14" 48.560001 48.849998 48.099998 48.439999
"2012-11-15" 48.459999 48.75 47.919998 48.259998
"2012-11-16" 48.619999 49.490002 48.290001 49.43
"2012-11-19" 49.299999 50.450001 48.869999 50.07
"2012-11-20" 49.740002 50.759998 49.57 50.52
"2012-11-21" 50.549999 52 50.400002 51.689999
"2012-11-23" 53.209999 53.549999 52.669998 52.93
"2012-11-26" 52.099998 52.299999 49.240002 51.169998
"2012-11-27" 51.529999 52.23 51.150002 51.189999
"2012-11-28" 50.84 51.349998 50.25 51.18
"2012-11-29" 51.25 53.91 51.169998 52.240002
"2012-11-30" 52.23 53.75 51.950001 53.709999
"2012-12-03" 53.110001 53.290001 51.240002 52.16
"2012-12-04" 52.27 52.450001 51.419998 51.759998
"2012-12-05" 51.759998 52.25 51.459999 51.689999
"2012-12-06" 51.639999 52.599998 51.080002 51.889999
"2012-12-07" 51.77 52.110001 51.5 51.580002
"2012-12-10" 51.889999 52.529999 51.75 52.150002
"2012-12-11" 52.049999 53.400002 51.990002 52.360001
"2012-12-12" 52.59 53.43 52.299999 53.220001
"2012-12-13" 53.18 53.759998 52.630001 53.209999
"2012-12-14" 52.98 53.110001 51.080002 51.220001
"2012-12-17" 51.5 51.98 50.810001 51.860001
"2012-12-18" 52.029999 52.419998 51.459999 51.849998
"2012-12-19" 51.77 52.540001 51.290001 52.169998
"2012-12-20" 56.27 57 54.310001 56.220001
"2012-12-21" 55.279999 56.880001 55.150002 56.389999
"2012-12-24" 56.16 56.18 55.5 56.099998
"2012-12-26" 56.25 56.25 55.549999 55.720001
"2012-12-27" 55.889999 56.07 55 55.41
"2012-12-28" 54.799999 55.48 54.57 54.75
"2012-12-31" 54.709999 56.060001 54.509998 55.59
"2013-01-02" 56.099998 56.580002 54.759998 55.419998
"2013-01-03" 55.68 56.580002 55.349998 55.549999
"2013-01-04" 55.990002 56 54.66 54.759998
"2013-01-07" 49.889999 51.759998 49.16 50.900002
"2013-01-08" 50.77 52.869999 50.27 52.389999
"2013-01-09" 52.110001 52.59 51.610001 52.529999
"2013-01-10" 52.990002 54.099998 52.689999 53.639999
"2013-01-11" 52.880001 53.279999 52.279999 52.68
"2013-01-14" 53.009998 53.240002 52.369999 52.619999
"2013-01-15" 52.23 52.509998 51.52 51.619999
"2013-01-16" 51.43 51.599998 50.459999 50.59
"2013-01-17" 51 51.98 50.459999 51.59
"2013-01-18" 52.470001 52.5 50.75 51.029999
"2013-01-22" 50.950001 51.139999 50.41 50.75
"2013-01-23" 51 51.990002 50.25 50.599998
"2013-01-24" 50.599998 51.419998 50.200001 50.950001
"2013-01-25" 50.950001 52.25 50.919998 52.060001
"2013-01-28" 51.939999 52.759998 51.41 51.619999
"2013-01-29" 50.950001 51.799999 50.200001 50.200001
"2013-01-30" 50.610001 51.060001 50.240002 50.869999
"2013-01-31" 50.75 51.060001 50.07 50.630001
"2013-02-01" 50.619999 51.700001 50.59 51.5
"2013-02-04" 50.779999 51.5 50.43 50.599998
"2013-02-05" 50.540001 51.259998 50.540001 51
"2013-02-06" 50.630001 52.290001 50.549999 51.82
"2013-02-07" 51.700001 52.02 51.189999 51.299999
"2013-02-08" 51.549999 51.619999 50.650002 50.880001
"2013-02-11" 50.790001 51.060001 50.080002 50.25
"2013-02-12" 50.290001 50.580002 49.689999 50.27
"2013-02-13" 50.470001 50.799999 49.700001 49.759998
"2013-02-14" 49.759998 49.799999 48.389999 48.790001
"2013-02-15" 48.77 48.849998 48.330002 48.73
"2013-02-19" 48.709999 50.200001 48.639999 49.02
"2013-02-20" 48.98 49.740002 48.349998 48.810001
"2013-02-21" 48.450001 49.27 48 48.360001
"2013-02-22" 48.400002 49.119999 48 49.029999
"2013-02-25" 49.029999 49.27 48.580002 48.759998
"2013-02-26" 48.66 49.200001 48.34 48.790001
"2013-02-27" 48.810001 49.200001 48.619999 49.02
"2013-02-28" 49.18 50.470001 48.91 50.130001
"2013-03-01" 50.650002 52.5 50.459999 52.220001
"2013-03-04" 51.849998 52.669998 51.689999 52.650002
"2013-03-05" 52.599998 53.349998 52.41 53
"2013-03-06" 52.880001 53.860001 52.68 53.240002
"2013-03-07" 53.389999 53.75 53.049999 53.330002
"2013-03-08" 53.5 53.869999 53.169998 53.77
"2013-03-11" 53.240002 53.889999 53.240002 53.790001
"2013-03-12" 53.389999 53.59 52.799999 53.27
"2013-03-13" 53.349998 53.689999 52.470001 52.57
"2013-03-14" 52.700001 52.84 52.470001 52.740002
"2013-03-15" 52.700001 52.790001 52.279999 52.279999
"2013-03-18" 52.099998 52.259998 51.34 52.18
"2013-03-19" 52.049999 52.16 50.299999 51.73
"2013-03-20" 52.099998 53.09 51.740002 52.889999
"2013-03-21" 52.610001 53.419998 52.5 53.130001
"2013-03-22" 53.349998 53.450001 52.810001 52.98
"2013-03-25" 52.880001 53.400002 52.790001 52.880001
"2013-03-26" 52.939999 53.939999 52.75 53.880001
"2013-03-27" 53.509998 54.060001 52.990002 53.98
"2013-03-28" 53.860001 54.32 53.700001 54
"2013-04-01" 54.18 54.360001 53.77 54.240002
"2013-04-02" 54.200001 54.869999 53.84 54.529999
"2013-04-03" 54.349998 54.84 53.869999 54.279999
"2013-04-04" 54.669998 54.939999 54.380001 54.93
"2013-04-05" 54.16 54.59 53.93 54.43
"2013-04-08" 54.32 55.240002 54.169998 55.23
"2013-04-09" 55.139999 55.950001 54.639999 55.529999
"2013-04-10" 55.669998 57.290001 55.630001 57.27
"2013-04-11" 56.919998 58.23 56.810001 57.950001
"2013-04-12" 57.369999 58 57.34 57.84
