"Index" "Open" "High" "Low" "Price"
"2012-09-17" 17.83 18.030001 17.719999 17.969999
"2012-09-18" 18 18.360001 18 18.290001
"2012-09-19" 18.32 18.98 18.280001 18.950001
"2012-09-20" 18.879999 19.27 18.83 19.23
"2012-09-21" 19.309999 20 19.25 19.950001
"2012-09-24" 19.75 19.780001 18.559999 18.610001
"2012-09-25" 18.59 18.719999 17.67 17.719999
"2012-09-26" 17.719999 17.969999 17.32 17.76
"2012-09-27" 17.85 17.940001 17.68 17.77
"2012-09-28" 17.75 18.129999 17.709999 18.049999
"2012-10-01" 18.129999 18.209999 17.799999 17.9
"2012-10-02" 17.9 18.41 17.9 18.370001
"2012-10-03" 18.360001 18.41 17.969999 18.129999
"2012-10-04" 18.17 18.26 17.950001 18.049999
"2012-10-05" 18.08 18.389999 17.940001 18.360001
"2012-10-08" 18.209999 18.629999 18.139999 18.459999
"2012-10-09" 18.459999 18.530001 18.07 18.120001
"2012-10-10" 18.09 18.129999 17.16 17.26
"2012-10-11" 17.42 17.610001 16.809999 17.129999
"2012-10-12" 17.1 17.219999 16.620001 16.75
"2012-10-15" 16.809999 17.190001 16.75 17.129999
"2012-10-16" 17.16 17.67 17 17.620001
"2012-10-17" 17.59 18.139999 17.59 18.049999
"2012-10-18" 18.049999 18.27 17.73 17.76
"2012-10-19" 17.73 17.73 17.059999 17.219999
"2012-10-22" 17.219999 17.27 16.6 16.620001
"2012-10-23" 16.65 16.66 15.89 16.17
"2012-10-24" 16.25 16.629999 16.200001 16.35
"2012-10-25" 16.48 16.549999 16.34 16.450001
"2012-10-26" 16.49 16.57 16 16.18
"2012-10-31" 16.200001 16.459999 15.43 15.96
"2012-11-01" 15.9 17.65 15.9 17.610001
"2012-11-02" 17.469999 17.809999 16.98 17.040001
"2012-11-05" 17.09 17.549999 17.040001 17.5
"2012-11-06" 17.48 17.799999 17.41 17.709999
"2012-11-07" 18.16 18.190001 16.799999 16.9
"2012-11-08" 16.9 16.99 16.43 16.5
"2012-11-09" 16.52 16.959999 16.309999 16.85
"2012-11-12" 16.91 17.129999 16.6 16.790001
"2012-11-13" 16.84 17.07 16.68 16.940001
"2012-11-14" 17.35 17.35 16.530001 16.629999
"2012-11-15" 16.52 16.6 15.9 16.27
"2012-11-16" 16.280001 17.08 16.200001 16.950001
"2012-11-19" 17.09 17.6 17.049999 17.57
"2012-11-20" 17.58 18.059999 17.540001 17.809999
"2012-11-21" 17.809999 18.07 17.700001 17.99
"2012-11-23" 18 18.32 17.959999 18.299999
"2012-11-26" 18.280001 18.32 17.85 17.969999
"2012-11-27" 18 18.309999 17.950001 18.059999
"2012-11-28" 18.01 18.049999 17.41 17.530001
"2012-11-29" 17.639999 17.99 17.51 17.93
"2012-11-30" 17.99 17.99 17.530001 17.6
"2012-12-03" 17.67 17.67 17.459999 17.5
"2012-12-04" 17.540001 17.85 17.51 17.799999
"2012-12-05" 17.82 17.93 17.6 17.85
"2012-12-06" 17.799999 18 17.75 17.98
"2012-12-07" 18 18 17.780001 17.860001
"2012-12-10" 17.870001 18.25 17.809999 18.16
"2012-12-11" 18.23 18.41 17.719999 17.84
"2012-12-12" 16.65 17.129999 16.32 16.75
"2012-12-13" 17.01 17.02 16.48 16.540001
"2012-12-14" 16.5 16.530001 15.78 16.040001
"2012-12-17" 16.07 16.27 15.83 16.059999
"2012-12-18" 16.200001 16.309999 16.040001 16.24
"2012-12-19" 16.33 16.35 16.030001 16.15
"2012-12-20" 16.299999 16.76 16.190001 16.719999
"2012-12-21" 16.49 16.610001 16.23 16.35
"2012-12-24" 16.309999 16.389999 16.110001 16.200001
"2012-12-26" 16.16 16.27 16.01 16.059999
"2012-12-27" 16.040001 16.280001 15.84 16.08
"2012-12-28" 16.08 16.200001 15.92 16.07
"2012-12-31" 16.08 16.66 15.99 16.610001
