"Index" "Open" "High" "Low" "Price"
"2012-09-17" 60.099998 60.389999 59.700001 54.860165
"2012-09-18" 60.150002 60.490002 59.310001 54.139637
"2012-09-19" 59.580002 59.630001 58.34 53.473831
"2012-09-20" 58.200001 58.849998 58.189999 53.647129
"2012-09-21" 59.040001 59.119999 58.200001 53.245831
"2012-09-24" 58.720001 58.720001 57.919998 53.054287
"2012-09-25" 58.48 58.5 57.799999 52.780678
"2012-09-26" 57.790001 58.029999 57.549999 52.871876
"2012-09-27" 58.16 58.93 57.830002 53.665363
"2012-09-28" 58.490002 58.950001 58.380001 53.701847
"2012-10-01" 59.119999 59.360001 58.700001 54.121399
"2012-10-02" 59.540001 59.889999 59.259998 54.586533
"2012-10-03" 59.990002 61.290001 59.869999 55.690121
"2012-10-04" 61.049999 61.18 60.610001 55.699265
"2012-10-05" 61.419998 61.700001 60.93 55.900471
"2012-10-08" 60.75 60.950001 60.450001 55.397434
"2012-10-09" 60.48 60.610001 59.830002 54.748055
"2012-10-10" 60.029999 60.029999 59.299999 54.546837
"2012-10-11" 60.200001 60.290001 59.470001 54.528553
"2012-10-12" 59.84 60.259998 59.619999 54.775505
"2012-10-15" 59.91 60.18 59.630001 54.976723
"2012-10-16" 60.32 61.150002 60.119999 55.598656
"2012-10-17" 60.419998 61.220001 60.419998 55.708397
"2012-10-18" 60.849998 61.139999 60.459999 55.443146
"2012-10-19" 60.790001 61.09 59.689999 54.711487
"2012-10-22" 59.84 60.040001 59.459999 54.821239
"2012-10-23" 59.25 59.799999 58.970001 54.491974
"2012-10-24" 59.860001 59.889999 59.529999 54.510269
"2012-10-25" 59.98 60.080002 59.380001 54.363934
"2012-10-26" 59.349998 59.619999 58.860001 54.318203
"2012-10-31" 59.580002 59.75 59.040001 54.354786
"2012-11-01" 59.700001 61.48 59.459999 56.183983
"2012-11-02" 61.5 61.619999 60.689999 55.964489
"2012-11-05" 61.060001 61.119999 60.630001 55.735844
"2012-11-06" 61.25 62.099998 60.759998 56.504089
"2012-11-07" 61.139999 61.560001 60.299999 55.360855
"2012-11-08" 60.27 60.59 59.82 54.711487
"2012-11-09" 59.919998 60.48 59.43 54.839527
"2012-11-12" 60.040001 60.450001 59.34 54.281616
"2012-11-13" 58.970001 59.790001 58.959999 54.171867
"2012-11-14" 59.459999 59.84 58.400002 53.47678
"2012-11-15" 58.459999 59.419998 58.41 53.751152
"2012-11-16" 58.709999 59.43 57.599998 54.217598
"2012-11-19" 59.82 59.889999 58.52 53.915779
"2012-11-20" 58.900002 58.900002 57.93 53.202389
"2012-11-21" 58.330002 58.970001 58.259998 53.559086
"2012-11-23" 58.900002 59.369999 58.790001 54.107845
"2012-11-26" 58.799999 58.990002 58.16 53.440182
"2012-11-27" 58.48 58.540001 57.889999 53.229828
"2012-11-28" 58.029999 58.59 57.84 53.577374
"2012-11-29" 58.84 59.450001 58.75 54.126144
"2012-11-30" 59.200001 59.970001 59.139999 54.793793
"2012-12-03" 60 60.23 59.209999 54.345642
"2012-12-04" 59.470001 59.849998 59.099998 54.620007
"2012-12-05" 59.700001 60.290001 59.060001 54.793793
"2012-12-06" 59.790001 60.25 59.290001 54.629158
"2012-12-07" 59.91 60 59.200001 54.473675
"2012-12-10" 59.639999 60 59.470001 54.519409
"2012-12-11" 59.799999 60.709999 59.689999 55.278538
"2012-12-12" 60.43 61.09 60.130001 55.132202
