"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.499554 32.611618 31.827147 21.812693
"2012-09-18" 32.23806 32.490211 31.481606 21.742487
"2012-09-19" 31.957893 32.069962 31.621691 21.780777
"2012-09-20" 31.61235 32.499554 31.481606 22.144537
"2012-09-21" 34.040478 34.087173 33.013195 22.661455
"2012-09-24" 34.432716 34.787594 34.049816 23.471928
"2012-09-25" 34.329987 34.404697 33.592209 22.955011
"2012-09-26" 33.377415 33.788326 33.171955 22.993307
"2012-09-27" 33.741631 34.217918 33.732292 23.325155
"2012-09-28" 33.872379 34.087173 33.620228 23.178371
"2012-10-01" 34.031139 34.320648 33.66692 23.076267
"2012-10-02" 33.835022 34.031139 33.545513 22.967779
"2012-10-03" 33.66692 33.956429 33.433449 23.095407
"2012-10-04" 33.984444 34.227257 33.863037 23.286867
"2012-10-05" 34.348663 34.909 34.199242 23.491072
"2012-10-08" 34.161884 34.479408 33.816345 23.516602
"2012-10-09" 34.367344 34.526104 34.012463 23.337912
"2012-10-10" 34.096512 34.292629 33.788326 23.363443
"2012-10-11" 34.535442 34.862305 34.358002 23.765491
"2012-10-12" 34.759579 34.880985 34.227257 23.484699
"2012-10-15" 34.554119 35.151814 34.414036 23.988852
"2012-10-16" 35.17049 35.870914 35.17049 24.378136
"2012-10-17" 35.702812 35.880253 34.787594 23.937786
"2012-10-18" 35.002392 35.749508 35.002392 24.34623
"2012-10-19" 35.684135 35.721489 34.862305 23.880363
"2012-10-22" 34.946358 35.161152 34.666187 24.014383
"2012-10-23" 34.451393 34.703545 34.273952 23.471928
"2012-10-24" 34.47007 34.778255 33.825684 23.216661
"2012-10-25" 33.424107 33.6856 32.527569 22.501915
"2012-10-26" 32.929146 33.330719 32.86377 22.757185
"2012-10-31" 33.6856 33.6856 32.919804 22.865669
"2012-11-01" 33.452126 34.526104 33.218651 23.567659
"2012-11-02" 34.600815 34.600815 33.414768 22.92948
"2012-11-05" 33.554852 33.610886 32.807735 22.572109
"2012-11-06" 33.050549 33.657581 33.031872 22.731657
"2012-11-07" 32.835754 32.947823 32.555584 22.316841
"2012-11-08" 32.751701 32.751701 31.883181 22.004137
"2012-11-09" 31.827147 33.284023 31.827147 22.240259
"2012-11-12" 32.424839 32.536907 32.069962 22.119005
"2012-11-13" 32.023266 32.294094 31.518963 22.119007
"2012-11-14" 32.135334 32.135334 31.313505 21.642639
"2012-11-15" 31.53764 32.023266 31.322844 21.661949
"2012-11-16" 31.434912 32.097977 30.771847 22.086823
"2012-11-19" 32.686333 33.274685 32.434177 22.910812
"2012-11-20" 33.125259 33.265347 32.835754 22.762754
"2012-11-21" 33.162617 33.181293 32.975838 22.827131
