"Index" "Open" "High" "Low" "Price"
"2017-05-12" 21.25 21.299999 20.27 21.065775
"2017-05-15" 21.01 22.299999 21.01 21.984283
"2017-05-16" 22.190001 22.41 22.049999 22.064152
"2017-05-17" 22.15 22.51 21.67 22.064152
"2017-05-18" 22.190001 23.629999 21.98 22.463505
"2017-05-19" 22.559999 23.49 22.32 22.683144
"2017-05-22" 22.799999 23.09 22.52 22.852871
"2017-05-23" 22.99 23.610001 22.65 23.411964
"2017-05-24" 23.540001 23.593 23.01 23.312124
"2017-05-25" 23.42 23.82 22.309999 22.473488
"2017-05-26" 22.549999 23.24 22.355 22.992645
"2017-05-30" 23 23.290001 22.59 22.912775
"2017-05-31" 22.969999 23.18 22.67 22.892805
"2017-06-01" 22.91 23.434999 22.809999 22.892805
"2017-06-02" 22.889999 23.1 22.6 22.61326
"2017-06-05" 22.610001 22.91 21.92 22.59329
"2017-06-06" 21.83 22.709999 21.83 22.253847
"2017-06-07" 22.4 22.790001 21.57 21.724703
"2017-06-08" 21.75 21.93 21.610001 21.614883
"2017-06-09" 21.68 22.82 21.68 22.45352
"2017-06-12" 22.459999 23.58 21.889999 22.992645
"2017-06-13" 22.99 24.24 22.799999 23.451899
"2017-06-14" 23.57 23.709999 22.549999 23.212288
"2017-06-15" 23.08 24.549999 22.77 22.952707
"2017-06-16" 23 24 23 23.881201
"2017-06-19" 24.059999 24.209999 23.540001 23.881201
"2017-06-20" 23.719999 23.719999 22.209999 22.583309
"2017-06-21" 22.540001 22.745001 20.629999 20.68639
"2017-06-22" 20.719999 21.07 19.91 21.025839
"2017-06-23" 21.030001 21.105 20.24 20.436794
"2017-06-26" 20.42 21.049999 20.08 20.466747
"2017-06-27" 20.559999 21.629999 20.42 21.255466
"2017-06-28" 21.280001 21.639999 21.139999 21.2355
"2017-06-29" 21.33 21.540001 21.040001 21.395239
"2017-06-30" 21.540001 21.74 21.24 21.574947
"2017-07-03" 21.75 22.4 21.389999 22.303764
"2017-07-05" 22.379999 22.41 21.76 21.784607
"2017-07-06" 21.610001 21.610001 20.895 20.935986
"2017-07-07" 20.99 21.219999 20.58 20.636473
"2017-07-10" 20.629999 21.48 20.549999 21.305386
"2017-07-11" 21.23 21.799999 21.02 21.69475
"2017-07-12" 21.780001 22.34 21.73 22.094103
"2017-07-13" 22.110001 22.26 21.860001 22.024218
"2017-07-14" 22.129999 22.290001 21.99 22.044186
"2017-07-17" 22.059999 23.120001 21.923 22.932741
"2017-07-18" 22.83 23.209999 22.809999 23.002628
"2017-07-19" 23.030001 23.42 23 23.38201
"2017-07-20" 23.41 23.620001 23 23.511801
"2017-07-21" 23.440001 23.690001 22.82 22.972679
"2017-07-24" 22.93 23.15 22.709999 23.102463
"2017-07-25" 23.280001 23.559999 22.99 23.411964
"2017-07-26" 23.6 23.6 22.639999 22.782984
"2017-07-27" 22.809999 23.25 22.745001 23.19232
"2017-07-28" 23.08 23.219999 22.879999 23.052546
"2017-07-31" 23.23 23.23 22.91 22.922756
"2017-08-01" 23 23 22.389999 22.463505
"2017-08-02" 22.5 23.129999 22.5 22.98266
"2017-08-03" 23.83 23.997 22.959999 23.222271
"2017-08-04" 23.459999 24.08 23.290001 24.030956
"2017-08-07" 24.09 24.34 23.74 24.001005
"2017-08-08" 24.059999 24.290001 23.73 24.090858
"2017-08-09" 24.040001 24.063999 23.48 23.56172
"2017-08-10" 23.389999 23.389999 22.52 22.623243
"2017-08-11" 22.280001 22.91 22.280001 22.643211
"2017-08-14" 22.889999 23.190001 22.16 22.55336
"2017-08-15" 22.690001 22.799999 22.549999 22.653196
"2017-08-16" 22.799999 22.870001 22.59 22.713099
"2017-08-17" 22.6 22.809999 21.98 21.964312
"2017-08-18" 21.91 22.18 21.76 21.934362
"2017-08-21" 22.66 22.9 22.135 22.353682
"2017-08-22" 22.52 22.85 22.4 22.74305
"2017-08-23" 22.58 23.065001 22.58 22.922756
"2017-08-24" 22.98 22.98 22.635 22.663179
"2017-08-25" 22.82 23.040001 22.709999 22.942726
"2017-08-28" 23.07 23.07 22.745001 22.912775
"2017-08-29" 22.809999 23.18 22.68 23.022596
"2017-08-30" 22.950001 23.309999 22.889999 23.262205
"2017-08-31" 23.469999 23.83 23.290001 23.451899
"2017-09-01" 23.700001 23.950001 23.67 23.66156
"2017-09-05" 23.780001 23.870001 22.940001 23.082499
"2017-09-06" 23.32 23.49 22.92 23.312124
"2017-09-07" 23.43 23.68 23.18 23.571703
"2017-09-08" 23.530001 23.93 23.5 23.72146
"2017-09-11" 23.950001 24.4 23.84 23.851246
"2017-09-12" 24.059999 25.049999 23.870001 24.490211
"2017-09-13" 24.58 24.799999 24.52 24.629984
"2017-09-14" 24.68 25.07 24.57 24.929497
"2017-09-15" 25 25.16 24.76 25.049303
"2017-09-18" 25.17 26 25.17 25.738182
"2017-09-19" 25.889999 26.18 25.58 25.778118
"2017-09-20" 25.860001 26.040001 25.629999 25.937859
"2017-09-21" 26.030001 26.09 25.780001 25.808071
"2017-09-22" 25.879999 26.299999 25.700001 26.237375
"2017-09-25" 26.32 26.655001 26.26 26.357178
"2017-09-26" 26.51 26.74 26.200001 26.267324
"2017-09-27" 26.4 27.08 26.209999 27.026091
"2017-09-28" 27.049999 27.49 27.049999 27.285669
"2017-09-29" 27.42 27.65 27.33 27.475361
"2017-10-02" 27.459999 27.84 27.219999 27.505312
"2017-10-03" 27.950001 27.950001 27.57 27.585182
"2017-10-04" 27.5 27.6 26.809999 26.84638
"2017-10-05" 26.92 27.17 26.74 26.746548
"2017-10-06" 26.610001 26.84 26.5 26.556854
"2017-10-09" 26.6 26.85 26.226999 26.736563
"2017-10-10" 26.85 27.290001 26.780001 26.856367
"2017-10-11" 26.879999 26.99 26.77 26.816431
"2017-10-12" 26.700001 26.98 26.6 26.84638
"2017-10-13" 27.110001 27.26 26.530001 26.916267
"2017-10-16" 27 27.1 26.82 26.876333
"2017-10-17" 26.9 27.219999 26.780001 26.94622
"2017-10-18" 26.92 27.309999 26.610001 26.706612
"2017-10-19" 26.469999 26.66 26.1 26.317244
"2017-10-20" 26.49 26.809999 26.4 26.536888
"2017-10-23" 26.58 26.68 26.200001 26.377146
"2017-10-24" 26.530001 26.75 26.42 26.556854
"2017-10-25" 26.440001 26.77 26.27 26.57682
"2017-10-26" 28.48 29.469999 27.59 29.052799
"2017-10-27" 30.059999 30.66 29.15 30.370659
"2017-10-30" 30.43 30.43 28.799999 29.072767
"2017-10-31" 29.129999 29.51 28.799999 28.803204
"2017-11-01" 29.16 29.200001 28.870001 28.893057
"2017-11-02" 28.889999 29.49 28.83 29.262457
"2017-11-03" 29.360001 29.360001 28.18 28.533642
"2017-11-06" 28.549999 28.549999 27.93 27.914648
"2017-11-07" 28.049999 28.209999 27.799999 27.954582
"2017-11-08" 28 28.58 27.85 28.024469
"2017-11-09" 27.879999 28.209999 27.4 28.094355
"2017-11-10" 28.209999 28.84 28.18 28.71335
"2017-11-13" 28.57 29.51 28.1 29.362293
"2017-11-14" 28.559999 28.879999 28.17 28.613512
"2017-11-15" 28.290001 28.690001 27.530001 27.495331
"2017-11-16" 27.879999 29.110001 27.610001 28.84314
"2017-11-17" 29 30.23 28.719999 30.001259
