"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.591497 30.942699 30.268023 14.611295
"2012-09-18" 30.748613 30.887245 30.56377 14.615678
"2012-09-19" 30.77634 31.146027 30.693161 14.782617
"2012-09-20" 30.859518 31.247688 30.831793 14.848517
"2012-09-21" 31.303143 31.321627 31.03512 15.007937
"2012-09-24" 31.229204 31.589649 31.081331 15.087652
"2012-09-25" 31.487986 31.589649 30.998152 14.906083
"2012-09-26" 31.081331 31.256931 30.850277 14.883942
"2012-09-27" 31.155268 31.2939 30.905729 14.888371
"2012-09-28" 31.007395 31.561922 30.77634 15.105364
"2012-10-01" 31.552679 31.654345 30.988909 14.919371
"2012-10-02" 31.229204 31.608133 31.219963 15.096506
"2012-10-03" 31.654345 31.977819 31.571165 15.255931
"2012-10-04" 31.977819 32.319778 31.903881 15.326786
"2012-10-05" 32.125694 32.430683 32.097965 15.472923
"2012-10-08" 32.264324 32.319778 32.051758 15.459635
"2012-10-09" 32.245842 32.338261 31.987061 15.402065
"2012-10-10" 32.107208 32.107208 31.626617 15.211647
"2012-10-11" 31.89464 33.900185 31.68207 15.92462
"2012-10-12" 33.031422 33.188541 32.550831 15.605773
"2012-10-15" 32.615528 33.262478 32.144176 15.920192
"2012-10-16" 33.419594 33.853973 33.188541 16.154898
"2012-10-17" 33.733826 34.842884 33.733826 16.690742
"2012-10-18" 31.099815 31.672829 30.878004 16.770176
"2012-10-19" 31.247688 31.765249 31.118299 16.919111
"2012-10-22" 31.358595 31.414047 30.914972 16.725489
"2012-10-23" 30.850277 31.03512 30.665434 16.606346
"2012-10-24" 31.044361 31.072088 30.822552 16.591446
"2012-10-25" 31.118299 31.247688 30.868761 16.72053
"2012-10-26" 31.090572 31.561922 30.905729 16.874428
"2012-10-31" 31.561922 32.264324 31.50647 17.177263
"2012-11-01" 31.857672 32.643253 31.589649 17.475138
"2012-11-02" 32.643253 32.791126 32.125694 17.256697
"2012-11-05" 32.014786 32.227356 31.922365 17.276556
"2012-11-06" 32.273567 32.42144 31.959335 17.281519
"2012-11-07" 31.931608 32.088726 31.534197 17.008471
"2012-11-08" 31.654345 31.848429 31.377079 16.914146
"2012-11-09" 31.432531 31.922365 31.414047 16.978683
"2012-11-12" 31.59889 31.829945 31.33087 16.859533
"2012-11-13" 31.266174 31.608133 30.998152 16.675846
"2012-11-14" 31.072088 31.247688 30.600739 16.482229
"2012-11-15" 30.693161 30.730129 30.092421 16.189327
"2012-11-16" 30.1756 30.56377 30.083179 16.229038
"2012-11-19" 30.499077 30.794825 29.981516 16.536839
"2012-11-20" 30.785582 30.859518 30.443623 16.432583
"2012-11-21" 30.573013 30.730129 29.852125 16.179394
"2012-11-23" 30.268023 30.425138 30.120148 16.184357
"2012-11-26" 30.055452 30.1756 29.574862 15.891453
"2012-11-27" 29.676525 29.8244 29.31608 15.841807
"2012-11-28" 29.500923 29.500923 29.103512 15.687906
"2012-11-29" 29.334566 29.574862 29.075787 15.633299
"2012-11-30" 29.149723 29.288355 29.011091 15.687906
"2012-12-03" 29.371534 29.556377 29.057301 15.707762
"2012-12-04" 29.214418 29.297598 28.881701 15.623365
"2012-12-05" 29.186691 29.22366 28.900185 15.618402
"2012-12-06" 29.020332 29.066544 28.761553 15.489327
"2012-12-07" 28.918669 29.205175 28.419594 15.558832
