"Index" "Open" "High" "Low" "Price"
"2012-09-17" 55.618889 57.104443 55.528889 56.701111
"2012-09-18" 57.02 57.535557 56.616669 56.92889
"2012-09-19" 56.948891 57.111111 56.382221 56.598888
"2012-09-20" 56.5 56.5 55.702221 56.259998
"2012-09-21" 56.444443 57.616669 56.444443 57.528889
"2012-09-24" 57.222221 57.716667 56.733334 57.5
"2012-09-25" 57.507778 57.958889 56.791111 56.830002
"2012-09-26" 56.77 56.972221 54.915558 55.06889
"2012-09-27" 55.378887 55.666668 54.889999 55.517776
"2012-09-28" 55.356667 55.389999 54.614445 55.07
"2012-10-01" 55.447777 56.266666 55.167778 55.533333
"2012-10-02" 55.444443 55.794445 54.933334 55.638889
"2012-10-03" 55.904446 56.813332 55.564445 56.781113
"2012-10-04" 56.973331 57.777779 56.523335 57.387779
"2012-10-05" 57.744446 57.777779 56.608891 56.812222
"2012-10-08" 56.514442 56.754444 56.336666 56.59111
"2012-10-09" 55.864445 56.222221 54.337776 55.017776
"2012-10-10" 55.168888 55.386665 54.400002 54.958889
"2012-10-11" 55.495556 55.631111 54.773335 54.959999
"2012-10-12" 54.961109 55.627777 54.804443 54.953335
"2012-10-15" 56.34222 57.044445 56.111111 56.947777
"2012-10-16" 57.24778 59.419998 57.220001 59.236668
"2012-10-17" 56.672222 60.467777 56.666668 59.156666
"2012-10-18" 59.07111 59.604443 58.490002 59.535557
"2012-10-19" 59.803333 60.674442 59.555557 59.816666
"2012-10-22" 60 61.325558 60 61.243332
"2012-10-23" 60.577778 61.288891 59.903332 60.734444
"2012-10-24" 61.031113 61.09111 60.173332 60.334442
"2012-10-25" 60.57 60.918888 60.057777 60.625557
"2012-10-26" 59.855556 60.532223 59.444443 59.537777
"2012-10-31" 59.555557 60.566666 59.172222 60.246666
"2012-11-01" 60.555557 61.054443 59.314445 60.106667
"2012-11-02" 59.889999 61.238888 59.689999 60.163334
"2012-11-05" 60.055557 60.360001 59.708889 60.09111
"2012-11-06" 60.273335 61.108891 60.128887 60.433334
"2012-11-07" 59.673332 60.110001 59 59.744446
"2012-11-08" 59.57111 59.804443 58.971111 59.055557
"2012-11-09" 58.763332 59.537777 58.554443 58.844444
"2012-11-12" 58.880001 59.722221 58.777779 59.293331
"2012-11-13" 59.177776 59.972221 58.888889 59.574444
"2012-11-14" 59.631111 59.884445 58.304443 58.495556
"2012-11-15" 58.5 58.777779 57.811111 58.254444
"2012-11-16" 58.207779 59.642223 58.168888 59.324444
"2012-11-19" 60 61.108891 59.795555 60.276669
"2012-11-20" 60.146667 60.443333 59.32 59.608891
"2012-11-21" 59.523335 59.916668 59.133331 59.384445
"2012-11-23" 59.847778 59.847778 59.416668 59.722221
"2012-11-26" 59.472221 60 59.036667 59.361111
"2012-11-27" 59.134445 59.403332 58.274445 58.333332
"2012-11-28" 58.222221 59.032223 58 58.943333
"2012-11-29" 59.155556 59.900002 59.025555 59.438889
"2012-11-30" 59.265556 59.343334 58.555557 58.777779
"2012-12-03" 58.75 59.209999 58.23111 58.378887
"2012-12-04" 58.328888 58.75111 57.843334 58.574444
"2012-12-05" 58.639999 58.639999 57.287777 57.418888
"2012-12-06" 57.25 57.867779 56.666668 57.753334
"2012-12-07" 57.836666 57.926666 57.027779 57.587776
"2012-12-10" 57.461109 58.544445 57.461109 58.538891
"2012-12-11" 58.552223 60.086666 58.507778 59.58889
"2012-12-12" 59.684444 60.57 59.637779 59.952221
"2012-12-13" 59.527779 60 59.222221 59.772221
"2012-12-14" 59.587776 59.822224 59.104443 59.234444
"2012-12-17" 59.487778 61.442223 59.454445 61.222221
