"Index" "Open" "High" "Low" "Price"
"2012-09-17" 25.860001 26 25.65 17.502619
"2012-09-18" 25.799999 25.84 25.540001 17.407827
"2012-09-19" 25.709999 25.799999 25.58 17.319801
"2012-09-20" 25.360001 25.52 25.129999 17.238556
"2012-09-21" 25.59 25.75 25.389999 17.19116
"2012-09-24" 25.219999 25.530001 25.18 17.164074
"2012-09-25" 25.48 25.5 24.860001 16.83231
"2012-09-26" 24.860001 24.870001 24.52 16.656258
"2012-09-27" 24.84 25.209999 24.629999 16.994804
"2012-09-28" 24.959999 25.09 24.799999 16.920324
"2012-10-01" 25.209999 25.559999 24.98 17.001575
"2012-10-02" 25.280001 25.32 24.91 16.974495
"2012-10-03" 25.110001 25.42 24.719999 17.17762
"2012-10-04" 25.57 25.85 25.459999 17.387516
"2012-10-05" 25.940001 26.09 25.4 17.272409
"2012-10-08" 25.32 25.629999 25.25 17.258863
"2012-10-09" 25.5 25.620001 25.18 17.048969
"2012-10-10" 25.02 25.17 24.799999 16.906788
"2012-10-11" 25.309999 25.43 24.92 16.933867
"2012-10-12" 24.969999 25 24.34 16.730743
"2012-10-15" 24.860001 24.860001 24.51 16.751055
"2012-10-16" 24.92 25.209999 24.860001 16.940639
"2012-10-17" 25.15 25.389999 25.030001 17.13022
"2012-10-18" 25.23 25.379999 24.969999 17.055742
"2012-10-19" 25.09 25.110001 24.440001 16.676575
"2012-10-22" 24.59 24.68 24.16 16.60887
"2012-10-23" 24.08 24.15 23.870001 16.290634
"2012-10-24" 24.209999 24.379999 24.040001 16.304178
"2012-10-25" 24.389999 24.43 24.02 16.37866
"2012-10-26" 24.15 24.33 23.940001 16.419283
"2012-10-31" 24.389999 24.4 23.940001 16.466679
"2012-11-01" 24.309999 24.809999 23.83 16.751055
"2012-11-02" 24.73 24.82 24.379999 16.520847
"2012-11-05" 24.389999 24.559999 24.120001 16.568243
"2012-11-06" 24.5 24.780001 24.5 16.703663
"2012-11-07" 24.209999 24.280001 23.780001 16.182302
"2012-11-08" 23.940001 24.18 23.75 16.080742
"2012-11-09" 23.629999 24.110001 23.379999 16.182302
"2012-11-12" 23.99 24.16 23.889999 16.297409
"2012-11-13" 23.82 24.280001 23.690001 16.209385
"2012-11-14" 24.049999 24.129999 23.219999 15.789598
"2012-11-15" 23.290001 24.120001 23.07 15.832574
"2012-11-16" 23.620001 23.65 22.940001 15.962176
"2012-11-19" 23.75 24.040001 23.73 16.398756
"2012-11-20" 23.950001 24.26 23.860001 16.542004
"2012-11-21" 24.280001 24.379999 24.08 16.589748
"2012-11-23" 24.549999 24.84 24.469999 16.937643
"2012-11-26" 24.6 24.9 24.59 16.896719
"2012-11-27" 24.700001 24.940001 24.66 16.876253
"2012-11-28" 24.540001 24.82 24.42 16.903542
"2012-11-29" 24.959999 25.290001 24.9 17.074074
"2012-11-30" 25.030001 25.110001 24.85 17.046782
"2012-12-03" 25.110001 25.16 24.719999 16.883074
"2012-12-04" 24.719999 24.85 24.57 16.780748
"2012-12-05" 24.629999 24.690001 24.4 16.685249
"2012-12-06" 24.5 24.870001 24.450001 16.896719
"2012-12-07" 24.83 24.959999 24.629999 16.958111
"2012-12-10" 24.799999 24.92 24.68 16.951288
"2012-12-11" 24.98 25.120001 24.870001 17.033146
"2012-12-12" 25.16 25.549999 25.049999 17.340109
"2012-12-13" 25.41 25.540001 25.190001 17.224144
"2012-12-14" 25.209999 25.52 25.17 17.367397
"2012-12-17" 25.6 25.790001 25.51 17.585678
"2012-12-18" 25.889999 26.33 25.799999 17.940395
"2012-12-19" 26.35 26.370001 26.08 17.790321
"2012-12-20" 26.120001 26.360001 25.92 17.967688
"2012-12-21" 25.98 26.299999 25.85 17.892651
"2012-12-24" 26.1 26.370001 26.1 17.913113
"2012-12-26" 26.32 26.34 26.07 17.838074
"2012-12-27" 26.200001 26.219999 25.67 17.715288
"2012-12-28" 25.74 26.030001 25.719999 17.585678
"2012-12-31" 25.719999 26.120001 25.59 17.797144
