"Index" "Open" "High" "Low" "Price"
"2012-09-17" 43.18 43.220001 42.580002 41.098515
"2012-09-18" 43.060001 43.299999 42.91 41.098515
"2012-09-19" 43.150002 43.5 42.959999 40.946159
"2012-09-20" 42.700001 42.759998 41.950001 40.641438
"2012-09-21" 43 43.02 42.77 40.73666
"2012-09-24" 42.029999 42.990002 42.029999 40.746185
"2012-09-25" 42.82 42.82 41.02 39.089294
"2012-09-26" 41.099998 41.169998 40.220001 38.765526
"2012-09-27" 40.860001 41.060001 40.560001 38.908356
"2012-09-28" 40.580002 40.650002 40.009998 38.498905
"2012-10-01" 40.540001 41.32 40.380001 38.660782
"2012-10-02" 40.990002 41.27 40.650002 39.070248
"2012-10-03" 41.09 41.360001 40.48 38.803623
"2012-10-04" 41.02 41.200001 40.849998 39.06073
"2012-10-05" 41.290001 41.759998 41.049999 39.241653
"2012-10-08" 41.029999 41.029999 40.700001 38.889332
"2012-10-09" 40.650002 40.880001 39.880001 38.041832
"2012-10-10" 39.970001 39.990002 39.5 37.879955
"2012-10-11" 40.07 40.16 39.700001 38.022785
"2012-10-12" 40.049999 40.34 39.810001 38.051361
"2012-10-15" 40 40.029999 39.34 38.098961
"2012-10-16" 40.240002 40.720001 40.060001 38.736969
"2012-10-17" 40.77 41.130001 40.740002 38.975029
"2012-10-18" 40.84 41.25 40.720001 38.955978
"2012-10-19" 40.689999 40.689999 39.459999 37.727589
"2012-10-22" 39.5 39.869999 39.16 37.641891
"2012-10-23" 38.669998 39.169998 38.639999 37.032463
"2012-10-24" 39.169998 39.290001 38.599998 36.85154
"2012-10-25" 39.040001 39.290001 38.279999 37.022938
"2012-10-26" 38.869999 39.290001 38.310001 36.594433
"2012-10-31" 38.75 39.900002 38.580002 36.746796
"2012-11-01" 38.700001 39.720001 38.580002 37.594284
"2012-11-02" 39.259998 39.27 38.470001 36.918186
"2012-11-05" 38.5 39.830002 38.5 37.82283
"2012-11-06" 39.919998 41.09 39.75 39.013115
"2012-11-07" 40.029999 40.27 39.220001 37.79425
"2012-11-08" 39.77 39.84 38.779999 37.108639
"2012-11-09" 38.950001 39.459999 38.889999 37.137199
