"Index" "Open" "High" "Low" "Price"
"2012-09-17" 28.60277 29.274244 28.509075 20.322306
"2012-09-18" 28.576742 28.628796 28.227993 20.137222
"2012-09-19" 28.316483 29.404375 28.280045 20.418545
"2012-09-20" 28.61318 28.816183 28.50387 20.477777
"2012-09-21" 28.883852 29.362734 28.774542 20.740597
"2012-09-24" 28.961931 29.227398 28.81098 20.781313
"2012-09-25" 29.190962 29.279449 28.509075 20.288992
"2012-09-26" 28.50387 28.581949 28.321688 20.237164
"2012-09-27" 28.535103 29.253424 28.420586 20.748005
"2012-09-28" 29.190962 29.336708 28.941111 20.825737
"2012-10-01" 29.13089 30 29.13089 21.222746
"2012-10-02" 30.052357 30.638742 29.989529 21.580194
"2012-10-03" 30.335079 30.397905 29.842932 21.349344
"2012-10-04" 29.979057 30.198954 29.821989 21.371683
"2012-10-05" 30.188482 30.188482 29.507853 21.0068
"2012-10-08" 29.424084 29.560209 29.308901 20.977013
"2012-10-09" 29.518326 29.581152 29.287958 20.902552
"2012-10-10" 29.141361 29.486912 28.994764 20.932337
"2012-10-11" 29.528795 29.528795 28.638742 20.448307
"2012-10-12" 28.638742 28.743456 28.09424 20.276094
"2012-10-15" 27.968586 28.691099 27.842932 20.508205
"2012-10-16" 28.806284 29.162304 28.701571 20.792728
"2012-10-17" 28.984293 29.298429 28.701571 20.845142
"2012-10-18" 29.057592 29.256544 28.879581 20.845142
"2012-10-19" 29.03665 29.057592 28.743456 20.650476
"2012-10-22" 28.701571 28.879581 28.356022 20.515697
"2012-10-23" 28.429319 28.429319 27.90576 20.081425
"2012-10-24" 28.251308 28.251308 27.685863 19.856796
"2012-10-25" 28.031414 28.052357 27.675392 20.051472
"2012-10-26" 27.989529 28.272251 27.926702 20.118858
"2012-10-31" 28.16754 28.376963 28.020943 20.118858
"2012-11-01" 28.146597 28.973822 28.020943 20.70289
"2012-11-02" 29.057592 29.319372 28.827225 20.822678
"2012-11-05" 29.005236 29.246073 28.900524 20.785248
"2012-11-06" 29.183247 30.209423 29.057592 21.376753
"2012-11-07" 29.570681 29.570681 28.722513 20.792728
"2012-11-08" 29.057592 29.382198 28.900524 20.665442
"2012-11-09" 28.827225 29.204187 28.743456 20.635494
"2012-11-12" 28.848167 29.03665 28.596859 20.523186
"2012-11-13" 28.481674 29.005236 28.376963 20.463282
"2012-11-14" 28.230366 29.298429 27.863874 19.924179
"2012-11-15" 27.863874 28.418848 27.549738 19.841825
"2012-11-16" 27.801046 28.052357 27.403141 20.043987
"2012-11-19" 28.303665 28.418848 27.937174 20.21619
"2012-11-20" 28.282722 28.460733 28.041885 20.321024
"2012-11-21" 28.376963 28.795813 28.282722 20.37343
"2012-11-23" 28.492147 29.193716 28.492147 20.710367
"2012-11-26" 28.795813 28.984293 28.554974 20.717852
"2012-11-27" 29.005236 29.308901 28.795813 20.620516
"2012-11-28" 28.722513 29.643978 28.638742 21.189568
"2012-11-29" 29.780106 30.052357 29.717278 21.316856
"2012-11-30" 29.790577 30.041885 29.602095 21.241983
"2012-12-03" 29.727749 29.863874 29.151833 20.890068
"2012-12-04" 29.287958 29.549738 28.984293 21.077259
"2012-12-05" 29.539267 30.073298 29.445026 21.444139
"2012-12-06" 29.937174 30.146597 29.780106 21.41419
"2012-12-07" 30.010471 30.125654 29.664921 21.459116
"2012-12-10" 30 30.052357 29.842932 21.436653
"2012-12-11" 30.052357 30.366491 29.675392 21.264444
"2012-12-12" 29.989529 30.314137 29.90576 21.519014
"2012-12-13" 30.104712 30.293194 29.884817 21.41419
"2012-12-14" 29.884817 30.209423 29.801046 21.376753
"2012-12-17" 29.916229 30.471205 29.916229 21.773588
"2012-12-18" 30.502619 30.806284 30.366491 21.938318
"2012-12-19" 30.628271 30.848167 30.293194 21.893396
"2012-12-20" 30.659685 30.86911 30.429319 22.073093
"2012-12-21" 30.617802 31.078533 30.418848 21.99822
"2012-12-24" 30.638742 30.764399 30.366491 21.900877
"2012-12-26" 30.691099 30.722513 30.230366 21.736156
"2012-12-27" 30.418848 30.565445 29.979057 21.646301
"2012-12-28" 30.115183 30.303665 29.895288 21.391726
"2012-12-31" 29.769634 30.628271 29.664921 21.900877
"2013-01-02" 31.162304 32.010471 31.120419 22.889225
"2013-01-03" 31.926702 32.020943 31.141361 22.327667
"2013-01-04" 31.382198 31.445026 31.109947 22.297714
"2013-01-07" 31.026178 31.361258 30.973822 22.327667
"2013-01-08" 31.183247 31.267015 30.984293 22.29023
"2013-01-09" 31.298429 32 31.256544 22.874252
"2013-01-10" 32.125652 32.198952 31.560209 22.754452
"2013-01-11" 31.958115 31.989529 31.518326 22.649624
"2013-01-14" 31.581152 31.727749 31.361258 22.687063
"2013-01-15" 31.497381 31.968586 31.413612 22.859278
"2013-01-16" 31.811518 32.020943 31.591623 22.866758
"2013-01-17" 32.083771 32.94241 32.052357 23.465757
"2013-01-18" 32.806282 32.858639 32.282722 23.488224
"2013-01-22" 32.764397 32.931938 32.534031 23.398376
"2013-01-23" 32.52356 32.691097 32.366493 23.398378
"2013-01-24" 32.460732 32.764397 32.219894 23.277994
"2013-01-25" 32.481674 32.732983 32.209423 23.496189
"2013-01-28" 32.617802 32.701572 32.104713 23.097435
"2013-01-29" 31.90576 32.303665 31.654449 22.954485
"2013-01-30" 31.979057 32.230366 31.486912 22.691158
"2013-01-31" 31.602095 31.780106 31.497381 22.743818
"2013-02-01" 31.83246 32.094242 31.570681 22.758869
"2013-02-04" 31.47644 31.549738 31.371729 22.5783
"2013-02-05" 31.549738 32.18848 31.465969 23.022198
"2013-02-06" 31.853403 32.031414 31.570681 22.901821
"2013-02-07" 31.801046 31.937174 31.549738 22.901821
"2013-02-08" 31.958115 32.293194 31.895288 23.142572
"2013-02-11" 32.178009 32.502617 32.115185 23.120003
"2013-02-12" 32.272251 32.481674 32.198952 23.330662
"2013-02-13" 32.324608 33.036648 32.324608 23.699322
"2013-02-14" 32.722511 33.371727 32.722511 23.97769
"2013-02-15" 33.497383 33.727749 33.403141 24.113111
"2013-02-19" 33.539268 33.863873 33.465969 24.331305
"2013-02-20" 33.769634 33.958115 33.581154 24.301208
"2013-02-21" 33.643978 33.643978 32.921467 23.89493
"2013-02-22" 33.413612 33.560207 33.225132 23.962645
"2013-02-25" 33.47644 33.518326 32.764397 23.548849
"2013-02-26" 32.910995 32.994762 32.68063 23.52627
"2013-02-27" 32.649216 33.539268 32.554974 24.01531
"2013-02-28" 33.445026 33.853401 33.371727 24.083027
"2013-03-01" 33.298428 33.623035 33.047119 23.827215
"2013-03-04" 33.036648 33.445026 32.984295 23.992741
"2013-03-05" 33.539268 33.947643 33.518326 24.278641
"2013-03-06" 34 34.020943 33.643978 24.248549
"2013-03-07" 33.769634 33.769634 33.329842 23.95512
"2013-03-08" 33.47644 33.654449 33.298428 24.135681
"2013-03-11" 33.497383 33.769634 33.465969 24.256065
"2013-03-12" 33.706806 33.73822 33.078533 23.804646
"2013-03-13" 33.204189 33.329842 33.036648 23.872366
"2013-03-14" 33.31937 33.497383 33.256546 23.985216
"2013-03-15" 33.204189 33.371727 32.994762 23.7896
"2013-03-18" 32.722511 33.089005 32.701572 23.578938
"2013-03-19" 32.910995 32.910995 32.26178 23.496189
"2013-03-20" 32.931938 33.089005 32.827225 23.669231
"2013-03-21" 32.806282 32.952881 32.324608 23.232861
"2013-03-22" 32.439793 32.722511 32.366493 23.50371
"2013-03-25" 32.795811 32.921467 32.282722 23.315617
"2013-03-26" 32.617802 32.732983 32.418846 23.518751
"2013-03-27" 32.502617 32.691097 32.345551 23.458565
"2013-03-28" 32.670158 33.581154 32.565445 24.075495
"2013-04-01" 33.612564 33.675392 33.05759 23.887413
"2013-04-02" 33.308903 33.455498 32.973824 23.804646
"2013-04-03" 33.183247 33.465969 32.910995 23.721886
"2013-04-04" 33.005238 33.340313 32.858639 23.767029
"2013-04-05" 32.68063 32.848167 32.408379 23.405895
"2013-04-08" 32.481674 32.806282 32.481674 23.451044
"2013-04-09" 32.785339 33.287956 32.575916 23.834743
"2013-04-10" 33.308903 34.031414 33.204189 24.406538
"2013-04-11" 34 34.314137 33.958115 24.609673
"2013-04-12" 34.157066 34.209423 33.623035 24.263592
"2013-04-15" 33.570683 33.821991 32.764397 23.59399
"2013-04-16" 33.068062 33.204189 32.858639 23.75951
"2013-04-17" 32.837696 32.890053 32.219894 23.451044
"2013-04-18" 32.649216 32.670158 32.198952 23.232861
"2013-04-19" 32.492146 32.837696 32.366493 23.56389
"2013-04-22" 32.795811 32.900524 32.198952 23.165138
"2013-04-23" 32.439793 32.701572 32.198952 23.360758
"2013-04-24" 32.439793 32.628273 32.062828 23.217072
"2013-04-25" 32.198952 32.670158 32.094242 23.504442
"2013-04-26" 33.832462 34.502617 32.848167 23.761572
