"Index" "Open" "High" "Low" "Price"
"2012-09-17" 50.209999 50.509998 50.209999 36.528809
"2012-09-18" 50.529999 50.529999 50.25 36.405777
"2012-09-19" 50.43 51.150002 50.400002 36.868988
"2012-09-20" 50.91 51.450001 50.91 37.10783
"2012-09-21" 51.330002 51.52 51.16 37.23811
"2012-09-24" 51.48 51.810001 51.279999 37.440769
"2012-09-25" 52 52.150002 51.799999 37.534855
"2012-09-26" 51.91 52.150002 51.619999 37.419048
"2012-09-27" 51.700001 51.810001 51.450001 37.382874
"2012-09-28" 51.5 51.689999 51.25 37.390102
"2012-10-01" 51.490002 52.259998 51.450001 37.585514
"2012-10-02" 52.080002 52.299999 51.650002 37.56382
"2012-10-03" 52.029999 52.040001 51.630001 37.498684
"2012-10-04" 51.82 52 51.73 37.549343
"2012-10-05" 52.150002 52.25 51.82 37.599998
"2012-10-08" 51.869999 51.950001 51.639999 37.549343
"2012-10-09" 51.919998 51.990002 51.5 37.332207
"2012-10-10" 51.73 51.880001 51.27 37.22364
"2012-10-11" 51.759998 51.900002 51.59 37.346664
"2012-10-12" 51.759998 52.009998 51.580002 37.440769
"2012-10-15" 51.790001 51.799999 51.52 37.419048
"2012-10-16" 51.810001 52.169998 51.799999 37.686855
"2012-10-17" 52.150002 52.860001 52.150002 38.251396
"2012-10-18" 52.810001 52.830002 52.360001 37.998074
"2012-10-19" 52.5 52.59 51.869999 37.701336
"2012-10-22" 52.029999 52.18 51.66 37.643429
"2012-10-23" 51.75 51.799999 51.360001 37.382874
"2012-10-24" 52.02 52.18 51.73 37.50592
"2012-10-25" 52.049999 52.700001 52.049999 38.0415
"2012-10-26" 52.630001 53.060001 52.099998 38.287586
"2012-10-31" 52.91 53 52.23 37.86779
"2012-11-01" 52.720001 53.619999 52.16 38.721855
"2012-11-02" 53.560001 54.099998 53.459999 38.859356
"2012-11-05" 53.57 53.990002 53.110001 39.076496
"2012-11-06" 53.98 54.790001 53.740002 39.633789
"2012-11-07" 54.349998 54.48 53.619999 39.19952
"2012-11-08" 52.25 54.150002 52.220001 38.844898
"2012-11-09" 53.560001 53.98 53.389999 38.707367
"2012-11-12" 53.5 53.75 53.240002 38.844898
"2012-11-13" 53.560001 54.150002 53.560001 38.953445
"2012-11-14" 53.82 54.189999 53.529999 38.852135
"2012-11-15" 53.599998 53.98 53.349998 39.004108
"2012-11-16" 54.080002 54.169998 53.720001 39.206768
"2012-11-19" 54.349998 54.75 54.099998 39.619328
"2012-11-20" 54.66 54.900002 54.490002 39.677216
"2012-11-21" 54.810001 55.139999 54.689999 39.843704
"2012-11-23" 55.23 55.34 55.099998 39.995693
"2012-11-26" 55.279999 55.450001 55.139999 40.089771
"2012-11-27" 55.389999 55.880001 55.240002 40.133202
"2012-11-28" 55.389999 55.830002 55.34 40.372036
"2012-11-29" 55.32 55.700001 55.139999 40.561722
"2012-11-30" 55.549999 55.700001 55.27 40.459587
"2012-12-03" 55.57 55.59 55.060001 40.31369
"2012-12-04" 55.049999 55.25 54.529999 40.291809
"2012-12-05" 55.209999 55.860001 55.189999 40.598198
"2012-12-06" 55.610001 55.75 55.5 40.663857
"2012-12-07" 55.740002 55.98 55.490002 40.83165
"2012-12-10" 55.939999 56.5 55.849998 40.94838
"2012-12-11" 56.150002 56.700001 56.049999 41.335026
"2012-12-12" 56.75 57.209999 56.540001 41.29126
"2012-12-13" 56.669998 56.84 56.450001 41.400665
"2012-12-14" 56.529999 57.099998 56.43 41.378788
"2012-12-17" 56.75 57 56.720001 41.480927
"2012-12-18" 56.98 56.98 56.290001 41.29126
"2012-12-19" 56.799999 56.810001 56.110001 40.962955
"2012-12-20" 56.200001 56.68 56.130001 41.283951
"2012-12-21" 56.529999 56.580002 55.869999 40.984867
"2012-12-24" 56.259998 56.259998 55.869999 40.955677
"2012-12-26" 56.07 56.209999 55.669998 40.685749
"2012-12-27" 55.77 55.919998 55.400002 40.663857
"2012-12-28" 55.59 55.82 55.279999 40.364761
"2012-12-31" 55.169998 55.880001 55.02 40.744106
"2013-01-02" 56.330002 56.91 56.25 41.517406
"2013-01-03" 56.939999 56.939999 56.290001 41.232887
"2013-01-04" 56.5 56.68 56.25 41.320438
"2013-01-07" 56.66 56.82 56.369999 41.335026
"2013-01-08" 56.580002 56.860001 56.220001 41.473629
"2013-01-09" 56.939999 57.150002 56.779999 41.57576
"2013-01-10" 57.09 57.310001 56.91 41.809219
"2013-01-11" 57.400002 57.400002 56.919998 41.597652
"2013-01-14" 57.16 57.540001 57.130001 41.860294
"2013-01-15" 57.209999 57.240002 57.02 41.670616
"2013-01-16" 56.32 57.119999 56.040001 41.604942
"2013-01-17" 57.27 58 57.18 42.137497
"2013-01-18" 57.700001 58.23 57.48 42.46579
"2013-01-22" 58.049999 58.349998 57.900002 42.451187
"2013-01-23" 58.040001 58.330002 57.799999 42.436611
"2013-01-24" 58.25 58.75 58.119999 42.743015
"2013-01-25" 58.599998 58.84 58.240002 42.925396
"2013-01-28" 58.720001 58.830002 58.32 42.611698
"2013-01-29" 58.459999 58.880001 58.299999 42.910801
"2013-01-30" 58.790001 58.900002 58.580002 42.830547
"2013-01-31" 58.650002 58.849998 58.290001 42.677353
"2013-02-01" 58.849998 59 58.560001 42.786781
"2013-02-04" 58.41 58.490002 58 42.385548
"2013-02-05" 58.849998 59.380001 58.459999 42.677353
"2013-02-06" 58.610001 59 58.599998 43.034813
"2013-02-07" 58.779999 59.040001 58.509998 43.042114
"2013-02-08" 58.93 59.349998 58.759998 42.976467
"2013-02-11" 58.98 59.259998 58.950001 43.129662
"2013-02-12" 59.150002 59.330002 59 43.224506
"2013-02-13" 59.34 59.360001 59.07 43.253685
"2013-02-14" 59.360001 59.959999 59.290001 43.465248
"2013-02-15" 59.75 59.869999 59.43 43.603851
"2013-02-19" 59.630001 60.299999 59.48 43.873779
"2013-02-20" 59.990002 60.209999 59.150002 43.603851
"2013-02-21" 59.630001 59.740002 59.220001 43.530903
"2013-02-22" 59.700001 60.009998 59.5 43.778938
"2013-02-25" 60.060001 60.25 59.029999 43.064007
"2013-02-26" 59.290001 59.98 59.220001 43.735165
"2013-02-27" 60 60.540001 59.82 44.129116
"2013-02-28" 60.18 60.790001 59.959999 44.459805
"2013-03-01" 60.310001 60.619999 60.049999 44.518593
"2013-03-04" 60.470001 61.049999 60.450001 44.863987
"2013-03-05" 61.099998 61.740002 61.009998 45.135887
"2013-03-06" 61.41 61.5 61.110001 45.135887
"2013-03-07" 61.330002 61.75 61.27 45.172634
"2013-03-08" 61.689999 61.93 61.34 45.209381
"2013-03-11" 61.5 61.669998 61.389999 45.290218
"2013-03-12" 61.52 61.77 61.41 45.363708
"2013-03-13" 61.66 62 61.450001 45.562115
"2013-03-14" 61.950001 62.41 61.830002 45.73114
"2013-03-15" 62.029999 62.439999 61.880001 45.709095
"2013-03-18" 61.98 62.540001 61.700001 45.767864
"2013-03-19" 62.400002 62.529999 62.040001 45.907509
"2013-03-20" 62.709999 63.299999 62.490002 46.480709
"2013-03-21" 62.990002 63.310001 62.610001 46.069176
"2013-03-22" 62.830002 63.5 62.790001 46.583588
"2013-03-25" 63.5 63.900002 63.259998 46.56155
"2013-03-26" 63.5 64.019997 63.349998 47.031864
"2013-03-27" 63.810001 64.75 63.790001 47.472782
"2013-03-28" 64.68 64.690002 64.260002 47.347855
"2013-04-01" 64.089996 64.239998 63.709999 46.980427
"2013-04-02" 64.110001 64.68 64.080002 47.244972
"2013-04-03" 64.400002 64.449997 63.240002 46.612988
"2013-04-04" 63.630001 64.120003 63.5 47.039219
"2013-04-05" 63.650002 63.790001 63.41 46.767307
"2013-04-08" 63.57 63.970001 63.189999 47.009811
"2013-04-09" 63.970001 64.220001 63.549999 46.936325
"2013-04-10" 64.040001 64.760002 63.869999 47.487476
"2013-04-11" 64.709999 64.910004 64.139999 47.237625
"2013-04-12" 63.970001 64.809998 63.73 47.546276
"2013-04-15" 64.5 64.709999 63.700001 46.811398
"2013-04-16" 64.029999 64.980003 63.610001 47.722637
"2013-04-17" 64.760002 65.269997 64.330002 47.472782
"2013-04-18" 64.669998 65 64.620003 47.693237
"2013-04-19" 65.139999 66.25 65.019997 48.575092
"2013-04-22" 65.959999 66.370003 65.610001 48.641232
"2013-04-23" 66.25 66.839996 66.120003 48.876396
"2013-04-24" 66.43 66.68 65.389999 48.082733
"2013-04-25" 65.540001 65.949997 65.5 48.354641
"2013-04-26" 65.800003 65.940002 65.470001 48.281132
"2013-04-29" 65.769997 65.879997 65.150002 48.11948
"2013-04-30" 65.459999 65.470001 64.860001 47.796127
"2013-05-01" 64.82 65.279999 64.5 47.480125
"2013-05-02" 64.970001 65.730003 62.580002 46.605637
"2013-05-03" 63.720001 63.869999 62.939999 46.782001
"2013-05-06" 63.709999 63.799999 63.009998 46.620331
"2013-05-07" 63.57 64.120003 63.380001 46.958378
"2013-05-08" 63.93 64.379997 63.77 47.193531
"2013-05-09" 64.269997 64.349998 63.709999 46.965717
"2013-05-10" 63.93 64.379997 63.860001 47.244972
"2013-05-13" 64.220001 64.599998 63.889999 47.340504
"2013-05-14" 64.440002 65.32 64.419998 47.9725
"2013-05-15" 65.010002 65.940002 64.959999 48.428116
"2013-05-16" 65.75 66.480003 65.660004 48.369335
"2013-05-17" 65.870003 66.019997 65.059998 48.251759
"2013-05-20" 65.529999 65.660004 64.82 47.678551
"2013-05-21" 64.879997 65.5 64.610001 48.082733
"2013-05-22" 65.349998 65.699997 64.660004 47.840229
"2013-05-23" 64.540001 65.019997 64.309998 47.538914
"2013-05-24" 64.580002 64.599998 63.869999 47.362537
"2013-05-28" 65.029999 65.330002 64.599998 47.560986
"2013-05-29" 64.639999 64.720001 63.310001 46.745258
"2013-05-30" 63.34 63.599998 62.950001 46.582466
"2013-05-31" 62.939999 62.990002 62.049999 45.916481
"2013-06-03" 61.970001 62.650002 61.029999 46.34568
"2013-06-04" 62.619999 63.279999 62.439999 46.656464
"2013-06-05" 62.880001 62.880001 61.779999 45.724075
"2013-06-06" 61.669998 62.040001 61.439999 45.909077
"2013-06-07" 62.41 63.419998 62.32 46.908062
"2013-06-10" 63.389999 63.450001 62.630001 46.671261
"2013-06-11" 62.650002 63.540001 62.139999 46.619473
"2013-06-12" 63.259998 63.299999 62.779999 46.501076
"2013-06-13" 62.98 64.239998 62.529999 47.529652
"2013-06-14" 64.32 65.110001 64.110001 47.537048
"2013-06-17" 64.580002 65.120003 64.370003 47.862659
"2013-06-18" 64.57 65 64.18 48.040241
"2013-06-19" 64.839996 65.010002 63.810001 47.263248
"2013-06-20" 63.459999 63.66 62.560001 46.301258
