"Index" "Open" "High" "Low" "Price"
"2012-09-17" 43.990002 44.32 43.560001 5.623503
"2012-09-18" 44.080002 44.450001 43.93 5.66693
"2012-09-19" 44.490002 44.880001 44.400002 5.707798
"2012-09-20" 44.639999 44.860001 44.240002 5.678424
"2012-09-21" 44.610001 44.639999 43.720001 5.590297
"2012-09-24" 43.459999 43.990002 43.43 5.603068
"2012-09-25" 44 44.099998 43.610001 5.58008
"2012-09-26" 43.709999 44.119999 43.709999 5.614564
"2012-09-27" 43.98 44.439999 43.619999 5.670762
"2012-09-28" 44.32 44.619999 44.16 5.687365
"2012-10-01" 44.459999 44.889999 44.25 5.700136
"2012-10-02" 44.799999 44.799999 44.41 5.702692
"2012-10-03" 44.700001 44.720001 44.18 5.657987
"2012-10-04" 44.360001 44.419998 43.650002 5.587742
"2012-10-05" 43.77 44.32 43.77 5.622228
"2012-10-08" 44.029999 44.23 43.779999 5.626059
"2012-10-09" 44.060001 44.299999 43.799999 5.608179
"2012-10-10" 43.799999 43.990002 42.990002 5.521328
"2012-10-11" 43.32 43.669998 43.290001 5.544318
"2012-10-12" 43.52 43.689999 43.41 5.550703
"2012-10-15" 43.5 43.82 43.189999 5.576248
"2012-10-16" 43.709999 44.639999 43.709999 5.693751
"2012-10-17" 44.380001 44.970001 44.360001 5.707798
"2012-10-18" 44.630001 45.299999 44.619999 5.781878
"2012-10-19" 45.139999 45.25 44.419998 5.678424
"2012-10-22" 44.279999 44.360001 43.860001 5.661822
"2012-10-23" 43.98 44.16 43.689999 5.626059
"2012-10-24" 43.580002 43.580002 42.459999 5.442142
"2012-10-25" 42.91 43 42.540001 5.481735
"2012-10-26" 42.779999 42.82 42.619999 5.4613
"2012-10-31" 42.720001 43.139999 42.5 5.472793
"2012-11-01" 42.880001 43.419998 42.790001 5.527714
"2012-11-02" 43.5 43.619999 42.91 5.48429
"2012-11-05" 42.900002 43.5 42.73 5.528992
"2012-11-06" 43.419998 43.77 43.110001 5.583912
"2012-11-07" 43.529999 43.779999 43.049999 5.560921
"2012-11-08" 43.400002 43.619999 43 5.522606
"2012-11-09" 43.09 43.689999 43 5.557089
"2012-11-12" 43.389999 44.560001 43.27 5.614564
"2012-11-13" 43.830002 44.150002 43.439999 5.549427
"2012-11-14" 43.48 43.77 42.950001 5.49323
"2012-11-15" 42.950001 43.32 42.529999 5.440865
"2012-11-16" 42.59 43.049999 42.25 5.472793
"2012-11-19" 43.220001 43.490002 43.07 5.549427
"2012-11-20" 43.389999 43.889999 43.259998 5.603068
"2012-11-21" 43.93 44.080002 43.650002 5.623503
"2012-11-23" 44.07 44.810001 43.810001 5.723125
"2012-11-26" 44.540001 44.900002 44.200001 5.650325
"2012-11-27" 44.27 44.59 44.080002 5.649048
"2012-11-28" 44.029999 44.68 44 5.703968
"2012-11-29" 44.689999 44.880001 44.419998 5.728235
"2012-11-30" 44.849998 44.959999 44.549999 5.728235
"2012-12-03" 45.009998 45.189999 44.740002 5.726958
"2012-12-04" 44.82 45.139999 44.799999 5.748671
"2012-12-05" 45.139999 45.619999 45 5.804867
"2012-12-06" 45.439999 45.720001 45.360001 5.811252
"2012-12-07" 45.630001 45.700001 45.220001 5.812531
"2012-12-10" 45.450001 46.060001 45.439999 5.863619
"2012-12-11" 45.939999 45.990002 45.470001 5.816362
"2012-12-12" 45.709999 45.709999 45 5.77038
"2012-12-13" 45.009998 45.029999 44.23 5.71762
"2012-12-14" 44.310001 44.77 44.290001 5.743357
"2012-12-17" 44.73 44.880001 44.389999 5.738211
"2012-12-18" 44.540001 44.810001 44.279999 5.751078
"2012-12-19" 44.759998 44.849998 44.470001 5.724053
"2012-12-20" 44.52 44.91 44.52 5.767808
"2012-12-21" 44.580002 44.950001 44.419998 5.749791
"2012-12-24" 44.560001 44.740002 44.5 5.752365
"2012-12-26" 44.689999 44.740002 44.27 5.698317
"2012-12-27" 44.259998 44.509998 43.93 5.689308
"2012-12-28" 44.029999 44.240002 43.849998 5.646842
"2012-12-31" 43.799999 44.189999 43.580002 5.685449
"2013-01-02" 44.799999 45.630001 44.68 5.868185
"2013-01-03" 45.560001 45.630001 45.290001 5.845021
"2013-01-04" 45.450001 45.98 45.43 5.87848
"2013-01-07" 45.48 45.599998 45.209999 5.821856
"2013-01-08" 45.150002 45.400002 45.040001 5.839874
"2013-01-09" 45.48 45.810001 45.48 5.881055
"2013-01-10" 45.900002 45.990002 45.650002 5.888775
