"Index" "Open" "High" "Low" "Price"
"2012-09-17" 9.05 9.06 8.9 6.618612
"2012-09-18" 8.9 8.92 8.85 6.603753
"2012-09-19" 8.94 9.09 8.89 6.715178
"2012-09-20" 8.99 9 8.86 6.670609
"2012-09-21" 9.1 9.12 8.91 6.618612
"2012-09-24" 8.9 9 8.85 6.626038
"2012-09-25" 8.96 8.99 8.77 6.514616
"2012-09-26" 8.8 8.83 8.7 6.462617
"2012-09-27" 8.77 8.89 8.72 6.544329
"2012-09-28" 8.78 8.82 8.72 6.492329
"2012-10-01" 8.78 8.88 8.7 6.470044
"2012-10-02" 8.77 8.8 8.65 6.455189
"2012-10-03" 8.73 8.8 8.68 6.499756
"2012-10-04" 8.78 8.91 8.77 6.618612
"2012-10-05" 8.98 9.01 8.85 6.596325
"2012-10-08" 8.79 8.85 8.68 6.499756
"2012-10-09" 8.76 8.77 8.61 6.395761
"2012-10-10" 8.64 8.68 8.52 6.380905
"2012-10-11" 8.68 8.7 8.61 6.410618
"2012-10-12" 8.58 8.58 8.25 6.18777
"2012-10-15" 8.41 8.42 8.27 6.202626
"2012-10-16" 8.37 8.4 8.18 6.135773
"2012-10-17" 8.29 8.45 8.26 6.247196
"2012-10-18" 8.85 8.97 8.71 6.522042
"2012-10-19" 8.76 8.8 8.67 6.492329
"2012-10-22" 8.66 8.75 8.44 6.388333
"2012-10-23" 8.49 8.57 8.42 6.262053
"2012-10-24" 8.5 8.56 8.4 6.247196
"2012-10-25" 8.48 8.55 8.38 6.336335
"2012-10-26" 8.51 8.54 8.35 6.232339
"2012-10-31" 8.42 8.51 8.35 6.254625
"2012-11-01" 8.42 8.51 8.37 6.314049
"2012-11-02" 8.56 8.57 8.35 6.217482
"2012-11-05" 8.33 8.47 8.24 6.284339
"2012-11-06" 8.49 8.64 8.45 6.380905
"2012-11-07" 8.45 8.5 8.25 6.158055
"2012-11-08" 8.3 8.44 8.25 6.128343
"2012-11-09" 8.23 8.41 8.21 6.158055
"2012-11-12" 8.31 8.36 8.27 6.158055
"2012-11-13" 8.24 8.38 8.16 6.068917
"2012-11-14" 8.2 8.26 8.01 5.97235
"2012-11-15" 8 8.13 7.97 5.950066
"2012-11-16" 8.04 8.12 7.96 5.964921
"2012-11-19" 8.18 8.27 8.15 6.068917
"2012-11-20" 8.2 8.36 8.14 6.210053
"2012-11-21" 8.37 8.38 8.28 6.195199
"2012-11-23" 8.33 8.45 8.3 6.314768
"2012-11-26" 8.39 8.48 8.3 6.337187
"2012-11-27" 8.43 8.46 8.23 6.150359
"2012-11-28" 8.19 8.22 8.05 6.112994
"2012-11-29" 8.23 8.28 8.08 6.068156
"2012-11-30" 8.14 8.16 8.03 6.038262
"2012-12-03" 8.15 8.16 7.98 5.971005
"2012-12-04" 8 8.04 7.81 5.903747
"2012-12-05" 7.94 7.98 7.82 5.918694
"2012-12-06" 7.9 7.96 7.86 5.926165
"2012-12-07" 7.95 8.12 7.93 6.060681
"2012-12-10" 8.06 8.19 8.03 6.090574
"2012-12-11" 8.19 8.26 8.18 6.150359
"2012-12-12" 8.26 8.38 8.15 6.12794
"2012-12-13" 8.21 8.23 8.1 6.083102
"2012-12-14" 8.15 8.18 8.11 6.083102
"2012-12-17" 8.18 8.4 8.16 6.269929
"2012-12-18" 8.49 8.55 8.41 6.374551
"2012-12-19" 8.56 8.57 8.45 6.314768
"2012-12-20" 8.45 8.56 8.45 6.396972
"2012-12-21" 8.44 8.5 8.37 6.307295
"2012-12-24" 8.48 8.48 8.39 6.307295
"2012-12-26" 8.45 8.52 8.41 6.314768
"2012-12-27" 8.47 8.51 8.27 6.292349
"2012-12-28" 8.34 8.43 8.32 6.240037
"2012-12-31" 8.29 8.44 8.29 6.292349
"2013-01-02" 8.62 8.79 8.57 6.561379
"2013-01-03" 8.75 8.86 8.72 6.606219
"2013-01-04" 8.69 8.97 8.63 6.688423
"2013-01-07" 8.91 8.99 8.86 6.70337
"2013-01-08" 9 9 8.9 6.695897
"2013-01-09" 9.03 9.1 8.85 6.651055
"2013-01-10" 8.94 8.98 8.87 6.68095
"2013-01-11" 8.92 8.94 8.78 6.606219
"2013-01-14" 8.94 8.95 8.82 6.628638
"2013-01-15" 8.85 8.99 8.82 6.70337
"2013-01-16" 8.98 9.15 8.95 6.837885
"2013-01-17" 9.15 9.36 9.13 6.979874
"2013-01-18" 9.39 9.4 9.23 6.935035
"2013-01-22" 9.28 9.37 9.23 6.99482
"2013-01-23" 9.44 9.5 9.21 6.949982
"2013-01-24" 9.04 9.33 8.99 6.905143
"2013-01-25" 9.26 9.3 9.14 6.942509
"2013-01-28" 9.27 9.27 9.16 6.87525
"2013-01-29" 9.16 9.28 9.16 6.920089
"2013-01-30" 9.27 9.43 9.23 7.009766
"2013-01-31" 9.27 9.41 9.25 7.024713
"2013-02-01" 9.47 9.57 9.38 7.077025
"2013-02-04" 9.38 9.43 9.32 7.002294
"2013-02-05" 9.41 9.55 9.38 7.09197
"2013-02-06" 9.4 9.55 9.38 7.121861
"2013-02-07" 9.53 9.56 9.44 7.099443
"2013-02-08" 9.5 9.6 9.48 7.151754
"2013-02-11" 9.51 9.56 9.46 7.084496
"2013-02-12" 9.52 9.55 9.45 7.121861
"2013-02-13" 9.55 9.55 9.45 7.062078
"2013-02-14" 9.45 9.53 9.44 7.084496
"2013-02-15" 9.53 9.56 9.39 7.084496
"2013-02-19" 9.5 9.64 9.47 7.159226
"2013-02-20" 9.54 9.56 9.34 6.987346
"2013-02-21" 9.35 9.41 9.26 6.979874
"2013-02-22" 9.4 9.52 9.39 7.106917
"2013-02-25" 9.55 9.6 9.22 6.905143
"2013-02-26" 9.31 9.33 9.14 6.905143
"2013-02-27" 9.24 9.39 9.23 7.009766
"2013-02-28" 9.39 9.48 9.3 7.017239
"2013-03-01" 9.26 9.4 9.2 7.009725
"2013-03-04" 9.32 9.5 9.3 7.129936
"2013-03-05" 9.53 9.63 9.49 7.152474
"2013-03-06" 9.58 9.75 9.56 7.257659
"2013-03-07" 9.79 9.95 9.76 7.452999
"2013-03-08" 10.03 10.03 9.8 7.40792
"2013-03-11" 9.88 9.95 9.83 7.445485
"2013-03-12" 9.91 9.91 9.79 7.40792
"2013-03-13" 9.86 10.02 9.84 7.513104
"2013-03-14" 10.04 10.05 9.89 7.513104
"2013-03-15" 9.99 10.14 9.92 7.595746
"2013-03-18" 9.96 10.15 9.94 7.595746
"2013-03-19" 10.15 10.16 9.97 7.565693
"2013-03-20" 10.14 10.19 10.11 7.625799
"2013-03-21" 10.11 10.14 10 7.528131
