"Index" "Open" "High" "Low" "Price"
"2012-09-17" 36.290001 36.5 36.16 22.501966
"2012-09-18" 36.16 36.23 35.93 22.383997
"2012-09-19" 36.16 36.279999 35.91 22.321909
"2012-09-20" 35.900002 35.950001 35.470001 22.141844
"2012-09-21" 35.68 35.82 35.619999 22.166677
"2012-09-24" 35.93 36.049999 35.779999 22.228767
"2012-09-25" 35.869999 35.98 35.52 22.061131
"2012-09-26" 35.529999 35.549999 35.110001 21.82518
"2012-09-27" 35.220001 35.700001 35.169998 22.141844
"2012-09-28" 35.490002 35.73 35.360001 22.054911
"2012-10-01" 35.720001 35.790001 35.349998 22.011448
"2012-10-02" 35.52 35.66 35.240002 22.042498
"2012-10-03" 35.540001 36.060001 35.509998 22.377792
"2012-10-04" 36.130001 36.389999 36.060001 22.508183
"2012-10-05" 36.349998 36.5 35.91 22.377792
"2012-10-08" 36 36.049999 35.389999 22.079754
"2012-10-09" 35.610001 35.779999 35.060001 21.781719
"2012-10-10" 35.119999 35.169998 34.790001 21.831388
"2012-10-11" 35.25 35.34 35.040001 21.78792
"2012-10-12" 34.150002 34.779999 34.150002 21.421577
"2012-10-15" 34.630001 34.91 34.360001 21.663734
"2012-10-16" 35.130001 35.619999 35 22.054911
"2012-10-17" 35.599998 35.82 35.549999 22.21015
"2012-10-18" 35.93 36.130001 35.700001 22.272238
"2012-10-19" 35.75 35.849998 34.919998 21.713411
"2012-10-22" 35.009998 35.150002 34.610001 21.576809
"2012-10-23" 34.5 34.59 34.16 21.347069
"2012-10-24" 34.5 34.75 34.419998 21.458834
"2012-10-25" 34.759998 35.060001 34.619999 21.769291
"2012-10-26" 35.040001 35.049999 34.470001 21.545759
"2012-10-31" 34.740002 35.040001 34.299999 21.777908
"2012-11-01" 34.77 34.900002 34.349998 21.696346
"2012-11-02" 34.779999 34.880001 34 21.401457
"2012-11-05" 34.060001 34.099998 33.77 21.263422
"2012-11-06" 34.07 34.290001 33.889999 21.432827
"2012-11-07" 33.939999 33.990002 33.23 20.918339
"2012-11-08" 33.310001 33.470001 32.900002 20.667366
"2012-11-09" 32.82 32.84 32.470001 20.441504
"2012-11-12" 32.75 32.849998 32.419998 20.410118
"2012-11-13" 32.290001 32.790001 32.009998 20.228174
"2012-11-14" 32.299999 32.66 32.099998 20.152882
"2012-11-15" 32.200001 32.419998 32.009998 20.096415
"2012-11-16" 32.07 32.41 31.93 20.265816
"2012-11-19" 32.689999 33.599998 32.669998 21.00618
"2012-11-20" 33.41 33.549999 33.299999 20.993629
"2012-11-21" 33.540001 33.650002 33.360001 20.993629
"2012-11-23" 33.560001 33.91 33.41 21.156759
"2012-11-26" 33.610001 33.77 33.549999 21.131672
"2012-11-27" 33.650002 33.889999 33.380001 21.181858
"2012-11-28" 33.549999 34.130001 33.02 21.40773
"2012-11-29" 34.279999 34.52 34.099998 21.470478
"2012-11-30" 33.68 34.25 33.68 21.213232
"2012-12-03" 34.060001 34.220001 33.720001 21.269693
"2012-12-04" 33.799999 34.049999 33.759998 21.282246
"2012-12-05" 34.040001 34.119999 33.720001 21.225782
"2012-12-06" 33.900002 34 33.610001 21.100288
"2012-12-07" 33.77 34.040001 33.560001 21.068924
"2012-12-10" 33.599998 33.959999 33.549999 21.112843
"2012-12-11" 33.700001 33.73 33.310001 21.100288
"2012-12-12" 33.75 33.990002 33.52 21.156759
"2012-12-13" 33.68 33.98 33.32 21.206959
"2012-12-14" 33.700001 33.970001 33.57 21.156759
"2012-12-17" 33.82 34.48 33.799999 21.621056
"2012-12-18" 34.529999 35.389999 34.41 22.141821
"2012-12-19" 35.360001 35.490002 35.009998 22.110441
"2012-12-20" 35.27 35.48 35.060001 22.254749
"2012-12-21" 35.130001 35.5 34.709999 22.173183
"2012-12-24" 35.220001 35.389999 35 21.978687
"2012-12-26" 35.099998 35.240002 34.549999 21.803007
"2012-12-27" 34.82 35.040001 34.299999 21.815559
"2012-12-28" 34.560001 34.98 34.490002 21.721437
"2012-12-31" 34.639999 35.34 34.490002 22.166914
"2013-01-02" 35.82 36.560001 35.740002 22.919821
"2013-01-03" 36.580002 37.080002 36.580002 23.202168
"2013-01-04" 36.98 37.009998 36.560001 23.032763
"2013-01-07" 36.68 37.34 36.619999 23.415491
"2013-01-08" 37.259998 37.349998 37 23.428043
"2013-01-09" 37.360001 37.380001 36.93 23.290005
"2013-01-10" 37.32 37.369999 36.93 23.277451
"2013-01-11" 37.310001 37.310001 36.939999 23.252363
"2013-01-14" 37.07 37.25 36.91 23.177067
"2013-01-15" 36.84 36.919998 36.68 23.114326
"2013-01-16" 36.639999 36.830002 36.540001 22.963749
"2013-01-17" 37.130001 37.700001 37.029999 23.365301
"2013-01-18" 37.380001 37.41 36.66 23.471958
"2013-01-22" 37.330002 37.810001 37.310001 23.710377
"2013-01-23" 37.830002 37.880001 37.439999 23.578621
"2013-01-24" 37.669998 37.849998 37.189999 23.359016
"2013-01-25" 37.52 37.709999 37.139999 23.371578
"2013-01-28" 37.549999 37.73 37.34 23.547249
"2013-01-29" 37.380001 37.529999 37.169998 23.635965
"2013-01-30" 37.380001 38.209999 37.34 23.908453
"2013-01-31" 37.849998 37.849998 37.240002 23.73735
"2013-02-01" 37.740002 37.779999 37.25 23.756361
"2013-02-04" 37.400002 37.470001 36.560001 23.179718
"2013-02-05" 36.73 37.48 36.700001 23.686657
"2013-02-06" 37.25 37.470001 37.18 23.616953
"2013-02-07" 37.380001 37.93 37.32 23.933788
"2013-02-08" 37.720001 38.169998 37.41 23.826067
"2013-02-11" 37.57 37.75 37.5 23.857744
"2013-02-12" 37.59 37.82 37.349998 23.914782
"2013-02-13" 37.82 37.91 37.68 23.952799
"2013-02-14" 37.619999 37.77 37.369999 23.807053
"2013-02-15" 37.560001 37.84 37.419998 23.775375
"2013-02-19" 37.52 37.790001 37.32 23.712006
"2013-02-20" 37.439999 37.549999 37.099998 23.528242
"2013-02-21" 37.099998 37.099998 36.549999 23.274769
"2013-02-22" 36.799999 37.060001 36.669998 23.445858
"2013-02-25" 37.040001 37.220001 36.110001 22.881891
"2013-02-26" 36.200001 36.470001 35.889999 22.945255
"2013-02-27" 36.09 37.060001 36.09 23.483887
"2013-02-28" 37.060001 37.48 36.77 23.490219
"2013-03-01" 36.959999 37.310001 36.720001 23.610617
"2013-03-04" 37.200001 37.540001 36.84 23.78805
"2013-03-05" 37.779999 37.779999 37.240002 23.73735
"2013-03-06" 37.540001 37.540001 36.900002 23.426847
"2013-03-07" 37.060001 37.279999 36.830002 23.610617
"2013-03-08" 37.380001 37.450001 37.09 23.680317
"2013-03-11" 37.380001 37.43 37.130001 23.64863
"2013-03-12" 37.360001 37.470001 37.130001 23.616953
"2013-03-13" 37.25 37.349998 36.779999 23.401506
"2013-03-14" 37 37.209999 36.84 23.414181
"2013-03-15" 36.810001 36.880001 36.389999 23.065657
"2013-03-18" 36.209999 36.48 36.110001 22.964268
"2013-03-19" 36.27 36.599998 36.169998 23.1607
"2013-03-20" 36.650002 37.029999 36.639999 23.426847
"2013-03-21" 36.93 37.700001 36.860001 23.572598
"2013-03-22" 37.169998 37.860001 37.16 23.838741
"2013-03-25" 37.709999 37.759998 37.349998 23.826067
"2013-03-26" 37.720001 38 37.57 24.073206
"2013-03-27" 37.869999 38.43 37.77 24.313992
"2013-03-28" 38.360001 38.799999 38.080002 24.510433
"2013-04-01" 38.669998 39.389999 38.669998 24.782911
"2013-04-02" 39.299999 39.349998 38.740002 24.611814
"2013-04-03" 38.779999 38.84 37.59 23.978144
