"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.25 32.290001 31.719999 31.93
"2012-09-18" 31.860001 31.92 31.200001 31.360001
"2012-09-19" 31.51 32.09 31.379999 31.969999
"2012-09-20" 31.16 31.190001 29.379999 29.959999
"2012-09-21" 30.059999 30.15 29.219999 29.280001
"2012-09-24" 29.02 29.34 28.870001 28.950001
"2012-09-25" 29 29.32 28.450001 28.450001
"2012-09-26" 28.4 28.620001 28.1 28.4
"2012-09-27" 28.440001 28.59 28.209999 28.379999
"2012-09-28" 28.209999 28.379999 28.040001 28.299999
"2012-10-01" 28.360001 28.91 28.35 28.42
"2012-10-02" 28.469999 28.92 28.33 28.68
"2012-10-03" 28.709999 28.82 28.290001 28.32
"2012-10-04" 28.51 29.030001 28.389999 28.85
"2012-10-05" 29.059999 29.690001 29.049999 29.190001
"2012-10-08" 30.049999 33 29.799999 31.860001
"2012-10-09" 31.790001 32.209999 31.530001 31.620001
"2012-10-10" 31.049999 31.68 31 31.34
"2012-10-11" 31.58 31.870001 31.190001 31.25
"2012-10-12" 31.440001 32.779999 31.360001 32.549999
"2012-10-15" 32.650002 33 32.139999 32.990002
"2012-10-16" 33 33.290001 32.68 33.209999
"2012-10-17" 33.130001 33.66 32.970001 33.549999
"2012-10-18" 33.549999 33.700001 33.209999 33.389999
"2012-10-19" 33.560001 33.98 33.27 33.299999
"2012-10-22" 33.43 33.439999 32.66 33.150002
"2012-10-23" 32.860001 33.279999 32.669998 33.060001
"2012-10-24" 33.169998 33.290001 32.560001 32.669998
"2012-10-25" 33 33.09 32.349998 32.779999
"2012-10-26" 33.07 33.84 32.970001 33.57
"2012-10-31" 33.57 34 33.310001 33.75
"2012-11-01" 33.810001 35.119999 33.720001 34.959999
"2012-11-02" 35.5 36 34.540001 34.68
"2012-11-05" 34.689999 34.91 34.349998 34.529999
"2012-11-06" 35.389999 36.150002 34.630001 34.73
"2012-11-07" 34.27 34.919998 34.049999 34.099998
"2012-11-08" 34.099998 34.549999 33.779999 33.880001
"2012-11-09" 33.709999 34.5 33.619999 34.040001
"2012-11-12" 34.110001 34.610001 33.790001 33.880001
"2012-11-13" 33.759998 34.25 33.689999 33.689999
"2012-11-14" 33.880001 34.169998 32.959999 33.040001
"2012-11-15" 33.130001 33.5 32.790001 33.349998
"2012-11-16" 33.400002 33.740002 33.099998 33.310001
"2012-11-19" 33.849998 34.310001 33.610001 34.220001
"2012-11-20" 34.16 34.439999 33.740002 34.25
"2012-11-21" 34.220001 34.709999 33.939999 34.619999
"2012-11-23" 34.740002 35.200001 34.630001 35.139999
"2012-11-26" 34.990002 35.25 34.66 34.869999
