"Index" "Open" "High" "Low" "Price"
"2012-09-17" 38.16 38.380001 38.029999 28.002695
"2012-09-18" 38.380001 39 38.299999 28.199846
"2012-09-19" 38.66 38.810001 38.41 28.126822
"2012-09-20" 38.389999 38.869999 38.380001 28.214441
"2012-09-21" 38.73 38.740002 37.880001 27.769033
"2012-09-24" 37.810001 38.240002 37.810001 27.834751
"2012-09-25" 38.209999 38.27 37.66 27.513472
"2012-09-26" 37.779999 38.189999 37.740002 27.571886
"2012-09-27" 38.060001 38.349998 37.900002 27.973488
"2012-09-28" 38.169998 38.220001 37.900002 27.696009
"2012-10-01" 38.16 38.599998 38.150002 28.024599
"2012-10-02" 38.560001 38.689999 38.110001 27.995392
"2012-10-03" 38.32 38.52 38.139999 27.922375
"2012-10-04" 38.459999 38.549999 38.189999 27.988089
"2012-10-05" 38.490002 38.599998 38.25 28.170639
"2012-10-08" 38.540001 38.68 38.439999 28.170639
"2012-10-09" 38.5 38.830002 38.459999 28.156038
"2012-10-10" 38.650002 38.73 38.049999 27.812847
"2012-10-11" 38.200001 38.279999 38.02 27.827454
"2012-10-12" 38.259998 38.389999 38.110001 27.915071
"2012-10-15" 38.09 38.25 38.009998 27.842054
"2012-10-16" 38.18 38.220001 37.439999 27.674109
"2012-10-17" 38.060001 38.150002 37.700001 27.557283
"2012-10-18" 37.759998 38.07 37.459999 27.630299
"2012-10-19" 37.93 37.939999 37.400002 27.309015
"2012-10-22" 37.369999 37.48 36.959999 27.184883
"2012-10-23" 36.959999 36.98 36.540001 26.732168
"2012-10-24" 36.599998 37.040001 36.599998 26.929317
"2012-10-25" 37 37.189999 36.849998 27.082655
"2012-10-26" 37.119999 37.259998 36.779999 27.04615
"2012-10-31" 37.16 37.41 36.919998 27.148376
"2012-11-01" 37.150002 37.560001 37.150002 27.2579
"2012-11-02" 37.580002 37.650002 37 27.075356
"2012-11-05" 36.950001 36.990002 36.630001 26.848999
"2012-11-06" 36.919998 37.48 36.860001 27.323616
"2012-11-07" 37.279999 37.389999 36.400002 26.812487
"2012-11-08" 36.650002 37.110001 36.360001 26.549633
"2012-11-09" 36.049999 36.52 36.049999 26.498508
"2012-11-12" 36.290001 36.290001 35.990002 26.345175
"2012-11-13" 36.029999 36.560001 35.98 26.403584
"2012-11-14" 36.189999 36.360001 35.869999 26.29405
"2012-11-15" 35.900002 36.48 35.860001 26.600729
"2012-11-16" 36.490002 36.650002 36.27 26.69566
"2012-11-19" 36.849998 37.290001 36.810001 27.19219
"2012-11-20" 37.23 37.27 36.849998 27.199492
"2012-11-21" 37.330002 37.470001 37.220001 27.301718
"2012-11-23" 37.549999 37.950001 37.490002 27.696009
"2012-11-26" 37.580002 37.779999 37.23 27.279806
"2012-11-27" 37.439999 37.790001 37.34 27.323616
"2012-11-28" 37.060001 37.57 36.799999 27.614025
"2012-11-29" 37.68 37.970001 37.5 27.915451
"2012-11-30" 37.939999 37.98 37.66 27.878693
"2012-12-03" 37.900002 37.939999 37.330002 27.481689
"2012-12-04" 37.310001 37.490002 37.139999 27.312592
"2012-12-05" 37.200001 37.5 37.080002 27.430223
"2012-12-06" 37.34 37.439999 37.299999 27.481689
"2012-12-07" 37.439999 37.740002 37.389999 27.724306
"2012-12-10" 37.700001 37.779999 37.509998 27.672827
"2012-12-11" 37.630001 37.990002 37.580002 27.834583
"2012-12-12" 37.889999 37.93 37.5 27.672827
"2012-12-13" 37.700001 37.790001 37.529999 27.643429
"2012-12-14" 37.52 37.77 37.5 27.687544
"2012-12-17" 37.790001 37.82 37.380001 27.569916
"2012-12-18" 37.529999 37.700001 37.130001 27.408163
"2012-12-19" 37.25 37.290001 36.77 27.040567
"2012-12-20" 36.689999 37.099998 36.650002 27.239065
"2012-12-21" 37 37.189999 36.529999 27.121439
"2012-12-24" 36.720001 36.799999 36.57 27.003813
"2012-12-26" 36.700001 36.799999 36.240002 26.775892
"2012-12-27" 36.349998 36.549999 36.200001 26.775892
"2012-12-28" 36.220001 36.419998 35.950001 26.445065
"2012-12-31" 35.880001 36.279999 35.580002 26.650917
"2013-01-02" 36.990002 37.599998 36.66 27.643429
"2013-01-03" 37.450001 37.599998 37.110001 27.643429
