"Index" "Open" "High" "Low" "Price"
"2012-09-17" 42.66 42.82 42.200001 40.023079
"2012-09-18" 42.290001 42.290001 41.810001 39.795944
"2012-09-19" 42.130001 42.150002 41.709999 39.483635
"2012-09-20" 41.549999 41.59 41.18 39.218632
"2012-09-21" 41.650002 41.84 41.400002 39.209164
"2012-09-24" 41.290001 41.689999 41.18 39.284866
"2012-09-25" 41.66 41.709999 41.169998 39.029362
"2012-09-26" 41.27 41.43 40.880001 38.764366
"2012-09-27" 41.09 41.32 40.950001 39.067223
"2012-09-28" 41.209999 41.450001 41.060001 39.048271
"2012-10-01" 41.369999 41.830002 41.369999 39.322742
"2012-10-02" 41.59 41.700001 41.27 39.303802
"2012-10-03" 41.599998 41.68 41.060001 39.076683
"2012-10-04" 41.52 41.959999 41.369999 39.710758
"2012-10-05" 42.169998 42.220001 41.740002 39.710758
"2012-10-08" 41.849998 42.139999 41.720001 39.824341
"2012-10-09" 42.080002 42.25 41.740002 39.559334
"2012-10-10" 41.75 41.830002 41.470001 39.322742
"2012-10-11" 41.849998 42.029999 41.599998 39.379524
"2012-10-12" 41.700001 41.73 41.150002 39.256493
"2012-10-15" 41.549999 41.779999 41.439999 39.455227
"2012-10-16" 41.860001 42.25 41.779999 39.84325
"2012-10-17" 42.209999 42.700001 42.189999 40.401646
"2012-10-18" 42.700001 43.360001 42.52 40.855904
"2012-10-19" 43.07 43.07 42.279999 40.231281
"2012-10-22" 42.93 42.93 42.130001 40.174492
"2012-10-23" 42.099998 42.169998 41.59 39.56879
"2012-10-24" 41.950001 42.130001 41.779999 39.767551
"2012-10-25" 42.389999 42.560001 41.970001 40.127186
"2012-10-26" 42.299999 42.470001 42.009998 40.117706
"2012-10-31" 42.5 42.619999 42.049999 40.013607
"2012-11-01" 42.27 42.93 42.049999 40.619286
"2012-11-02" 43.099998 43.130001 42.130001 39.900028
"2012-11-05" 42.060001 42.310001 41.84 39.9095
"2012-11-06" 42.299999 42.529999 42.16 40.060925
"2012-11-07" 41.919998 41.939999 41.130001 38.991501
"2012-11-08" 41.259998 41.43 40.610001 38.442593
"2012-11-09" 40.540001 41.41 40.5 38.925262
"2012-11-12" 41.220001 41.349998 40.709999 38.792767
"2012-11-13" 40.799999 41.189999 40.580002 38.433136
"2012-11-14" 40.630001 40.849998 39.84 37.780121
"2012-11-15" 39.98 40.169998 39.619999 37.69495
"2012-11-16" 39.869999 40.73 39.57 38.537239
"2012-11-19" 41.139999 41.25 40.650002 38.650803
"2012-11-20" 40.720001 40.900002 40.389999 38.546692
"2012-11-21" 40.950001 40.959999 40.700001 38.650803
"2012-11-23" 41.029999 41.299999 40.970001 39.08614
"2012-11-26" 41.099998 41.279999 40.889999 38.887402
"2012-11-27" 41.009998 41.27 40.73 38.556164
"2012-11-28" 40.529999 40.950001 40.34 38.720131
"2012-11-29" 40.98 41.240002 40.700001 38.833889
