"Index" "Open" "High" "Low" "Price"
"2012-09-17" 50.529999 50.77 49.970001 40.678387
"2012-09-18" 50.099998 50.400002 49.990002 40.767509
"2012-09-19" 50.439999 50.919998 50.349998 41.00251
"2012-09-20" 50.43 51.040001 50.43 41.083538
"2012-09-21" 51.07 51.349998 51.029999 41.456291
"2012-09-24" 50.779999 51.400002 50.52 41.504913
"2012-09-25" 51.23 51.68 51 41.359047
"2012-09-26" 51.139999 51.23 50.290001 41.164577
"2012-09-27" 50.970001 51.470001 50.849998 41.602161
"2012-09-28" 51.16 51.360001 50.540001 41.504913
"2012-10-01" 51.27 51.27 50.5 41.229412
"2012-10-02" 51.25 51.470001 51.009998 41.642662
"2012-10-03" 51.540001 51.93 51.310001 41.780437
"2012-10-04" 51.669998 51.790001 50.990002 41.423878
"2012-10-05" 51.48 52.23 51.27 42.112659
"2012-10-08" 51.669998 51.990002 51.459999 41.885769
"2012-10-09" 51.650002 51.939999 50.970001 41.407677
"2012-10-10" 51.18 51.27 50.799999 41.213203
"2012-10-11" 51.349998 51.57 50.790001 41.205086
"2012-10-12" 50.740002 50.740002 48.689999 39.576328
"2012-10-15" 47.84 48.299999 46.540001 37.971886
"2012-10-16" 46.790001 47.139999 46.73 38.052914
"2012-10-17" 46.970001 47.459999 46.810001 38.198769
"2012-10-18" 47.16 47.25 46.68 38.044834
"2012-10-19" 46.900002 46.939999 46.119999 37.542408
"2012-10-22" 46.48 46.529999 45.849998 37.534313
"2012-10-23" 45.869999 46.380001 45.619999 37.412754
"2012-10-24" 46.490002 46.830002 45.939999 37.80172
"2012-10-25" 46.82 47.259998 46.700001 38.133949
"2012-10-26" 47.169998 47.32 46.970001 38.198769
"2012-10-31" 46.740002 46.869999 45.73 37.096745
"2012-11-01" 45.790001 47.709999 45.75 38.620148
"2012-11-02" 47.959999 48 47.009998 38.458088
"2012-11-05" 47.200001 48.48 47.18 39.203594
"2012-11-06" 48.450001 49.470001 48.23 39.908569
"2012-11-07" 48.93 48.93 48.02 39.09824
"2012-11-08" 48.349998 48.82 47.889999 38.863255
"2012-11-09" 47.860001 49.049999 47.830002 39.422375
"2012-11-12" 48.459999 49.040001 47.790001 39.009098
"2012-11-13" 47.720001 48.439999 47.549999 38.847054
"2012-11-14" 48.200001 48.34 46.689999 37.971886
"2012-11-15" 46.91 47.200001 46.029999 37.518112
"2012-11-16" 46.299999 46.549999 45.740002 37.615337
"2012-11-19" 46.82 46.93 46.389999 37.753098
"2012-11-20" 46.439999 46.439999 45.939999 37.793941
"2012-11-21" 46.380001 46.419998 46.09 37.785778
"2012-11-23" 46.509998 46.830002 46.459999 38.251366
"2012-11-26" 46.82 47.060001 46.5 38.03899
"2012-11-27" 46.57 47.060001 46.459999 38.104336
"2012-11-28" 46.5 47.049999 46.169998 38.390217
"2012-11-29" 47.02 47.580002 46.779999 38.586258
"2012-11-30" 47.299999 47.470001 46.860001 38.496399
"2012-12-03" 47.169998 47.59 46.400002 37.91647
"2012-12-04" 46.470001 47.689999 46.400002 38.888466
"2012-12-05" 47.560001 48.07 47.18 39.190689
