"Index" "Open" "High" "Low" "Price"
"2012-09-17" 19.469999 19.530001 19.195 18.869337
"2012-09-18" 19.174999 19.235001 18.610001 18.457323
"2012-09-19" 18.959999 19.01 18.49 18.383747
"2012-09-20" 18.66 18.969999 18.6 18.540705
"2012-09-21" 18.99 19.24 18.83 18.511276
"2012-09-24" 17.16 19.08 17.16 18.638805
"2012-09-25" 18.98 19.459999 17.540001 18.844812
"2012-09-26" 19.200001 19.25 18.5 18.403368
"2012-09-27" 18.82 18.99 18.75 18.481848
"2012-09-28" 18.76 18.82 18.459999 18.128689
"2012-10-01" 18.559999 18.700001 18.379999 18.21698
"2012-10-02" 18.6 18.68 18.469999 18.275837
"2012-10-03" 18.76 19.07 18.639999 18.678045
"2012-10-04" 19.059999 19.35 19.059999 18.913481
"2012-10-05" 19.35 19.459999 19.209999 18.991961
"2012-10-08" 19.33 19.48 19.23 19.04101
"2012-10-09" 19.33 19.440001 19.219999 18.913481
"2012-10-10" 19.24 19.370001 19.17 18.88405
"2012-10-11" 19.33 19.82 19.299999 19.315689
"2012-10-12" 19.58 19.76 19.559999 19.25683
"2012-10-15" 19.59 20.16 19.59 19.747322
"2012-10-16" 20.190001 20.59 20.15 20.15934
"2012-10-17" 20.57 21.049999 20.43 20.473257
"2012-10-18" 20.9 21.219999 20.549999 20.404585
"2012-10-19" 20.690001 20.9 20.42 20.04162
"2012-10-22" 20.370001 20.74 20.139999 20.071049
"2012-10-23" 20.32 20.719999 20.08 19.914091
"2012-10-24" 20.309999 20.51 20.09 19.737514
"2012-10-25" 19.59 20.610001 19.5 19.668842
"2012-10-26" 20.1 20.860001 19.98 20.365347
"2012-10-31" 20.719999 21 20.360001 20.473257
"2012-11-01" 20.870001 21.9 20.809999 21.307095
"2012-11-02" 21.77 21.950001 20.969999 20.640026
"2012-11-05" 21.110001 21.35 21.07 20.86565
"2012-11-06" 21.450001 21.85 21.280001 21.405195
"2012-11-07" 21.6 21.690001 21.25 21.052038
"2012-11-08" 21.389999 21.639999 21.190001 20.953941
"2012-11-09" 21.24 21.59 21.09 20.787174
"2012-11-12" 21.360001 21.74 21.030001 20.679262
"2012-11-13" 20.950001 21.440001 20.75 20.483067
"2012-11-14" 21.07 21.209999 20.26 19.982759
"2012-11-15" 20.42 20.719999 20.25 20.247629
"2012-11-16" 20.75 20.92 20.35 20.463446
"2012-11-19" 21.07 21.4 20.98 20.846033
"2012-11-20" 21.190001 21.559999 21 21.052038
"2012-11-21" 21.5 21.74 21.09 21.297287
"2012-11-23" 21.84 22.09 21.57 21.591583
"2012-11-26" 21.959999 22.290001 21.51 21.218805
"2012-11-27" 21.799999 22.129999 21.440001 21.09128
"2012-11-28" 21.450001 21.860001 21.07 21.346336
"2012-11-29" 21.879999 21.950001 21.18 21.248238
"2012-11-30" 21.76 22 21.34 21.483675
"2012-12-03" 22.120001 22.24 21.65 21.365955
"2012-12-04" 21.74 21.860001 21.389999 21.159948
"2012-12-05" 21.73 21.91 21.450001 21.385576
"2012-12-06" 21.700001 21.85 21.35 21.06185
"2012-12-07" 21.26 21.620001 21.030001 21.13052
"2012-12-10" 21.709999 21.9 21.42 21.140327
"2012-12-11" 21.559999 21.76 21.32 21.110901
"2012-12-12" 21.77 21.77 21 20.855841
"2012-12-13" 21.309999 21.440001 20.790001 20.532116
"2012-12-14" 20.879999 20.93 20.540001 20.30649
"2012-12-17" 20.75 20.950001 20.65 20.355537
"2012-12-18" 20.82 21.030001 20.639999 20.532116
"2012-12-19" 21.02 21.120001 20.6 20.404585
"2012-12-20" 20.85 21.4 20.84 20.97356
