"Index" "Open" "High" "Low" "Price"
"2012-09-17" 92.290001 92.949997 92 68.563179
"2012-09-18" 91.93 92.089996 91.059998 68.236008
"2012-09-19" 91.720001 92.349998 91.559998 68.585487
"2012-09-20" 91.730003 91.889999 91.120003 67.797325
"2012-09-21" 91.349998 91.739998 91.050003 67.879105
"2012-09-24" 91.349998 91.489998 90.389999 67.693214
"2012-09-25" 91.199997 91.889999 91.050003 68.035255
"2012-09-26" 91.489998 92.669998 91.489998 68.340118
"2012-09-27" 92.18 92.5 91.43 68.749062
"2012-09-28" 92.279999 93.699997 92.080002 69.433136
"2012-10-01" 93.370003 93.980003 93.059998 69.477753
"2012-10-02" 93.550003 93.699997 92.279999 69.269569
"2012-10-03" 93.279999 93.650002 92.830002 69.217506
"2012-10-04" 93.580002 94.589996 93.5 70.280792
"2012-10-05" 94.800003 94.900002 94.129997 70.169258
"2012-10-08" 94.199997 94.589996 94 69.901573
"2012-10-09" 94.07 94.82 93.709999 69.685944
"2012-10-10" 93.82 93.82 92.480003 68.934944
"2012-10-11" 93.190002 93.440002 92.699997 68.942398
"2012-10-12" 93.059998 93.889999 92.5 69.12085
"2012-10-15" 92.75 92.940002 92.419998 68.778831
"2012-10-16" 92.860001 93.410004 92.709999 69.425682
"2012-10-17" 93.629997 93.980003 93.239998 69.581863
"2012-10-18" 93.580002 94.400002 93.190002 70.132072
"2012-10-19" 94.209999 94.300003 92.690002 69.06881
"2012-10-22" 92.650002 93.110001 92 68.979568
"2012-10-23" 92.279999 92.440002 91.389999 68.369827
"2012-10-24" 92.089996 94.959999 92.089996 69.834663
"2012-10-25" 94.519997 94.730003 92.809998 69.559555
"2012-10-26" 92.860001 93.68 92.260002 69.031624
"2012-10-31" 94.449997 94.540001 93.029999 69.64875
"2012-11-01" 93.769997 94.860001 93.660004 70.035416
"2012-11-02" 94.5 94.800003 93.5 69.685944
"2012-11-05" 93.489998 94.400002 92.849998 69.968498
"2012-11-06" 94.150002 95.919998 93.879997 70.541046
"2012-11-07" 92.489998 93.370003 89.379997 67.775024
"2012-11-08" 89.269997 90.980003 89.269997 66.86042
"2012-11-09" 89.5 90.760002 89.160004 66.905067
"2012-11-12" 89.82 90.139999 89.089996 66.778671
