"Index" "Open" "High" "Low" "Price"
"2012-09-17" 25.700001 25.84 25.32 20.383919
"2012-09-18" 25.290001 25.370001 24.85 20.271786
"2012-09-19" 25.309999 25.379999 25.02 20.223726
"2012-09-20" 24.940001 25.17 24.450001 20.023493
"2012-09-21" 25.26 25.389999 24.75 19.8633
"2012-09-24" 24.629999 24.959999 24.379999 19.855297
"2012-09-25" 24.91 24.98 24.219999 19.430798
"2012-09-26" 24.23 24.34 23.65 19.038338
"2012-09-27" 24.02 24.299999 23.780001 19.326675
"2012-09-28" 23.92 24.459999 23.76 19.374727
"2012-10-01" 24.33 24.73 23.879999 19.222555
"2012-10-02" 24.1 24.35 23.92 19.478859
"2012-10-03" 24.059999 24.25 23.52 19.334686
"2012-10-04" 24.33 24.66 24.18 19.735155
"2012-10-05" 24.860001 25.32 24.370001 19.598549
"2012-10-08" 24.16 24.6 24.040001 19.662836
"2012-10-09" 24.450001 24.66 24.110001 19.453909
"2012-10-10" 24.23 24.23 23.799999 19.309278
"2012-10-11" 24.370001 24.620001 24.059999 19.502123
"2012-10-12" 24.24 24.290001 23.549999 19.092316
"2012-10-15" 23.879999 24.059999 23.690001 19.285168
"2012-10-16" 24.25 25.030001 24.139999 19.968182
"2012-10-17" 25.01 25.67 24.790001 20.59495
"2012-10-18" 25.68 25.950001 25.459999 20.683344
"2012-10-19" 25.65 25.719999 25.139999 20.353886
"2012-10-22" 25.27 25.540001 25.030001 20.361921
"2012-10-23" 24.82 24.83 24.530001 19.9039
"2012-10-24" 24.92 25.08 24.629999 19.85569
"2012-10-25" 25 25.24 24.83 20.161036
"2012-10-26" 25 25.1 24.389999 19.831583
"2012-10-31" 24.66 25.040001 24.34 19.919971
"2012-11-01" 24.809999 25.530001 24.809999 20.434242
"2012-11-02" 25.98 26.08 25.1 20.249424
"2012-11-05" 25.07 25.440001 24.75 20.361921
"2012-11-06" 25.43 26.1 25.34 20.73959
"2012-11-07" 25.32 25.32 23.66 19.116421
