"Index" "Open" "High" "Low" "Price"
"2012-09-17" 29.49 29.75 29.139999 24.607418
"2012-09-18" 29.27 29.360001 28.85 24.565327
"2012-09-19" 29.299999 29.93 29.25 24.91049
"2012-09-20" 29.48 30.059999 29.34 25.25565
"2012-09-21" 29.969999 30.209999 29.73 25.415594
"2012-09-24" 30 30.09 29.700001 25.087273
"2012-09-25" 29.950001 30.559999 29.66 24.977835
"2012-09-26" 29.73 30.16 29.690001 25.264065
"2012-09-27" 30.030001 30.450001 29.889999 25.474524
"2012-09-28" 30.1 30.559999 30.1 25.457689
"2012-10-01" 30.309999 30.49 30.1 25.516621
"2012-10-02" 30.309999 30.459999 30.040001 25.499783
"2012-10-03" 30.43 30.799999 30.059999 25.844942
"2012-10-04" 30.780001 31.219999 30.709999 26.055408
"2012-10-05" 31.200001 32 31.200001 26.745729
"2012-10-08" 31.58 31.75 31.309999 26.560524
"2012-10-09" 31.450001 31.559999 31.110001 26.20694
"2012-10-10" 31.16 31.27 30.77 26.004894
"2012-10-11" 31.1 31.15 30.59 25.90387
"2012-10-12" 30.99 31.52 30.860001 26.249033
"2012-10-15" 31.719999 32.23 31.549999 27.107727
"2012-10-16" 32.349998 32.630001 32.16 27.234007
"2012-10-17" 32.59 32.98 32.400002 27.60442
"2012-10-18" 32.75 32.959999 32.490002 27.41921
"2012-10-19" 32.59 33.290001 32.380001 27.47814
"2012-10-22" 32.450001 32.73 32.16 27.67272
"2012-10-23" 32.279999 32.400002 32.040001 27.325859
"2012-10-24" 32.59 32.669998 32.25 27.317396
"2012-10-25" 32.59 32.619999 31.65 26.894394
"2012-10-26" 31.870001 32.080002 31.17 26.530624
"2012-10-31" 32.689999 32.84 31.790001 27.393541
"2012-11-01" 32.59 33 32.470001 27.884222
"2012-11-02" 33.049999 33.630001 33.029999 28.044966
"2012-11-05" 33.02 33.389999 33.02 27.968821
"2012-11-06" 33.029999 33.419998 33.029999 28.163403
"2012-11-07" 33.099998 33.200001 32.52 27.723486
"2012-11-08" 32.709999 32.91 32.080002 27.156664
"2012-11-09" 31.959999 31.99 31.32 26.623678
"2012-11-12" 31.77 32.209999 31.5 27.055134
"2012-11-13" 32.259998 32.880001 31.889999 27.046682
"2012-11-14" 32.110001 32.599998 31.91 27.055134
"2012-11-15" 31.98 32.169998 31.23 26.564457
"2012-11-16" 31.52 32.23 31.43 27.055134
"2012-11-19" 33.779999 34.5 33.73 28.730223
"2012-11-20" 33.959999 34.970001 33.93 29.14477
"2012-11-21" 34.150002 34.740002 34.049999 29.229364
"2012-11-23" 34.669998 35.150002 34.650002 29.736971
"2012-11-26" 34.889999 35.349998 34.549999 29.90616
"2012-11-27" 35.130001 35.369999 34.779999 29.897707
"2012-11-28" 35.099998 35.779999 34.709999 30.261482
"2012-11-29" 35.790001 36.27 35.57 30.126129
"2012-11-30" 35.529999 36.200001 35.259998 30.532207
"2012-12-03" 35.93 36.470001 35.880001 30.489908
"2012-12-04" 35.919998 36.009998 35.32 30.134596
"2012-12-05" 35.549999 35.669998 34.799999 29.779266
"2012-12-06" 35.16 35.25 34.810001 29.753872
"2012-12-07" 35.209999 35.490002 34.860001 29.703133
"2012-12-10" 35.16 35.25 34.73 29.449326
"2012-12-11" 34.84 34.990002 34.599998 29.457783
