"Index" "Open" "High" "Low" "Price"
"2012-09-17" 34.400002 34.419998 33.880001 29.984838
"2012-09-18" 33.93 34.009998 33.650002 29.667902
"2012-09-19" 32.549999 33 31.93 28.919607
"2012-09-20" 32.73 32.810001 32.470001 28.734732
"2012-09-21" 32.869999 33.040001 32.650002 28.972429
"2012-09-24" 32.560001 32.880001 32.419998 28.611483
"2012-09-25" 32.700001 32.939999 31.83 28.030445
"2012-09-26" 31.9 31.99 31.17 27.555058
"2012-09-27" 31.5 32.07 31.190001 27.977623
"2012-09-28" 31.690001 32.130001 31.360001 27.977623
"2012-10-01" 31.790001 32.360001 31.450001 27.792749
"2012-10-02" 31.700001 32.139999 31.620001 28.259336
"2012-10-03" 32.09 32.25 31.549999 27.951212
"2012-10-04" 31.85 31.91 31.33 27.977623
"2012-10-05" 31.92 32.810001 31.92 28.400198
"2012-10-08" 32.009998 32.439999 31.82 28.276939
"2012-10-09" 32.040001 32.470001 31.889999 28.285749
"2012-10-10" 32.029999 32.209999 31.73 28.074461
"2012-10-11" 32.200001 32.790001 31.98 28.796354
"2012-10-12" 32.57 32.990002 32.43 28.576263
"2012-10-15" 32.439999 32.959999 32.360001 28.761143
"2012-10-16" 32.82 33.540001 32.639999 29.439009
"2012-10-17" 33.099998 33.740002 33.09 29.562258
"2012-10-18" 34 36.720001 33.75 31.701519
"2012-10-19" 35.93 36 35.049999 31.138092
"2012-10-22" 35.400002 36.040001 35.09 31.560663
"2012-10-23" 35.43 35.790001 35.119999 31.278938
"2012-10-24" 35.709999 35.919998 35.029999 31.208523
"2012-10-25" 35.740002 35.970001 35.450001 31.411003
"2012-10-26" 35.669998 35.959999 35.02 31.129292
"2012-10-31" 35.450001 35.709999 35.150002 31.164507
"2012-11-01" 35.490002 36.93 35.459999 32.502632
"2012-11-02" 36.900002 36.950001 36.049999 31.745543
"2012-11-05" 35.959999 37.169998 35.900002 32.432209
"2012-11-06" 37.630001 38.139999 37.330002 33.180511
"2012-11-07" 37.27 37.290001 35.950001 31.842373
"2012-11-08" 36.119999 36.529999 35.939999 31.639889
"2012-11-09" 36.02 36.98 35.93 32.071274
"2012-11-12" 36.509998 36.900002 36.279999 32.291359
"2012-11-13" 36.299999 36.720001 36.209999 31.965633
"2012-11-14" 36.529999 36.540001 35.349998 31.173296
"2012-11-15" 35.48 35.59 34.400002 30.477829
"2012-11-16" 34.66 34.720001 33.880001 30.389788
"2012-11-19" 34.889999 35.220001 34.470001 30.530647
"2012-11-20" 34.560001 34.689999 34.130001 30.416212
"2012-11-21" 34.700001 34.720001 34.310001 30.372183
"2012-11-23" 34.790001 35.619999 34.560001 31.111671
"2012-11-26" 35.209999 35.720001 35.209999 31.032457
"2012-11-27" 34.900002 35.470001 34.720001 30.733131
"2012-11-28" 34.810001 35.459999 34.34 31.182117
"2012-11-29" 35.509998 35.790001 34.990002 30.953224
"2012-11-30" 35.240002 35.419998 35.049999 30.918003
"2012-12-03" 35.279999 35.439999 34.790001 30.689121
"2012-12-04" 34.810001 35.549999 34.700001 31.261345
"2012-12-05" 35.509998 35.540001 34.93 31.041262
"2012-12-06" 35.18 35.400002 34.880001 30.900398
"2012-12-07" 35.240002 35.599998 35.110001 31.217327
"2012-12-10" 35.299999 36.150002 35.279999 31.736734
"2012-12-11" 36.130001 36.650002 35.990002 32.000839
"2012-12-12" 36.470001 36.790001 36 31.736734
"2012-12-13" 35.950001 36.5 35.68 31.903997
"2012-12-14" 36.09 36.639999 36.09 32.018444
"2012-12-17" 36.34 36.91 35.959999 31.939213
"2012-12-18" 36.290001 36.98 36.209999 32.449825
"2012-12-19" 36.830002 37.169998 36.490002 32.132896
"2012-12-20" 36.639999 36.849998 36.240002 32.212124
"2012-12-21" 36.080002 36.5 35.810001 31.903997
"2012-12-24" 36.099998 37.18 35.970001 32.529053
"2012-12-26" 36.950001 37 36.369999 32.088882
"2012-12-27" 36.419998 36.450001 35.540001 31.675112
"2012-12-28" 35.790001 36.310001 35.639999 31.402191
"2012-12-31" 35.709999 36.240002 35.32 31.807165
"2013-01-02" 37.02 38.759998 36.84 34.096088
"2013-01-03" 38.060001 38.459999 37.59 33.435829
"2013-01-04" 38.049999 38.310001 37.959999 33.515049
"2013-01-07" 37.77 37.919998 37.349998 33.074871
"2013-01-08" 37.5 37.720001 36.919998 32.555462
"2013-01-09" 37.099998 37.360001 37.049999 32.828381
"2013-01-10" 37.75 38.279999 37.619999 33.321373
"2013-01-11" 37.93 38.459999 37.93 33.840778
"2013-01-14" 38.25 38.610001 37.779999 33.647118
"2013-01-15" 37.919998 38.439999 37.889999 33.523861
"2013-01-16" 37.98 38.380001 37.98 33.735134
"2013-01-17" 38.360001 40.23 38.360001 35.275753
"2013-01-18" 40.130001 41.220001 39.869999 35.319775
"2013-01-22" 40.09 40.27 39.75 35.284565
"2013-01-23" 40.27 40.419998 39.650002 35.302162
"2013-01-24" 39.68 40.189999 38.669998 34.791561
"2013-01-25" 39.970001 42.119999 39.91 36.833981
"2013-01-28" 41.59 42.240002 41.540001 36.745937
"2013-01-29" 41.540001 41.82 41.029999 36.737141
"2013-01-30" 41.630001 41.990002 41.52 36.657909
"2013-01-31" 41.779999 41.950001 41.040001 36.217731
"2013-02-01" 41.380001 42 41.369999 36.728333
"2013-02-04" 41.459999 42.759998 41.41 36.939632
"2013-02-05" 42.110001 42.689999 42.009998 37.49424
"2013-02-06" 42.27 42.759998 41.970001 37.476646
"2013-02-07" 42.32 42.52 41.900002 37.318161
"2013-02-08" 42.52 43.119999 42.439999 37.511852
"2013-02-11" 42.709999 42.849998 42.299999 37.599895
"2013-02-12" 42.889999 42.889999 42.380001 37.714333
"2013-02-13" 42.98 43.380001 42.709999 37.793568
"2013-02-14" 42.860001 43.349998 42.619999 37.767159
"2013-02-15" 43 43 42.32 37.415024
"2013-02-19" 42.650002 43.220001 42.57 37.626305
"2013-02-20" 42.869999 42.98 41.860001 36.939632
"2013-02-21" 42.040001 42.040001 40.740002 36.015251
"2013-02-22" 40.740002 42.18 40.740002 37.001251
"2013-02-25" 42.16 42.669998 40.849998 35.971237
"2013-02-26" 41.060001 41.849998 40.98 36.666718
"2013-02-27" 41.619999 42.689999 41.439999 37.415024
"2013-02-28" 42.52 42.860001 42.279999 37.238941
"2013-03-01" 42.09 42.84 41.68 37.573479
"2013-03-04" 42.400002 42.75 41.990002 37.49424
"2013-03-05" 42.919998 43.919998 42.720001 37.960838
"2013-03-06" 43.459999 43.779999 42.919998 37.952034
"2013-03-07" 43.150002 43.389999 42.68 37.679127
"2013-03-08" 43.16 43.16 42.470001 37.74955
"2013-03-11" 42.630001 42.849998 42.279999 37.335785
"2013-03-12" 42.380001 42.740002 41.869999 37.25655
"2013-03-13" 42.48 42.48 41.709999 37.1157
"2013-03-14" 42.380001 42.84 42.32 37.344585
"2013-03-15" 42.330002 42.549999 41.040001 36.675514
"2013-03-18" 41.139999 41.450001 40.799999 36.19133
"2013-03-19" 41.130001 41.310001 40.439999 36.02404
"2013-03-20" 41.220001 41.509998 40.990002 36.235348
"2013-03-21" 40.75 41.139999 40.490002 35.768749
"2013-03-22" 40.75 41.009998 40.450001 35.707127
"2013-03-25" 40.869999 41.060001 40.68 36.032867
"2013-03-26" 41.09 41.279999 40.869999 36.235348
"2013-03-27" 40.84 41 40.439999 35.997643
"2013-03-28" 40.939999 41.540001 40.720001 36.499435
"2013-04-01" 41.34 41.419998 40.700001 35.918419
"2013-04-02" 40.91 41.200001 40.490002 35.821575
"2013-04-03" 40.849998 41.09 40.189999 35.627899
"2013-04-04" 40.439999 41.299999 40.27 36.296963
"2013-04-05" 40.610001 40.959999 40.060001 35.89201
