"Index" "Open" "High" "Low" "Price"
"2012-09-17" 9.01 9.11 8.9 8.443872
"2012-09-18" 9.05 9.06 8.86 8.322575
"2012-09-19" 8.99 9.14 8.96 8.453201
"2012-09-20" 9 9.05 8.87 8.341238
"2012-09-21" 9.02 9.04 8.8 8.247937
"2012-09-24" 8.82 8.99 8.79 8.294587
"2012-09-25" 8.87 8.95 8.82 8.247937
"2012-09-26" 8.82 8.98 8.82 8.322575
"2012-09-27" 8.93 8.96 8.8 8.285254
"2012-09-28" 8.87 8.87 8.75 8.182624
"2012-10-01" 8.78 8.94 8.75 8.266596
"2012-10-02" 8.85 8.98 8.85 8.378558
"2012-10-03" 9 9.14 8.93 8.527844
"2012-10-04" 9.16 9.16 9.05 8.49052
"2012-10-05" 9.06 9.17 8.84 8.369228
"2012-10-08" 8.99 9.03 8.86 8.266596
"2012-10-09" 8.85 8.89 8.74 8.163961
"2012-10-10" 8.78 8.87 8.7 8.182624
"2012-10-11" 8.8 8.83 8.71 8.126642
"2012-10-12" 8.68 8.88 8.68 8.247937
"2012-10-15" 8.87 8.92 8.81 8.294587
"2012-10-16" 8.91 9 8.86 8.285254
"2012-10-17" 8.89 9.03 8.85 8.350568
"2012-10-18" 8.98 9.1 8.95 8.378558
"2012-10-19" 9.03 9.1 8.86 8.285254
"2012-10-22" 8.9 8.95 8.7 8.238606
"2012-10-23" 8.78 8.83 8.68 8.201283
"2012-10-24" 8.81 8.88 8.71 8.163961
"2012-10-25" 8.8 8.92 8.74 8.238606
"2012-10-26" 8.84 8.9 8.69 8.154631
"2012-10-31" 8.75 8.92 8.74 8.229271
"2012-11-01" 8.82 9.07 8.82 8.443872
"2012-11-02" 9.07 9.1 8.95 8.425209
"2012-11-05" 9.03 9.09 8.99 8.434538
"2012-11-06" 9.04 9.16 8.98 8.537173
"2012-11-07" 9.06 9.13 8.93 8.406551
"2012-11-08" 9.01 9.22 8.99 8.565166
"2012-11-09" 9.14 9.32 9.03 8.453201
"2012-11-12" 9.08 9.13 8.97 8.462529
"2012-11-13" 9.01 9.21 9 8.425209
"2012-11-14" 9.03 9.1 8.75 8.173294
"2012-11-15" 8.74 8.95 8.74 8.247937
"2012-11-16" 8.82 8.94 8.7 8.331909
"2012-11-19" 9 9.11 8.92 8.49052
"2012-11-20" 9.12 9.15 8.99 8.499854
"2012-11-21" 9.11 9.28 9.06 8.611815
"2012-11-23" 9.24 9.37 9.21 8.742437
"2012-11-26" 9.3 9.4 9.16 8.77043
"2012-11-27" 9.37 9.44 9.29 8.667797
"2012-11-28" 9.29 9.48 9.24 8.798421
"2012-11-29" 9.46 9.55 9.43 8.863732
"2012-11-30" 9.5 9.58 9.46 8.891724
"2012-12-03" 9.58 9.58 9.42 8.80775
"2012-12-04" 9.47 9.68 9.47 8.99455
"2012-12-05" 9.6 9.82 9.59 9.143995
"2012-12-06" 9.79 9.88 9.77 9.228058
"2012-12-07" 9.87 9.89 9.73 9.162676
"2012-12-10" 9.75 9.92 9.7 9.190696
"2012-12-11" 9.88 10.2 9.85 9.452218
"2012-12-12" 10.13 10.17 9.96 9.358818
"2012-12-13" 10.03 10.23 10 9.470899
"2012-12-14" 10.18 10.41 10.13 9.5176
"2012-12-17" 10.25 10.43 10.24 9.676381
"2012-12-18" 10.36 10.51 10.34 9.807143
"2012-12-19" 10.43 10.61 10.39 9.863186
"2012-12-20" 10.58 10.58 10.43 9.844504
"2012-12-21" 10.44 10.55 10.35 9.769784
"2012-12-24" 10.47 10.53 10.37 9.741762
"2012-12-26" 10.42 10.5 10.3 9.629682
"2012-12-27" 10.32 10.37 10.13 9.582979
"2012-12-28" 10.19 10.26 10.16 9.489581
"2012-12-31" 10.13 10.25 10.1 9.5643
"2013-01-02" 10.45 10.5 10.36 9.779124
"2013-01-03" 10.46 10.77 10.44 10.012629
"2013-01-04" 10.75 10.92 10.73 10.162068
"2013-01-07" 10.9 11.02 10.8 10.190087
"2013-01-08" 11.23 11.27 11 10.302171
"2013-01-09" 11.04 11.16 10.94 10.274151
"2013-01-10" 11.09 11.09 10.94 10.33953
"2013-01-11" 11.09 11.16 11 10.320853
"2013-01-14" 11.05 11.13 11.01 10.292831
"2013-01-15" 10.98 11.13 10.94 10.348873
"2013-01-16" 11.05 11.35 11.05 10.535675
"2013-01-17" 11.34 11.43 11.17 10.647756
"2013-01-18" 11.38 11.45 11.15 10.516995
"2013-01-22" 11.28 11.6 11.19 10.722476
"2013-01-23" 11.57 11.59 11.31 10.610395
"2013-01-24" 11.47 11.62 11.38 10.694456
"2013-01-25" 11.46 11.55 11.42 10.685116
"2013-01-28" 11.54 11.54 11.37 10.675776
"2013-01-29" 11.35 11.42 11.2 10.582376
"2013-01-30" 11.36 11.4 11.23 10.498313
"2013-01-31" 11.22 11.38 11.21 10.470295
"2013-02-01" 11.29 11.45 11.22 10.488975
"2013-02-04" 11.22 11.38 11.15 10.442272
"2013-02-05" 11.28 11.36 11.22 10.526332
"2013-02-06" 11.21 11.5 11.21 10.713138
"2013-02-07" 11.47 11.65 11.41 10.8439
"2013-02-08" 11.6 11.73 11.53 10.871921
"2013-02-11" 11.67 11.76 11.63 10.881261
"2013-02-12" 11.65 11.66 11.51 10.787859
"2013-02-13" 11.57 11.66 11.54 10.8439
"2013-02-14" 11.6 11.6 11.38 10.713138
"2013-02-15" 11.53 11.76 11.5 10.83456
"2013-02-19" 11.64 11.7 11.56 10.927962
"2013-02-20" 11.66 11.69 11.41 10.675776
"2013-02-21" 11.42 11.48 11.31 10.694456
"2013-02-22" 11.47 11.63 11.45 10.83456
"2013-02-25" 11.63 11.72 11.31 10.573035
"2013-02-26" 11.35 11.41 11.23 10.647756
"2013-02-27" 11.38 11.82 11.38 11.040041
"2013-02-28" 11.82 11.9 11.64 10.927962
"2013-03-01" 11.66 11.95 11.66 11.040041
"2013-03-04" 11.76 12.09 11.75 11.245527
"2013-03-05" 12.13 12.15 11.98 11.320308
"2013-03-06" 12.17 12.21 11.98 11.264222
"2013-03-07" 11.97 12.12 11.94 11.301617
"2013-03-08" 12.25 12.3 12.14 11.460527
"2013-03-11" 12.19 12.33 12.07 11.525963
"2013-03-12" 12.34 12.46 12.29 11.535313
"2013-03-13" 12.35 12.53 12.35 11.638139
"2013-03-14" 12.46 12.55 12.37 11.731618
"2013-03-15" 12.52 12.55 12.36 11.572702
"2013-03-18" 12.29 12.6 12.14 11.740965
"2013-03-19" 12.6 12.69 12.49 11.815745
"2013-03-20" 12.68 12.84 12.62 11.955964
"2013-03-21" 12.72 12.9 12.72 11.927922
"2013-03-22" 12.79 12.93 12.61 12.03075
"2013-03-25" 12.95 12.99 12.75 12.021403
"2013-03-26" 12.87 13.06 12.82 12.105532
"2013-03-27" 12.86 13.25 12.84 12.329883
"2013-03-28" 13.25 13.58 13.21 12.600971
"2013-04-01" 13.47 13.51 13.18 12.367275
"2013-04-02" 13.19 13.22 12.62 11.853142
"2013-04-03" 12.69 12.87 12.48 11.722271
"2013-04-04" 12.54 12.85 12.54 11.965316
"2013-04-05" 12.6 12.83 12.45 11.974662
"2013-04-08" 12.83 12.95 12.64 12.086839
"2013-04-09" 12.93 13.04 12.79 12.058794
"2013-04-10" 12.9 13.14 12.9 12.189665
"2013-04-11" 13.06 13.25 13 12.236404
"2013-04-12" 13.06 13.22 13.03 12.292493
"2013-04-15" 13.11 13.2 12.61 11.843792
"2013-04-16" 12.86 13.18 12.81 12.320534
"2013-04-17" 13.12 13.2 12.9 12.292493
"2013-04-18" 13.16 13.16 12.93 12.133577
"2013-04-19" 13.02 13.4 12.96 12.470099
"2013-04-22" 13.46 13.48 13.11 12.311187
"2013-04-23" 13.19 13.45 13.14 12.470099
"2013-04-24" 13.38 13.45 13.19 12.544884
"2013-04-25" 13.52 13.61 13.33 12.544884
"2013-04-26" 13.49 13.53 13.3 12.516841
"2013-04-29" 13.45 13.6 13.4 12.657059
"2013-04-30" 13.55 13.77 13.48 12.806624
"2013-05-01" 13.71 13.82 13.4 12.600971
"2013-05-02" 13.49 13.83 13.48 12.862713
"2013-05-03" 13.89 14.11 13.83 13.152496
"2013-05-06" 14.08 14.32 14.03 13.320758
"2013-05-07" 14.27 14.35 14.21 13.302065
"2013-05-08" 14.27 14.49 14.23 13.395541
"2013-05-09" 14.37 14.42 14.06 13.171193
"2013-05-10" 14.11 14.27 14.1 13.236629
"2013-05-13" 14.15 14.17 13.94 13.040322
"2013-05-14" 13.98 14.11 13.96 13.068367
"2013-05-15" 13.98 14.47 13.98 13.404895
"2013-05-16" 14.37 14.49 14.03 13.217932
"2013-05-17" 14.35 14.45 14.3 13.442282
"2013-05-20" 14.38 14.55 14.13 13.320758
"2013-05-21" 14.23 14.56 14.23 13.376848
"2013-05-22" 14.3 14.39 13.96 13.115105
"2013-05-23" 13.9 14.4 13.87 13.432937
"2013-05-24" 14.26 14.35 14.06 13.348804
"2013-05-28" 14.4 14.44 14.15 13.339457
"2013-05-29" 14.19 14.28 14.06 13.208587
"2013-05-30" 14.18 14.37 14.18 13.339457
"2013-05-31" 14.22 14.36 14.17 13.245974
"2013-06-03" 14.18 14.28 13.84 13.124108
"2013-06-04" 13.99 14.2 13.8 13.049115
"2013-06-05" 13.88 13.92 13.58 12.777261
"2013-06-06" 13.57 13.69 13.19 12.655394
"2013-06-07" 13.65 13.94 13.63 13.01162
"2013-06-10" 13.94 14.06 13.89 13.105361
"2013-06-11" 13.82 14.05 13.73 13.077236
"2013-06-12" 14.07 14.1 13.77 13.002243
"2013-06-13" 13.85 14.06 13.81 13.105361
"2013-06-14" 13.92 14.01 13.83 13.002243
"2013-06-17" 13.93 13.94 13.66 12.917872
"2013-06-18" 13.8 13.9 13.7 12.992868
"2013-06-19" 13.86 13.87 13.69 12.833506
"2013-06-20" 13.56 13.7 13.51 12.683514
"2013-06-21" 13.63 13.71 13.35 12.636643
"2013-06-24" 13.35 13.35 13.12 12.477279
"2013-06-25" 13.37 13.44 13.29 12.514777
"2013-06-26" 13.18 13.26 12.92 12.158552
"2013-06-27" 13.02 13.23 12.79 12.224172
"2013-06-28" 12.99 13.05 12.83 12.083555
"2013-07-01" 12.96 13.25 12.94 12.289792
"2013-07-02" 13.09 13.12 12.67 11.914816
"2013-07-03" 12.67 12.88 12.58 11.914816
"2013-07-05" 12.77 12.86 12.71 11.989811
"2013-07-08" 12.86 12.91 12.76 12.102304
"2013-07-09" 12.97 13.15 12.93 12.280417
"2013-07-10" 13.09 13.25 12.96 12.317915
"2013-07-11" 13.25 13.33 13.09 12.45853
"2013-07-12" 13.29 13.48 13.24 12.617893
"2013-07-15" 13.46 13.57 13.38 12.636643
"2013-07-16" 13.52 13.61 13.38 12.561648
"2013-07-17" 13.43 13.8 13.16 12.796007
"2013-07-18" 13.64 13.9 13.54 12.917872
"2013-07-19" 13.82 13.9 13.72 12.946
"2013-07-22" 13.78 13.88 13.74 13.002243
"2013-07-23" 13.87 13.92 13.73 13.02099
"2013-07-24" 13.95 14.02 13.75 12.899123
"2013-07-25" 13.62 13.81 13.24 12.946
"2013-07-26" 13.65 13.8 13.47 12.92725
"2013-07-29" 13.77 13.8 13.65 12.842877
"2013-07-30" 13.77 13.98 13.66 12.95537
"2013-07-31" 13.86 13.95 13.78 12.964746
"2013-08-01" 13.91 14.22 13.91 13.311596
"2013-08-02" 14.14 14.22 14.06 13.302224
"2013-08-05" 14.13 14.24 14.09 13.208479
"2013-08-06" 14.05 14.09 13.79 13.011057
"2013-08-07" 13.8 13.93 13.7 12.945251
"2013-08-08" 13.86 13.91 13.78 13.02986
"2013-08-09" 13.82 13.91 13.69 12.917049
"2013-08-12" 13.68 13.83 13.64 12.898245
"2013-08-13" 13.77 13.82 13.22 12.663218
"2013-08-14" 13.46 13.59 13.25 12.691422
"2013-08-15" 13.38 13.44 13.25 12.522202
"2013-08-16" 13.35 13.53 13.32 12.541005
"2013-08-19" 13.27 13.27 12.99 12.324781
"2013-08-20" 13.09 13.26 13.04 12.362387
"2013-08-21" 13.13 13.18 13.03 12.268376
"2013-08-22" 13.07 13.26 13.06 12.399988
"2013-08-23" 13.24 13.29 13.14 12.475197
"2013-08-26" 13.28 13.36 13.2 12.475197
"2013-08-27" 13.1 13.13 12.74 12.033349
"2013-08-28" 12.78 12.84 12.67 12.005144
"2013-08-29" 12.76 12.88 12.64 12.023944
"2013-08-30" 12.83 12.93 12.75 12.042747
"2013-09-03" 12.97 13.04 12.73 12.052149
"2013-09-04" 12.87 13.02 12.82 12.23077
"2013-09-05" 13.03 13.14 12.97 12.305979
"2013-09-06" 13.12 13.26 12.94 12.315381
"2013-09-09" 13.04 13.32 12.98 12.475197
"2013-09-10" 13.36 13.9 13.36 13.067463
"2013-09-11" 13.87 13.96 13.71 13.020458
"2013-09-12" 13.86 13.89 13.69 12.926449
"2013-09-13" 13.76 13.96 13.76 13.067463
"2013-09-16" 14.06 14.3 14.02 13.255485
"2013-09-17" 14.24 14.3 14.09 13.368297
"2013-09-18" 14.18 14.33 14.02 13.396501
"2013-09-19" 14.26 14.58 14.22 13.66913
"2013-09-20" 14.63 14.66 14.36 13.546917
"2013-09-23" 14.43 14.51 14.31 13.565719
"2013-09-24" 14.46 14.82 14.43 13.819547
"2013-09-25" 14.72 14.73 14.49 13.716137
"2013-09-26" 14.58 14.75 14.55 13.819547
"2013-09-27" 14.56 14.76 14.44 13.763144
"2013-09-30" 14.46 14.64 14.11 13.687935
"2013-10-01" 14.58 14.83 14.56 13.847749
"2013-10-02" 14.73 14.78 14.48 13.791345
"2013-10-03" 14.6 14.76 14.49 13.83835
"2013-10-04" 14.68 14.93 14.64 13.99817
"2013-10-07" 14.79 15.01 14.73 13.979364
"2013-10-08" 14.89 15.01 14.82 13.932361
"2013-10-09" 14.84 15.07 14.81 14.054577
"2013-10-10" 15.08 15.14 14.99 14.214392
"2013-10-11" 15.1 15.32 15.05 14.317803
"2013-10-14" 15.14 15.33 15.11 14.393012
"2013-10-15" 15.3 15.39 15.2 14.289601
"2013-10-16" 15.25 15.61 15.25 14.665644
"2013-10-17" 15.68 16.110001 15.65 15.051085
"2013-10-18" 16.09 16.18 16.030001 15.107493
"2013-10-21" 16.049999 16.15 15.96 15.126295
