"Index" "Open" "High" "Low" "Price"
"2012-09-17" 9.12 9.15 8.9 8.95
"2012-09-18" 8.93 9.01 8.91 8.99
"2012-09-19" 8.75 9.21 8.75 9
"2012-09-20" 8.92 8.98 8.76 8.92
"2012-09-21" 9.03 9.08 8.64 8.71
"2012-09-24" 8.66 8.92 8.66 8.78
"2012-09-25" 8.84 8.91 8.57 8.6
"2012-09-26" 8.6 8.69 8.41 8.43
"2012-09-27" 8.49 8.54 8.37 8.5
"2012-09-28" 8.44 8.66 8.42 8.61
"2012-10-01" 8.65 8.75 8.52 8.55
"2012-10-02" 8.57 8.65 8.53 8.54
"2012-10-03" 8.57 8.59 8.16 8.28
"2012-10-04" 8.3 8.41 8.2 8.34
"2012-10-05" 8.36 8.7 8.36 8.7
"2012-10-08" 8.68 8.97 8.6 8.95
"2012-10-09" 8.93 9.03 8.7 8.7
"2012-10-10" 8.73 8.99 8.61 8.85
"2012-10-11" 8.9 8.95 8.62 8.71
"2012-10-12" 8.69 8.72 8.45 8.56
"2012-10-15" 8.56 8.64 8.49 8.53
"2012-10-16" 8.58 8.63 8.45 8.6
"2012-10-17" 8.62 8.74 8.56 8.7
"2012-10-18" 8.72 8.92 8.7 8.87
"2012-10-19" 8.75 8.93 8.63 8.92
"2012-10-22" 8.87 9.09 8.85 9.04
"2012-10-23" 8.93 9.06 8.8 9
"2012-10-24" 9.03 9.07 8.88 8.97
"2012-10-25" 9.02 9.09 8.97 9.05
"2012-10-26" 9.07 9.08 8.94 9.01
"2012-10-31" 9.02 9.15 8.92 9.15
"2012-11-01" 9.18 9.48 9.09 9.4
"2012-11-02" 9.43 9.45 9.21 9.24
"2012-11-05" 9.22 9.23 9.11 9.17
"2012-11-06" 9.35 9.64 9.25 9.42
"2012-11-07" 9.27 9.37 9.14 9.22
"2012-11-08" 9.18 9.26 8.82 8.85
"2012-11-09" 8.8 8.88 8.71 8.71
"2012-11-12" 8.75 8.81 8.5 8.56
"2012-11-13" 8.5 8.72 8.5 8.6
"2012-11-14" 8.63 8.7 8.39 8.47
"2012-11-15" 8.45 8.63 8.41 8.6
"2012-11-16" 8.56 8.64 8.5 8.56
"2012-11-19" 8.67 8.73 8.58 8.72
"2012-11-20" 8.67 8.73 8.6 8.71
"2012-11-21" 8.76 8.77 8.6 8.72
"2012-11-23" 8.76 8.87 8.68 8.84
"2012-11-26" 8.79 8.95 8.74 8.94
"2012-11-27" 8.96 9.04 8.82 8.83
"2012-11-28" 8.79 8.86 8.61 8.85
"2012-11-29" 8.94 9.21 8.75 8.83
"2012-11-30" 8.84 8.93 8.73 8.78
"2012-12-03" 8.82 8.88 8.63 8.77
"2012-12-04" 8.8 8.8 8.66 8.77
"2012-12-05" 8.77 8.83 8.7 8.75
"2012-12-06" 8.73 8.77 8.63 8.71
"2012-12-07" 8.74 8.8 8.61 8.69
"2012-12-10" 8.7 8.77 8.68 8.77
"2012-12-11" 8.81 8.98 8.78 8.9
"2012-12-12" 8.97 9.06 8.95 9.02
"2012-12-13" 9.03 9.07 8.95 9.02
"2012-12-14" 8.97 9.09 8.94 9.05
"2012-12-17" 9.08 9.29 8.98 9.29
"2012-12-18" 9.29 9.48 9.21 9.46
"2012-12-19" 9.48 9.69 9.43 9.52
"2012-12-20" 9.54 9.6 9.42 9.46
"2012-12-21" 9.41 9.45 9.2 9.36
"2012-12-24" 9.32 9.44 9.17 9.33
"2012-12-26" 9.38 9.45 9.21 9.23
"2012-12-27" 9.21 9.3 8.87 9.13
