"Index" "Open" "High" "Low" "Price"
"2012-09-17" 45.431999 45.630001 45.25 42.789906
"2012-09-18" 45.299999 45.499001 45.074001 42.740845
"2012-09-19" 45.285999 45.540001 45.169998 42.637997
"2012-09-20" 44.752998 45.931999 44.724998 42.854057
"2012-09-21" 45.931 46.179001 45.685001 43.357929
"2012-09-24" 45.75 45.75 45.307999 42.958805
"2012-09-25" 45.759998 45.772999 45.129002 42.603092
"2012-09-26" 45.132 45.201 44.577 42.067154
"2012-09-27" 44.759998 45.216999 44.698002 42.664425
"2012-09-28" 45.112999 45.252998 44.863998 42.599312
"2012-10-01" 45.318001 46.013 45.25 43.109779
"2012-10-02" 45.695999 45.880001 45.401001 43.18148
"2012-10-03" 45.900002 47.467999 45.766998 44.70155
"2012-10-04" 47.275002 47.5 47.140999 44.807205
"2012-10-05" 47.799999 48.299999 47.286999 44.872353
"2012-10-08" 47.424 47.548 46.981998 44.557011
"2012-10-09" 47.226002 47.299999 46.126999 43.891392
"2012-10-10" 46.499001 46.516998 46.048 43.627975
"2012-10-11" 46.717999 47.582001 46.501999 44.617443
"2012-10-12" 47.27 47.604 46.946999 44.692024
"2012-10-15" 47.234001 47.695 47.174999 44.92429
"2012-10-16" 47.928001 48.151001 47.609001 45.225468
"2012-10-17" 48.598999 48.608002 47.916 45.60218
"2012-10-18" 48.247002 48.564999 47.437 44.925232
"2012-10-19" 47.463001 47.681 46.790001 44.380451
"2012-10-22" 47.298 47.298 46.200001 44.084938
"2012-10-23" 46.255001 46.474998 45.799999 43.417427
"2012-10-24" 46.474998 46.501999 45.299999 42.915146
"2012-10-25" 45.650002 45.858002 44.737999 42.426086
"2012-10-26" 44.936001 45.77 44.820999 42.767864
"2012-10-31" 45.251999 46.5 45.118 43.51844
"2012-11-01" 46.341 47.499001 46.207001 44.251114
"2012-11-02" 47.153999 47.699001 46.868 44.322857
"2012-11-05" 46.726002 47.096001 46.467999 43.964085
"2012-11-06" 46.855999 47.289001 46.719002 44.542858
"2012-11-07" 47 47.118999 46.151001 43.874397
"2012-11-08" 46.431999 46.820999 46.18 43.600609
"2012-11-09" 45.852001 46.869999 45.848 43.870617
"2012-11-12" 46.568001 47.097 46.306999 44.374798
"2012-11-13" 46.709999 47.692001 46.473999 44.489983
"2012-11-14" 47.266998 47.398998 46.233002 43.743176
"2012-11-15" 46.292999 46.292999 45.356998 43.162518
"2012-11-16" 45.846001 47.046001 45.601002 43.864021
"2012-11-19" 46.939999 47.868 46.839001 45.194317
"2012-11-20" 47.904999 48.257999 47.222 45.0895
"2012-11-21" 47.841999 48.07 47.755001 45.265125
"2012-11-23" 48.084999 48.200001 47.799999 45.436016
"2012-11-26" 48.018002 48.278 47.828999 45.321766
"2012-11-27" 48.008999 48.368 47.790001 45.176373
"2012-11-28" 47.573002 48.158001 47.477001 45.461494
"2012-11-29" 48.419998 49.075001 48.324001 45.905251
"2012-11-30" 48.577999 48.986 48.383999 46.138458
"2012-12-03" 49.099998 49.451 48.556999 45.946796
"2012-12-04" 48.763 48.799999 48.057999 45.641838
"2012-12-05" 48.299999 48.400002 47.439999 45.130104
"2012-12-06" 47.575001 48.088001 47.386002 45.402031
"2012-12-07" 48.165001 48.284 47.601002 44.949783
"2012-12-10" 48.035999 48.046001 47.548 45.281178
"2012-12-11" 48 48.5 47.915001 45.462456
"2012-12-12" 48.200001 48.737999 48.02 45.643711
"2012-12-13" 48.591 48.759998 48.251999 45.737206
"2012-12-14" 48.122002 48.48 48.027 45.536091
"2012-12-17" 48.341999 48.990002 48.108002 46.198879
"2012-12-18" 49 49.498001 48.780998 46.535
"2012-12-19" 49.48 49.488998 48.891998 46.20549
"2012-12-20" 49.223 49.862 48.946999 47.068436
"2012-12-21" 49.299999 49.688999 48.827 46.600128
"2012-12-24" 49.285999 49.625 49.248001 46.737038
"2012-12-26" 49.452999 49.594002 48.5 45.904305
"2012-12-27" 48.601002 49.285999 48.112 46.061966
"2012-12-28" 48.5 48.865002 48.285 45.609726
"2012-12-31" 48.337002 49.192001 48.290001 46.38393
"2013-01-02" 50.630001 51.027 50.099998 48.176857
"2013-01-03" 51.046001 51.546001 50.814999 48.245804
"2013-01-04" 51.115002 51.220001 50.700001 48.243896
"2013-01-07" 51.25 52.130001 51.166 49.079967
"2013-01-08" 52.002998 52.105 51.493999 48.91843
"2013-01-09" 52.52 53.238998 52.266998 50.294842
"2013-01-10" 53.247002 53.247002 52.429001 49.847061
"2013-01-11" 52.750999 52.979 52.551998 49.944366
"2013-01-14" 52.955002 52.998001 52.123001 49.455944
"2013-01-15" 52.223999 52.34 51.919998 49.388882
"2013-01-16" 51.643002 52.255001 51.502998 49.246227
"2013-01-17" 52.466999 52.667 52.130001 49.440819
"2013-01-18" 51.956001 52.150002 51.341999 49.218838
"2013-01-22" 52.479 52.479 51.463001 49.101681
"2013-01-23" 51.960999 52.245998 51.512001 48.89386
"2013-01-24" 51.792999 52.57 51.772999 49.337864
"2013-01-25" 52.279999 52.279999 51.723999 49.069565
"2013-01-28" 52.094002 52.094002 51.346001 48.568878
"2013-01-29" 51.411999 52.075001 51.404999 48.980759
"2013-01-30" 51.664001 52.16 51.389999 48.746483
"2013-01-31" 53.200001 53.535 51.299999 48.973217
"2013-02-01" 52.081001 52.254002 51.368999 49.002495
"2013-02-04" 51.629002 51.799999 51.209 48.57832
"2013-02-05" 52.036999 52.202 51.68 49.189548
"2013-02-06" 52.014999 52.387001 51.810001 49.459728
"2013-02-07" 52.189999 52.330002 51.625 49.081867
"2013-02-08" 51.846001 52.446999 51.831001 49.546642
"2013-02-11" 52.562 52.616001 51.923 49.204651
"2013-02-12" 52.085999 52.213001 51.851002 49.090363
"2013-02-13" 52.125 52.189999 51.618 49.049713
"2013-02-14" 51.615002 52.326 51.615002 49.328419
"2013-02-15" 51.631001 52.493999 51.631001 49.420048
"2013-02-19" 52.5 52.648998 52.096001 49.394531
"2013-02-20" 52.200001 52.421001 51.291 48.454552
"2013-02-21" 51.400002 52.092999 51.056 49.085629
"2013-02-22" 52.291 52.443001 51.729 49.486168
"2013-02-25" 52.534 52.599998 51.09 48.264683
"2013-02-26" 51.354 51.577 50.736 48.151325
"2013-02-27" 51.096001 51.617001 50.797001 48.669956
"2013-02-28" 51.519001 52.137001 51.339001 48.91843
"2013-03-01" 51.5 51.951 51.328999 48.963764
"2013-03-04" 51.598 52.241001 51.576 49.257557
"2013-03-05" 52.252998 53.077999 52.185001 49.795101
"2013-03-06" 52.551998 53.123001 52.334999 49.840443
"2013-03-07" 52.771999 53 52.57 49.754471
"2013-03-08" 53.005001 53.032001 52.445999 49.996311
"2013-03-11" 52.958 53.247002 52.841 50.153137
"2013-03-12" 52.987 53.098999 52.223 49.422894
"2013-03-13" 52.233002 52.837002 52.112 49.830986
"2013-03-14" 52.855 53.125 52.671001 49.80265
"2013-03-15" 52.598999 52.882999 51.821999 49.064842
"2013-03-18" 51.530998 51.966 51.473 48.652958
"2013-03-19" 51.622002 51.784 50.816002 48.330803
"2013-03-20" 51.599998 51.869999 51.435001 48.993992
"2013-03-21" 51.644001 51.771999 51.321999 48.558479
"2013-03-22" 51.582001 51.877998 51.553001 48.888195
"2013-03-25" 52.025002 52.396 51.876999 49.123413
"2013-03-26" 52.299999 53.719002 52.222 50.585808
"2013-03-27" 53.221001 54.073002 53.037998 50.827648
"2013-03-28" 53.84 54.195999 53.689999 51.120506
"2013-04-01" 54.243999 54.689999 53.599998 50.752075
"2013-04-02" 54.07 54.398998 53.902 51.069489
"2013-04-03" 54.084999 54.296001 53.039001 50.376087
"2013-04-04" 53.275002 53.563999 53.014 50.467716
"2013-04-05" 52.703999 53.240002 52.699001 50.276669
"2013-04-08" 53.069 53.566002 52.978001 50.538654
"2013-04-09" 53.400002 53.435001 52.314999 49.902145
"2013-04-10" 52.966999 53.798 52.842999 50.544323
"2013-04-11" 53.442001 54.231998 53.257 51.1884
"2013-04-12" 53.465 53.641998 52.960999 50.408138
"2013-04-15" 53.022999 53.384998 52.171001 49.341331
"2013-04-16" 52.311001 53.158001 52.206001 50.274788
"2013-04-17" 52.724998 53.085999 52.467999 49.724358
"2013-04-18" 52.575001 52.647999 52.099998 49.274174
"2013-04-19" 52.283001 52.370998 51.855999 49.364956
"2013-04-22" 52.205002 52.368999 51.879002 49.379143
"2013-04-23" 52.594002 53.118999 52.359001 50.219925
"2013-04-24" 53.196999 53.474998 53.123001 50.316395
"2013-04-25" 53.412998 53.900002 52.514999 50.611469
"2013-04-26" 53.422001 53.816002 53.347 50.629448
"2013-04-29" 53.748001 53.999001 53.535 50.977493
"2013-04-30" 53.979 55.292999 53.957001 52.293987
"2013-05-01" 53.876999 54.485001 53.602001 51.054096
"2013-05-02" 53.599998 54.733002 53.569 51.594124
"2013-05-03" 55.174 55.765999 55.063 52.352631
"2013-05-06" 55.360001 55.676998 54.702999 51.802189
"2013-05-07" 54.807999 55.193001 54.543999 52.13604
"2013-05-08" 55.117001 55.495998 54.827999 52.368698
"2013-05-09" 55.294998 55.617001 54.988998 52.194683
