"Index" "Open" "High" "Low" "Price"
"2012-09-17" 68.660004 68.959999 68.330002 47.987316
"2012-09-18" 68.339996 68.459999 67.370003 47.474789
"2012-09-19" 67.730003 67.919998 67.110001 47.116726
"2012-09-20" 66.779999 66.779999 65.910004 46.44273
"2012-09-21" 66.150002 66.480003 66.010002 46.386578
"2012-09-24" 66.120003 66.470001 65.830002 46.323383
"2012-09-25" 66.129997 66.18 65 45.642349
"2012-09-26" 65.089996 65.669998 64.889999 45.649368
"2012-09-27" 65.290001 66 64.809998 45.916176
"2012-09-28" 65.300003 65.620003 65.089996 45.852982
"2012-10-01" 65.25 65.309998 63.580002 45.031532
"2012-10-02" 63.93 64.870003 63.93 45.494915
"2012-10-03" 64.860001 65.25 64.43 45.312374
"2012-10-04" 64.739998 64.940002 63.869999 45.045601
"2012-10-05" 64.150002 64.440002 63.91 44.989418
"2012-10-08" 64.040001 64.150002 63.77 45.017513
"2012-10-09" 64.18 64.309998 63.799999 44.792835
"2012-10-10" 63.810001 64.379997 63.709999 45.122814
"2012-10-11" 63.91 64.309998 63.369999 44.952576
"2012-10-12" 63.450001 63.599998 62.57 44.491486
"2012-10-15" 62.709999 63.139999 62.09 44.761044
"2012-10-16" 63.209999 63.849998 63.169998 45.207928
"2012-10-17" 66.68 66.68 63.849998 45.690308
"2012-10-18" 64.339996 65.279999 64.260002 46.158493
"2012-10-19" 64.300003 65.290001 64.080002 45.754147
"2012-10-22" 63.91 64.43 63.830002 45.704498
"2012-10-23" 63.91 64.099998 63.07 45.470406
"2012-10-24" 64.040001 64.360001 63.720001 45.505875
"2012-10-25" 64.470001 64.779999 63.360001 45.442032
"2012-10-26" 64.169998 64.169998 63.150002 45.037701
"2012-10-31" 63.459999 64.879997 63.450001 45.90313
"2012-11-01" 65.110001 65.220001 64.360001 45.966965
"2012-11-02" 64.980003 65.349998 64.349998 45.697399
"2012-11-05" 64.32 64.510002 63.189999 45.371101
"2012-11-06" 64.199997 64.550003 63.439999 45.732876
"2012-11-07" 64.400002 64.459999 63.720001 45.26469
"2012-11-08" 63.669998 64.040001 63.119999 44.775215
"2012-11-09" 62.84 63.130001 62.419998 44.307041
"2012-11-12" 62.619999 62.950001 61.810001 44.11552
"2012-11-13" 61.959999 62.490002 61.82 44.016186
"2012-11-14" 62.380001 62.380001 60.709999 43.157875
"2012-11-15" 60.650002 61.169998 60.380001 43.143688
"2012-11-16" 60.75 61.259998 60.380001 43.292645
"2012-11-19" 61.619999 61.880001 61.169998 43.661514
"2012-11-20" 61.900002 61.900002 61.139999 43.881439
"2012-11-21" 62.029999 62.169998 61.459999 43.618965
"2012-11-23" 61.77 61.860001 61.150002 43.675713
"2012-11-26" 61.639999 62.400002 61.529999 44.016186
"2012-11-27" 62.07 63.369999 61.279999 44.569515
"2012-11-28" 62.830002 62.91 62.080002 44.285767
"2012-11-29" 61.830002 62.419998 61.709999 44.11552
"2012-11-30" 62.299999 62.700001 62.060001 44.207729
"2012-12-03" 62.630001 62.799999 62.110001 44.186466
"2012-12-04" 62.259998 63.049999 62.259998 44.548233
"2012-12-05" 63.009998 63.009998 62.290001 44.512756
"2012-12-06" 62.619999 63.25 62.619999 44.626251
"2012-12-07" 62.689999 63.220001 62.610001 44.526943
