"Index" "Open" "High" "Low" "Price"
"2012-09-17" 41.259998 41.459999 40.700001 37.012562
"2012-09-18" 41.18 41.279999 40.900002 36.931629
"2012-09-19" 41.029999 41.290001 40.860001 36.778759
"2012-09-20" 40.380001 40.799999 39.75 36.643879
"2012-09-21" 40.959999 41 40.389999 36.356121
"2012-09-24" 40.330002 40.599998 40 36.167278
"2012-09-25" 39.779999 40.41 39.119999 35.19611
"2012-09-26" 39.110001 39.279999 38.759998 35.079197
"2012-09-27" 39.23 39.720001 38.950001 35.59177
"2012-09-28" 39.349998 39.470001 39 35.160118
"2012-10-01" 39.32 39.639999 38.889999 35.043236
"2012-10-02" 39.16 39.259998 38.5 34.737495
"2012-10-03" 38.860001 39.080002 38.5 35.070213
"2012-10-04" 39.880001 40.299999 38.66 35.016254
"2012-10-05" 38.59 39.150002 38 34.431763
"2012-10-08" 38.200001 39.09 38.060001 34.827419
"2012-10-09" 38.700001 38.84 38.299999 34.57563
"2012-10-10" 38.459999 38.759998 38.16 34.512691
"2012-10-11" 37.73 38.290001 37.66 34.323849
"2012-10-12" 38.220001 38.639999 37.950001 34.314857
"2012-10-15" 38.25 38.650002 38.150002 34.647564
"2012-10-16" 38.810001 38.970001 38.650002 34.971302
"2012-10-17" 39 39 38.560001 34.881378
"2012-10-18" 38.790001 39.110001 38.580002 34.971302
"2012-10-19" 38.669998 38.669998 37.330002 33.748344
"2012-10-22" 37.529999 37.990002 37.130001 34.117012
"2012-10-23" 37.27 37.330002 36.84 33.172825
"2012-10-24" 37.07 37.150002 36.290001 32.768158
"2012-10-25" 36.75 37.049999 36.09 32.795151
"2012-10-26" 36.400002 37.259998 36.330002 33.109875
"2012-10-31" 36.779999 36.950001 36.23 32.804131
"2012-11-01" 36.639999 37.150002 36.52 33.235764
"2012-11-02" 37.23 37.470001 36.669998 32.992973
"2012-11-05" 36.52 36.720001 36.330002 32.948009
"2012-11-06" 36.73 36.880001 36.5 33.064915
"2012-11-07" 36.41 36.669998 35.849998 32.381493
"2012-11-08" 35.98 36.029999 35.279999 31.72505
"2012-11-09" 35.16 36 35.110001 31.958857
"2012-11-12" 35.650002 35.669998 35.27 31.752033
"2012-11-13" 35.130001 35.470001 35.060001 31.590168
"2012-11-14" 35.279999 35.310001 34.259998 30.915747
"2012-11-15" 34.380001 34.599998 33.93 30.672945
"2012-11-16" 34.209999 34.950001 34.099998 30.960703
"2012-11-19" 34.93 35.59 34.860001 31.877918
"2012-11-20" 35.380001 35.490002 34.73 31.480806
"2012-11-21" 34.900002 35.16 34.75 31.426647
"2012-11-23" 35.040001 35.27 34.880001 31.805717
"2012-11-26" 34.970001 35.029999 34.630001 31.327368
"2012-11-27" 34.560001 35.07 34.509998 31.264189
"2012-11-28" 34.470001 35.27 34.209999 31.778631
"2012-11-29" 35.490002 36.700001 35.349998 33.060265
"2012-11-30" 36.560001 36.560001 36.130001 32.753391
"2012-12-03" 36.23 36.689999 35.869999 32.392376
"2012-12-04" 35.810001 35.860001 35.490002 32.067451
"2012-12-05" 35.610001 35.75 35.110001 31.832796
"2012-12-06" 35.32 35.779999 35.189999 32.004276
"2012-12-07" 35.720001 35.720001 35.279999 31.977194
"2012-12-10" 35.349998 35.700001 35.259998 32.121613
"2012-12-11" 35.75 35.919998 35.560001 32.302113
"2012-12-12" 35.990002 36.189999 35.540001 32.419449
"2012-12-13" 35.900002 36 35.57 32.148678
"2012-12-14" 35.470001 36.330002 35.470001 32.590927
"2012-12-17" 36.209999 36.860001 36.110001 33.249783
"2012-12-18" 36.959999 37.470001 36.810001 33.773266
"2012-12-19" 37.389999 37.52 37.130001 33.592758
"2012-12-20" 37.189999 37.860001 37.119999 34.007935
"2012-12-21" 37.09 37.450001 36.990002 33.755222
"2012-12-24" 37.32 37.369999 37 33.50251
"2012-12-26" 37.150002 37.189999 36.689999 33.132458
"2012-12-27" 36.73 36.970001 36.290001 33.285896
"2012-12-28" 36.490002 37.040001 36.419998 32.924873
"2012-12-31" 36.310001 37.290001 36.240002 33.63789
