"Index" "Open" "High" "Low" "Price"
"2012-09-17" 17.16 17.264999 16.99 13.635074
"2012-09-18" 17.059999 17.200001 17.014999 13.68692
"2012-09-19" 17.125 17.200001 16.950001 13.643053
"2012-09-20" 17.110001 17.16 16.98 13.651023
"2012-09-21" 17.16 17.205 17.004999 13.587214
"2012-09-24" 16.99 17.004999 16.844999 13.4596
"2012-09-25" 16.950001 16.985001 16.440001 13.136566
"2012-09-26" 16.455 16.459999 16.190001 13.048833
"2012-09-27" 16.415001 16.555 16.305 13.128592
"2012-09-28" 16.375 16.469999 16.215 13.05681
"2012-10-01" 16.41 16.584999 16.385 13.12062
"2012-10-02" 16.775 16.775 16.51 13.308056
"2012-10-03" 16.709999 16.77 16.555 13.252221
"2012-10-04" 16.645 16.68 16.495001 13.224305
"2012-10-05" 16.625 16.725 16.549999 13.260197
"2012-10-08" 16.52 16.610001 16.459999 13.15651
"2012-10-09" 16.405001 16.459999 16.184999 12.945142
"2012-10-10" 16.215 16.24 16 12.781633
"2012-10-11" 16.135 16.205 16.004999 12.781633
"2012-10-12" 16.025 16.155001 15.845 12.646042
"2012-10-15" 15.935 16.125 15.885 12.841455
"2012-10-16" 16.084999 16.459999 15.875 13.012941
"2012-10-17" 16.23 16.360001 16.184999 12.969071
"2012-10-18" 16.254999 16.264999 15.85 12.650031
"2012-10-19" 15.88 15.895 15.575 12.502468
"2012-10-22" 15.65 15.755 15.525 12.478544
"2012-10-23" 15.525 15.89 15.5 12.618125
"2012-10-24" 15.87 15.9 15.685 12.566283
"2012-10-25" 15.84 15.935 15.675 12.526401
"2012-10-26" 15.715 15.9 15.68 12.654016
"2012-10-31" 15.88 15.955 15.64 12.498484
"2012-11-01" 15.735 16.254999 15.685 12.961098
"2012-11-02" 16.225 16.254999 15.975 12.817525
"2012-11-05" 15.985 16.23 15.885 12.917228
"2012-11-06" 16.275 16.67 16.23 13.220318
"2012-11-07" 16.385 16.385 16.01 12.805562
"2012-11-08" 16.075001 16.23 15.94 12.725801
"2012-11-09" 15.54 15.745 15.185 12.211345
"2012-11-12" 15.305 15.395 15 12.10367
"2012-11-13" 15.095 15.26 14.995 12.015934
