"Index" "Open" "High" "Low" "Price"
"2012-09-17" 87.169998 87.620003 86.449997 79.864365
"2012-09-18" 86.610001 87.089996 85.849998 80.177864
"2012-09-19" 86.910004 87.040001 85.32 78.822365
"2012-09-20" 85.029999 86.220001 84.650002 79.504715
"2012-09-21" 86.599998 87.580002 86.400002 79.965782
"2012-09-24" 86.339996 87.699997 86.25 80.223984
"2012-09-25" 87.330002 87.910004 87.110001 80.823341
"2012-09-26" 87.82 88.599998 87.68 80.952446
"2012-09-27" 88 88.040001 86.949997 80.362305
"2012-09-28" 87.040001 87.040001 85.839996 79.329529
"2012-10-01" 86.220001 86.699997 85.809998 79.218872
"2012-10-02" 85.900002 86.389999 85.57 79.661469
"2012-10-03" 86.360001 87.660004 86.019997 80.408401
"2012-10-04" 87.790001 90.629997 87.519997 82.870476
"2012-10-05" 90 90.57 89.18 82.501595
"2012-10-08" 89.470001 89.720001 88.970001 82.188057
"2012-10-09" 89.279999 89.959999 89.220001 82.851997
"2012-10-10" 89.690002 89.690002 88.449997 82.10508
"2012-10-11" 89.529999 89.760002 89 82.068199
"2012-10-12" 89.029999 89.949997 89 82.326393
"2012-10-15" 89.419998 91.050003 89.260002 83.801781
"2012-10-16" 90.879997 92.470001 90.879997 85.249489
"2012-10-17" 92.199997 92.620003 91.120003 84.152206
"2012-10-18" 91.25 91.529999 90.959999 84.225945
"2012-10-19" 91.160004 91.160004 89.599998 83.174728
"2012-10-22" 89.809998 90.779999 89.809998 83.645012
"2012-10-23" 89.970001 90.239998 89.43 82.621445
"2012-10-24" 89.690002 90.370003 89.360001 82.53849
"2012-10-25" 92 94.510002 92 85.904213
"2012-10-26" 92.949997 93.550003 92.199997 85.369385
"2012-10-31" 93 93.639999 92 86.042534
"2012-11-01" 93.470001 94.620003 93.18 87.232056
"2012-11-02" 94.769997 96.080002 93.120003 86.033264
"2012-11-05" 92.980003 93.610001 92.75 86.042534
"2012-11-06" 93.269997 94.099998 92.529999 86.19928
"2012-11-07" 93 95 92.610001 87.315025
"2012-11-08" 94.220001 94.5 92.550003 85.350929
"2012-11-09" 92.510002 93.839996 92.480003 85.701332
"2012-11-12" 93.160004 93.370003 92.440002 85.480049
"2012-11-13" 92.410004 93.989998 92.379997 85.977943
"2012-11-14" 93.349998 93.540001 91.75 85.083504
"2012-11-15" 92.260002 92.809998 91.019997 84.198296
