"Index" "Open" "High" "Low" "Price"
"2012-09-17" 39.48 39.709999 39.330002 21.802618
"2012-09-18" 39.5 40.43 39.439999 22.203512
"2012-09-19" 40.5 40.919998 40.470001 22.428686
"2012-09-20" 40.650002 41.75 40.59 22.846066
"2012-09-21" 41.759998 42.189999 41.650002 22.94491
"2012-09-24" 41.580002 41.740002 41.450001 22.862539
"2012-09-25" 41.5 41.950001 41.310001 22.714258
"2012-09-26" 41.52 41.810001 41.18 22.664831
"2012-09-27" 41.16 41.34 41 22.626387
"2012-09-28" 41.209999 41.439999 40.900002 22.708771
"2012-10-01" 41.080002 42.540001 41.080002 23.351313
"2012-10-02" 28.42 28.48 27.389999 23.073708
"2012-10-03" 28.18 28.290001 27.73 22.925426
"2012-10-04" 27.870001 28.209999 27.870001 23.114895
"2012-10-05" 28.25 28.370001 27.74 22.908953
"2012-10-08" 27.85 27.9 27.48 22.694769
"2012-10-09" 27.549999 27.620001 27.280001 22.538254
"2012-10-10" 27.530001 27.530001 27.1 22.447645
"2012-10-11" 27.299999 27.41 27.15 22.439405
"2012-10-12" 27.360001 27.4 27.16 22.422932
"2012-10-15" 27.48 27.5 27.190001 22.422932
"2012-10-16" 27.459999 27.5 26.950001 22.381731
"2012-10-17" 27.040001 27.5 27.040001 22.612392
"2012-10-18" 27.5 27.559999 27.35 22.587679
"2012-10-19" 27.4 27.440001 26.92 22.249937
"2012-10-22" 27.02 27.129999 26.85 22.241701
"2012-10-23" 26.77 26.940001 26.540001 21.97809
"2012-10-24" 26.76 26.76 26.450001 21.854532
"2012-10-25" 26.68 26.790001 26.379999 21.805101
"2012-10-26" 26.43 26.639999 26.18 21.912195
"2012-10-31" 26.75 26.790001 26.299999 21.871004
"2012-11-01" 26.68 26.85 26.5 22.076946
"2012-11-02" 26.799999 26.799999 26.24 21.648588
"2012-11-05" 26.200001 26.459999 26.049999 21.75568
"2012-11-06" 26.02 26.629999 26 21.821585
"2012-11-07" 26.25 26.42 26.07 21.623877
"2012-11-08" 25.799999 26.59 25.76 21.508551
"2012-11-09" 26 26.23 25.76 21.43441
"2012-11-12" 26.08 26.17 25.9 21.384985
"2012-11-13" 25.84 26.049999 25.74 21.203751
"2012-11-14" 25.76 25.809999 25.1 20.717735
"2012-11-15" 25.030001 25.18 24.5 20.684782
"2012-11-16" 25.110001 25.6 25.030001 21.055477
"2012-11-19" 25.82 25.91 25.52 21.277899
"2012-11-20" 26.01 26.040001 25.5 21.039003
"2012-11-21" 25.709999 25.9 25.27 20.931908
"2012-11-23" 25.42 25.65 25.290001 21.104904
"2012-11-26" 25.5 25.59 25.389999 21.014288
"2012-11-27" 25.549999 25.610001 25.25 20.816586
"2012-11-28" 25.16 25.700001 25.16 21.137857
"2012-11-29" 25.77 25.799999 25.530001 21.236708
"2012-11-30" 25.709999 25.99 25.709999 21.327322
"2012-12-03" 26.02 26.02 25.58 21.146095
"2012-12-04" 25.709999 25.879999 25.6 21.211987
"2012-12-05" 25.709999 25.9 25.459999 20.997818
"2012-12-06" 25.549999 25.65 25.4 21.022528
"2012-12-07" 25.66 25.74 25.299999 21.071955
"2012-12-10" 25.620001 26.1 25.610001 21.368509
"2012-12-11" 26.02 26.23 25.98 21.525023
"2012-12-12" 26.07 26.200001 25.809999 21.45088
"2012-12-13" 26 26.17 25.75 21.500309
"2012-12-14" 26.1 26.120001 25.98 21.45088
"2012-12-17" 26.01 26.16 25.91 21.459122
"2012-12-18" 26.030001 26.16 25.74 21.327322
"2012-12-19" 25.879999 26.08 25.790001 21.368509
"2012-12-20" 25.950001 26.08 25.860001 21.475594
"2012-12-21" 25.75 25.809999 25.469999 21.220228
"2012-12-24" 25.690001 25.799999 25.6 21.146095
"2012-12-26" 25.610001 25.74 25.35 20.915442
"2012-12-27" 25.219999 25.43 25.059999 20.998241
"2012-12-28" 25.18 25.370001 25.15 20.915438
"2012-12-31" 25.040001 25.49 25 21.072752
"2013-01-02" 25.84 26.690001 25.780001 22.082924
"2013-01-03" 26.700001 26.77 26.49 22.058083
"2013-01-04" 26.700001 26.83 26.549999 22.140894
"2013-01-07" 26.620001 26.74 26.549999 22.074644
"2013-01-08" 26.52 26.92 26.459999 22.0912
"2013-01-09" 26.790001 27.08 26.68 22.397572
"2013-01-10" 27.129999 27.34 27.09 22.612846
"2013-01-11" 27.35 27.540001 27.25 22.703928
"2013-01-14" 27.459999 27.52 27.17 22.753607
"2013-01-15" 27.58 27.74 27.34 22.944056
"2013-01-16" 27.75 27.92 27.58 23.035135
"2013-01-17" 27.84 28.08 27.77 23.233854
"2013-01-18" 27.969999 28.1 27.82 23.250412
"2013-01-22" 27.73 28.040001 27.299999 22.819847
"2013-01-23" 27.5 27.889999 27.35 23.010296
"2013-01-24" 27.93 28.030001 27.639999 23.043413
"2013-01-25" 27.83 27.889999 27.690001 23.002012
"2013-01-28" 27.879999 27.93 27.620001 23.02685
"2013-01-29" 27.540001 27.93 27.540001 23.043413
"2013-01-30" 27.83 27.98 27.67 22.960611
"2013-01-31" 27.65 27.950001 27.65 23.010296
"2013-02-01" 28 28.32 27.93 23.366329
"2013-02-04" 28.01 28.15 27.83 23.084812
"2013-02-05" 27.950001 28.110001 27.85 23.142771
"2013-02-06" 27.9 28.129999 27.799999 23.184172
"2013-02-07" 27.639999 28.08 27.58 23.217291
"2013-02-08" 27.799999 28.1 27.75 22.985453
"2013-02-11" 27.73 27.799999 27.629999 22.977167
"2013-02-12" 27.700001 27.83 27.27 22.919212
"2013-02-13" 27.74 27.809999 27.459999 22.977167
"2013-02-14" 26.690001 27.02 26.450001 22.000122
"2013-02-15" 26.84 27.07 26.6 22.124325
"2013-02-19" 26.75 27.190001 26.75 22.32305
"2013-02-20" 27.07 27.15 26.950001 22.38101
"2013-02-21" 26.99 27.049999 26.639999 22.207123
"2013-02-22" 26.889999 27.129999 26.73 22.165722
"2013-02-25" 26.790001 27.08 26.48 21.933886
"2013-02-26" 26.530001 26.98 26.51 22.314768
"2013-02-27" 26.860001 27.67 26.860001 22.828127
"2013-02-28" 27.540001 27.860001 27.530001 22.886089
"2013-03-01" 26.940001 27.860001 26.940001 23.02685
"2013-03-04" 27.700001 28.440001 27.610001 23.416018
"2013-03-05" 28.360001 28.67 28.33 23.606459
"2013-03-06" 28.5 28.67 28.450001 23.614737
"2013-03-07" 28.67 28.68 28.440001 23.639576
"2013-03-08" 28.620001 28.75 28.389999 23.664413
"2013-03-11" 28.540001 28.58 28.42 23.540222
"2013-03-12" 28.49 28.549999 28.16 23.358055
"2013-03-13" 28.299999 28.51 28.209999 23.573332
"2013-03-14" 28.5 28.549999 28.34 23.623014
"2013-03-15" 28.450001 28.68 28.360001 23.523661
"2013-03-18" 28.26 28.469999 28.07 23.440851
"2013-03-19" 28.290001 28.540001 28.17 23.4657
"2013-03-20" 28.59 28.719999 28.42 23.755497
"2013-03-21" 28.58 28.74 28.41 23.647852
"2013-03-22" 29.32 30.120001 29.27 24.616623
"2013-03-25" 29.950001 30.299999 29.700001 24.740826
"2013-03-26" 29.98 30.299999 29.84 25.080305
"2013-03-27" 29.91 30.379999 29.870001 25.347565
"2013-03-28" 30.440001 30.66 30.219999 25.573065
"2013-04-01" 30.42 30.809999 30.379999 25.623167
"2013-04-02" 30.67 30.950001 30.639999 25.723394
"2013-04-03" 30.76 30.83 30.1 25.297455
"2013-04-04" 30.4 30.41 30.219999 25.289103
"2013-04-05" 29.879999 30.209999 29.84 25.080307
"2013-04-08" 30.15 30.200001 29.92 25.180529
"2013-04-09" 30.120001 30.24 29.93 25.163828
"2013-04-10" 30.17 30.360001 30.15 25.247335
"2013-04-11" 30.530001 30.65 30.33 25.347565
"2013-04-12" 30.540001 30.58 30.27 25.514601
"2013-04-15" 30.68 30.75 30.15 25.213936
"2013-04-16" 30.200001 30.73 30.200001 25.581406
"2013-04-17" 30.389999 30.52 29.75 24.904921
"2013-04-18" 29.790001 30.16 29.73 25.138767
"2013-04-19" 30.139999 31.799999 30.049999 26.466696
"2013-04-22" 31.4 31.65 31.26 26.333071
"2013-04-23" 31.559999 32.02 31.5 26.608681
"2013-04-24" 32.029999 32.099998 31.42 26.274607
"2013-04-25" 31.66 31.83 31.48 26.45834
"2013-04-26" 31.780001 31.799999 31.440001 26.35812
"2013-04-29" 31.52 31.66 31.35 26.40823
"2013-04-30" 31.51 31.690001 31.299999 26.266256
"2013-05-01" 31.299999 31.690001 31.299999 26.274607
"2013-05-02" 31.459999 31.74 31.309999 26.241203
"2013-05-03" 31.68 31.83 31.51 26.500103
"2013-05-06" 31.639999 31.799999 31.110001 26.015701
"2013-05-07" 31.059999 31.43 31.040001 26.232847
"2013-05-08" 31.16 31.5 30.639999 25.823606
"2013-05-09" 30.959999 31.049999 30.530001 25.539654
"2013-05-10" 30.73 30.780001 30.43 25.581406
"2013-05-13" 30.52 30.91 30.450001 25.748447
"2013-05-14" 30.84 31.27 30.83 26.040756
"2013-05-15" 31.200001 31.530001 31.110001 26.308012
"2013-05-16" 31.4 31.68 31.200001 26.274607
"2013-05-17" 31.41 31.620001 31.15 26.308012
"2013-05-20" 31.49 31.51 30.74 25.723394
"2013-05-21" 30.92 31.01 30.59 25.898773
"2013-05-22" 30.940001 31.99 30.9 26.533512
"2013-05-23" 31.43 31.76 30.98 26.082516
"2013-05-24" 31 31.33 30.76 25.848669
"2013-05-28" 31.23 31.92 31.110001 26.124271
"2013-05-29" 31.08 31.209999 30.27 25.289103
"2013-05-30" 30.049999 30.17 29.58 24.721184
"2013-05-31" 29.389999 29.84 29.209999 24.620958
"2013-06-03" 29.469999 29.75 29.209999 24.838104
"2013-06-04" 29.92 30.059999 29.360001 24.696123
"2013-06-05" 29.450001 29.59 29.33 24.612612
"2013-06-06" 29.51 29.58 29.08 24.462276
"2013-06-07" 29.540001 29.959999 29.309999 24.938328
"2013-06-10" 29.84 30.18 29.459999 24.704477
"2013-06-11" 29.940001 29.969999 29.209999 24.88821
"2013-06-12" 30 30.049999 29.459999 24.662718
"2013-06-13" 29.48 30 29.190001 25.030195
"2013-06-14" 29.82 30.23 29.620001 24.896563
"2013-06-17" 29.91 30.639999 29.91 25.339207
"2013-06-18" 30.33 30.610001 30.24 25.472834
"2013-06-19" 30.41 30.57 29.530001 24.662718
"2013-06-20" 29.209999 29.440001 28.24 23.668863
"2013-06-21" 28.620001 29.01 28.219999 24.094801
"2013-06-24" 28.59 28.860001 28.43 23.919411
"2013-06-25" 28.879999 28.969999 28.530001 23.90271
"2013-06-26" 28.82 29.040001 28.68 24.094801
"2013-06-27" 29.059999 29.33 28.889999 24.455547
"2013-06-28" 28.889999 29.200001 28.530001 23.935396
"2013-07-01" 28.790001 29.450001 28.709999 24.371653
"2013-07-02" 28.799999 29.17 28.690001 24.145138
"2013-07-03" 28.58 28.790001 28.540001 23.977345
"2013-07-05" 28.9 28.99 28.5 24.145138
"2013-07-08" 28.950001 29.049999 28.690001 24.11997
"2013-07-09" 29.040001 29.17 28.74 24.363262
"2013-07-10" 29.030001 29.219999 28.9 24.455547
"2013-07-11" 29.6 30.200001 29.450001 25.311287
"2013-07-12" 30.16 30.42 30.030001 25.470688
"2013-07-15" 30.469999 30.5 30.09 25.31967
"2013-07-16" 30.1 30.18 29.75 25.059597
"2013-07-17" 30.129999 31.18 29.85 25.588135
"2013-07-18" 30.59 30.91 30.379999 25.65526
"2013-07-19" 30.59 30.709999 30.190001 25.74754
"2013-07-22" 30.690001 31.370001 30.450001 25.755932
"2013-07-23" 30.77 31.32 30.700001 26.074734
"2013-07-24" 31.049999 31.1 30.6 25.839832
"2013-07-25" 30.57 31.190001 30.530001 26.125071
"2013-07-26" 30.83 31.6 30.799999 26.494207
"2013-07-29" 31.450001 31.700001 31.26 26.519381
"2013-07-30" 31.809999 31.860001 30.99 26.049564
"2013-07-31" 31.040001 31.5 31 26.234135
"2013-08-01" 31.57 31.780001 31.309999 26.603273
"2013-08-02" 31.67 32 31.48 26.796236
"2013-08-05" 31.76 31.860001 31.48 26.653614
"2013-08-06" 31.530001 31.92 31.5 26.729118
"2013-08-07" 31.91 31.91 31.139999 26.225742
"2013-08-08" 31.950001 32.91 31.57 27.433846
"2013-08-09" 32.5 32.700001 31.969999 26.980812
"2013-08-12" 31.959999 32.09 31.59 26.745901
"2013-08-13" 32 32.32 31.889999 26.913689
"2013-08-14" 31.959999 31.99 31.59 26.510992
"2013-08-15" 31.26 31.34 30.91 26.150242
"2013-08-16" 31.059999 31.18 30.73 25.974062
"2013-08-19" 30.99 31.02 30.6 25.722368
"2013-08-20" 30.700001 31.030001 30.59 25.79788
"2013-08-21" 30.700001 31.01 30.459999 25.604919
"2013-08-22" 30.57 32.560001 30.4 26.091511
"2013-08-23" 31.200001 31.450001 30.950001 26.276087
"2013-08-26" 31.219999 31.299999 30.639999 25.764318
"2013-08-27" 30.5 30.809999 30.4 25.755932
"2013-08-28" 30.6 30.9 30.18 25.630087
"2013-08-29" 30.34 30.870001 30.15 25.755932
"2013-08-30" 30.639999 30.98 30.549999 25.730761
"2013-09-03" 31.139999 31.24 30.530001 25.831442
"2013-09-04" 30.690001 31.190001 30.66 25.906942
"2013-09-05" 30.879999 30.950001 30.700001 25.78949
"2013-09-06" 30.9 31.209999 30.43 25.957279
"2013-09-09" 30.91 31.15 30.790001 26.099907
"2013-09-10" 31.33 31.459999 30.690001 26.041178
"2013-09-11" 31.290001 31.34 30.75 26.250917
"2013-09-12" 31.34 31.379999 31.08 26.234135
"2013-09-13" 31.33 31.57 31.209999 26.469044
"2013-09-16" 31.73 31.959999 31.639999 26.729118
"2013-09-17" 31.780001 32.09 31.67 26.829794
"2013-09-18" 31.9 32.93 31.84 27.459013
"2013-09-19" 32.77 33.080002 32.5 27.635193
"2013-09-20" 32.900002 32.900002 32.259998 27.098257
"2013-09-23" 31.77 32.34 31.700001 26.804625
"2013-09-24" 31.950001 32.349998 31.9 26.888521
"2013-09-25" 30.049999 32.349998 30.049999 26.93047
"2013-09-26" 32.040001 32.119999 31.82 26.938896
"2013-09-27" 31.719999 32.110001 31.66 26.795643
"2013-09-30" 31.49 31.799999 30.879999 26.475451
"2013-10-01" 31.309999 31.41 30.66 25.995153
"2013-10-02" 30.719999 30.85 30.07 25.826618
"2013-10-03" 30.540001 30.690001 30.34 25.733934
"2013-10-04" 30.48 31.129999 30.48 26.003582
"2013-10-07" 30.49 30.91 30.33 25.919315
"2013-10-08" 30.790001 31.059999 30.68 25.860331
"2013-10-09" 30.84 30.99 30.549999 25.792919
"2013-10-10" 30.92 31.35 30.76 26.290068
"2013-10-11" 31.17 31.219999 30.690001 25.995153
"2013-10-14" 30.76 30.91 30.42 25.851902
"2013-10-15" 30.73 30.84 30.42 25.750782
"2013-10-16" 30.85 31.5 30.719999 26.492302
"2013-10-17" 31.33 32.349998 31.17 27.208536
"2013-10-18" 32.279999 32.490002 32.080002 27.343355
"2013-10-21" 32.360001 32.5 32.279999 27.377066
"2013-10-22" 32.580002 33.580002 32.48 28.025888
"2013-10-23" 33.099998 33.349998 33.049999 27.899492
"2013-10-24" 33.09 33.279999 32.82 28.017466
"2013-10-25" 33.360001 33.5 33.009998 28.211269
"2013-10-28" 33.34 33.889999 33.32 28.287107
"2013-10-29" 33.720001 33.93 33.549999 28.565174
"2013-10-30" 34 34.099998 33.650002 28.514612
"2013-10-31" 33.75 33.970001 33.290001 28.354521
"2013-11-01" 33.75 33.790001 33.419998 28.303959
"2013-11-04" 33.630001 33.869999 33.330002 28.320808
"2013-11-05" 33.41 33.66 33.240002 28.177563
"2013-11-06" 33.16 33.490002 32.990002 28.177563
"2013-11-07" 33.23 33.23 31.790001 27.040009
"2013-11-08" 32.029999 32.82 31.76 27.537169
"2013-11-11" 32.720001 32.889999 32.290001 27.275942
