"Index" "Open" "High" "Low" "Price"
"2012-09-17" 42.91 43.18 42.66 34.740009
"2012-09-18" 42.580002 43.049999 42.400002 34.812946
"2012-09-19" 43 43.040001 42.740002 34.707611
"2012-09-20" 42.73 43.259998 42.689999 34.98312
"2012-09-21" 43.189999 43.470001 43.09 35.128983
"2012-09-24" 43.290001 43.790001 43.150002 35.420727
"2012-09-25" 43.880001 44.040001 43.290001 35.096573
"2012-09-26" 43.48 43.669998 43.07 34.902092
"2012-09-27" 43.200001 43.560001 43.16 35.234329
"2012-09-28" 43.27 43.439999 42.740002 34.9426
"2012-10-01" 43.27 43.889999 43.099998 35.064159
"2012-10-02" 43.299999 43.740002 43.259998 35.420727
"2012-10-03" 43.540001 43.650002 43.23 35.494091
"2012-10-04" 43.389999 44.07 43.369999 35.885395
"2012-10-05" 44.150002 44.790001 44.150002 36.415272
"2012-10-08" 44.509998 44.66 43.389999 36.040283
"2012-10-09" 43.630001 43.84 43.02 35.225071
"2012-10-10" 43.049999 43.369999 42.360001 34.687031
"2012-10-11" 43.209999 43.25 42.799999 34.907135
"2012-10-12" 42.880001 43.470001 42.84 35.094627
"2012-10-15" 43.009998 43.169998 42.790001 35.168003
"2012-10-16" 43.459999 43.950001 43.349998 35.706036
"2012-10-17" 43.529999 43.799999 43.200001 35.290287
"2012-10-18" 42.98 43.25 42.700001 35.200603
"2012-10-19" 43.189999 43.200001 41.959999 34.238663
"2012-10-22" 41.860001 42.529999 41.860001 34.638115
"2012-10-23" 42.150002 42.18 41.540001 33.87183
"2012-10-24" 41.880001 42.049999 41.549999 33.985954
"2012-10-25" 42.139999 42.189999 41.509998 34.140839
"2012-10-26" 41.75 41.880001 41.349998 33.912579
"2012-10-31" 41.889999 42.009998 41.330002 33.896278
"2012-11-01" 41.599998 42.400002 41.439999 34.442463
"2012-11-02" 42.610001 42.790001 41.900002 34.238663
"2012-11-05" 41.869999 42.299999 41.650002 34.401711
"2012-11-06" 42.150002 43 42 34.898983
"2012-11-07" 42.389999 42.450001 41.110001 33.839226
"2012-11-08" 41.490002 41.66 41.040001 33.472378
"2012-11-09" 41 41.380001 40.759998 33.553894
"2012-11-12" 41.23 41.689999 40.950001 33.822903
"2012-11-13" 41.349998 41.91 41.290001 33.668022
"2012-11-14" 41.330002 41.599998 40.66 33.235958
"2012-11-15" 40.709999 40.950001 40.439999 33.31749
"2012-11-16" 40.93 41.220001 40.540001 33.504986
"2012-11-19" 41.360001 41.810001 41.310001 34.083775
"2012-11-20" 42.459999 42.970001 42.27 34.776703
"2012-11-21" 42.720001 43 42.52 34.850067
"2012-11-23" 42.939999 43.27 42.810001 35.273972
"2012-11-26" 42.959999 43.049999 42.619999 34.890827
"2012-11-27" 42.740002 43 42.389999 34.572903
"2012-11-28" 42.32 42.599998 41.91 34.719639
"2012-11-29" 42.82 42.82 42.099998 34.434315
"2012-11-30" 42.369999 42.5 42.049999 34.328346
"2012-12-03" 42.279999 42.5 41.73 34.132683
"2012-12-04" 41.900002 42.110001 41.619999 34.124535
"2012-12-05" 42.029999 42.34 41.73 34.26313
"2012-12-06" 42.049999 42.5 41.880001 34.646271
"2012-12-07" 42.580002 42.599998 42.25 34.695183
"2012-12-10" 42.450001 42.91 42.349998 34.727779
"2012-12-11" 42.48 42.799999 42.32 34.695183
"2012-12-12" 42.830002 43.02 42.52 34.752243
"2012-12-13" 42.52 42.580002 42.060001 34.604614
"2012-12-14" 42.080002 42.18 41.790001 34.333935
"2012-12-17" 41.950001 42.330002 41.860001 34.645618
"2012-12-18" 42.369999 42.889999 42.080002 35.104927
"2012-12-19" 42.779999 42.849998 42.419998 34.809662
"2012-12-20" 42.450001 42.779999 42.080002 35.006512
"2012-12-21" 42.490002 42.490002 41.790001 34.465168
"2012-12-24" 41.869999 41.98 41.549999 34.202713
"2012-12-26" 41.650002 41.66 40.98 33.735195
"2012-12-27" 41.130001 41.41 40.759998 33.907433
"2012-12-28" 41.130001 41.209999 40.68 33.423508
"2012-12-31" 40.599998 41.049999 40.279999 33.644962
"2013-01-02" 41.450001 41.880001 41.16 34.350338
"2013-01-03" 41.990002 42.52 41.939999 34.834259
"2013-01-04" 42.59 42.709999 42.369999 34.990105
"2013-01-07" 42.52 43.48 42.389999 35.400215
"2013-01-08" 43.16 43.310001 42.900002 35.359196
"2013-01-09" 43.32 43.849998 43.240002 35.580662
"2013-01-10" 43.459999 43.970001 43.459999 35.966156
"2013-01-11" 43.759998 44.119999 43.759998 36.146595
"2013-01-14" 43.990002 44.240002 43.77 36.269638
"2013-01-15" 44.009998 44.169998 43.82 36.195824
"2013-01-16" 44.060001 44.18 43.799999 36.039974
"2013-01-17" 44.439999 45.48 44.34 37.048836
"2013-01-18" 45.450001 45.669998 44.950001 37.458927
"2013-01-22" 45.540001 46.209999 45.080002 37.89365
"2013-01-23" 46.049999 46.200001 45.560001 37.647579
"2013-01-24" 45.950001 46.490002 45.869999 38.098701
"2013-01-25" 46.16 46.490002 46.130001 38.074097
"2013-01-28" 46.459999 46.57 46.27 38.131504
"2013-01-29" 46.389999 46.919998 46.32 38.254536
"2013-01-30" 46.700001 46.950001 46.43 38.270935
"2013-01-31" 46.459999 46.68 46.189999 38.221733
"2013-02-01" 46.849998 47.130001 46.68 38.484203
"2013-02-04" 46.560001 46.75 46.23 37.934654
"2013-02-05" 46.619999 47.029999 46.52 38.36116
"2013-02-06" 46.57 46.950001 46.25 38.508801
"2013-02-07" 46.849998 47 46.32 38.35297
"2013-02-08" 46.84 47.18 46.73 38.63184
"2013-02-11" 47.09 47.220001 46.959999 38.730255
"2013-02-12" 47.330002 47.400002 47.040001 38.640034
"2013-02-13" 47.220001 47.349998 46.880001 38.541607
"2013-02-14" 46.700001 47.27 46.52 38.689243
"2013-02-15" 47 47.119999 46.599998 38.648239
"2013-02-19" 45.990002 46.25 44.990002 37.565571
"2013-02-20" 45.84 45.84 44.439999 36.71254
"2013-02-21" 44.77 44.849998 44.470001 36.687931
"2013-02-22" 45 45.080002 44.549999 36.679745
"2013-02-25" 45 45.459999 43.880001 35.990753
"2013-02-26" 44.169998 44.459999 43.509998 36.187599
"2013-02-27" 44.119999 44.599998 44.040001 36.532093
"2013-02-28" 44.73 45.200001 44.419998 36.876587
"2013-03-01" 44.799999 45.310001 44.509998 37.098045
"2013-03-04" 45 45.259998 44.720001 37.122646
"2013-03-05" 45.5 46 45.400002 37.549164
"2013-03-06" 45.959999 46.110001 45.790001 37.754211
"2013-03-07" 46.02 46.240002 45.599998 37.508141
"2013-03-08" 45.939999 46 45.509998 37.401516
"2013-03-11" 45.599998 46.209999 45.5 37.901844
"2013-03-12" 46.209999 46.240002 45.900002 37.729607
"2013-03-13" 45.939999 45.990002 45.48 37.622978
"2013-03-14" 46 46.009998 45.700001 37.688595
"2013-03-15" 45.799999 45.959999 45.419998 37.253876
"2013-03-18" 45.009998 45.360001 44.799999 36.999619
"2013-03-19" 45.279999 45.619999 44.82 37.007816
"2013-03-20" 45.5 45.73 45.369999 37.352314
"2013-03-21" 45.330002 45.98 45.279999 37.581974
"2013-03-22" 45.889999 46.040001 45.810001 37.721401
"2013-03-25" 46.16 46.169998 45.610001 37.508141
"2013-03-26" 46.060001 46.650002 45.889999 38.262741
"2013-03-27" 46.369999 46.580002 46.029999 38.156113
"2013-03-28" 46.450001 47.009998 46.279999 38.517002
"2013-04-01" 46.900002 46.959999 46.529999 38.385773
