"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.08556 32.531193 31.853832 22.786007
"2012-09-18" 31.764706 31.764706 31.203209 22.310101
"2012-09-19" 31.461676 31.604279 31.149733 22.183203
"2012-09-20" 30.864529 31.024956 30.623886 22.018221
"2012-09-21" 31.087343 31.221033 30.73975 22.126085
"2012-09-24" 31.809269 31.809269 31.105169 22.475079
"2012-09-25" 31.755793 31.916222 30.935829 22.024563
"2012-09-26" 30.766487 30.83779 30.026737 21.567707
"2012-09-27" 30.623886 30.855616 30.383244 21.884968
"2012-09-28" 30.516933 30.926916 30.43672 21.865927
"2012-10-01" 30.971479 31.221033 30.445633 21.783443
"2012-10-02" 30.757576 30.971479 30.347593 21.783443
"2012-10-03" 30.53476 30.686275 30.196077 21.739029
"2012-10-04" 30.659536 31.319073 30.53476 22.221266
"2012-10-05" 31.390373 32.032085 31.096256 22.310101
"2012-10-08" 31.194296 31.434938 30.989305 22.354521
"2012-10-09" 31.452763 31.586452 31.131907 22.284721
"2012-10-10" 31.336899 31.461676 30.83779 21.999186
"2012-10-11" 31.283422 31.836006 31.033869 22.437012
"2012-10-12" 31.399286 31.524063 30.864529 22.20858
"2012-10-15" 31.390373 31.417112 30.962566 22.176847
"2012-10-16" 31.390373 32.531193 31.319073 23.065199
"2012-10-17" 32.495544 33.146168 32.442066 23.528402
"2012-10-18" 32.941177 33.342247 32.887699 23.54744
"2012-10-19" 32.976826 32.976826 31.755793 22.798698
"2012-10-22" 31.969698 32.272728 31.711229 22.931946
"2012-10-23" 31.604279 31.693405 31.14082 22.195881
"2012-10-24" 31.390373 31.622103 31.07843 22.151466
"2012-10-25" 31.506239 31.862745 31.390373 22.621025
"2012-10-26" 31.684492 31.853832 31.122995 22.348169
"2012-10-31" 31.729055 32.094475 31.203209 22.519501
"2012-11-01" 31.577539 31.720142 30.935829 22.513155
"2012-11-02" 31.800358 31.862745 30.926916 22.018221
"2012-11-05" 30.802139 31.07843 30.418896 22.011879
"2012-11-06" 30.980392 31.452763 30.784313 22.227617
"2012-11-07" 30.053476 30.20499 29.037434 21.125633
"2012-11-08" 29.064171 29.518717 28.511585 20.743179
"2012-11-09" 28.342245 29.055258 28.244207 20.756144
"2012-11-12" 28.600714 28.680927 28.270945 20.769114
"2012-11-13" 28.190731 28.805704 28.012478 20.399628
"2012-11-14" 28.119431 28.297684 27.477718 20.036613
"2012-11-15" 27.361855 28.163994 27.228165 20.315353
"2012-11-16" 27.941175 28.155081 27.655972 20.45796
"2012-11-19" 28.493761 28.609627 28.324421 20.756144
"2012-11-20" 28.395721 28.868093 28.119431 20.989506
"2012-11-21" 28.966131 29.269161 28.716578 21.287691
"2012-11-23" 29.411764 29.616756 29.349377 21.540499
"2012-11-26" 29.313725 29.56328 29.180037 21.475679
"2012-11-27" 29.385027 29.52763 29.046347 21.145086
"2012-11-28" 28.850267 29.367201 28.716578 21.352509
"2012-11-29" 29.572193 29.83066 29.46524 21.618286
"2012-11-30" 29.670233 29.928699 29.536543 21.514565
"2012-12-03" 29.723707 30.053476 29.679144 21.637733
"2012-12-04" 29.723707 29.90196 29.59893 21.598846
"2012-12-05" 29.679144 29.928699 29.483067 21.598846
"2012-12-06" 29.411764 29.474154 29.153297 21.333065
"2012-12-07" 29.500891 29.688057 29.180037 21.320101
"2012-12-10" 29.188948 29.483067 29.010695 21.436783
"2012-12-11" 29.66132 29.688057 29.340464 21.527538
"2012-12-12" 29.670233 30.30303 29.66132 21.786821
"2012-12-13" 29.955437 30.597149 29.153297 21.281206
"2012-12-14" 29.180037 29.233513 28.333332 20.639467
"2012-12-17" 28.511585 28.627451 28.377897 20.762625
"2012-12-18" 28.547237 29.607843 28.484848 21.482155
"2012-12-19" 29.652407 29.821747 29.447414 21.534018
"2012-12-20" 29.688057 30.13369 29.456327 21.909985
"2012-12-21" 29.759357 29.910873 29.349377 21.436783
"2012-12-24" 29.2959 29.420677 29.16221 21.320101
"2012-12-26" 29.340464 29.483067 29.073084 21.255283
"2012-12-27" 29.269161 29.447414 28.698751 21.313627
"2012-12-28" 29.073084 29.135471 28.734404 20.918203
"2012-12-31" 28.636364 29.367201 28.520498 21.352509
"2013-01-02" 30.33868 31.345812 30.240643 22.785093
"2013-01-03" 31.292336 31.524063 30.971479 22.752678
"2013-01-04" 31.577539 32.263817 31.479502 23.303667
"2013-01-07" 32.228165 32.228165 31.648842 23.199957
"2013-01-08" 31.818182 32.771835 31.809269 23.336079
"2013-01-09" 32.005348 32.433155 31.996435 23.368488
"2013-01-10" 32.370766 32.638145 32.245991 23.718534
"2013-01-11" 32.513371 32.593582 32.192513 23.556473
"2013-01-14" 32.477718 32.495544 31.853832 23.530548
"2013-01-15" 32.032085 32.442066 31.987522 23.524063
"2013-01-16" 32.192513 32.602497 32.139038 23.56296
"2013-01-17" 32.513371 32.673798 32.344028 23.56945
"2013-01-18" 32.477718 32.584671 32.147949 23.537029
"2013-01-22" 32.317291 33.146168 32.317291 24.07506
"2013-01-23" 32.976826 33.306595 32.923351 24.211185
"2013-01-24" 33.31551 33.413548 32.682709 23.874105
"2013-01-25" 33.057041 33.591801 32.967915 24.405655
"2013-01-28" 33.627453 33.966133 33.377895 24.392687
"2013-01-29" 33.458111 33.761143 33.288769 24.451023
"2013-01-30" 33.556149 33.761143 33.155079 24.146362
"2013-01-31" 33.199642 33.377895 32.959003 24.2047
"2013-02-01" 33.716579 34.090908 33.502674 24.762175
"2013-02-04" 33.609627 33.689838 33.172905 24.250839
"2013-02-05" 33.547237 33.814617 33.431374 24.498367
"2013-02-06" 33.048126 33.484848 32.896614 24.472313
"2013-02-07" 33.493759 33.502674 32.584671 24.061939
"2013-02-08" 32.941177 33.074867 32.718361 24.035877
"2013-02-11" 32.878788 33.065952 32.691624 24.035877
"2013-02-12" 32.905525 33.226379 32.807487 24.185703
"2013-02-13" 33.155079 33.734402 32.950089 24.426714
"2013-02-14" 33.012478 33.181816 32.112301 23.899092
"2013-02-15" 32.932262 33.128342 32.388592 23.736258
"2013-02-19" 32.629234 33.021389 32.566845 24.101028
"2013-02-20" 32.994652 33.074867 31.889482 23.377991
"2013-02-21" 31.782532 31.889482 31.158646 22.987165
"2013-02-22" 31.666668 31.907309 31.586452 23.306345
"2013-02-25" 32.156864 32.245991 30.855616 22.56377
"2013-02-26" 31.096256 31.229946 30.20499 22.707069
"2013-02-27" 31.060606 31.844919 31.024956 23.25423
"2013-02-28" 31.800358 31.996435 31.336899 23.084873
"2013-03-01" 31.479502 31.711229 30.980392 23.006712
"2013-03-04" 31.345812 31.631016 31.203209 23.091394
"2013-03-05" 31.827093 32.736183 31.648842 23.729738
"2013-03-06" 32.673798 32.905525 32.433155 23.80139
"2013-03-07" 32.638145 33.217468 32.629234 24.237816
"2013-03-08" 33.4492 34.884136 33.4492 25.423317
"2013-03-11" 34.777184 35.383244 34.376114 25.801123
"2013-03-12" 35.13369 35.33868 35.044563 25.72296
"2013-03-13" 35.008911 35.695187 34.982174 26.042135
"2013-03-14" 35.837791 36.221035 35.623886 26.172413
"2013-03-15" 35.659538 35.900177 35.463459 26.185436
"2013-03-18" 35.303028 35.418896 34.696972 25.501492
"2013-03-19" 35.178253 35.213905 34.117645 25.195337
"2013-03-20" 34.759357 34.973263 34.322639 25.110666
"2013-03-21" 34.117645 34.304813 33.778965 24.784969
"2013-03-22" 34.099823 34.242424 33.92157 25.012953
"2013-03-25" 34.652405 34.66132 33.823528 24.882679
"2013-03-26" 34.242424 34.420677 34.046345 25.130207
"2013-03-27" 34.001781 34.064171 33.556149 24.856628
"2013-03-28" 33.912655 34.046345 33.689838 24.765436
"2013-04-01" 33.903744 34.135471 33.422459 24.51791
"2013-04-02" 33.761143 34.18895 33.698753 24.856628
"2013-04-03" 33.966133 33.99287 32.985741 24.19873
"2013-04-04" 33.190731 33.404636 32.976826 24.355068
"2013-04-05" 32.023174 32.655972 31.737968 23.827452
"2013-04-08" 32.655972 32.664883 32.08556 23.703682
"2013-04-09" 32.549019 33.146168 32.35294 24.094511
"2013-04-10" 33.190731 34.037434 33.146168 24.537451
"2013-04-11" 33.627453 33.734402 33.244205 24.348545
"2013-04-12" 33.012478 33.342247 32.549019 23.970745
"2013-04-15" 32.629234 32.834225 32.094475 23.475698
"2013-04-16" 32.486629 32.91444 32.397503 24.009832
"2013-04-17" 32.531193 32.807487 32.192513 23.677633
"2013-04-18" 32.468807 32.468807 31.488415 23.143496
"2013-04-19" 31.836006 31.969698 31.488415 23.189095
"2013-04-22" 31.898396 32.049911 31.417112 23.312859
"2013-04-23" 32.201427 34.180035 31.844919 24.583046
"2013-04-24" 34.001781 34.39394 33.698753 24.96084
"2013-04-25" 34.331551 34.982174 34.197861 25.345156
"2013-04-26" 34.607841 34.73262 34.05526 25.097631
"2013-04-29" 34.563278 35.151516 34.313725 25.501492
"2013-04-30" 34.821747 34.991089 34.509804 25.397272
"2013-05-01" 34.73262 34.848484 34.197861 25.012953
"2013-05-02" 34.670231 35.748665 34.304813 26.035624
"2013-05-03" 36.016045 36.729053 35.935829 26.367819
"2013-05-06" 36.158646 36.541889 36.00713 26.543695
"2013-05-07" 36.488415 36.622105 36.105167 26.743715
"2013-05-08" 36.247772 36.800358 36.185383 27.051947
"2013-05-09" 36.720142 36.74688 35.962566 26.619118
"2013-05-10" 36.319073 36.693405 36.105167 26.992916
"2013-05-13" 36.631016 37.201427 36.586452 27.281477
"2013-05-14" 36.916222 38.128342 36.916222 28.042204
"2013-05-15" 38.012478 38.431374 37.620319 28.225834
"2013-05-16" 38.288769 38.431374 37.834225 27.91761
"2013-05-17" 38.074867 38.707664 38.057041 28.38323
"2013-05-20" 38.493759 38.65419 38.270947 28.396341
"2013-05-21" 38.556149 38.957218 38.092693 28.081564
"2013-05-22" 38.208557 38.823528 37.450981 27.7143
"2013-05-23" 37.139038 37.959003 36.925133 27.865137
"2013-05-24" 37.513371 37.540108 37.032085 27.570032
"2013-05-28" 38.083778 38.65419 37.985741 28.356989
"2013-05-29" 38.146168 39.59893 38.030304 28.8095
"2013-05-30" 39.090908 40.017826 39.028519 29.078381
"2013-05-31" 39.242424 40.33868 39.081997 28.993126
"2013-06-03" 39.812836 39.937611 38.663101 29.124283
"2013-06-04" 39.52763 40.124779 38.930481 28.829176
"2013-06-05" 39.12656 39.269161 38.039215 28.193054
"2013-06-06" 38.324421 38.975044 37.843136 28.671778
"2013-06-07" 39.376114 40.240643 39.144386 29.550564
"2013-06-10" 40.40107 40.962566 40.240643 29.904692
"2013-06-11" 40.008911 40.329769 39.607841 29.170198
"2013-06-12" 40 40.20499 39.429588 29.163633
"2013-06-13" 39.500893 40.142601 39.12656 29.452181
"2013-06-14" 39.893047 39.991089 39.001781 28.835739
"2013-06-17" 39.66132 40.151516 39.590019 29.445637
"2013-06-18" 40.178253 40.552586 39.991089 29.780083
"2013-06-19" 40.427807 41.14082 39.875221 29.655485
"2013-06-20" 39.812836 41.122993 39.696972 29.589907
"2013-06-21" 40.686275 40.721924 39.554367 29.537443
"2013-06-24" 39.545456 39.66132 38.636364 28.835739
"2013-06-25" 39.536541 40.196079 39.12656 29.39316
"2013-06-26" 40.40107 40.668449 39.812836 29.773531
"2013-06-27" 40.766487 41.096256 40.570412 30.232601
"2013-06-28" 40.962566 41.096256 40.650623 30.009615
"2013-07-01" 41.131908 41.666668 41.122993 30.52116
"2013-07-02" 41.336899 41.836006 41.274509 30.540827
"2013-07-03" 41.122993 41.381462 41.00713 30.344088
"2013-07-05" 41.666668 42.388592 41.666668 31.163837
"2013-07-08" 42.629234 42.843136 42.379681 31.511423
"2013-07-09" 43.217468 43.529411 42.754009 31.990154
"2013-07-10" 43.333332 43.680927 43.155079 31.878664
"2013-07-11" 43.85918 43.894833 42.798573 31.845871
"2013-07-12" 43.333332 43.743317 42.994652 32.186893
"2013-07-15" 43.484848 43.725491 43.217468 31.83275
"2013-07-16" 43.279858 43.600712 42.798573 31.517977
"2013-07-17" 42.967915 43.092693 42.326202 31.367144
"2013-07-18" 42.825314 43.609627 42.540108 32.029499
"2013-07-19" 43.4492 43.5205 42.727272 31.898344
"2013-07-22" 43.538322 44.010696 43.458111 32.311481
"2013-07-23" 44.12656 44.358288 43.877007 32.363956
"2013-07-24" 44.224598 44.438503 43.680927 32.180344
"2013-07-25" 43.663101 43.680927 43.155079 32.049183
"2013-07-26" 43.25312 43.65419 43.048126 32.088516
"2013-07-29" 43.502674 43.663101 43.163994 31.878664
"2013-07-30" 43.565063 43.609627 42.709446 31.629465
"2013-07-31" 43.065952 43.885918 43.003567 31.75407
"2013-08-01" 43.734402 46.033867 43.734402 33.754269
"2013-08-02" 45.427807 45.614971 45.053474 33.31488
"2013-08-05" 45.098038 45.490196 44.643494 33.13781
"2013-08-06" 44.910873 44.910873 44.081997 32.514793
"2013-08-07" 43.796791 44.224598 43.395721 32.643391
"2013-08-08" 44.429588 44.821747 43.698753 32.814854
"2013-08-09" 44.144386 44.509804 43.966133 32.821445
"2013-08-12" 43.957218 44.197861 43.5205 32.23452
"2013-08-13" 43.734402 44.251335 43.360069 32.669765
"2013-08-14" 44.046345 44.376114 43.351158 32.10923
"2013-08-15" 43.119431 43.119431 42.486629 31.621218
"2013-08-16" 42.593582 43.538322 42.566845 31.838844
"2013-08-19" 42.878788 43.155079 42.397503 31.397007
"2013-08-20" 42.450981 42.807487 41.987522 31.57506
"2013-08-21" 42.522282 43.137257 42.183601 31.542091
"2013-08-22" 42.789661 43.645275 42.789661 32.076256
"2013-08-23" 43.368984 43.440285 42.843136 31.825647
"2013-08-26" 43.074867 43.190731 42.682709 31.601448
"2013-08-27" 42.130123 42.192513 40.81105 30.236341
"2013-08-28" 40.87344 41.194298 40.570412 30.308893
"2013-08-29" 40.962566 41.720142 40.864529 30.625439
"2013-08-30" 41.4795 41.5508 40.998219 30.460579
"2013-09-03" 41.74688 42.486629 41.515152 31.054081
"2013-09-04" 42.789661 43.65419 42.317291 31.904787
"2013-09-05" 43.110516 43.627453 43.021389 31.917974
"2013-09-06" 43.288769 43.31551 42.201427 31.641012
"2013-09-09" 42.789661 43.25312 42.762924 31.964144
"2013-09-10" 43.663101 44.367203 43.58289 32.722515
"2013-09-11" 44.180035 44.367203 43.814617 32.676361
"2013-09-12" 44.206776 44.269161 43.770054 32.498302
"2013-09-13" 43.957218 43.966133 43.440285 32.20155
"2013-09-16" 43.975044 44.313725 43.645275 32.544468
"2013-09-17" 44.046345 44.545456 43.78788 32.89399
"2013-09-18" 44.39394 45.26738 43.030304 32.069664
"2013-09-19" 43.413548 43.4492 41.773621 31.047497
"2013-09-20" 42.299465 42.78075 42.165775 31.317881
"2013-09-23" 42.281639 42.602497 42.023174 31.232136
"2013-09-24" 42.147949 42.522282 41.755795 31.067276
"2013-09-25" 42.005348 42.860962 42.005348 31.555283
"2013-09-26" 42.825314 43.083778 42.263817 31.37723
"2013-09-27" 42.014259 42.263817 41.711231 31.133219
"2013-09-30" 41.532978 42.023174 41.319073 30.961765
"2013-10-01" 41.844921 42.397503 41.800358 31.278307
"2013-10-02" 41.889484 41.987522 41.390373 31.06068
"2013-10-03" 41.853832 41.996433 41.105167 30.941975
"2013-10-04" 41.907307 42.540108 41.720142 31.449762
"2013-10-07" 42.023174 42.210339 41.568626 30.941975
"2013-10-08" 41.764706 41.960785 41.229946 30.63203
"2013-10-09" 41.470589 41.541889 40.775402 30.585861
"2013-10-10" 42.023174 42.878788 41.996433 31.726742
"2013-10-11" 42.727272 43.4492 42.584671 32.142197
"2013-10-14" 43.137257 43.573975 42.745098 32.096043
"2013-10-15" 43.306595 43.618538 43.048126 31.878408
"2013-10-16" 43.529411 44.180035 43.31551 32.511494
"2013-10-17" 43.698753 44.18895 43.467022 32.498302
"2013-10-18" 44.144386 44.269161 43.502674 32.610409
"2013-10-21" 44.135471 44.233513 43.832443 32.696144
"2013-10-22" 44.26025 44.39394 43.672012 32.419178
"2013-10-23" 43.547237 43.636364 42.736183 31.825647
"2013-10-24" 43.039215 43.342247 42.709446 32.030087
"2013-10-25" 43.413548 43.725491 43.208557 32.069664
"2013-10-28" 43.360069 43.458111 43.003567 32.043278
"2013-10-29" 43.422459 43.894833 43.31551 32.445549
"2013-10-30" 43.939396 44.028519 43.306595 32.313663
"2013-10-31" 42.103386 43.039215 41.889484 31.199173
"2013-11-01" 42.263817 42.611408 41.987522 31.205753
"2013-11-04" 42.290554 42.843136 42.165775 31.700357
"2013-11-05" 42.771835 42.994652 42.522282 31.700357
"2013-11-06" 42.789661 43.155079 42.397503 31.809786
"2013-11-07" 42.887699 43.529411 42.388592 31.564392
"2013-11-08" 42.638145 45.151516 42.42424 33.255692
"2013-11-11" 44.563278 44.688057 44.090908 33.096516
"2013-11-12" 44.367203 44.500893 43.698753 32.7052
"2013-11-13" 43.761143 44.643494 43.573975 33.182735
"2013-11-14" 44.848484 45.971481 44.723709 34.084755
"2013-11-15" 45.677361 46.426025 45.677361 34.495991
"2013-11-18" 46.319073 47.254902 46.265598 34.608734
"2013-11-19" 46.506241 46.836006 46.247772 34.701599
"2013-11-20" 47.228165 47.335117 46.319073 34.515888
"2013-11-21" 46.639931 47.201427 46.310162 35.11945
"2013-11-22" 47.165775 47.228165 46.657753 34.920467
"2013-11-25" 47.192513 47.21925 46.524063 34.781181
"2013-11-26" 46.836006 47.183601 46.791443 34.840881
"2013-11-27" 46.871658 46.960785 46.461678 34.754654
"2013-11-29" 46.711231 46.978611 46.461678 34.615364
"2013-12-02" 46.720142 47.308376 46.452763 34.628632
"2013-12-03" 46.41711 46.434937 45.508022 34.051613
"2013-12-04" 45.686275 46.399288 45.40107 34.005169
"2013-12-05" 45.659538 46.016045 45.409981 33.859261
"2013-12-06" 46.07843 46.568626 45.802139 34.270477
"2013-12-09" 46.247772 46.559715 45.891266 34.290371
"2013-12-10" 45.837791 46.408199 45.597149 34.389858
"2013-12-11" 46.167557 46.363636 45.713013 34.111298
"2013-12-12" 45.81105 46.07843 45.508022 33.952114
"2013-12-13" 45.918003 45.962566 45.40107 33.952114
"2013-12-16" 45.855614 46.07843 45.668449 34.031708
"2013-12-17" 45.766487 45.793224 45.098038 33.653645
"2013-12-18" 45.481281 46.372547 44.679146 34.423027
"2013-12-19" 46.434937 46.729053 46.096256 34.668423
"2013-12-20" 46.5508 47.522282 46.41711 35.232201
"2013-12-23" 47.566845 47.834225 47.272728 35.265373
"2013-12-24" 47.317291 47.852051 47.308376 35.596989
"2013-12-26" 47.878788 48.270947 47.771835 35.829128
"2013-12-27" 48.244205 48.413548 47.994652 35.789345
"2013-12-30" 48.110516 48.217468 47.540108 35.484234
