"Index" "Open" "High" "Low" "Price"
"2012-09-17" 22.67 22.75 21.5 21.52
"2012-09-18" 21.6 21.98 21.370001 21.870001
"2012-09-19" 21.99 23.370001 21.77 23.290001
"2012-09-20" 23.02 23.24 22.540001 22.59
"2012-09-21" 22.969999 23.24 22.6 22.860001
"2012-09-24" 21.780001 21.98 20.360001 20.790001
"2012-09-25" 21.200001 21.209999 20.219999 20.280001
"2012-09-26" 20.15 20.780001 19.799999 20.620001
"2012-09-27" 20.99 21 20.16 20.32
"2012-09-28" 20.57 21.950001 20.5 21.66
"2012-10-01" 22.08 22.59 21.73 21.99
"2012-10-02" 22.08 22.49 21.82 22.27
"2012-10-03" 22.299999 22.49 21.799999 21.83
"2012-10-04" 22.32 22.4 21.41 21.950001
"2012-10-05" 21.49 21.629999 20.879999 20.91
"2012-10-08" 20.4 20.75 20.16 20.4
"2012-10-09" 20.389999 20.549999 19.969999 20.23
"2012-10-10" 19.93 19.940001 19.450001 19.639999
"2012-10-11" 19.879999 19.959999 19.610001 19.75
"2012-10-12" 19.75 19.799999 19.48 19.52
"2012-10-15" 19.68 19.879999 19.49 19.52
"2012-10-16" 19.68 19.690001 19.299999 19.48
"2012-10-17" 19.5 20.48 19.370001 19.879999
"2012-10-18" 19.700001 19.790001 18.889999 18.98
"2012-10-19" 19 19.059999 18.799999 19
"2012-10-22" 19.200001 19.43 19.049999 19.32
"2012-10-23" 19.25 19.799999 19.1 19.5
"2012-10-24" 24.129999 24.25 22.85 23.23
"2012-10-25" 23.290001 23.309999 22.469999 22.559999
"2012-10-26" 22.4 22.879999 21.879999 21.940001
"2012-10-31" 20.82 21.5 20.73 21.110001
"2012-11-01" 21.08 21.440001 21.01 21.209999
"2012-11-02" 21.26 21.690001 21.07 21.18
"2012-11-05" 21.1 21.48 20.92 21.25
"2012-11-06" 21.24 21.370001 20.99 21.17
"2012-11-07" 20.85 20.950001 20.370001 20.469999
"2012-11-08" 20.52 20.73 19.98 19.99
"2012-11-09" 19.959999 20 19.129999 19.209999
"2012-11-12" 19.15 20.17 18.870001 20.07
"2012-11-13" 19.610001 20.110001 19.559999 19.860001
"2012-11-14" 20.1 22.5 19.93 22.360001
"2012-11-15" 22.34 22.5 21.65 22.17
"2012-11-16" 22.25 23.93 22.18 23.559999
"2012-11-19" 23.959999 24.120001 22.82 22.92
"2012-11-20" 22.73 23.9 22.700001 23.1
"2012-11-21" 23.219999 24.530001 23.049999 24.32
