"Index" "Open" "High" "Low" "Price"
"2012-09-17" 31.5 31.59 31.325001 26.310024
"2012-09-18" 31.5 31.83 31.465 26.585918
"2012-09-19" 31.77 31.875 31.594999 26.456341
"2012-09-20" 31.6 31.924999 31.575001 26.489773
"2012-09-21" 31.77 31.870001 31.559999 26.401999
"2012-09-24" 31.594999 31.834999 31.514999 26.552483
"2012-09-25" 31.790001 31.855 31.549999 26.401999
"2012-09-26" 31.67 31.875 31.365 26.289129
"2012-09-27" 30.9 31.200001 30.030001 25.812592
"2012-09-28" 30.879999 31.035 30.535 25.933819
"2012-10-01" 31.055 31.315001 30.905001 26.142826
"2012-10-02" 31.34 31.615 31.309999 26.318396
"2012-10-03" 31.440001 31.49 31.049999 26.377205
"2012-10-04" 31.450001 31.535 31.264999 26.343597
"2012-10-05" 31.535 31.605 31.280001 26.314194
"2012-10-08" 31.299999 31.385 31.09 26.343597
"2012-10-09" 31.355 31.395 31.059999 26.099945
"2012-10-10" 31.049999 31.305 30.875 25.990726
"2012-10-11" 31.059999 31.18 30.870001 26.045341
"2012-10-12" 31.07 31.190001 30.815001 25.944511
"2012-10-15" 30.905001 31 30.715 25.978121
"2012-10-16" 31.004999 31.1 30.855 26.099945
"2012-10-17" 31.209999 31.415001 31.065001 26.351995
"2012-10-18" 31.325001 31.495001 31.184999 26.398212
"2012-10-19" 31.370001 31.469999 30.67 25.894106
"2012-10-22" 30.75 30.870001 30.485001 25.915102
"2012-10-23" 30.65 30.745001 30.375 25.789082
"2012-10-24" 30.809999 30.93 30.594999 25.986526
"2012-10-25" 30.975 31.195 30.83 26.020134
"2012-10-26" 30.98 30.98 30.620001 25.839493
"2012-10-31" 30.945 31.190001 30.605 25.885698
"2012-11-01" 30.815001 30.9 30.575001 25.709269
"2012-11-02" 30.745001 31 30.57 25.826885
"2012-11-05" 30.615 30.795 30.395 25.768076
"2012-11-06" 30.66 31.115 30.66 26.01593
"2012-11-07" 30.799999 30.950001 30.535 25.877304
"2012-11-08" 30.690001 31.08 30.58 25.982315
"2012-11-09" 30.875 31.16 30.815001 26.045341
"2012-11-12" 31 31.25 30.75 26.221771
"2012-11-13" 31.1 31.809999 31.035 26.549437
"2012-11-14" 31.59 31.665001 31.305 26.351995
"2012-11-15" 31.32 31.764999 31.24 26.658657
"2012-11-16" 31.75 31.885 31.51 26.696472
