"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.43 30.639999 30.33 28.131737
"2012-09-18" 30.610001 30.68 30 28.196196
"2012-09-19" 30.620001 31.610001 30.33 28.849998
"2012-09-20" 31.25 31.32 30.75 28.527704
"2012-09-21" 31.43 31.43 30.52 28.417198
"2012-09-24" 30.799999 31.1 30.35 28.444822
"2012-09-25" 32.59 32.900002 32.139999 29.816877
"2012-09-26" 31.23 31.959999 30.24 28.085699
"2012-09-27" 30.700001 31.879999 30.629999 29.080202
"2012-09-28" 31.360001 31.889999 31.120001 29.107836
"2012-10-01" 31.709999 32.139999 30.51 28.877617
"2012-10-02" 31.559999 32.169998 31.48 29.255169
"2012-10-03" 31.9 31.98 30.82 28.813162
"2012-10-04" 31.41 31.66 31.01 29.117039
"2012-10-05" 31.440001 31.940001 31.370001 29.273582
"2012-10-08" 31.629999 31.77 31.32 29.172287
"2012-10-09" 31.74 31.74 31.040001 28.748699
"2012-10-10" 31.299999 31.68 31.139999 28.92366
"2012-10-11" 31.629999 31.790001 31.280001 29.089415
"2012-10-12" 31.51 31.629999 31.01 28.721077
"2012-10-15" 31.24 31.639999 31.02 29.135456
"2012-10-16" 31.780001 32.220001 31.450001 29.466959
"2012-10-17" 32.049999 32.25 31.68 29.365667
"2012-10-18" 31.809999 31.84 31.370001 29.061787
"2012-10-19" 31.450001 31.450001 30.549999 28.454033
"2012-10-22" 30.85 31.200001 30.379999 28.693449
"2012-10-23" 30.92 31.110001 30.280001 28.601362
"2012-10-24" 31.27 31.27 30.299999 28.371157
"2012-10-25" 31.129999 31.129999 30.610001 28.33432
"2012-10-26" 30.860001 31.1 30.67 28.546118
"2012-10-31" 31 31.620001 30.84 28.767117
"2012-11-01" 31.1 31.879999 30.799999 29.024956
"2012-11-02" 31.52 31.700001 31.02 28.573748
"2012-11-05" 30.98 31.4 30.85 28.757912
"2012-11-06" 31.15 31.75 31.120001 29.089415
"2012-11-07" 31.110001 31.700001 30.799999 28.599663
"2012-11-08" 30.82 31 30.5 28.433327
"2012-11-09" 30.59 30.91 30.17 27.915863
"2012-11-12" 30.32 30.42 27.9 27.694086
"2012-11-13" 29.76 30.26 29.76 27.684847
"2012-11-14" 30.059999 30.17 28.9 26.797745
"2012-11-15" 28.92 29.530001 28.77 26.797745
"2012-11-16" 28.940001 29.719999 28.85 27.278259
"2012-11-19" 29.82 30.190001 29.58 27.684847
"2012-11-20" 29.870001 29.92 29.440001 27.472309
"2012-11-21" 29.799999 30.219999 29.49 27.712561
"2012-11-23" 30.129999 30.35 29.98 28.008263
"2012-11-26" 30.33 30.67 29.98 28.165352
"2012-11-27" 30.57 30.74 30.15 28.035992
"2012-11-28" 30.15 30.610001 29.879999 28.072945
"2012-11-29" 30.5 30.950001 30.41 28.368649
"2012-11-30" 30.790001 30.92 30.440001 28.516499
"2012-12-03" 31.059999 31.129999 30.559999 28.331684
"2012-12-04" 30.620001 30.93 30.309999 28.294722
"2012-12-05" 30.790001 33.07 30.790001 30.309172
"2012-12-06" 32.82 33.639999 32.82 30.780453
"2012-12-07" 33.419998 33.419998 32.32 30.013472
"2012-12-10" 32.459999 33.330002 31.889999 30.207529
"2012-12-11" 32.889999 32.889999 32.16 29.828672
"2012-12-12" 31.389999 32.950001 31.370001 29.782465
"2012-12-13" 32.16 32.619999 32.080002 29.773224
"2012-12-14" 32.18 33.34 32.18 30.577147
"2012-12-17" 33.259998 33.759998 33.130001 30.98374
"2012-12-18" 33.57 34.09 33.169998 31.445763
"2012-12-19" 34.07 35.220001 34.07 31.704517
"2012-12-20" 34.419998 35.32 34.150002 32.369823
"2012-12-21" 34.73 35.07 34.380001 32.286655
"2012-12-24" 34.98 34.98 34.470001 32.203491
"2012-12-26" 34.869999 35.740002 34.68 32.600842
"2012-12-27" 35.220001 35.290001 34.540001 32.17577
"2012-12-28" 34.599998 36.34 34.599998 32.249699
"2012-12-31" 35.029999 35.459999 34.669998 32.619324
"2013-01-02" 35.990002 36.279999 35.490002 33.478691
"2013-01-03" 36.400002 36.939999 35.509998 33.044388
"2013-01-04" 36.139999 36.150002 34.900002 32.305141
"2013-01-07" 34.73 35.330002 34.459999 32.545387
"2013-01-08" 35.310001 35.5 34.860001 32.647057
"2013-01-09" 35.509998 36.099998 34.990002 33.072121
"2013-01-10" 34.799999 35.43 34.18 32.665535
"2013-01-11" 35.650002 36.02 34.459999 32.148052
"2013-01-14" 35.060001 35.549999 34.810001 32.720974
"2013-01-15" 35.259998 36 34.540001 33.247692
"2013-01-16" 35.810001 36.299999 35.630001 33.044388
"2013-01-17" 35.959999 36.369999 35.529999 33.571117
"2013-01-18" 36.41 37.259998 35.950001 34.421242
"2013-01-22" 37.150002 37.27 36.639999 34.282635
"2013-01-23" 37.009998 37.290001 36.740002 34.190224
"2013-01-24" 37 38.18 36.939999 34.652264
"2013-01-25" 37.650002 38.080002 37.299999 34.827812
"2013-01-28" 37.669998 37.860001 37.299999 34.68922
"2013-01-29" 37.5 38.110001 37.200001 35.105045
"2013-01-30" 38.049999 42.759998 35.889999 34.790871
"2013-01-31" 37.5 38.02 36.970001 34.938709
"2013-02-01" 38.040001 38.66 37.91 35.548599
"2013-02-04" 38 38.18 37.560001 34.892513
"2013-02-05" 37.790001 38.169998 37.360001 34.966438
"2013-02-06" 37.580002 38 37.380001 35.049606
"2013-02-07" 37.799999 38.220001 37.73 34.910999
"2013-02-08" 37.709999 38.110001 37.709999 35.12352
"2013-02-11" 37.939999 38.139999 37.299999 34.929482
"2013-02-12" 37.810001 37.970001 37.34 35.15202
"2013-02-13" 37.880001 39.68 37.799999 35.569279
"2013-02-14" 38.400002 41.759998 38.400002 37.331051
"2013-02-15" 40.75 41.720001 40.200001 37.405228
"2013-02-19" 40.720001 42.5 40.720001 38.80537
"2013-02-20" 41.900002 41.93 39.299999 36.719067
"2013-02-21" 39.73 40.419998 38.790001 36.097813
"2013-02-22" 39.119999 39.599998 38.740002 36.079266
"2013-02-25" 39.16 39.939999 38.82 36.032894
"2013-02-26" 38.990002 39.560001 38.990002 36.366692
"2013-02-27" 39.25 39.52 38.950001 36.264702
"2013-02-28" 39.200001 39.349998 38.990002 36.218346
"2013-03-01" 38.919998 39.32 38.470001 36.218346
"2013-03-04" 38.91 39.52 38.689999 36.40379
"2013-03-05" 39.610001 40.48 39.419998 37.071415
"2013-03-06" 40.139999 40.419998 39.669998 37.015774
"2013-03-07" 39.849998 39.889999 38.889999 36.366692
"2013-03-08" 39.509998 40.049999 39.419998 36.997238
"2013-03-11" 39.689999 39.939999 39.099998 36.681984
"2013-03-12" 39.450001 39.490002 38.889999 36.227608
"2013-03-13" 39.02 39.18 38.470001 36.069996
"2013-03-14" 38.91 39.09 37.75 35.346737
"2013-03-15" 38.290001 38.66 38.040001 35.50436
"2013-03-18" 38.040001 38.25 37.439999 35.207645
"2013-03-19" 38.080002 38.080002 36.799999 34.484398
"2013-03-20" 37.43 38.360001 37.43 35.458004
"2013-03-21" 38 38.450001 37.91 35.411648
"2013-03-22" 38.209999 38.279999 37.669998 35.476555
"2013-03-25" 38.240002 38.240002 36.389999 34.29895
"2013-03-26" 37.220001 37.5 36.82 34.577114
"2013-03-27" 37.060001 37.529999 36.220001 34.753292
"2013-03-28" 37.59 37.68 36.939999 34.586391
"2013-04-01" 37.279999 37.509998 36.84 34.567848
"2013-04-02" 37.349998 37.73 36.990002 34.688396
"2013-04-03" 37.279999 37.66 36.75 34.39167
"2013-04-04" 37.049999 37.5 36.490002 34.771843
"2013-04-05" 36.91 37.59 36.91 34.79966
"2013-04-08" 37.68 37.91 37.299999 35.15202
"2013-04-09" 37.84 38.299999 37.599998 35.059299
"2013-04-10" 37.59 39.169998 37.59 36.060715
"2013-04-11" 38.869999 39.130001 38.200001 35.689819
"2013-04-12" 38.279999 38.759998 38.240002 35.597095
"2013-04-15" 39.82 40.099998 37.630001 35.050018
"2013-04-16" 38.110001 39 38 35.801079
"2013-04-17" 38.529999 41.599998 38.110001 36.190529
"2013-04-18" 38.869999 39.32 38.68 36.162704
"2013-04-19" 38.98 39.860001 38.919998 36.737602
"2013-04-22" 39.860001 39.990002 38.98 36.830338
"2013-04-23" 40 40 39.669998 37.062153
"2013-04-24" 40.700001 42.130001 40.700001 38.415936
"2013-04-25" 41.630001 43.09 41.540001 39.417347
"2013-04-26" 42.540001 43.080002 42.310001 39.871719
"2013-04-29" 43.18 43.18 42.07 39.176281
"2013-04-30" 41.98 42.48 41.290001 39.241196
"2013-05-01" 42.32 42.48 41.610001 38.981556
"2013-05-02" 42.02 43.040001 41.720001 39.899529
"2013-05-03" 43 43.73 43 40.010796
"2013-05-06" 43.240002 43.380001 42.959999 40.047901
"2013-05-07" 43.09 43.939999 42.990002 40.550121
"2013-05-08" 43.5 43.93 43.439999 40.791916
"2013-05-09" 43.91 43.939999 43.610001 40.717525
"2013-05-10" 43.900002 44.259998 43.740002 40.72683
"2013-05-13" 43.75 44.049999 43.709999 40.903545
"2013-05-14" 43.889999 45.779999 43.889999 42.410206
"2013-05-15" 45.419998 46.290001 45.279999 42.568321
