"Index" "Open" "High" "Low" "Price"
"2012-09-17" 90.529999 90.860001 87.32 79.070259
"2012-09-18" 87.010002 88 86.669998 79.169731
"2012-09-19" 87.949997 90.480003 87.400002 81.385765
"2012-09-20" 89.830002 89.830002 87.209999 79.739571
"2012-09-21" 88.800003 89.43 87.610001 79.558662
"2012-09-24" 87.470001 88.580002 87.260002 79.703377
"2012-09-25" 85.470001 87.489998 84.900002 77.026123
"2012-09-26" 85.110001 85.800003 82.43 75.271408
"2012-09-27" 83.349998 85.839996 83.25 77.017059
"2012-09-28" 84.980003 85.239998 82.529999 74.954849
"2012-10-01" 83.279999 84.529999 81.830002 74.24028
"2012-10-02" 82.599998 83.529999 82.150002 75.488464
"2012-10-03" 83.68 84.589996 82.919998 76.30249
"2012-10-04" 84.690002 85.82 84.559998 76.962791
"2012-10-05" 86.120003 87.080002 84.449997 76.781891
"2012-10-08" 84.480003 85.190002 84.019997 76.383919
"2012-10-09" 83.889999 84.330002 82.379997 74.728722
"2012-10-10" 82.730003 83.389999 82.18 75.099571
"2012-10-11" 84.110001 84.199997 82.550003 74.782967
"2012-10-12" 83.040001 83.139999 81.980003 74.448311
"2012-10-15" 82.760002 83.080002 81.190002 74.86438
"2012-10-16" 83.279999 84.169998 82.860001 75.886429
"2012-10-17" 84.379997 87.339996 84.080002 77.803993
"2012-10-18" 85.589996 85.959999 84.75 77.161758
"2012-10-19" 85.330002 85.330002 82.769997 75.099571
"2012-10-22" 82.959999 83.639999 82 74.801056
"2012-10-23" 81.5 82.269997 80.440002 74.059387
"2012-10-24" 82.379997 82.75 81.529999 74.394043
"2012-10-25" 83.010002 83.160004 81.949997 74.520676
"2012-10-26" 82.43 82.699997 80.910004 74.167931
"2012-10-31" 82.290001 84.849998 82.040001 74.448311
"2012-11-01" 82 84.300003 80.419998 76.166847
"2012-11-02" 85.230003 85.970001 83.769997 75.823143
"2012-11-05" 83.400002 85.309998 83.160004 76.890411
"2012-11-06" 85.68 90.419998 85.519997 78.672295
"2012-11-07" 85.959999 87.330002 83.769997 78.590866
"2012-11-08" 86.639999 87.260002 85.919998 78.021057
"2012-11-09" 86.809998 87.720001 85.730003 77.903465
"2012-11-12" 86 86.120003 85.230003 77.252243
"2012-11-13" 85.309998 86.309998 85.010002 77.342667
"2012-11-14" 85.5 85.699997 83.400002 75.796005
"2012-11-15" 83.540001 84.199997 82.110001 74.674423
"2012-11-16" 82.699997 83.279999 81.190002 74.529732
"2012-11-19" 83.330002 85.470001 82.370003 77.252243
"2012-11-20" 85.779999 85.889999 84.660004 77.297447
"2012-11-21" 85.339996 85.910004 85.129997 77.297447
"2012-11-23" 85.900002 86 85.129997 77.785904
"2012-11-26" 85.300003 86.959999 84.980003 78.491364
"2012-11-27" 86.32 87.209999 85.790001 77.62307
"2012-11-28" 84.25 87.32 83.360001 78.877129
"2012-11-29" 87.440002 92.269997 87.370003 82.502907
"2012-11-30" 90.629997 91.529999 89.82 81.785019
"2012-12-03" 91.010002 91.389999 88.839996 82.193954
"2012-12-04" 90.650002 91.260002 90.169998 82.639236
"2012-12-05" 90.93 91.239998 89.160004 82.05764
"2012-12-06" 89.769997 90.900002 89.580002 82.23027
"2012-12-07" 90.830002 91.269997 89.93 82.602875
"2012-12-10" 90.459999 91.860001 90.459999 83.175377
"2012-12-11" 91.730003 94.050003 91.730003 83.956879
"2012-12-12" 92.879997 93.510002 92.089996 84.056808
"2012-12-13" 92.480003 93.379997 92.269997 84.265816
"2012-12-14" 92.43 93.239998 92.190002 84.647499
"2012-12-17" 93.160004 95.440002 91.43 86.619415
"2012-12-18" 95.269997 95.669998 94.849998 86.501305
"2012-12-19" 95.699997 95.699997 94.510002 86.474007
"2012-12-20" 95.279999 95.93 94.93 86.864769
"2012-12-21" 94.370003 95.290001 94.349998 86.337708
"2012-12-24" 95.169998 95.529999 94.529999 86.692139
"2012-12-26" 95.739998 95.739998 95 86.528549
"2012-12-27" 95.199997 95.389999 92.879997 86.074188
"2012-12-28" 94 94.43 93 84.82016
"2012-12-31" 93.239998 94.879997 93.010002 85.674339
"2013-01-02" 98.110001 98.110001 96.769997 88.136978
"2013-01-03" 97.360001 97.580002 96.75 88.100647
"2013-01-04" 97.18 97.889999 96.879997 88.727654
"2013-01-07" 100.029999 100.029999 97.370003 88.84581
"2013-01-08" 97.769997 98.389999 96.769997 88.564102
"2013-01-09" 98.139999 98.32 97.449997 89.091156
"2013-01-10" 98.389999 98.540001 97.75 89.436462
"2013-01-11" 98.089996 98.400002 97.559998 89.281982
"2013-01-14" 98.239998 98.419998 97.419998 89.127525
"2013-01-15" 97.610001 98.980003 97.360001 89.918106
"2013-01-16" 98.769997 98.769997 97.339996 88.782196
"2013-01-17" 98 99.019997 97.730003 89.009315
"2013-01-18" 98 98.779999 97.629997 89.05481
"2013-01-22" 98 99.610001 97.970001 89.654541
"2013-01-23" 98.379997 99.349998 98.059998 89.41832
"2013-01-24" 98.629997 100.370003 98.57 90.172531
"2013-01-25" 99.32 99.830002 99.029999 90.281555
"2013-01-28" 99.489998 99.769997 98.529999 90.208878
"2013-01-29" 99.330002 101.849998 99.089996 92.298958
"2013-01-30" 101.510002 101.860001 99.910004 90.935852
"2013-01-31" 99.580002 100.110001 98.580002 89.718147
"2013-02-01" 99.510002 100.080002 98.309998 89.38195
"2013-02-04" 97.889999 98.830002 97.339996 88.654968
"2013-02-05" 97.650002 98.279999 96.760002 89.136566
"2013-02-06" 97.480003 99.349998 96.730003 90.145248
"2013-02-07" 98.879997 99.110001 96.330002 88.4823
"2013-02-08" 97.949997 98.519997 97.470001 89.300148
"2013-02-11" 102.470001 102.470001 96.470001 89.118423
"2013-02-12" 97.900002 99.169998 96.529999 89.445541
"2013-02-13" 98.75 100 98.410004 90.445137
"2013-02-14" 99.650002 100.449997 99.209999 91.190292
"2013-02-15" 100.089996 101.959999 100.010002 91.86274
"2013-02-19" 101.529999 102.93 101.410004 92.726028
"2013-02-20" 101.93 101.970001 98.220001 89.618202
"2013-02-21" 98.269997 98.620003 96.949997 88.954834
"2013-02-22" 98.699997 100.230003 97.68 89.136566
"2013-02-25" 98.489998 98.489998 94.519997 85.992401
"2013-02-26" 95.849998 96.25 93.989998 86.710297
"2013-02-27" 95.07 96.970001 95.07 87.777992
"2013-02-28" 96.580002 98.339996 96.209999 88.635765
"2013-03-01" 96.150002 99.290001 95.980003 89.812965
"2013-03-04" 98.089996 99.160004 98.089996 90.260101
"2013-03-05" 99.550003 102.110001 99.260002 92.605362
"2013-03-06" 101.830002 102.940002 101.480003 93.180267
"2013-03-07" 101.959999 103.589996 101.599998 94.366562
"2013-03-08" 104.139999 104.980003 103.660004 95.707985
"2013-03-11" 104.629997 105.75 103.779999 95.552879
"2013-03-12" 104.779999 104.900002 103.75 94.841103
"2013-03-13" 104.059998 105.260002 103.82 95.635017
"2013-03-14" 105.160004 106.220001 104.309998 95.552879
"2013-03-15" 104.449997 105.160004 103 94.512581
"2013-03-18" 102.779999 104.989998 102.779999 94.813713
"2013-03-19" 104.160004 105.040001 102.730003 93.983307
"2013-03-20" 103.779999 103.779999 102.959999 94.229683
"2013-03-21" 102.760002 103.209999 102.269997 93.56353
"2013-03-22" 103.110001 103.919998 102.5 93.700394
"2013-03-25" 102.959999 103.610001 101.309998 92.933853
"2013-03-26" 102.199997 102.510002 101.290001 93.07988
"2013-03-27" 106.57 106.57 100.07 93.043381
"2013-03-28" 102.050003 102.639999 101.120003 93.098122
"2013-04-01" 101.959999 102.400002 101.379997 92.997749
"2013-04-02" 102 102.150002 100.550003 92.003036
"2013-04-03" 100.720001 101.080002 97.459999 89.584831
"2013-04-04" 98.370003 98.82 97.599998 89.101166
"2013-04-05" 96.510002 98.980003 96.230003 90.223587
"2013-04-08" 98.949997 99.639999 98.239998 90.743752
"2013-04-09" 99.470001 99.720001 98.040001 90.323982
"2013-04-10" 99.269997 100.099998 99.089996 91.181786
"2013-04-11" 99.889999 100.790001 99.699997 91.419052
"2013-04-12" 99.809998 100.43 98.459999 90.095848
"2013-04-15" 98 98.050003 93.330002 85.377968
"2013-04-16" 95.010002 98.239998 95 89.530083
"2013-04-17" 96.889999 97.300003 95.059998 88.097359
"2013-04-18" 97.190002 97.459999 94.019997 86.272263
"2013-04-19" 95.379997 97.190002 94.480003 86.701172
"2013-04-22" 95.300003 95.389999 93.029999 86.828918
"2013-04-23" 95.879997 96.879997 95.68 88.197754
"2013-04-24" 96.690002 99.110001 96.25 90.004585
"2013-04-25" 99.110001 99.900002 97.860001 89.447945
"2013-04-26" 97.360001 98.330002 95.690002 88.234253
"2013-04-29" 97.440002 99.040001 96.690002 89.849487
"2013-04-30" 98 102.720001 97 92.158195
"2013-05-01" 100.660004 101.260002 98.830002 90.761986
"2013-05-02" 99.720001 103.57 99.720001 94.038063
"2013-05-03" 103.610001 108.43 103.610001 97.368843
"2013-05-06" 106.519997 107.449997 105.660004 97.551361
"2013-05-07" 107.139999 108.5 106.699997 98.993202
"2013-05-08" 108.400002 109.75 107.879997 99.330856
