"Index" "Open" "High" "Low" "Price"
"2012-09-17" 34.830002 34.98 34.720001 28.636768
"2012-09-18" 34.919998 34.990002 34.75 28.727289
"2012-09-19" 34.91 34.939999 34.389999 28.389898
"2012-09-20" 34.34 34.369999 34.080002 28.282923
"2012-09-21" 34.59 34.689999 34.450001 28.389898
"2012-09-24" 34.330002 34.5 34.16 28.258238
"2012-09-25" 34.459999 34.5 33.869999 27.904398
"2012-09-26" 33.939999 34.32 33.790001 27.871473
"2012-09-27" 33.990002 34.009998 33.650002 27.822096
"2012-09-28" 33.619999 34.040001 33.610001 27.920835
"2012-10-01" 34.049999 34.490002 34.049999 28.200636
"2012-10-02" 34.32 34.470001 34.23 28.340528
"2012-10-03" 34.490002 34.490002 34.09 28.159496
"2012-10-04" 34.400002 34.560001 34.27 28.431051
"2012-10-05" 34.759998 34.900002 34.59 28.612078
"2012-10-08" 34.59 34.779999 34.509998 28.579166
"2012-10-09" 34.560001 34.73 34.200001 28.471476
"2012-10-10" 34.32 34.57 34.200001 28.413494
"2012-10-11" 34.41 34.490002 34.310001 28.479769
"2012-10-12" 34.369999 34.599998 34.18 28.446625
"2012-10-15" 34.369999 34.66 34.099998 28.612305
"2012-10-16" 34.650002 34.950001 34.59 28.869101
"2012-10-17" 34.950001 34.990002 34.82 28.927086
"2012-10-18" 34.91 35.189999 34.91 28.976784
"2012-10-19" 34.880001 34.93 34.240002 28.454906
"2012-10-22" 34.200001 34.400002 33.900002 28.256092
"2012-10-23" 33.73 33.82 33.459999 27.800491
"2012-10-24" 33.57 33.650002 33.169998 27.493992
"2012-10-25" 33.43 33.610001 33.09 27.659668
"2012-10-26" 33.34 33.91 33.290001 27.949598
"2012-10-31" 33.799999 34.23 33.529999 28.189829
"2012-11-01" 34.02 34.630001 34 28.678568
"2012-11-02" 34.75 34.939999 34.259998 28.396925
"2012-11-05" 34.240002 34.400002 34.07 28.37207
"2012-11-06" 34.23 34.939999 34.09 28.927086
"2012-11-07" 34.599998 34.790001 34.09 28.579161
"2012-11-08" 34.389999 34.650002 34.139999 28.280945
"2012-11-09" 34.07 34.48 33.959999 28.297512
"2012-11-12" 34.23 34.279999 33.990002 28.305792
"2012-11-13" 34 34.27 33.880001 28.247816
"2012-11-14" 34.169998 34.349998 34 28.214682
"2012-11-15" 34.110001 34.400002 33.959999 28.396925
"2012-11-16" 33.990002 34.540001 33.990002 28.612305
"2012-11-19" 34.860001 35.220001 34.560001 29.059637
"2012-11-20" 35.009998 35.419998 34.939999 29.333002
"2012-11-21" 35.459999 35.599998 35.27 29.374416
"2012-11-23" 35.59 35.779999 35.439999 29.639494
"2012-11-26" 35.52 35.709999 35.43 29.432394
"2012-11-27" 35.389999 35.540001 35.240002 29.200455
"2012-11-28" 35.119999 35.27 34.900002 29.092762
"2012-11-29" 35.310001 35.41 35.130001 29.159035
"2012-11-30" 35.200001 35.389999 35.099998 29.175606
"2012-12-03" 35.279999 35.439999 35.060001 29.08448
"2012-12-04" 34.950001 35.169998 34.720001 28.918802
