"Index" "Open" "High" "Low" "Price"
"2012-09-17" 93.660004 94.089996 93.489998 70.490204
"2012-09-18" 93.779999 93.989998 93.220001 70.227142
"2012-09-19" 92.879997 94.059998 92.730003 70.37748
"2012-09-20" 93.199997 93.629997 92.910004 70.339882
"2012-09-21" 94.059998 94.07 92.940002 70.061775
"2012-09-24" 92.849998 94.089996 92.760002 70.452621
"2012-09-25" 93.949997 94.099998 92.720001 69.776131
"2012-09-26" 92.879997 93.400002 92.540001 69.595734
"2012-09-27" 92.889999 93.209999 91.959999 69.768631
"2012-09-28" 92.470001 92.860001 91.699997 69.467957
"2012-10-01" 92.900002 94.269997 92.209999 70.121925
"2012-10-02" 94.230003 94.290001 93.099998 70.309814
"2012-10-03" 93.809998 94 93 70.490204
"2012-10-04" 94.050003 94.529999 93.660004 70.978775
"2012-10-05" 94.739998 95.199997 94.449997 71.377159
"2012-10-08" 94.550003 95.459999 94.5 71.685356
"2012-10-09" 95.290001 95.290001 93.900002 70.610466
"2012-10-10" 93.949997 94 93.150002 70.11438
"2012-10-11" 93.860001 93.870003 92.779999 69.776131
"2012-10-12" 92.949997 93.339996 92.400002 69.715988
"2012-10-15" 92.709999 93.059998 92.370003 69.746078
"2012-10-16" 94.019997 94.339996 93.290001 70.828468
"2012-10-17" 94.940002 95.099998 94.550003 71.264412
"2012-10-18" 94.68 95 94.169998 71.211784
"2012-10-19" 94.610001 94.610001 92.690002 69.858841
"2012-10-22" 92.410004 93.059998 91.5 69.550667
"2012-10-23" 89.669998 90.519997 88.580002 66.694374
"2012-10-24" 89.029999 89.540001 88.150002 66.438805
"2012-10-25" 88.57 88.839996 87.410004 66.002831
"2012-10-26" 87.900002 88.540001 87.589996 66.168175
"2012-10-31" 88.029999 88.690002 87.489998 65.844986
"2012-11-01" 87.940002 89.400002 87.839996 67.085213
"2012-11-02" 89.610001 89.970001 88.779999 66.874748
"2012-11-05" 88.080002 89.839996 88.080002 67.348312
"2012-11-06" 89.949997 91.230003 89.870003 68.295372
"2012-11-07" 90.339996 90.339996 88.709999 67.182922
"2012-11-08" 89.110001 89.830002 88.459999 66.559067
"2012-11-09" 88.599998 89.559998 88.099998 66.754471
"2012-11-12" 88.959999 89.669998 88.5 67.032578
"2012-11-13" 88.599998 90.190002 88.360001 66.95742
"2012-11-14" 89.169998 89.379997 87.07 65.626991
"2012-11-15" 86.739998 88.290001 86.739998 66.160683
"2012-11-16" 88.120003 89.379997 87.75 66.521469
"2012-11-19" 89.25 89.699997 88.769997 67.32576
"2012-11-20" 89.080002 89.68 88.400002 67.356026
"2012-11-21" 89.080002 89.150002 88.660004 67.295486
"2012-11-23" 89.290001 90.330002 89.150002 68.309349
"2012-11-26" 89.540001 90.25 89.540001 68.165581
"2012-11-27" 90.190002 90.959999 90.120003 68.332054
"2012-11-28" 90.099998 91 89.480003 68.801186
"2012-11-29" 91.349998 91.970001 90.510002 68.589325
"2012-11-30" 90.68 91.190002 90.489998 68.816315
"2012-12-03" 91.410004 91.68 90.120003 68.324501
"2012-12-04" 90.309998 90.690002 90 68.188324
"2012-12-05" 90.300003 91.199997 89.599998 68.672585
"2012-12-06" 90.800003 91.089996 90.309998 68.816315
"2012-12-07" 91.239998 91.669998 90.68 69.240059
"2012-12-10" 91.370003 92.480003 91.349998 69.512451
"2012-12-11" 92.650002 93.900002 92.5 70.881958
"2012-12-12" 93.720001 94 92.519997 70.458244
"2012-12-13" 92.949997 93.449997 92.160004 69.989128
"2012-12-14" 92 92.580002 92 69.82267
"2012-12-17" 92.389999 93.110001 92.129997 70.390137
"2012-12-18" 93.129997 94 93 71.010567
"2012-12-19" 93.919998 93.980003 92.970001 70.382568
"2012-12-20" 93.349998 94.139999 93.209999 71.222443
"2012-12-21" 92.779999 93.660004 91.940002 70.443108
"2012-12-24" 92.699997 93.720001 92.690002 70.511192
"2012-12-26" 93.349998 93.730003 92.75 70.420403
"2012-12-27" 93.110001 93.169998 91.669998 70.095039
"2012-12-28" 91.980003 92.800003 91.610001 69.444328
"2012-12-31" 91.550003 92.919998 91.400002 70.253944
"2013-01-02" 94.190002 94.790001 93.959999 71.714249
"2013-01-03" 94.339996 94.93 94.129997 71.63105
