"Index" "Open" "High" "Low" "Price"
"2012-09-17" 23.040001 23.559999 22.790001 23.139999
"2012-09-18" 21.809999 23 21.620001 22.49
"2012-09-19" 22.49 23.799999 22.25 23.49
"2012-09-20" 23.379999 24.030001 23.360001 23.84
"2012-09-21" 24.18 24.780001 24.18 24.51
"2012-09-24" 24.450001 25.049999 24.450001 24.83
"2012-09-25" 24.950001 25.1 24.34 24.360001
"2012-09-26" 24.389999 24.389999 23.83 24.030001
"2012-09-27" 24.190001 24.870001 24.190001 24.75
"2012-09-28" 24.58 25.17 24.370001 25.15
"2012-10-01" 25.26 25.379999 24.85 25.030001
"2012-10-02" 25.16 25.370001 24.700001 24.879999
"2012-10-03" 24.870001 25.24 24.870001 25
"2012-10-04" 25.1 25.139999 24.870001 24.98
"2012-10-05" 25.049999 25.18 24.469999 24.6
"2012-10-08" 24.690001 24.74 24.379999 24.4
"2012-10-09" 24.35 24.370001 23.41 23.440001
"2012-10-10" 23.469999 23.77 23.370001 23.530001
"2012-10-11" 23.6 23.93 23.52 23.790001
"2012-10-12" 23.76 23.889999 23.200001 23.35
"2012-10-15" 23.379999 23.389999 22.76 23.07
"2012-10-16" 23.02 23.290001 22.67 22.82
"2012-10-17" 22.950001 23.360001 22.799999 23.1
"2012-10-18" 23.110001 23.33 22.889999 22.92
"2012-10-19" 22.790001 22.870001 22.389999 22.559999
"2012-10-22" 22.48 22.620001 22.26 22.59
"2012-10-23" 21.93 22.809999 21.74 22.73
"2012-10-24" 26.450001 26.950001 24.860001 25.809999
"2012-10-25" 26.030001 26.09 25.6 25.82
"2012-10-26" 25.799999 26.24 25.24 25.549999
"2012-10-31" 25.32 25.32 24.67 25.07
"2012-11-01" 25.059999 25.35 24.719999 25.309999
"2012-11-02" 25.389999 25.440001 24.67 25.030001
"2012-11-05" 25.1 26.23 24.85 26.059999
"2012-11-06" 26.34 26.65 25.879999 26.620001
"2012-11-07" 27.65 28.209999 26.799999 27.85
"2012-11-08" 28.200001 28.200001 26.15 26.41
"2012-11-09" 26.530001 27.59 26.530001 27.18
"2012-11-12" 27.17 27.41 26.549999 26.950001
"2012-11-13" 26.879999 27 26.639999 26.690001
"2012-11-14" 26.809999 26.809999 26.1 26.190001
"2012-11-15" 26.120001 26.950001 26.120001 26.469999
"2012-11-16" 26.309999 26.700001 26.219999 26.48
"2012-11-19" 26.690001 27.32 26.68 27.26
"2012-11-20" 27.25 27.309999 26.92 27.049999
"2012-11-21" 27.139999 27.530001 27.040001 27.389999
"2012-11-23" 27.51 27.799999 27.35 27.799999
"2012-11-26" 27.639999 28.120001 27.15 28.120001
"2012-11-27" 28.110001 28.65 27.280001 27.32
"2012-11-28" 27.209999 27.67 26.99 27.309999
"2012-11-29" 27.41 28.040001 27.24 27.620001
"2012-11-30" 27.66 27.870001 27.25 27.84
"2012-12-03" 27.969999 28.200001 27.75 27.92
"2012-12-04" 27.969999 28.219999 27.790001 28.01
"2012-12-05" 28.049999 28.200001 27.610001 28.030001
"2012-12-06" 27.950001 28.15 27.559999 28.15
"2012-12-07" 28.32 29.18 28.15 29.110001
"2012-12-10" 29.02 29.809999 28.889999 29.68
"2012-12-11" 29.709999 29.809999 29.120001 29.219999
"2012-12-12" 29.02 29.33 28.74 29.129999
"2012-12-13" 29.129999 29.82 29.120001 29.57
"2012-12-14" 28.120001 28.969999 27.68 28.530001
"2012-12-17" 28.68 28.77 28.290001 28.5
"2012-12-18" 28.42 28.629999 27.83 28.120001
"2012-12-19" 28.219999 28.24 27.610001 27.77
"2012-12-20" 27.860001 27.860001 27.26 27.51
"2012-12-21" 27.25 27.379999 26.780001 26.85
"2012-12-24" 26.870001 26.93 26.43 26.5
"2012-12-26" 26.5 27.16 26.26 27.030001
"2012-12-27" 26.98 27.370001 26.790001 27.190001
"2012-12-28" 26.889999 27.190001 26.450001 26.459999
"2012-12-31" 26.450001 27.08 26.26 27.059999
"2013-01-02" 27.57 27.639999 26.52 26.83
"2013-01-03" 26.76 26.76 25.700001 25.73
"2013-01-04" 25.9 26.940001 25.77 26.809999
"2013-01-07" 26.610001 27.209999 26.370001 27.1
"2013-01-08" 27.01 27.48 26.389999 26.459999
"2013-01-09" 26.469999 26.809999 26.1 26.49
"2013-01-10" 26.67 27.42 26.559999 27.35
"2013-01-11" 27.360001 27.389999 26.25 27.15
"2013-01-14" 27.110001 27.42 26.379999 27.389999
"2013-01-15" 27.23 27.530001 26.889999 27.459999
"2013-01-16" 27.389999 27.77 27.16 27.639999
"2013-01-17" 27.809999 28 27.66 27.969999
"2013-01-18" 27.879999 27.98 27.549999 27.91
"2013-01-22" 27.860001 28.57 27.620001 28.559999
"2013-01-23" 28.719999 28.799999 28.35 28.68
"2013-01-24" 28.65 29.24 28.65 29.129999
"2013-01-25" 29.16 29.309999 29.030001 29.15
"2013-01-28" 29.219999 29.360001 28.67 29.01
"2013-01-29" 28.93 29.24 28.83 29
"2013-01-30" 28.889999 29.059999 28.43 28.530001
"2013-01-31" 28.459999 28.870001 28.290001 28.709999
"2013-02-01" 28.879999 28.959999 28.57 28.870001
"2013-02-04" 28.66 28.969999 28.360001 28.5
"2013-02-05" 28.690001 28.98 28.209999 28.940001
"2013-02-06" 28.77 28.98 28.49 28.98
"2013-02-07" 28.91 29.110001 28.41 28.870001
"2013-02-08" 32.049999 32.799999 31.08 31.879999
"2013-02-11" 31.450001 31.709999 30.75 30.77
"2013-02-12" 31.18 32.619999 30.969999 32.610001
"2013-02-13" 33.48 33.849998 32.400002 32.990002
"2013-02-14" 32.970001 33.25 32.650002 33.040001
"2013-02-15" 32.950001 33.25 32.77 33.139999
"2013-02-19" 32.740002 33.41 32.25 33.41
"2013-02-20" 33.360001 33.41 32.709999 32.75
"2013-02-21" 33 33.259998 32.529999 33.18
"2013-02-22" 33.400002 33.41 32.799999 32.84
"2013-02-25" 33.02 33.02 32.23 32.290001
"2013-02-26" 32.389999 32.549999 31.780001 32.16
"2013-02-27" 32.130001 32.549999 31.75 32.439999
"2013-02-28" 32.380001 32.380001 31.75 31.91
"2013-03-01" 31.75 32.380001 31.25 32.110001
"2013-03-04" 31.809999 31.969999 31.5 31.68
"2013-03-05" 31.73 32.119999 31.57 31.969999
"2013-03-06" 31.950001 32.790001 31.879999 32.439999
"2013-03-07" 32.400002 33.169998 32.25 32.919998
"2013-03-08" 32.959999 33.330002 32.799999 33
"2013-03-11" 32.869999 33.200001 32.75 33.02
"2013-03-12" 33.060001 33.150002 32.509998 32.669998
"2013-03-13" 32.790001 33.549999 32.380001 33.290001
"2013-03-14" 33.330002 33.490002 32.529999 33.310001
"2013-03-15" 33.459999 33.599998 32.599998 32.849998
"2013-03-18" 32.599998 33.240002 32.470001 32.700001
"2013-03-19" 32.790001 32.799999 32.290001 32.5
"2013-03-20" 32.619999 32.939999 32.27 32.360001
