"Index" "Open" "High" "Low" "Price"
"2012-09-17" 27.575001 27.575001 26.459999 19.621611
"2012-09-18" 26.040001 26.445 25.360001 19.047302
"2012-09-19" 26 26.745001 25.99 19.464312
"2012-09-20" 26.465 26.805 26.184999 19.522842
"2012-09-21" 26.815001 27.059999 26.705 19.650873
"2012-09-24" 26.76 26.99 26.6 19.552107
"2012-09-25" 26.91 27.25 26.805 19.625275
"2012-09-26" 26.764999 27 26 19.387491
"2012-09-27" 26.49 27.264999 26.375 19.947168
"2012-09-28" 27.18 27.33 26.91 19.969126
"2012-10-01" 27.440001 27.945 27.125 20.243477
"2012-10-02" 27.719999 27.895 27.584999 20.261766
"2012-10-03" 27.700001 27.700001 27.225 19.943514
"2012-10-04" 27.389999 27.885 27.325001 20.334925
"2012-10-05" 28 28.459999 27.370001 20.07155
"2012-10-08" 28.610001 30.02 28.24 21.187237
"2012-10-09" 29.27 29.5 28.555 20.898258
"2012-10-10" 28.375 28.83 27.389999 20.22884
"2012-10-11" 28.245001 28.325001 27.315001 19.994726
"2012-10-12" 27.325001 27.475 26.365 19.863035
"2012-10-15" 27.120001 27.424999 26.790001 19.892309
"2012-10-16" 27.405001 27.735001 27.25 20.13739
"2012-10-17" 27.665001 28.045 27.530001 20.39345
"2012-10-18" 27.809999 28 27.325001 20.042286
"2012-10-19" 27.58 27.825001 27.225 20.097153
"2012-10-22" 27.594999 27.75 26.85 19.943514
"2012-10-23" 26.75 26.860001 26.299999 19.478949
"2012-10-24" 26.785 27.275 26.674999 19.643559
"2012-10-25" 26.99 27.25 26.68 19.73867
"2012-10-26" 27.275 27.860001 27.195 20.342237
"2012-10-31" 27.825001 27.895 27 20.093494
"2012-11-01" 27.440001 27.594999 26.290001 19.764269
"2012-11-02" 27.280001 27.280001 26.18 19.405788
"2012-11-05" 26.530001 27.645 26.525 20.031311
"2012-11-06" 27.705 28.594999 27.48 20.843386
"2012-11-07" 28.02 28.385 27.434999 20.287369
"2012-11-08" 27.719999 28.059999 27.115 19.866695
"2012-11-09" 26.790001 26.934999 26.325001 19.431391
"2012-11-12" 26.75 27.370001 26.75 19.709408
"2012-11-13" 26.815001 27.465 26.629999 19.716719
"2012-11-14" 27.145 27.225 26.49 19.435049
"2012-11-15" 26.635 27.190001 26.52 19.775248
"2012-11-16" 27.014999 27.26 26.745001 19.87767
"2012-11-19" 27.43 28.344999 27.42 20.827557
"2012-11-20" 28.280001 28.9 28.165001 20.985874
"2012-11-21" 28.74 29 28.57 21.291456
"2012-11-23" 29.110001 29.5 29.07 21.714859
"2012-11-26" 29.375 29.545 29.165001 21.744318
"2012-11-27" 29.674999 29.684999 29.245001 21.571274
"2012-11-28" 28.98 29.780001 28.844999 21.814268
"2012-11-29" 29.719999 29.955 29.555 21.887894
"2012-11-30" 29.615 29.875 29.43 21.921038
"2012-12-03" 29.9 29.950001 29.450001 21.924713
"2012-12-04" 29.684999 29.945 29.540001 21.78113
"2012-12-05" 29.700001 29.934999 28.754999 21.394547
"2012-12-06" 28.969999 29.825001 28.875 21.869492
"2012-12-07" 29.93 30.370001 29.68 22.348114
"2012-12-10" 30.25 31.245001 30.24 22.83042
"2012-12-11" 31.059999 31.379999 30.584999 22.613197
"2012-12-12" 30.91 31.110001 30.315001 22.650015
"2012-12-13" 30.754999 31.025 30.504999 22.742062
"2012-12-14" 30.85 31.495001 30.85 23.132326
"2012-12-17" 31.469999 31.68 31.219999 23.180185
"2012-12-18" 31.565001 31.690001 31.375 23.194914
"2012-12-19" 31.495001 31.719999 31.08 22.907736
"2012-12-20" 31.209999 31.32 30.975 22.922457
"2012-12-21" 30.67 31.25 30.58 22.878281
"2012-12-24" 30.924999 31.495001 30.885 22.962967
"2012-12-26" 31.315001 31.32 30.690001 22.701561
"2012-12-27" 30.85 31.075001 30.389999 22.834105
"2012-12-28" 30.764999 30.875 30.51 22.499062
"2012-12-31" 30.485001 31.504999 30.440001 23.194914
"2013-01-02" 32.075001 32.099998 31.405001 23.566771
"2013-01-03" 31.950001 31.995001 30.98 22.907736
"2013-01-04" 31.200001 31.57 30.504999 23.02923
"2013-01-07" 31.040001 31.040001 30.02 22.182436
"2013-01-08" 30.225 30.865 30.139999 22.661062
"2013-01-09" 31.030001 31.33 30.879999 22.981371
"2013-01-10" 31.440001 31.495001 31.025 23.117599
"2013-01-11" 31.35 31.49 30.85 22.823057
"2013-01-14" 31.1 31.32 30.950001 23.05501
"2013-01-15" 31.16 32.220001 31.1 23.658812
"2013-01-16" 31.995001 32.685001 31.98 23.835531
"2013-01-17" 32.605 33.044998 32.52 24.071161
"2013-01-18" 32.84 32.955002 31.950001 24.004896
"2013-01-22" 32.630001 33.82 32.57 24.708109
"2013-01-23" 33.615002 34.044998 33.259998 24.881153
"2013-01-24" 33.775002 34.540001 33.775002 25.275093
"2013-01-25" 34.439999 34.5 34.044998 25.282454
"2013-01-28" 34.285 34.59 33.310001 25.275093
"2013-01-29" 34.994999 36.209999 34.93 26.497429
"2013-01-30" 36.549999 36.700001 35.439999 26.836145
"2013-01-31" 36.345001 37.505001 36.195 27.32213
"2013-02-01" 37.525002 38.205002 37.275002 28.058479
