"Index" "Open" "High" "Low" "Price"
"2012-09-17" 36.549999 36.66 36.349998 33.292614
"2012-09-18" 36.380001 36.439999 36.029999 33.109482
"2012-09-19" 36.32 36.34 35.990002 32.962982
"2012-09-20" 35.860001 36.529999 35.860001 32.944675
"2012-09-21" 36.130001 36.52 36.040001 32.999611
"2012-09-24" 35.849998 35.93 35.540001 32.651669
"2012-09-25" 35.82 35.93 35.09 32.129749
"2012-09-26" 35.049999 35.419998 34.869999 32.404446
"2012-09-27" 35.5 36.360001 35.48 33.136951
"2012-09-28" 36.110001 36.130001 35.639999 32.770695
"2012-10-01" 35.970001 36.040001 35.150002 32.798164
"2012-10-02" 32 32.009998 24.77 23.998884
"2012-10-03" 26.530001 28.280001 26.450001 25.885103
"2012-10-04" 28.17 28.719999 26.959999 25.033554
"2012-10-05" 27.5 27.549999 26.74 24.594051
"2012-10-08" 26.74 26.82 26.24 24.17285
"2012-10-09" 26.48 26.59 26 24.108759
"2012-10-10" 26.24 26.559999 26.209999 24.301039
"2012-10-11" 26.690001 26.77 26.34 24.182011
"2012-10-12" 26.41 26.41 25.719999 23.742506
"2012-10-15" 26.129999 26.27 25.459999 23.431183
"2012-10-16" 26.08 27.299999 26.01 24.905367
"2012-10-17" 27.34 27.92 26.559999 25.12512
"2012-10-18" 27.48 27.719999 27.25 25.061026
"2012-10-19" 27.18 27.66 26.870001 24.740545
"2012-10-22" 26.860001 27.18 26.860001 24.822968
"2012-10-23" 27.02 27.25 26.700001 24.859581
"2012-10-24" 27.360001 27.42 26.99 24.740545
"2012-10-25" 27.25 27.43 26.719999 24.768015
"2012-10-26" 27 27.620001 26.73 25.216681
"2012-10-31" 27.51 28.040001 26.9 24.667303
"2012-11-01" 27.32 27.799999 26.790001 25.408966
"2012-11-02" 27.82 27.82 26.879999 24.61236
"2012-11-05" 26.92 27.34 26.76 24.951143
"2012-11-06" 25.950001 26.48 25.299999 23.898163
"2012-11-07" 25.950001 26.18 25.620001 23.907318
"2012-11-08" 26.219999 26.450001 26.08 23.989725
"2012-11-09" 26.18 26.450001 26.1 23.998884
"2012-11-12" 26.17 26.5 25.83 23.806595
"2012-11-13" 25.959999 26.110001 25.59 23.797441
"2012-11-14" 26.02 26.59 25.799999 23.797441
"2012-11-15" 26.040001 26.200001 25.879999 23.769978
"2012-11-16" 25.959999 26.24 25.799999 23.641783
"2012-11-19" 26.139999 26.280001 26.01 24.026348
"2012-11-20" 26.200001 26.290001 26.08 23.943945
"2012-11-21" 26.190001 26.299999 25.959999 24.072138
"2012-11-23" 26.4 26.75 26.25 24.49333
"2012-11-26" 26.620001 27.129999 26.57 24.822968
"2012-11-27" 26.98 27.049999 26.66 24.548265
"2012-11-28" 26.690001 27.379999 26.620001 25.006081
"2012-11-29" 27.58 28.77 27.51 26.022442
"2012-11-30" 28.459999 29.09 28.41 26.553514
"2012-12-03" 29.049999 29.1 28.879999 26.635925
"2012-12-04" 29.02 29.219999 28.92 26.718327
"2012-12-05" 29.209999 29.540001 29.08 27.020491
"2012-12-06" 29.43 30.18 29.41 27.624811
"2012-12-07" 30.190001 30.27 29.73 27.267714
"2012-12-10" 29.690001 29.700001 29.33 26.901459
"2012-12-11" 29.610001 29.780001 29.33 27.002182
"2012-12-12" 29.5 29.67 29.219999 26.901459
"2012-12-13" 29.309999 29.52 29.049999 26.736647
"2012-12-14" 29.15 30.299999 29.15 27.615654
"2012-12-17" 30.27 30.9 30.24 28.274914
"2012-12-18" 30.77 31.059999 30.709999 28.375633
"2012-12-19" 31 31.57 30.98 28.439732
"2012-12-20" 31.18 31.41 30.91 28.760206
"2012-12-21" 30.959999 31.65 30.85 28.45805
"2012-12-24" 31.120001 31.25 30.76 28.522135
"2012-12-26" 31.209999 31.23 30.530001 28.000225
"2012-12-27" 30.549999 30.790001 30.32 28.082632
"2012-12-28" 30.719999 31.48 30.52 28.219976
"2012-12-31" 30.73 31.18 30.610001 28.375633
"2013-01-02" 31.66 32.139999 31.59 29.41947
"2013-01-03" 32.080002 32.389999 31.879999 29.272961
"2013-01-04" 32.049999 32.080002 31.719999 29.163086
"2013-01-07" 31.92 31.959999 31.75 29.181395
"2013-01-08" 31.82 31.91 31.700001 29.108149
"2013-01-09" 31.92 32 31.83 29.236338
"2013-01-10" 31.950001 32.200001 31.950001 29.428614
"2013-01-11" 32.119999 32.310001 31.879999 29.272961
"2013-01-14" 32 32.200001 31.83 29.236338
"2013-01-15" 31.940001 32.439999 31.91 29.630062
"2013-01-16" 32.23 32.32 31.92 29.272961
"2013-01-17" 32.119999 32.189999 31.48 29.108149
"2013-01-18" 31.799999 32.259998 31.709999 29.382841
"2013-01-22" 32.130001 32.959999 32.080002 30.124504
"2013-01-23" 32.93 33.360001 32.790001 30.271009
"2013-01-24" 33.029999 33.380001 32.869999 30.536537
"2013-01-25" 33.43 33.689999 33.110001 30.820385
"2013-01-28" 33.799999 34.040001 33.720001 31.150021
"2013-01-29" 33.970001 34.200001 33.880001 31.22328
"2013-01-30" 33.98 34.200001 33.779999 30.939419
"2013-01-31" 33.610001 33.950001 33.610001 30.893641
"2013-02-01" 34.060001 34.060001 33.599998 30.948574
"2013-02-04" 33.669998 33.790001 33.200001 30.426672
"2013-02-05" 33.529999 34.009998 33.27 31.021835
"2013-02-06" 33.75 34.709999 33.740002 31.74519
"2013-02-07" 34.540001 34.549999 32.639999 30.655579
"2013-02-08" 33.450001 34.209999 33.439999 31.122555
"2013-02-11" 34.02 34.02 33.610001 30.838709
"2013-02-12" 33.669998 34.209999 33.630001 31.159185
"2013-02-13" 34.040001 34.16 33.48 30.911951
"2013-02-14" 33.720001 33.93 33.59 30.902802
"2013-02-15" 33.740002 33.779999 33.380001 30.59148
"2013-02-19" 33.529999 33.799999 33.459999 30.747141
"2013-02-20" 33.59 33.799999 33.18 30.3992
"2013-02-21" 33.209999 33.32 32.950001 30.206917
"2013-02-22" 33.110001 33.25 33.049999 30.353418
"2013-02-25" 33.25 33.77 32.689999 29.978003
"2013-02-26" 32.790001 33.060001 32.52 29.996315
"2013-02-27" 32.720001 33.580002 32.68 30.600636
"2013-02-28" 33.439999 33.57 33.119999 30.335102
"2013-03-01" 32.93 33.09 32.52 30.225218
"2013-03-04" 33 33.189999 32.720001 30.115341
"2013-03-05" 33.029999 33.779999 32.939999 30.426672
"2013-03-06" 33.400002 33.720001 33.25 30.600636
"2013-03-07" 33.470001 33.599998 33.189999 30.509069
"2013-03-08" 33.52 33.740002 33.240002 30.710508
"2013-03-11" 33.459999 33.740002 33.360001 30.893641
"2013-03-12" 33.720001 33.75 33.16 30.499924
"2013-03-13" 33.310001 33.459999 33.07 30.490755
"2013-03-14" 33.459999 34 33.310001 30.82954
"2013-03-15" 33.619999 33.799999 33.150002 30.866163
"2013-03-18" 33.450001 33.959999 33.25 30.976049
"2013-03-19" 33.889999 33.990002 33.560001 30.976049
"2013-03-20" 33.91 34.07 33.75 31.13171
"2013-03-21" 33.75 34.09 33.529999 30.765446
"2013-03-22" 33.59 33.799999 33.360001 30.92111
"2013-03-25" 33.880001 33.970001 33.509998 30.765446
"2013-03-26" 33.73 33.84 33.349998 30.930267
"2013-03-27" 33.599998 34.099998 33.450001 31.168335
"2013-03-28" 34.029999 34.130001 33.68 31.067621
"2013-04-01" 33.990002 33.990002 33.130001 30.536537
"2013-04-02" 33.369999 33.59 32.98 30.335102
"2013-04-03" 33.189999 33.200001 32.299999 29.694157
"2013-04-04" 32.419998 32.830002 32.389999 29.904753
"2013-04-05" 32.290001 32.369999 32.009998 29.611748
"2013-04-08" 32.32 32.68 32.080002 29.913908
"2013-04-09" 32.759998 32.869999 32.450001 29.76741
"2013-04-10" 32.610001 33.330002 32.610001 30.417511
"2013-04-11" 33.310001 33.75 33.23 30.737991
"2013-04-12" 33.529999 33.68 33.25 30.6922
"2013-04-15" 33.360001 33.450001 32.310001 29.620897
"2013-04-16" 32.669998 32.939999 32.52 30.124504
"2013-04-17" 32.740002 32.959999 32.32 29.831503
"2013-04-18" 32.639999 32.790001 32.200001 29.675842
"2013-04-19" 32.540001 32.919998 32.240002 30.051266
"2013-04-22" 32.810001 33.029999 32.490002 30.124504
"2013-04-23" 33 33.41 32.959999 30.472446
"2013-04-24" 33.27 33.34 33.119999 30.426672
"2013-04-25" 33.299999 33.610001 33.23 30.499924
"2013-04-26" 33.200001 33.450001 33.18 30.417511
"2013-04-29" 33.369999 33.700001 33.27 30.628103
"2013-04-30" 33.389999 34.099998 33.389999 31.22328
"2013-05-01" 33.880001 33.880001 31.629999 30.454142
"2013-05-02" 33.450001 33.77 32.970001 30.811241
"2013-05-03" 33.779999 34.27 33.27 30.509069
"2013-05-06" 33.290001 33.52 32.810001 30.518227
"2013-05-07" 33.439999 33.700001 33.41 30.728825
"2013-05-08" 33.400002 34.139999 33.400002 31.259901
"2013-05-09" 34.139999 34.27 33.799999 31.003515
"2013-05-10" 33.84 34.099998 33.66 31.085924
"2013-05-13" 33.939999 34.040001 33.73 31.076765
"2013-05-14" 33.950001 34.59 33.950001 31.543743
"2013-05-15" 34.299999 34.639999 34.209999 31.36978
"2013-05-16" 34.27 34.849998 34.240002 31.653631
"2013-05-17" 34.650002 34.900002 34.48 31.736034
"2013-05-20" 34.68 34.709999 34.310001 31.616991
"2013-05-21" 34.400002 34.849998 34.400002 31.790968
"2013-05-22" 34.669998 34.849998 34.119999 31.351469
"2013-05-23" 34.02 34.77 34.02 31.58037
"2013-05-24" 34.259998 34.740002 34.080002 31.562061
"2013-05-28" 34.84 35.470001 34.84 32.083973
"2013-05-29" 34.84 35.470001 34.810001 32.248791
"2013-05-30" 35.259998 35.779999 35.18 32.715763
"2013-05-31" 35.580002 35.759998 35.189999 32.267105
"2013-06-03" 35.330002 35.369999 34.720001 32.202999
"2013-06-04" 35.130001 35.619999 34.790001 32.029034
"2013-06-05" 34.919998 35.119999 34.130001 31.388083
"2013-06-06" 34.279999 34.93 34.279999 31.86422
"2013-06-07" 34.830002 35.040001 34.560001 31.772665
"2013-06-10" 34.759998 35.049999 34.52 31.955793
"2013-06-11" 34.5 34.919998 34.299999 31.662788
"2013-06-12" 34.830002 34.939999 33.93 31.177492
"2013-06-13" 34.040001 34.450001 33.959999 31.443033
"2013-06-14" 34.32 34.419998 34.07 31.278212
"2013-06-17" 34.470001 34.77 34.290001 31.589521
"2013-06-18" 34.529999 34.880001 34.43 31.671936
"2013-06-19" 34.509998 34.700001 33.950001 31.1134
"2013-06-20" 33.66 33.830002 33.27 30.628103
"2013-06-21" 33.34 33.470001 32.689999 30.280165
"2013-06-24" 32.77 33.110001 32.560001 30.032934
"2013-06-25" 33.169998 33.220001 32.720001 30.188597
"2013-06-26" 33.27 33.27 32.66 29.932224
"2013-06-27" 32.93 32.990002 32.740002 30.032934
"2013-06-28" 32.790001 33.580002 32.720001 30.463289
"2013-07-01" 33.439999 34.560001 33.439999 31.241577
"2013-07-02" 34.139999 34.700001 33.75 31.040154
"2013-07-03" 33.790001 34.360001 33.790001 31.269056
"2013-07-05" 34.330002 34.689999 34.16 31.543743
"2013-07-08" 34.540001 34.759998 34.439999 31.626163
"2013-07-09" 34.740002 34.790001 33.68 31.360617
"2013-07-10" 34.209999 34.419998 33.68 30.87533
"2013-07-11" 34.400002 34.720001 34.150002 31.497969
"2013-07-12" 34.470001 34.75 34.41 31.644463
"2013-07-15" 34.57 34.810001 34.48 31.74519
"2013-07-16" 34.68 34.68 34.369999 31.525442
"2013-07-17" 34.529999 34.77 34.419998 31.58037
"2013-07-18" 34.540001 35.049999 34.540001 31.772665
"2013-07-19" 34.700001 35 34.57 31.98325
"2013-07-22" 35 35.419998 35 32.38612
"2013-07-23" 35.400002 35.779999 35.07 32.276245
"2013-07-24" 35.419998 35.669998 35.040001 32.120602
"2013-07-25" 34.990002 35.57 34.990002 32.404446
"2013-07-26" 35.220001 35.369999 34.73 32.166386
"2013-07-29" 35.080002 35.130001 34.75 31.919168
"2013-07-30" 35.049999 35.23 34.889999 31.974098
"2013-07-31" 34.990002 35.330002 34.939999 32.093128
"2013-08-01" 36.139999 36.830002 35.709999 33.439117
"2013-08-02" 36.57 37.970001 36.48 34.290657
"2013-08-05" 37.459999 38.049999 37.25 34.592823
"2013-08-06" 37.57 37.959999 37.509998 34.446316
"2013-08-07" 37.450001 37.619999 37.209999 34.25404
"2013-08-08" 37.689999 38.130001 37.450001 34.638611
"2013-08-09" 37.84 38.599998 37.470001 34.785091
"2013-08-12" 37.75 38.490002 37.619999 34.693546
"2013-08-13" 38.049999 38.240002 37.610001 34.721004
"2013-08-14" 37.880001 38.139999 37.77 34.730175
"2013-08-15" 37.68 37.939999 37.279999 34.382221
"2013-08-16" 37.59 37.799999 37.23 34.281494
"2013-08-19" 37.389999 38.380001 37.310001 34.794258
"2013-08-20" 38 38.34 37.93 35.023178
"2013-08-21" 38.07 38.43 37.91 34.867516
"2013-08-22" 38.209999 38.73 38.200001 35.252079
"2013-08-23" 38.529999 38.630001 38.209999 35.224625
"2013-08-26" 38.439999 38.82 38.439999 35.343651
"2013-08-27" 38.169998 38.189999 37.52 34.400547
"2013-08-28" 37.540001 38.330002 37.540001 34.867516
"2013-08-29" 37.939999 38.459999 37.939999 34.940754
"2013-08-30" 38.27 38.27 37.450001 34.345592
"2013-09-03" 37.990002 38.290001 37.169998 34.31813
"2013-09-04" 37.459999 38.200001 37.27 34.949921
"2013-09-05" 38.080002 38.799999 38.080002 35.187981
"2013-09-06" 38.560001 38.84 37.970001 35.490154
"2013-09-09" 38.98 39.549999 38.970001 36.131092
"2013-09-10" 39.599998 39.689999 39.029999 36.295898
