"Index" "Open" "High" "Low" "Price"
"2012-09-17" 50.349998 50.380001 49.889999 41.697506
"2012-09-18" 50.009998 50.290001 49.689999 41.398319
"2012-09-19" 49.759998 50.5 49.68 41.838799
"2012-09-20" 50.200001 50.200001 49.52 41.398319
"2012-09-21" 50.310001 51.919998 50.310001 43.043934
"2012-09-24" 51.34 51.470001 50.779999 42.478764
"2012-09-25" 51.32 51.450001 50.830002 42.246059
"2012-09-26" 50.889999 50.950001 50.080002 41.697506
"2012-09-27" 50.310001 50.82 50.130001 42.179558
"2012-09-28" 50.59 50.869999 50.150002 42.01334
"2012-10-01" 50.849998 50.939999 50.32 42.071522
"2012-10-02" 50.709999 50.810001 50.110001 41.797241
"2012-10-03" 50.299999 50.939999 49.959999 42.30423
"2012-10-04" 50.950001 51.139999 50.610001 42.453846
"2012-10-05" 51.200001 51.66 51 42.653309
"2012-10-08" 51.16 51.240002 50.689999 42.221119
"2012-10-09" 50.740002 50.790001 50.16 41.714123
"2012-10-10" 50.290001 50.290001 49.580002 41.514671
"2012-10-11" 50.27 50.950001 50.080002 41.622715
"2012-10-12" 50.23 50.5 49.970001 41.631016
"2012-10-15" 50.099998 50.369999 49.939999 41.847122
"2012-10-16" 50.5 51 50.380001 42.362423
"2012-10-17" 51 51.299999 50.740002 42.478764
"2012-10-18" 51.110001 51.110001 50.639999 42.187866
"2012-10-19" 50.810001 50.950001 50.049999 41.747375
"2012-10-22" 49.990002 50.459999 49.75 41.905281
"2012-10-23" 49.950001 50.07 49.490002 41.365063
"2012-10-24" 50.5 51.849998 50.34 42.869411
"2012-10-25" 51.25 51.57 49.810001 41.556229
"2012-10-26" 49.93 51.709999 49.900002 42.902657
"2012-10-31" 51.5 51.830002 50.419998 42.952518
"2012-11-01" 51.779999 53.93 51 44.315559
"2012-11-02" 53.650002 53.650002 52.709999 43.966488
"2012-11-05" 52.720001 53.529999 52.650002 44.323875
"2012-11-06" 53.200001 53.990002 53.200001 44.789299
"2012-11-07" 53.450001 53.810001 52.82 44.589836
"2012-11-08" 53.599998 53.959999 53.110001 44.141026
"2012-11-09" 53.259998 53.73 53.060001 44.141026
"2012-11-12" 53.110001 53.59 52.759998 44.390358
"2012-11-13" 53.029999 53.75 52.990002 44.265697
"2012-11-14" 53.310001 53.490002 52.709999 43.883381
"2012-11-15" 52.900002 53.349998 52.700001 43.916618
"2012-11-16" 52.73 53.049999 52.189999 43.958176
"2012-11-19" 53.32 53.700001 53.240002 44.382061
"2012-11-20" 53.240002 53.860001 53.040001 44.764366
"2012-11-21" 53.779999 54.150002 53.630001 44.772678
"2012-11-23" 54.07 54.790001 53.880001 45.512379
"2012-11-26" 54.110001 54.650002 54.029999 45.379398
"2012-11-27" 54.349998 54.77 54.02 44.905659
"2012-11-28" 53.799999 54.540001 53.619999 45.238113
"2012-11-29" 54.619999 54.759998 54.279999 45.238113
"2012-11-30" 54.52 54.860001 54.310001 45.254719
"2012-12-03" 54.630001 54.740002 54.200001 45.05526
"2012-12-04" 54.27 54.68 54.139999 45.063568
"2012-12-05" 54.220001 55.470001 54.09 45.861454
"2012-12-06" 54.959999 55.130001 54.650002 45.495758
"2012-12-07" 54.84 54.91 54.369999 45.379398
"2012-12-10" 54.419998 54.759998 54.419998 45.420948
"2012-12-11" 54.959999 55.169998 54.380001 45.504066
"2012-12-12" 54.779999 55.139999 54.450001 45.529114
"2012-12-13" 54.419998 54.779999 54.130001 45.303638
"2012-12-14" 54 54.349998 53.779999 45.136627
"2012-12-17" 54.060001 54.68 53.900002 45.328693
"2012-12-18" 54.290001 54.950001 54.259998 45.8214
"2012-12-19" 54.779999 54.82 54.310001 45.370445
"2012-12-20" 54.34 54.939999 54.150002 45.8214
"2012-12-21" 54.68 54.709999 54.02 45.579231
"2012-12-24" 54.080002 54.779999 54.080002 45.746235
"2012-12-26" 54.720001 54.869999 54.009998 45.378807
"2012-12-27" 54.220001 55 54.139999 45.82975
"2012-12-28" 54.380001 54.669998 54.060001 45.161682
"2012-12-31" 53.93 55.77 53.849998 46.497826
"2013-01-02" 56.139999 56.650002 55.630001 46.932083
"2013-01-03" 56.240002 56.849998 55.830002 46.773399
"2013-01-04" 56.009998 56.490002 55.950001 46.998878
"2013-01-07" 56.029999 56.709999 55.900002 47.249405
"2013-01-08" 56.490002 56.5 55.669998 46.714935
"2013-01-09" 56.060001 56.27 55.98 46.973827
"2013-01-10" 56.450001 56.810001 56.25 47.416416
"2013-01-11" 57.02 57.630001 56.75 48.01767
"2013-01-14" 57.380001 57.75 57.360001 48.159649
"2013-01-15" 57.439999 57.720001 57.110001 48.04274
"2013-01-16" 57.349998 58.02 57.099998 48.393467
"2013-01-17" 58.110001 58.16 57.700001 48.468639
"2013-01-18" 58.279999 59.25 58.279999 49.278671
"2013-01-22" 58.900002 59 57.810001 48.677414
"2013-01-23" 58.110001 58.75 55.970001 48.886177
"2013-01-24" 58.419998 59.48 58.419998 49.103294
"2013-01-25" 58.810001 58.900002 58.369999 48.936287
"2013-01-28" 58.709999 59.240002 58.689999 49.278671
"2013-01-29" 59.029999 59.029999 58.389999 49.220211
"2013-01-30" 58.93 59.09 58.630001 49.011444
"2013-01-31" 58.619999 58.939999 58.360001 48.760914
"2013-02-01" 58.900002 59.200001 58.5 49.161766
"2013-02-04" 58.5 59.139999 58.5 49.011444
"2013-02-05" 59 60.119999 59 50.038605
