"Index" "Open" "High" "Low" "Price"
"2012-09-17" 94.459999 94.730003 93.870003 73.000504
"2012-09-18" 94.199997 94.309998 93.650002 72.87635
"2012-09-19" 93.900002 94.529999 93.580002 73.147926
"2012-09-20" 93.349998 94.419998 93.029999 73.20224
"2012-09-21" 95.620003 95.720001 94.639999 73.706604
"2012-09-24" 94.25 95.790001 94.18 73.970413
"2012-09-25" 95.540001 95.980003 94.660004 73.450546
"2012-09-26" 94.690002 94.839996 93.620003 72.961708
"2012-09-27" 94.669998 94.839996 93.709999 73.272087
"2012-09-28" 94.279999 95.629997 93.839996 73.838524
"2012-10-01" 95.57 96.940002 95.400002 74.218719
"2012-10-02" 96.07 96.080002 95.019997 74.203209
"2012-10-03" 95.75 97.209999 95.519997 75.188675
"2012-10-04" 97.029999 98.139999 96.879997 76.104279
"2012-10-05" 98.599998 98.989998 97.980003 76.437904
"2012-10-08" 97.980003 98.199997 97.559998 76.026672
"2012-10-09" 97.739998 97.889999 96.900002 75.25074
"2012-10-10" 98.07 98.879997 97.349998 76.531006
"2012-10-11" 99.019997 99.150002 98.239998 76.34481
"2012-10-12" 97.980003 98.019997 95.720001 74.738609
"2012-10-15" 96.889999 97.970001 96.5 75.638702
"2012-10-16" 97.889999 98.239998 96.830002 75.568863
"2012-10-17" 99.050003 103.830002 98.970001 79.976219
"2012-10-18" 102.550003 105.330002 101.529999 81.380669
"2012-10-19" 104.510002 104.599998 102.940002 80.465042
"2012-10-22" 103.82 104.599998 103.650002 81.140106
"2012-10-23" 103.32 104.099998 102.959999 80.612488
"2012-10-24" 103.459999 105.110001 103.449997 80.992691
"2012-10-25" 105.010002 105.199997 103.800003 80.860779
"2012-10-26" 104.199997 104.629997 103.040001 80.26329
"2012-10-31" 103.900002 104.5 102.349998 80.775436
"2012-11-01" 104.260002 104.709999 103.269997 81.093559
"2012-11-02" 104.889999 104.949997 103.290001 80.348656
"2012-11-05" 102.980003 103.510002 101.720001 80.092598
"2012-11-06" 103.43 104.75 103.18 81.240974
"2012-11-07" 103.410004 103.410004 100.279999 78.346725
"2012-11-08" 101.150002 101.68 100.18 77.733765
"2012-11-09" 99.43 100.160004 99 76.887978
"2012-11-12" 99.400002 100.220001 98.919998 77.563026
"2012-11-13" 99.769997 99.769997 97.900002 76.1353
"2012-11-14" 98.470001 98.540001 95.900002 74.614464
"2012-11-15" 96.25 96.889999 95.769997 74.808441
"2012-11-16" 96.459999 97.379997 95.709999 75.343826
"2012-11-19" 98.129997 98.690002 97.440002 76.181854
"2012-11-20" 98 98.889999 97.260002 76.414627
"2012-11-21" 98.400002 98.480003 97.449997 76.267235
"2012-11-23" 98.75 99.669998 98.599998 77.33802
"2012-11-26" 99.150002 99.440002 98.389999 76.748291
"2012-11-27" 98.879997 99.199997 97.879997 76.546555
"2012-11-28" 98.220001 98.470001 97.07 76.259445
"2012-11-29" 98.440002 98.440002 97.019997 76.009377
"2012-11-30" 97.410004 97.93 96.940002 76.376686
"2012-12-03" 97.900002 98.150002 96.93 75.946831
"2012-12-04" 97.209999 97.639999 96.029999 75.141907
"2012-12-05" 96.529999 97 95.68 75.274765
"2012-12-06" 96.330002 97.470001 96.150002 76.071884
"2012-12-07" 97.349998 97.739998 96.849998 76.306343
"2012-12-10" 97.349998 99.400002 97.040001 76.579865
"2012-12-11" 98.220001 98.489998 97.510002 76.431381
"2012-12-12" 97.940002 98.870003 97.610001 76.673645
"2012-12-13" 98.660004 99.18 97.760002 76.783051
"2012-12-14" 97.709999 98.139999 97.650002 76.517365
"2012-12-17" 98.220001 100.150002 97.809998 78.06472
"2012-12-18" 100.029999 101.230003 99.57 79.111961
"2012-12-19" 100.809998 101.629997 100.349998 78.635223
"2012-12-20" 100.620003 101.419998 100.470001 79.033813
"2012-12-21" 99.959999 100.580002 99.470001 78.041283
"2012-12-24" 99.57 99.639999 98.910004 77.486404
"2012-12-26" 99.540001 99.699997 98.32 77.267578
"2012-12-27" 99.040001 99.120003 97 76.790871
"2012-12-28" 97.510002 98.43 97.489998 76.235992
"2012-12-31" 97.459999 98.5 97.099998 76.955002
"2013-01-02" 100.330002 101.029999 99.589996 78.955666
"2013-01-03" 100.949997 101.269997 100.18 79.033813
"2013-01-04" 101.199997 102.860001 101 80.338928
"2013-01-07" 102.489998 102.529999 101.470001 80.073204
"2013-01-08" 102.190002 102.419998 101.389999 79.987236
"2013-01-09" 102.489998 103.160004 102.279999 80.338928
"2013-01-10" 103.440002 103.830002 102.790001 80.917236
"2013-01-11" 103.25 103.809998 102.279999 80.682793
"2013-01-14" 103.040001 103.309998 102.019997 80.331108
"2013-01-15" 102.309998 103.720001 101.959999 80.846893
"2013-01-16" 104.25 104.25 102.57 80.417076
"2013-01-17" 103.110001 103.510002 102.639999 80.75312
"2013-01-18" 103.75 103.830002 102.699997 80.721863
"2013-01-22" 103.059998 104.82 103.059998 81.870644
"2013-01-23" 104.599998 104.82 103.879997 81.362694
"2013-01-24" 104.199997 104.919998 103.739998 81.292351
"2013-01-25" 104.360001 104.43 103.25 81.268921
"2013-01-28" 104 104.010002 103.089996 80.596786
"2013-01-29" 103.110001 103.5 102.730003 80.823456
"2013-01-30" 103.330002 103.519997 102.349998 80.737495
"2013-01-31" 102.860001 102.980003 101.830002 80.252945
"2013-02-01" 103.230003 104.139999 102.669998 81.21418
"2013-02-04" 103.330002 103.480003 102.440002 80.260796
"2013-02-05" 103.080002 104.629997 102.660004 81.636208
"2013-02-06" 103.68 104.139999 103.389999 81.315804
"2013-02-07" 103.660004 104.330002 102.980003 81.112595
"2013-02-08" 103.849998 104.540001 103.610001 81.581512
"2013-02-11" 103.93 104.360001 103.739998 81.464294
"2013-02-12" 104.360001 105.68 104.209999 82.409904
"2013-02-13" 105.690002 105.860001 104.410004 81.800339
"2013-02-14" 104.510002 104.919998 104.029999 81.745628
"2013-02-15" 104.980003 105.099998 104 81.925369
"2013-02-19" 104.989998 105.889999 104.870003 82.667809
"2013-02-20" 105.410004 105.519997 104.540001 81.784714
"2013-02-21" 104.440002 104.790001 102.970001 80.565552
"2013-02-22" 103.650002 104.730003 103.220001 81.847229
"2013-02-25" 105.230003 105.610001 101.790001 79.604301
"2013-02-26" 102.25 102.540001 100.879997 79.752777
"2013-02-27" 102 102.879997 101.300003 80.221703
"2013-02-28" 101.769997 102.769997 101.550003 80.331833
"2013-03-01" 101.589996 102.879997 100.82 80.780365
"2013-03-04" 102.169998 103.360001 102.169998 81.260361
"2013-03-05" 103.650002 104.18 103.440002 81.567245
"2013-03-06" 104.099998 104.190002 103.360001 81.701012
"2013-03-07" 103.949997 104.120003 103.449997 81.803314
"2013-03-08" 104.57 104.599998 103.629997 81.803314
"2013-03-11" 103.980003 104.220001 103.75 81.97641
"2013-03-12" 103.809998 104.199997 103.800003 81.905632
"2013-03-13" 104.150002 104.309998 103.68 82.007889
"2013-03-14" 104.419998 104.769997 104.239998 82.361992
"2013-03-15" 104.650002 104.870003 104.019997 82.110191
"2013-03-18" 104.099998 104.599998 102.5 81.29184
"2013-03-19" 103.639999 104.029999 102.629997 80.929886
"2013-03-20" 103.459999 103.489998 102.690002 81.276115
"2013-03-21" 102.800003 103.260002 102.489998 80.796104
"2013-03-22" 102.970001 103.169998 102.540001 81.142342
"2013-03-25" 103.580002 103.639999 102.599998 80.890549
"2013-03-26" 103.300003 103.32 102.339996 80.709564
"2013-03-27" 102 103.220001 101.790001 81.158081
"2013-03-28" 103.419998 103.690002 100.760002 81.173805
"2013-04-01" 103.18 103.18 102.07 80.654465
"2013-04-02" 102.839996 103.029999 101.790001 80.323997
"2013-04-03" 102.160004 102.160004 100.620003 79.332512
"2013-04-04" 101.129997 102 100.949997 79.954155
"2013-04-05" 100.110001 101.309998 99.889999 79.631546
"2013-04-08" 101.120003 101.18 100.419998 79.544983
"2013-04-09" 101.010002 102.940002 100.93 80.882645
"2013-04-10" 103.120003 104.589996 102.839996 82.220375
"2013-04-11" 104.470001 105.25 104.349998 82.558708
"2013-04-12" 101.5 103.519997 99.940002 78.876129
"2013-04-15" 100 100.470001 98.360001 77.396828
"2013-04-16" 98.089996 98.650002 97.660004 77.491241
"2013-04-17" 97.550003 97.809998 96.43 75.972565
"2013-04-18" 96.620003 97.959999 95.68 76.775177
"2013-04-19" 97.940002 98.940002 97.480003 77.703697
"2013-04-22" 98.889999 98.970001 98.019997 77.648605
"2013-04-23" 99.18 99.699997 98.559998 78.341087
"2013-04-24" 99.839996 100.029999 99.360001 78.624321
"2013-04-25" 100.18 100.5 99.839996 78.758125
"2013-04-26" 100.160004 100.379997 99.68 78.545647
"2013-04-29" 100.129997 100.449997 99.480003 78.537781
"2013-04-30" 99.75 100.379997 99.040001 78.84465
"2013-05-01" 99.870003 100.139999 99.339996 78.325317
"2013-05-02" 99.709999 101.150002 99.459999 79.017799
"2013-05-03" 101.07 101.410004 100.5 79.293182
"2013-05-06" 100.760002 101.440002 100.68 79.655136
"2013-05-07" 101.5 102.360001 101.269997 80.497101
"2013-05-08" 102.339996 103.339996 102 81.197411
"2013-05-09" 103.169998 103.489998 102.730003 81.102997
"2013-05-10" 103.309998 103.690002 102.830002 81.457077
"2013-05-13" 103.169998 103.900002 103.019997 81.315437
"2013-05-14" 103.419998 104 103.25 81.826912
"2013-05-15" 103.489998 105.839996 103.489998 82.912796
"2013-05-16" 105.029999 105.639999 104.339996 82.377708
