"Index" "Open" "High" "Low" "Price"
"2012-09-17" 15.034266 15.134209 14.791548 13.251582
"2012-09-18" 14.785837 14.83438 14.588806 13.220953
"2012-09-19" 14.862935 15.111365 14.751571 13.448108
"2012-09-20" 15.037122 15.439749 14.928612 13.785012
"2012-09-21" 15.648201 15.705311 15.171331 13.58338
"2012-09-24" 15.142776 15.182753 14.88578 13.323045
"2012-09-25" 14.940034 15.157053 14.897202 13.448108
"2012-09-26" 15.062821 15.097087 14.591662 13.169906
"2012-09-27" 14.805825 14.937179 14.63735 13.279655
"2012-09-28" 14.857224 14.897202 14.697316 13.287313
"2012-10-01" 15.099943 15.148487 14.934323 13.420033
"2012-10-02" 15.094232 15.205597 15.022844 13.468527
"2012-10-03" 15.085665 15.334095 15.085665 13.680367
"2012-10-04" 15.365505 15.488292 15.319817 13.716101
"2012-10-05" 15.374072 15.562536 15.342661 13.762042
"2012-10-08" 15.36265 15.414049 15.22273 13.700787
"2012-10-09" 15.276985 15.276985 14.982867 13.534886
"2012-10-10" 15.182753 15.182753 15 13.458316
"2012-10-11" 15.276985 15.368361 15.134209 13.69313
"2012-10-12" 15.251285 15.408338 15.231296 13.667607
"2012-10-15" 15.408338 15.66819 15.205597 14.00451
"2012-10-16" 15.716733 15.868075 15.58538 14.03769
"2012-10-17" 15.662479 15.702456 15.516848 13.950912
"2012-10-18" 15.573958 15.639634 14.908624 13.440453
"2012-10-19" 15.119931 15.125642 14.897202 13.448108
"2012-10-22" 15.028555 15.314106 14.960023 13.659949
"2012-10-23" 15.131354 15.211308 14.897202 13.376642
"2012-10-24" 15.265563 15.414049 12.866933 12.251075
"2012-10-25" 14.100514 14.448886 13.900628 12.838107
"2012-10-26" 14.137636 14.306111 14.034837 12.55225
"2012-10-31" 14.05197 14.063392 13.717875 12.340405
"2012-11-01" 13.832096 14.117647 13.786408 12.45526
"2012-11-02" 13.972016 13.972016 13.475157 12.049443
"2012-11-05" 13.420902 13.6008 12.966876 11.704882
"2012-11-06" 13.012564 13.418047 12.8498 11.903963
"2012-11-07" 13.149629 13.18675 12.478584 11.291408
"2012-11-08" 12.609937 12.707025 12.230154 10.969816
"2012-11-09" 12.235865 12.872644 12.235865 11.253124
"2012-11-12" 12.581382 12.73558 12.481439 11.24802
"2012-11-13" 12.40434 12.678469 12.358652 11.204393
"2012-11-14" 12.51285 12.575671 12.26442 11.035017
"2012-11-15" 12.230154 12.295831 11.950314 10.829713
"2012-11-16" 12.135922 12.301542 12.018846 10.978559
"2012-11-19" 12.375785 12.555682 12.247287 11.073513
"2012-11-20" 12.307253 12.307253 11.967447 10.873341
"2012-11-21" 12.193033 12.198744 11.996002 10.881041
"2012-11-23" 12.121645 12.270131 12.058824 10.996523
"2012-11-26" 12.221588 12.252998 12.113078 11.009354
"2012-11-27" 12.181611 12.392918 12.113078 11.112005
"2012-11-28" 12.312964 12.618504 12.064535 11.330142
"2012-11-29" 12.904055 13.183895 12.866933 11.776673
"2012-11-30" 13.106796 13.498001 13.103941 12.100025
"2012-12-03" 13.495146 13.5751 13.206739 12.105157
"2012-12-04" 12.835523 12.835523 12.050257 11.163329
"2012-12-05" 12.378641 12.592804 12.378641 11.253151
"2012-12-06" 12.561393 12.898344 12.521416 11.540577
"2012-12-07" 12.869789 12.93261 12.661336 11.525179
"2012-12-10" 12.738435 12.815534 12.40434 11.158199
"2012-12-11" 12.507139 12.79269 12.45574 11.455887
"2012-12-12" 12.869789 13.026842 12.809823 11.614996
"2012-12-13" 12.998287 12.998287 12.806967 11.589334
"2012-12-14" 12.864078 13.049686 12.818389 11.586767
"2012-12-17" 12.915477 13.158195 12.852656 11.799767
"2012-12-18" 13.175328 13.415191 13.101085 11.984541
"2012-12-19" 13.280982 13.700742 13.235294 12.133387
"2012-12-20" 13.506568 13.506568 13.243861 11.943481
"2012-12-21" 12.981154 13.389492 12.981154 11.920385
"2012-12-24" 13.232439 13.332381 13.095374 11.935781
"2012-12-26" 13.266705 13.303826 13.086808 11.779239
"2012-12-27" 13.135351 13.332381 13.078241 11.907555
"2012-12-28" 13.198172 13.40948 13.143918 11.863926
"2012-12-31" 13.12964 13.720731 13.049686 12.123123
"2013-01-02" 13.606511 13.914906 13.300971 12.06153
"2013-01-03" 13.37807 13.420902 13.221017 11.93065
"2013-01-04" 13.35237 13.420902 13.272416 12.046129
"2013-01-07" 13.266705 13.386636 12.938321 11.812601
"2013-01-08" 13.21245 13.375214 12.941176 11.666323
"2013-01-09" 13.041119 13.169617 12.898344 11.671456
"2013-01-10" 13.029697 13.058252 12.215877 11.078645
"2013-01-11" 12.370074 12.484295 12.23301 11.135101
"2013-01-14" 12.412907 12.418618 12.238721 11.155633
"2013-01-15" 12.364363 12.412907 12.075957 10.963161
"2013-01-16" 12.20731 12.272987 12.01028 10.875908
"2013-01-17" 12.178755 12.178755 11.910337 10.734761
"2013-01-18" 11.961736 11.973158 11.841805 10.703968
