"Index" "Open" "High" "Low" "Price"
"2012-09-17" 6.69 6.74 6.51 6.532108
"2012-09-18" 6.54 6.57 6.4 6.442627
"2012-09-19" 6.55 6.72 6.55 6.611647
"2012-09-20" 6.58 6.6 6.39 6.4128
"2012-09-21" 6.5 6.52 6.3 6.323319
"2012-09-24" 6.25 6.26 6.11 6.223897
"2012-09-25" 6.35 6.36 6.09 6.074761
"2012-09-26" 6.1 6.1 5.87 5.905741
"2012-09-27" 6.01 6.07 5.9 5.985281
"2012-09-28" 6.05 6.24 5.97 5.945511
"2012-10-01" 6.07 6.1 5.72 5.736722
"2012-10-02" 5.81 5.85 5.74 5.806318
"2012-10-03" 5.88 5.9 5.77 5.806318
"2012-10-04" 5.84 5.89 5.77 5.846088
"2012-10-05" 5.91 6.03 5.85 5.85603
"2012-10-08" 5.83 5.9 5.8 5.81626
"2012-10-09" 5.83 5.86 5.7 5.72678
"2012-10-10" 5.79 5.8 5.64 5.72678
"2012-10-11" 5.77 5.79 5.67 5.716837
"2012-10-12" 5.76 5.8 5.63 5.637299
"2012-10-15" 5.76 5.76 5.64 5.68701
"2012-10-16" 5.72 5.8 5.67 5.746664
"2012-10-17" 5.75 5.85 5.67 5.746664
"2012-10-18" 5.78 5.82 5.65 5.617414
"2012-10-19" 5.76 5.77 5.44 5.418568
"2012-10-22" 5.46 5.47 5.35 5.408625
"2012-10-23" 5.35 5.49 5.29 5.378798
"2012-10-24" 5.47 5.5 5.16 5.140182
"2012-10-25" 5.2 5.71 5.18 5.657184
"2012-10-26" 5.6 5.69 5.41 5.438452
"2012-10-31" 5.54 5.65 5.38 5.398683
"2012-11-01" 5.52 5.8 5.51 5.756607
"2012-11-02" 5.82 5.87 5.65 5.677068
"2012-11-05" 5.7 5.88 5.63 5.806318
"2012-11-06" 5.88 6.09 5.86 6.054877
"2012-11-07" 5.94 6.02 5.76 5.875915
"2012-11-08" 5.87 5.93 5.66 5.657184
"2012-11-09" 5.69 5.8 5.59 5.587587
"2012-11-12" 5.63 5.69 5.5 5.537876
"2012-11-13" 5.47 5.81 5.46 5.706895
"2012-11-14" 5.79 5.82 5.52 5.527933
"2012-11-15" 5.64 5.64 5.41 5.438452
"2012-11-16" 5.48 5.52 5.33 5.438452
"2012-11-19" 5.56 5.67 5.51 5.508048
"2012-11-20" 5.48 5.59 5.45 5.527933
"2012-11-21" 5.53 5.56 5.46 5.488164
"2012-11-23" 5.57 5.71 5.54 5.647241
"2012-11-26" 5.68 5.79 5.62 5.667125
"2012-11-27" 5.71 5.78 5.65 5.647241
"2012-11-28" 5.62 5.79 5.58 5.736722
"2012-11-29" 5.8 5.92 5.74 5.875915
"2012-11-30" 5.88 5.98 5.85 5.935568
"2012-12-03" 6.02 6.03 5.9 5.895799
"2012-12-04" 6 6.05 5.92 6.005165
"2012-12-05" 6.05 6.2 6.02 6.144357
"2012-12-06" 6.15 6.42 6.1 6.373031
"2012-12-07" 6.42 6.51 6.35 6.402858
"2012-12-10" 6.45 6.73 6.43 6.631531
"2012-12-11" 6.7 6.84 6.63 6.730955
"2012-12-12" 6.86 6.86 6.64 6.671301
"2012-12-13" 6.74 6.8 6.62 6.621589
"2012-12-14" 6.74 6.89 6.69 6.810493
"2012-12-17" 6.85 6.9 6.54 6.571877
"2012-12-18" 6.62 6.71 6.55 6.661358
"2012-12-19" 6.71 6.87 6.7 6.780666
"2012-12-20" 6.84 6.87 6.73 6.750839
"2012-12-21" 6.48 6.49 6.18 6.28355
"2012-12-24" 6.38 6.38 6.18 6.194068
"2012-12-26" 6.23 6.34 6.17 6.144357
"2012-12-27" 6.18 6.26 6.07 6.184126
"2012-12-28" 6.16 6.28 6.11 6.094646
"2012-12-31" 6.14 6.36 6.11 6.303434
"2013-01-02" 6.6 6.67 6.45 6.591762
"2013-01-03" 6.64 6.97 6.61 6.860205
"2013-01-04" 6.95 6.96 6.85 6.919858
"2013-01-07" 7.06 7.28 7.03 7.138589
"2013-01-08" 7.14 7.29 7.06 7.188302
"2013-01-09" 7.25 7.38 7.24 7.26784
"2013-01-10" 7.37 7.44 7.28 7.377206
"2013-01-11" 7.39 7.56 7.3 7.496514
"2013-01-14" 7.5 7.69 7.46 7.556167
"2013-01-15" 7.54 7.62 7.43 7.556167
"2013-01-16" 7.63 7.75 7.59 7.625763
"2013-01-17" 7.7 7.87 7.7 7.764956
"2013-01-18" 7.81 7.99 7.79 7.844494
"2013-01-22" 7.84 7.93 7.7 7.794783
"2013-01-23" 7.88 7.9 7.68 7.735129
"2013-01-24" 7.72 7.89 7.7 7.784841
"2013-01-25" 7.89 8.08 7.83 7.82461
"2013-01-28" 7.89 7.99 7.78 7.774899
"2013-01-29" 7.81 7.82 7.54 7.536283
"2013-01-30" 7.58 7.73 7.55 7.605879
"2013-01-31" 7.64 7.7 7.54 7.516398
"2013-02-01" 7.65 7.84 7.65 7.784841
"2013-02-04" 7.8 8.01 7.73 7.715245
"2013-02-05" 7.82 7.93 7.67 7.82461
"2013-02-06" 7.7 8.06 7.7 7.904149
"2013-02-07" 7.98 8.04 7.63 7.685418
"2013-02-08" 7.78 7.81 7.66 7.705302
"2013-02-11" 7.76 7.95 7.72 7.864379
"2013-02-12" 7.91 7.98 7.85 7.874322
"2013-02-13" 7.95 7.98 7.85 7.904149
"2013-02-14" 7.9 8.09 7.86 8.033399
"2013-02-15" 8.11 8.22 7.89 7.864379
"2013-02-19" 7.9 8.12 7.88 8.073168
"2013-02-20" 8.2 8.25 7.86 7.834553
"2013-02-21" 7.82 7.88 7.64 7.635706
"2013-02-22" 7.76 8.03 7.72 7.973746
"2013-02-25" 8.12 8.22 7.88 7.884264
"2013-02-26" 7.98 8.08 7.85 7.914091
"2013-02-27" 7.97 8.23 7.95 8.132823
"2013-02-28" 8.23 8.5 8.22 8.331668
"2013-03-01" 8.32 8.36 8.2 8.202419
"2013-03-04" 8.23 8.54 8.2 8.351554
"2013-03-05" 8.55 8.79 8.52 8.679649
"2013-03-06" 8.82 8.88 8.64 8.600111
"2013-03-07" 8.77 8.95 8.71 8.888438
"2013-03-08" 9.03 9.24 8.92 9.14694
"2013-03-11" 9.15 9.4 9 9.296075
"2013-03-12" 9.36 9.45 9.2 9.266247
"2013-03-13" 9.35 9.66 9.35 9.455152
"2013-03-14" 9.62 9.74 9.58 9.634113
"2013-03-15" 9.74 9.75 9.27 9.315959
"2013-03-18" 9.05 9.32 8.98 9.127054
"2013-03-19" 9.27 9.41 9.09 9.186709
"2013-03-20" 9.33 9.48 9.19 9.256306
"2013-03-21" 9.35 9.37 9.07 9.017689
"2013-03-22" 9.75 10.27 9.73 9.982095
"2013-03-25" 10.01 10.13 9.78 9.823018
"2013-03-26" 9.92 10.1 9.8 9.862787
"2013-03-27" 9.76 10.04 9.68 9.902556
"2013-03-28" 10.01 10.03 9.87 9.92244
"2013-04-01" 9.97 9.98 9.34 9.325902
"2013-04-02" 9.51 9.71 9.25 9.246364
"2013-04-03" 9.35 9.45 9.05 9.047517
"2013-04-04" 9.09 9.33 9.04 9.256306
"2013-04-05" 9.15 9.59 9.12 9.256306
"2013-04-08" 9.29 9.41 9.06 9.335844
"2013-04-09" 9.45 9.67 9.39 9.514806
"2013-04-10" 9.64 10.22 9.63 10.031806
"2013-04-11" 9.91 10.15 9.77 9.92244
"2013-04-12" 9.92 10.09 9.83 9.952268
"2013-04-15" 9.93 9.96 9.56 9.504864
"2013-04-16" 9.78 9.89 9.7 9.813074
"2013-04-17" 9.74 9.76 9.35 9.335844
"2013-04-18" 9.53 9.58 9.11 9.176765
"2013-04-19" 9.26 9.47 9.1 9.296075
"2013-04-22" 9.36 9.43 9.14 9.256306
"2013-04-23" 9.4 9.49 9.27 9.365671
"2013-04-24" 9.4 9.5 9.31 9.365671
"2013-04-25" 9.36 9.64 9.32 9.475036
"2013-04-26" 9.5 9.73 9.41 9.375613
"2013-04-29" 9.48 9.5 9.34 9.296075
"2013-04-30" 9.41 9.46 9.19 9.365671
"2013-05-01" 9.42 9.47 9.15 9.14694
"2013-05-02" 9.1 9.36 9.07 9.266247
"2013-05-03" 9.45 9.7 9.43 9.57446
"2013-05-06" 9.73 9.94 9.7 9.703711
"2013-05-07" 9.8 9.98 9.66 9.912498
"2013-05-08" 9.92 10.26 9.82 10.180942
"2013-05-09" 10.22 10.75 10.21 10.648231
"2013-05-10" 10.6 10.9 10.6 10.757596
"2013-05-13" 10.75 10.81 10.6 10.598518
"2013-05-14" 10.7 10.71 10.52 10.588577
"2013-05-15" 10.68 11 10.63 10.807308
"2013-05-16" 10.93 11.26 10.93 10.996213
"2013-05-17" 11.16 11.42 11.13 11.244772
"2013-05-20" 11.31 11.4 11.08 11.145348
"2013-05-21" 11.21 11.32 11.16 11.165232
"2013-05-22" 11.23 11.68 10.8 10.85702
"2013-05-23" 10.73 11.49 10.57 11.324309
"2013-05-24" 11.3 11.66 11.29 11.523156
"2013-05-28" 11.74 11.88 11.69 11.712059
"2013-05-29" 11.69 11.92 11.6 11.761772
"2013-05-30" 11.81 11.99 11.75 11.821426
"2013-05-31" 11.83 11.91 11.68 11.612637
"2013-06-03" 11.74 11.99 11.41 11.662348
"2013-06-04" 11.73 12 11.65 11.642463
"2013-06-05" 11.69 12.14 11.67 11.950675
"2013-06-06" 12.18 12.54 12.14 12.278772
"2013-06-07" 12.56 12.72 12.37 12.577041
"2013-06-10" 12.64 13.08 12.64 12.875311
"2013-06-11" 12.87 13.2 12.63 12.736119
"2013-06-12" 12.98 13.12 12.46 12.417965
