"Index" "Open" "High" "Low" "Price"
"2012-09-17" 8.133333 8.15 7.96 6.795972
"2012-09-18" 7.99 8.013333 7.873333 6.66349
"2012-09-19" 7.866667 8.006667 7.833333 6.764965
"2012-09-20" 7.966667 7.976667 7.863333 6.680403
"2012-09-21" 7.953333 7.976667 7.88 6.705771
"2012-09-24" 7.883333 7.966667 7.756667 6.686041
"2012-09-25" 7.956667 7.96 7.693333 6.531009
"2012-09-26" 7.73 7.73 7.626667 6.457724
"2012-09-27" 7.706667 7.86 7.64 6.601478
"2012-09-28" 7.753333 7.813333 7.7 6.564834
"2012-10-01" 7.793333 7.906667 7.79 6.632484
"2012-10-02" 7.88 7.88 7.766667 6.57329
"2012-10-03" 7.776667 7.8 7.726667 6.553558
"2012-10-04" 7.793333 7.936667 7.75 6.680403
"2012-10-05" 7.94 8.006667 7.85 6.649396
"2012-10-08" 7.816667 7.906667 7.8 6.635305
"2012-10-09" 7.82 7.856667 7.723333 6.570471
"2012-10-10" 7.82 7.92 7.776667 6.640941
"2012-10-11" 7.93 7.93 7.82 6.624027
"2012-10-12" 7.82 7.843333 7.72 6.556377
"2012-10-15" 7.76 7.906667 7.703333 6.677584
"2012-10-16" 7.936667 8.056667 7.89 6.787514
"2012-10-17" 8.013333 8.163333 7.953333 6.897446
"2012-10-18" 8.14 8.193333 8.12 6.925634
"2012-10-19" 8.143333 8.19 8.01 6.841072
"2012-10-22" 8.023333 8.116667 7.97 6.801608
"2012-10-23" 7.95 8.126667 7.916667 6.801608
"2012-10-24" 8.073333 8.143333 7.826667 6.646578
"2012-10-25" 7.866667 8.056667 7.85 6.728321
"2012-10-26" 7.963333 7.99 7.88 6.700134
"2012-10-31" 7.996667 8.01 7.893333 6.702952
"2012-11-01" 7.963333 8.1 7.916667 6.810065
"2012-11-02" 8.093333 8.116667 8.006667 6.770601
"2012-11-05" 7.966667 8.12 7.933333 6.843891
"2012-11-06" 8.11 8.173333 8.033333 6.880534
"2012-11-07" 8.033333 8.066667 7.906667 6.705771
"2012-11-08" 7.916667 8.05 7.85 6.640941
"2012-11-09" 7.84 7.976667 7.826667 6.649396
"2012-11-12" 7.886667 7.94 7.776667 6.61839
"2012-11-13" 7.783333 7.906667 7.72 6.528193
"2012-11-14" 7.733333 7.76 7.59 6.429535
"2012-11-15" 7.596667 7.703333 7.543333 6.502822
"2012-11-16" 7.693333 7.723333 7.603333 6.468997
"2012-11-19" 7.736667 7.773333 7.7 6.567655
"2012-11-20" 7.75 7.75 7.65 6.516917
"2012-11-21" 7.716667 7.75 7.66 6.547921
"2012-11-23" 7.78 7.933333 7.736667 6.702952
"2012-11-26" 7.906667 7.926667 7.82 6.635305
"2012-11-27" 7.826667 7.93 7.81 6.655034
"2012-11-28" 7.82 8.063333 7.82 6.750871
"2012-11-29" 8 8.116667 7.973333 6.838253
"2012-11-30" 8.08 8.14 8.04 6.829796
"2012-12-03" 8.113333 8.133333 7.936667 6.73396
"2012-12-04" 7.963333 8.053333 7.956667 6.810065
"2012-12-05" 8.063333 8.086667 7.88 6.671946
"2012-12-06" 7.89 7.94 7.816667 6.677584
"2012-12-07" 7.936667 7.973333 7.866667 6.683222
"2012-12-10" 7.916667 7.98 7.813333 6.61839
"2012-12-11" 7.88 7.896667 7.823333 6.640941
"2012-12-12" 7.833333 8.246667 7.8 6.890367
"2012-12-13" 8.06 8.153333 8.06 6.896034
"2012-12-14" 7.986667 8.13 7.986667 6.859187
"2012-12-17" 8.11 8.23 8.086667 6.995238
"2012-12-18" 8.203333 8.41 8.156667 7.145458
"2012-12-19" 8.363333 8.473333 8.36 7.148292
"2012-12-20" 8.916667 8.933333 8.56 7.400552
"2012-12-21" 8.613333 8.613333 8.43 7.224823
"2012-12-24" 8.53 8.53 8.393333 7.148292
"2012-12-26" 8.423333 8.45 8.356667 7.131287
"2012-12-27" 8.403333 8.403333 8.276667 7.100109
"2012-12-28" 8.293333 8.376667 8.276667 7.054758
"2012-12-31" 8.293333 8.343333 8.25 7.083101
"2013-01-02" 8.47 8.586667 8.426667 7.301349
"2013-01-03" 8.583333 8.876667 8.423333 7.477079
"2013-01-04" 8.77 8.833333 8.726667 7.505426
"2013-01-07" 8.823333 8.823333 8.716667 7.445902
"2013-01-08" 8.726667 8.746667 8.65 7.397717
"2013-01-09" 8.67 8.826667 8.67 7.474245
"2013-01-10" 8.833333 8.876667 8.79 7.547941
"2013-01-11" 8.826667 8.87 8.8 7.533768
"2013-01-14" 8.87 8.923333 8.83 7.57345
"2013-01-15" 8.906667 8.946667 8.833333 7.593291
"2013-01-16" 8.9 9.023333 8.88 7.610296
"2013-01-17" 8.986667 9.066667 8.93 7.672651
"2013-01-18" 9.043333 9.086667 9.01 7.689657
"2013-01-22" 9.066667 9.17 9.036667 7.794533
"2013-01-23" 9.16 9.166667 9.033333 7.76052
"2013-01-24" 9.13 9.196667 9.13 7.797366
"2013-01-25" 9.233333 9.24 9.123333 7.851216
"2013-01-28" 9.21 9.303333 9.176667 7.873892
"2013-01-29" 9.236667 9.33 9.216667 7.907907
"2013-01-30" 9.276667 9.333333 9.256667 7.927748
"2013-01-31" 9.26 9.496667 9.133333 8.026946
"2013-02-01" 9.54 9.686667 9.47 8.117651
