"Index" "Open" "High" "Low" "Price"
"2012-09-17" 62.23 62.43 61.880001 56.135727
"2012-09-18" 62 62.259998 61.630001 55.972988
"2012-09-19" 61.75 62.900002 61.549999 56.560658
"2012-09-20" 61.919998 62.220001 61.049999 55.475735
"2012-09-21" 61.82 62.290001 61 55.159302
"2012-09-24" 60.740002 61.25 60.299999 55.07793
"2012-09-25" 61.150002 61.150002 59.080002 53.604248
"2012-09-26" 59.209999 59.68 57.73 52.781517
"2012-09-27" 58.549999 59.330002 58.099998 53.396297
"2012-09-28" 58.610001 59 58.150002 52.935207
"2012-10-01" 58.849998 58.849998 57.240002 52.510273
"2012-10-02" 58.27 58.459999 57.529999 52.392746
"2012-10-03" 58.23 58.950001 57.509998 52.890003
"2012-10-04" 58.720001 59.169998 57.59 53.215477
"2012-10-05" 59.060001 59.75 58.290001 52.890003
"2012-10-08" 57.959999 58.34 57.849998 52.591648
"2012-10-09" 58.220001 58.459999 57.57 52.103443
"2012-10-10" 57.740002 58.09 57.009998 51.606178
"2012-10-11" 57.529999 57.959999 57.07 51.741787
"2012-10-12" 57.43 57.490002 56.639999 51.479607
"2012-10-15" 57.189999 57.5 56.580002 51.759865
"2012-10-16" 57.439999 57.759998 57.049999 52.112469
"2012-10-17" 57.869999 58.169998 57.549999 52.465057
"2012-10-18" 57.880001 58.57 57.720001 52.880955
"2012-10-19" 58.43 58.43 57.290001 51.985886
"2012-10-22" 57.509998 58.099998 57.110001 51.940685
"2012-10-23" 56.869999 57.91 56.150002 52.257122
"2012-10-24" 58.18 58.18 57.450001 52.266174
"2012-10-25" 58.34 58.459999 57.57 52.546436
"2012-10-26" 58.060001 58.43 57.310001 52.754387
"2012-10-31" 58.759998 59.849998 57.740002 53.369179
"2012-11-01" 58.970001 61.849998 58.84 55.177383
"2012-11-02" 61.18 61.919998 59.959999 54.273266
"2012-11-05" 59.849998 61.900002 59.52 55.448601
"2012-11-06" 61.439999 62.02 61.02 55.90971
"2012-11-07" 61.02 61.389999 60.040001 54.436008
"2012-11-08" 59.98 60.41 59.740002 54.056286
"2012-11-09" 59.290001 60.790001 59.220001 54.173813
"2012-11-12" 60.470001 60.470001 59.799999 54.354652
"2012-11-13" 59.939999 61.57 59.619999 54.671085
"2012-11-14" 60.529999 61.18 58.810001 53.242603
"2012-11-15" 58.740002 59.599998 58.41 53.81218
"2012-11-16" 59.669998 60.279999 59.16 54.074387
"2012-11-19" 60.27 60.860001 59.200001 54.779575
"2012-11-20" 60.389999 61.130001 57.950001 55.105042
"2012-11-21" 61.029999 61.560001 60.509998 55.448601
"2012-11-23" 61.610001 62.299999 61.32 55.602322
"2012-11-26" 61.169998 62.209999 61.169998 56.20805
"2012-11-27" 62 62.75 61.59 56.081478
"2012-11-28" 61.57 61.73 60.75 55.683678
"2012-11-29" 62 62.049999 60.689999 55.611362
"2012-11-30" 61.82 61.82 60.189999 55.322025
"2012-12-03" 61.529999 62.139999 60.720001 55.611362
"2012-12-04" 61.360001 61.93 61.09 55.765038
"2012-12-05" 61.66 62.82 61.540001 56.58778
"2012-12-06" 62.369999 63.119999 61.91 57.003666
"2012-12-07" 63.040001 63.380001 62.310001 57.21162
"2012-12-10" 63 64.5 62.779999 57.591335
"2012-12-11" 64.139999 64.389999 62.66 56.750526
"2012-12-12" 62.709999 63 61.759998 56.045322
"2012-12-13" 62 62.34 61.599998 56.027222
"2012-12-14" 64.5 64.739998 60.779999 55.240669
"2012-12-17" 61.099998 62.169998 60.75 55.240669
"2012-12-18" 61.259998 62.369999 60.73 56.054356
"2012-12-19" 62.16 62.400002 61.810001 56.462189
"2012-12-20" 62.439999 63.09 62.18 57.114731
"2012-12-21" 62 62.75 61.389999 56.833771
"2012-12-24" 62.5 63.009998 62.139999 56.688766
"2012-12-26" 62.610001 62.98 62.049999 56.290001
"2012-12-27" 62.32 62.509998 61.880001 56.290001
"2012-12-28" 61.950001 62.75 61.540001 56.054356
"2012-12-31" 61.740002 63.349998 61.419998 57.205353
"2013-01-02" 64.580002 65.459999 64.089996 59.172031
"2013-01-03" 65.169998 65.879997 64.639999 58.936375
"2013-01-04" 65.110001 65.699997 64.769997 59.380455
"2013-01-07" 65.239998 65.760002 65.040001 58.981705
"2013-01-08" 64.940002 65.379997 63.970001 58.329159
"2013-01-09" 64.800003 65.550003 64.230003 59.317036
"2013-01-10" 65.760002 65.830002 64.360001 58.827618
"2013-01-11" 64.870003 65.099998 64.080002 58.44698
"2013-01-14" 64.099998 64.82 64 58.347282
"2013-01-15" 64.209999 64.849998 64.110001 58.573853
"2013-01-16" 64.580002 65.669998 64.480003 59.480145
"2013-01-17" 65.889999 66.290001 65.610001 59.869862
"2013-01-18" 65.900002 66.470001 65.43 59.906116
"2013-01-22" 65.980003 66.860001 65.980003 60.440834
"2013-01-23" 66.629997 66.870003 66.349998 60.259548
"2013-01-24" 66.440002 67.25 66.339996 60.748978
"2013-01-25" 67.5 67.800003 67.139999 61.283669
"2013-01-28" 67.75 68.07 66.690002 60.594894
"2013-01-29" 66.669998 67.400002 66.669998 60.957432
"2013-01-30" 67 67.290001 66.339996 60.187061
"2013-01-31" 66.360001 67.790001 66.089996 61.283669
"2013-02-01" 67.669998 69.290001 67.260002 62.552502
"2013-02-04" 68.290001 69.010002 67.989998 61.999657
"2013-02-05" 69.019997 69.5 68.110001 62.77
"2013-02-06" 68.989998 69.580002 68.870003 63.060024
"2013-02-07" 69.610001 69.610001 68.32 62.634079
"2013-02-08" 69.120003 69.699997 69.120003 63.150631
"2013-02-11" 69.43 69.650002 68.949997 62.715641
"2013-02-12" 69.230003 70.150002 69.230003 63.386272
"2013-02-13" 69.949997 70.309998 69.779999 63.567547
"2013-02-14" 70.059998 70.669998 70.059998 63.594719
"2013-02-15" 70.029999 70.839996 69.879997 63.431602
"2013-02-19" 69.940002 70.790001 69.82 63.984417
"2013-02-20" 70.529999 70.800003 68.709999 62.307804
"2013-02-21" 68.57 68.589996 66.580002 60.594894
"2013-02-22" 64.120003 64.120003 60.759998 56.316654
"2013-02-25" 63.560001 64.519997 61.32 55.708057
"2013-02-26" 61.700001 62.950001 61.459999 57.016071
"2013-02-27" 62.919998 64.370003 62.919998 57.869896
"2013-02-28" 63.759998 64.290001 63.380001 57.588329
"2013-03-01" 63.110001 63.599998 62.290001 57.179558
"2013-03-04" 62.830002 62.970001 61.880001 57.070576
"2013-03-05" 63.009998 63.849998 63.009998 57.933479
"2013-03-06" 64.019997 64.889999 63.889999 58.860001
"2013-03-07" 64.75 65.650002 64.669998 59.504887
"2013-03-08" 66.230003 66.900002 66.209999 60.522247
"2013-03-11" 66.379997 67.669998 66.32 61.221661
"2013-03-12" 67.349998 67.440002 66.459999 60.558578
"2013-03-13" 66.739998 66.830002 66.480003 60.513138
"2013-03-14" 66.919998 67.519997 66.720001 61.176228
"2013-03-15" 67.459999 68.07 67.150002 61.512321
"2013-03-18" 67.019997 68.419998 67.019997 61.793892
"2013-03-19" 67.949997 68.410004 66.599998 61.103554
"2013-03-20" 67.419998 67.809998 66.949997 61.457832
"2013-03-21" 67.150002 67.580002 66.639999 60.558578
"2013-03-22" 66.730003 67.129997 66.510002 60.849213
"2013-03-25" 67.010002 67.279999 64.610001 58.841812
"2013-03-26" 64.970001 65.199997 64.730003 59.07798
"2013-03-27" 64.68 64.800003 64.07 58.678318
"2013-03-28" 64.629997 66.059998 64.470001 59.904568
"2013-04-01" 65.779999 65.779999 64.099998 58.987156
"2013-04-02" 65.339996 65.339996 64.449997 58.887245
"2013-04-03" 64.889999 65.089996 64.199997 58.442165
"2013-04-04" 64.349998 64.980003 64.279999 58.869053
"2013-04-05" 64.199997 65.660004 63.669998 59.550327
"2013-04-08" 65.199997 67.169998 65.199997 60.94915
"2013-04-09" 67.379997 67.379997 66.650002 60.876507
"2013-04-10" 67.089996 68.07 67.010002 61.775734
"2013-04-11" 68.139999 68.43 67.699997 61.757572
"2013-04-12" 67.650002 68.269997 67.480003 61.703072
"2013-04-15" 67.540001 67.599998 66.290001 60.349655
"2013-04-16" 67.18 68.099998 66.980003 61.802982
"2013-04-17" 67.599998 67.730003 66.540001 61.02179
"2013-04-18" 67.290001 67.379997 64.790001 59.43224
"2013-04-19" 65.599998 66.599998 64.709999 60.422314
"2013-04-22" 66.660004 66.660004 65.43 59.959061
"2013-04-23" 66.199997 67.209999 65.75 60.976398
"2013-04-24" 66.980003 67.940002 66.980003 61.385155
"2013-04-25" 67.620003 69.260002 67.620003 62.393387
"2013-04-26" 68.699997 69 67.580002 61.757572
"2013-04-29" 68.239998 68.919998 67.610001 62.438812
"2013-04-30" 68.669998 69.489998 67.910004 63.120079
"2013-05-01" 69.099998 69.480003 67.790001 61.839336
"2013-05-02" 68.129997 69.309998 67.760002 62.783993
"2013-05-03" 69.919998 71.629997 69.82 64.818657
"2013-05-06" 71.150002 72.18 71.129997 65.082077
"2013-05-07" 71.629997 73.209999 71.580002 66.453629
"2013-05-08" 73.150002 73.43 72.440002 66.072151
"2013-05-09" 72.57 73.849998 72.57 66.308296
"2013-05-10" 72.839996 73.120003 72.790001 66.317398
"2013-05-13" 72.580002 73.010002 71.779999 65.872307
"2013-05-14" 72.669998 73.349998 72.449997 66.399162
"2013-05-15" 72.629997 73.699997 72.629997 66.94416
"2013-05-16" 73.709999 74.360001 72.93 66.308296
"2013-05-17" 73.43 74.209999 73.040001 67.30748
"2013-05-20" 74.019997 75.150002 73.919998 68.125
"2013-05-21" 74.93 75.239998 74.849998 68.125
"2013-05-22" 75.239998 75.25 72.970001 66.671638
"2013-05-23" 72.870003 73.32 71.730003 66.571548
"2013-05-24" 66.5 70 65.459999 61.893154
"2013-05-28" 68.639999 69.290001 68.050003 63.021786
"2013-05-29" 68.589996 69.620003 68.589996 62.967144
"2013-05-30" 69.57 71.040001 69.370003 64.387062
"2013-05-31" 70.160004 71.529999 70.089996 64.823959
"2013-06-03" 71.089996 71.860001 70.75 64.89679
"2013-06-04" 71.349998 71.849998 69.959999 64.205017
"2013-06-05" 70.379997 70.379997 68.220001 62.229916
"2013-06-06" 68.080002 69.419998 67.980003 63.131004
"2013-06-07" 69.690002 70.389999 69.080002 63.941071
"2013-06-10" 70.589996 70.839996 69.290001 63.740826
"2013-06-11" 69.480003 70.690002 68.739998 63.558773
"2013-06-12" 70.519997 70.519997 68.339996 62.302723
"2013-06-13" 68.230003 69.139999 68.199997 62.848846
"2013-06-14" 69.089996 69.400002 68.449997 62.857956
"2013-06-17" 69.540001 70.220001 69.410004 63.576988
"2013-06-18" 69.959999 71.160004 69.900002 64.578217
"2013-06-19" 71.040001 71.209999 70.050003 63.768131
"2013-06-20" 69.260002 69.730003 67.489998 61.492653
"2013-06-21" 67.889999 68.529999 67.389999 61.492653
"2013-06-24" 67.059998 67.860001 66.5 61.219612
"2013-06-25" 67.919998 68.099998 67.32 61.665573
"2013-06-26" 68.239998 68.870003 67.93 62.229916
"2013-06-27" 68.919998 69.949997 68.919998 63.513283
"2013-06-28" 69.349998 69.989998 69.230003 63.085468
"2013-07-01" 70 70.75 69.010002 64.095787
"2013-07-02" 70.330002 70.970001 69.269997 63.158295
"2013-07-03" 68.730003 69.129997 68.080002 62.867016
"2013-07-05" 69.5 70.910004 69.389999 64.514496
"2013-07-08" 71 71 70.410004 64.441696
"2013-07-09" 71.029999 72.610001 71.029999 65.806953
"2013-07-10" 72.199997 72.75 71.699997 65.779663
"2013-07-11" 72.75 73.5 72.75 66.82637
"2013-07-12" 73.290001 74.370003 72.910004 67.654655
"2013-07-15" 74.129997 74.629997 73.870003 67.527245
"2013-07-16" 74.160004 74.919998 73.75 67.154037
"2013-07-17" 74.099998 74.099998 73.25 66.972015
"2013-07-18" 73.75 74.5 73.5 67.317886
"2013-07-19" 73.68 73.919998 73.209999 67.108551
"2013-07-22" 73.629997 74.160004 73.459999 67.108551
"2013-07-23" 74 74 73.260002 66.926521
"2013-07-24" 73.660004 73.93 72.480003 66.043625
"2013-07-25" 72.169998 72.919998 72.059998 65.934395
"2013-07-26" 72 72.040001 71.25 65.27906
"2013-07-29" 71.230003 71.620003 70.610001 64.377953
"2013-07-30" 70.940002 71.440002 70.559998 64.969582
"2013-07-31" 71.800003 72.879997 71.389999 65.67955
"2013-08-01" 73.07 75.879997 72.279999 67.945892
"2013-08-02" 74.339996 74.57 73.629997 67.518105
"2013-08-05" 73.889999 74.620003 73.75 67.800278
"2013-08-06" 74.18 74.480003 73.25 67.24511
"2013-08-07" 73.639999 73.639999 72.139999 65.870697
"2013-08-08" 72.349998 74.169998 72.349998 67.053925
"2013-08-09" 73.510002 73.949997 73.18 66.808167
"2013-08-12" 72.980003 74.010002 72.419998 66.972015
"2013-08-13" 73.699997 74.110001 72.669998 67.135841
"2013-08-14" 73.949997 74.330002 72.699997 66.334892
"2013-08-15" 71.830002 73.220001 69.879997 63.759041
"2013-08-16" 70.269997 71.419998 69.940002 64.022995
"2013-08-19" 70.510002 70.870003 69.449997 63.258442
"2013-08-20" 69.589996 70.330002 69.489998 63.668018
"2013-08-21" 69.760002 70.68 69.379997 63.42226
"2013-08-22" 69.720001 71.419998 69.720001 64.96051
"2013-08-23" 69 70.449997 65.779999 63.646488
"2013-08-26" 69.68 70.169998 69.019997 63.208488
"2013-08-27" 68.400002 68.510002 67.050003 61.201
"2013-08-28" 67 68.160004 66.660004 61.949257
"2013-08-29" 67.779999 68.860001 67.419998 61.566006
"2013-08-30" 67.599998 67.599998 66.550003 60.817757
"2013-09-03" 67.669998 69.209999 66 61.237507
"2013-09-04" 67.089996 68.720001 67.029999 62.551517
"2013-09-05" 68.699997 69.559998 68.629997 63.181133
