"Index" "Open" "High" "Low" "Price"
"2012-09-17" 16.985001 17.040001 16.8325 12.935455
"2012-09-18" 16.85 16.9125 16.8125 12.908647
"2012-09-19" 16.827499 16.9725 16.8025 12.927793
"2012-09-20" 16.85 17.02 16.815001 13.031203
"2012-09-21" 17.0525 17.184999 16.9725 13.142268
"2012-09-24" 17.16 17.385 17.125 13.306955
"2012-09-25" 17.41 17.497499 17.34 13.326103
"2012-09-26" 17.4375 17.615 17.4125 13.395041
"2012-09-27" 17.522499 17.545 17.360001 13.431425
"2012-09-28" 17.5175 17.620001 17.42 13.46781
"2012-10-01" 17.674999 17.7125 17.51 13.433341
"2012-10-02" 17.622499 17.682501 17.525 13.513772
"2012-10-03" 17.6625 17.7325 17.622499 13.542493
"2012-10-04" 17.735001 17.915001 17.6975 13.611431
"2012-10-05" 17.7925 17.809999 17.67 13.563559
"2012-10-08" 17.727501 17.745001 17.605 13.534833
"2012-10-09" 17.622499 17.705 17.5275 13.463979
"2012-10-10" 17.575001 17.639999 17.422501 13.383554
"2012-10-11" 17.5625 17.5625 17.434999 13.375893
"2012-10-12" 17.522499 17.522499 17.290001 13.283979
"2012-10-15" 17.3675 17.4375 17.254999 13.339509
"2012-10-16" 17.52 17.6525 17.469999 13.498447
"2012-10-17" 17.665001 17.969999 17.6325 13.745478
"2012-10-18" 17.940001 18.0275 17.862499 13.797178
"2012-10-19" 18.0075 18.0525 17.9175 13.733987
"2012-10-22" 17.895 17.93 17.825001 13.722495
"2012-10-23" 17.799999 17.807501 17.567499 13.550149
"2012-10-24" 17.495001 17.6175 17.227501 13.314617
"2012-10-25" 17.440001 17.495001 17.285 13.354826
"2012-10-26" 17.4375 17.450001 17.285 13.312698
"2012-10-31" 17.397499 17.5425 17.34 13.416104
"2012-11-01" 17.575001 17.575001 17.397499 13.379723
"2012-11-02" 17.522499 17.575001 17.379999 13.352911
"2012-11-05" 17.395 17.422501 17.252501 13.329932
"2012-11-06" 17.4125 17.422501 17.2575 13.241847
"2012-11-07" 17.2325 17.245001 16.907499 13.031203
"2012-11-08" 16.987499 17.1175 16.9025 12.946943
"2012-11-09" 16.844999 16.9725 16.790001 12.902903
"2012-11-12" 16.844999 16.865 16.6775 12.789919
"2012-11-13" 16.665001 16.875 16.5875 12.849283
"2012-11-14" 16.77 16.790001 16.5725 12.770771
"2012-11-15" 16.6675 16.825001 16.512501 12.732473
"2012-11-16" 16.6425 16.860001 16.592501 12.897154
"2012-11-19" 16.932501 16.977501 16.799999 12.966096
"2012-11-20" 16.9275 16.965 16.745001 12.966096
"2012-11-21" 16.924999 16.9475 16.5975 12.878006
"2012-11-23" 16.862499 16.895 16.700001 12.868429
"2012-11-26" 16.772499 17 16.75 13.013968
"2012-11-27" 17.004999 17.0625 16.915001 12.987157
"2012-11-28" 16.825001 16.855 16.622499 13.023868
"2012-11-29" 16.877501 17.0275 16.8325 13.159111
"2012-11-30" 17.0275 17.200001 17.0075 13.275032
"2012-12-03" 17.202499 17.205 17.0075 13.193885
"2012-12-04" 17.0875 17.137501 16.955 13.120471
"2012-12-05" 16.9925 17.407499 16.952499 13.36584
"2012-12-06" 17.317499 17.405001 17.2075 13.361975
"2012-12-07" 17.309999 17.4 17.2675 13.40255
"2012-12-10" 17.32 17.35 17.252501 13.358113
"2012-12-11" 17.309999 17.3925 17.2675 13.390957
"2012-12-12" 17.3475 17.475 17.290001 13.375498
"2012-12-13" 17.2875 17.57 17.217501 13.533927
"2012-12-14" 17.4175 17.512501 17.3575 13.421865
"2012-12-17" 17.4125 17.66 17.3825 13.624729
"2012-12-18" 17.6075 17.797501 17.5825 13.696218
"2012-12-19" 17.6875 17.702499 17.5275 13.634395
"2012-12-20" 17.684999 17.715 17.5625 13.638256
"2012-12-21" 17.522499 17.6175 17.442499 13.516538
"2012-12-24" 17.4575 17.532499 17.379999 13.508811
"2012-12-26" 17.487499 17.5275 17.2425 13.352317
"2012-12-27" 17.245001 17.362499 17.127501 13.371636
"2012-12-28" 17.2125 17.3325 17.059999 13.186156
"2012-12-31" 17.032499 17.3125 16.9375 13.367772
"2013-01-02" 17.497499 17.6425 17.452499 13.624729
"2013-01-03" 17.65 17.7075 17.5825 13.626663
"2013-01-04" 17.66 17.737499 17.612499 13.694283
"2013-01-07" 17.7125 17.735001 17.594999 13.630527
"2013-01-08" 17.645 17.825001 17.5975 13.775427
"2013-01-09" 17.827499 17.827499 17.6325 13.678827
"2013-01-10" 17.764999 17.877501 17.690001 13.812138
"2013-01-11" 17.952499 17.969999 17.855 13.868168
"2013-01-14" 17.895 17.987499 17.875 13.850777
"2013-01-15" 17.885 17.9825 17.855 13.887489
"2013-01-16" 17.91 17.9625 17.807501 13.777362
"2013-01-17" 17.74 17.8475 17.655001 13.732925
"2013-01-18" 17.825001 17.907499 17.7925 13.82373
"2013-01-22" 17.870001 18.01 17.8675 13.906805
"2013-01-23" 17.9 17.959999 17.8375 13.8701
"2013-01-24" 17.959999 18.0875 17.93 13.929996
"2013-01-25" 18.1075 18.129999 17.9175 14.007277
"2013-01-28" 18.2125 18.2125 17.975 13.987955
"2013-01-29" 18.1325 18.217501 18.035 14.028524
"2013-01-30" 18.135 18.139999 18 13.910671
"2013-01-31" 18 18.055 17.93 13.920332
"2013-02-01" 18.112499 18.1775 18.065001 13.964772
"2013-02-04" 18.0425 18.0975 17.98 13.908739
"2013-02-05" 18.075001 18.115 18.014999 13.941586
"2013-02-06" 18 18.002501 17.907499 13.912601
"2013-02-07" 18.057501 18.157499 17.9575 13.958972
"2013-02-08" 18.065001 18.0725 17.98 13.929996
"2013-02-11" 18.002501 18.055 17.995001 13.945448
"2013-02-12" 18.032499 18.139999 18.0075 14.005343
"2013-02-13" 18.145 18.23 18.105 14.01694
"2013-02-14" 18.084999 18.16 17.959999 13.949313
"2013-02-15" 18.094999 18.15 18.057501 14.007277
"2013-02-19" 18.172501 18.26 18.137501 14.084557
"2013-02-20" 18.225 18.352501 18.209999 14.092283
"2013-02-21" 18.26 18.27 18.129999 14.013074
