"Index" "Open" "High" "Low" "Price"
"2012-09-17" 8.425714 8.428571 8.11 8.145714
"2012-09-18" 8.184286 8.331429 7.974286 8.008571
"2012-09-19" 8.105714 8.271429 7.957143 8.148571
"2012-09-20" 8.06 8.398571 8.057143 8.391429
"2012-09-21" 8.49 8.531429 8.201429 8.255714
"2012-09-24" 8.122857 8.262857 8.041429 8.055714
"2012-09-25" 8.107143 8.137143 7.671429 7.685714
"2012-09-26" 7.712857 7.99 7.578571 7.875714
"2012-09-27" 7.98 8.014286 7.737143 7.935714
"2012-09-28" 7.862857 7.972857 7.745714 7.777143
"2012-10-01" 7.8 8.085714 7.762857 8.007143
"2012-10-02" 8.064286 8.184286 7.9 8.065714
"2012-10-03" 8.341429 8.95 8.321429 8.94
"2012-10-04" 8.95 9.61 8.944286 9.524286
"2012-10-05" 9.58 9.742857 9.302857 9.508571
"2012-10-08" 10.198571 10.604286 10.017143 10.502857
"2012-10-09" 9.842857 9.925714 9.342857 9.361429
"2012-10-10" 9.404286 9.704286 9.304286 9.357143
"2012-10-11" 9.557143 9.585714 9.318571 9.425714
"2012-10-12" 9.4 9.514286 9.108571 9.19
"2012-10-15" 9.307143 9.311429 9.057143 9.251429
"2012-10-16" 9.271429 9.458571 9.108571 9.435714
"2012-10-17" 9.43 9.831429 9.377143 9.788571
"2012-10-18" 9.784286 9.977143 9.564286 9.622857
"2012-10-19" 9.598571 9.642857 9.18 9.282857
"2012-10-22" 9.194286 9.961429 9.184286 9.697143
"2012-10-23" 9.614286 9.878571 9.437143 9.745714
"2012-10-24" 8.265714 8.714286 8.2 8.588571
"2012-10-25" 8.578571 8.81 8.557143 8.787143
"2012-10-26" 8.792857 10.034286 8.641429 9.94
"2012-10-31" 9.487143 12.135714 9.364286 11.32
"2012-11-01" 11.121429 11.384286 10.664286 11.098571
"2012-11-02" 11.035714 11.407143 10.852857 10.985714
"2012-11-05" 10.652857 11.277143 10.642857 11.177143
"2012-11-06" 11.008571 11.421429 10.815714 10.91
"2012-11-07" 10.918571 11.321429 10.918571 11.097143
"2012-11-08" 11.164286 11.475714 10.827143 10.852857
"2012-11-09" 10.901429 11.268571 10.872857 11.128571
"2012-11-12" 11.285714 11.472857 11.144286 11.17
"2012-11-13" 11.12 11.562857 11.048571 11.372857
"2012-11-14" 11.428571 11.617143 11.25 11.397143
"2012-11-15" 11.444286 11.7 11.357143 11.64
"2012-11-16" 11.611429 11.871429 11.474286 11.557143
"2012-11-19" 11.715714 11.855714 11.45 11.622857
"2012-11-20" 11.644286 11.957143 11.588571 11.771429
"2012-11-21" 11.785714 12.08 11.785714 11.857143
"2012-11-23" 11.915714 11.964286 11.74 11.85
"2012-11-26" 11.8 11.84 11.438571 11.722857
"2012-11-27" 11.718571 11.928571 11.651429 11.868571
"2012-11-28" 11.821429 11.938571 11.687143 11.747143
"2012-11-29" 11.77 11.825714 11.542857 11.625714
"2012-11-30" 11.5 11.672857 11.332857 11.672857
"2012-12-03" 11.692857 11.71 10.785714 10.857143
"2012-12-04" 10.787143 12.571429 10.642857 12.378571
"2012-12-05" 12.371429 12.511429 11.845714 11.91
"2012-12-06" 11.742857 12.651429 11.671429 12.31
"2012-12-07" 12.61 12.825714 12.184286 12.282857
"2012-12-10" 12.285714 12.428571 12.071429 12.114286
"2012-12-11" 12.185714 12.461429 12.057143 12.297143
"2012-12-12" 12.324286 13.307143 12.277143 12.961429
"2012-12-13" 12.978571 13.331429 12.838571 13.222857
"2012-12-14" 13.238571 13.527143 13.142857 13.328571
"2012-12-17" 13.281429 13.57 13.158571 13.528571
"2012-12-18" 13.567143 13.935714 13.464286 13.662857
"2012-12-19" 13.8 13.971429 13.35 13.425714
"2012-12-20" 13.475714 13.5 13.235714 13.357143
"2012-12-21" 13.15 13.268571 13.015714 13.048571
"2012-12-24" 13.08 13.121429 12.757143 12.89
"2012-12-26" 12.834286 13.271429 12.768571 12.95
"2012-12-27" 12.941429 13.062857 12.648571 12.928571
"2012-12-28" 12.828571 12.935714 12.7 12.761429
"2012-12-31" 12.768571 13.357143 12.715714 13.227143
"2013-01-02" 13.601429 13.687143 12.955714 13.144286
"2013-01-03" 13.138571 13.988571 13.075714 13.798571
"2013-01-04" 13.791429 13.958571 13.648571 13.711429
"2013-01-07" 13.77 14.535714 13.731429 14.171429
