"Index" "Open" "High" "Low" "Price"
"2012-09-17" 24.08 24.514999 24.02 21.894093
"2012-09-18" 24.424999 24.5625 24.2675 21.838221
"2012-09-19" 25.057501 25.125 24.4 21.824814
"2012-09-20" 24.6 24.6 24.094999 21.614746
"2012-09-21" 24.385 24.385 24.049999 21.570045
"2012-09-24" 23.9 24.0875 23.5 21.301878
"2012-09-25" 23.797501 24.0875 23.75 21.248245
"2012-09-26" 23.74 24.0525 23.5825 21.339867
"2012-09-27" 23.950001 24.16 23.6625 21.453846
"2012-09-28" 23.264999 24.045 23.1975 21.210247
"2012-10-01" 23.727501 24.049999 23.655001 21.353289
"2012-10-02" 24.014999 24.049999 23.645 21.219187
"2012-10-03" 23.727501 23.885 23.405001 20.962194
"2012-10-04" 23.5825 23.99 23.5 21.429264
"2012-10-05" 24.035 24.1325 23.715 21.279524
"2012-10-08" 23.752501 23.9475 23.6875 21.228128
"2012-10-09" 23.727501 23.922501 23.6 21.114155
"2012-10-10" 23.715 23.865 23.5375 21.056049
"2012-10-11" 23.655001 23.8675 23.6325 21.208021
"2012-10-12" 23.76 23.865 23.5825 21.100748
"2012-10-15" 23.6675 23.955 23.594999 21.366692
"2012-10-16" 24.07 24.4025 24.035 21.730957
"2012-10-17" 24.227501 24.5 24.227501 21.804699
"2012-10-18" 24.424999 24.5175 24.254999 21.804699
"2012-10-19" 24.385 24.525 24.025 21.554409
"2012-10-22" 23.855 24.0875 23.455 21.114155
"2012-10-23" 23.459999 23.5625 23.1875 20.743183
"2012-10-24" 23.434999 23.452499 23.115 20.758825
"2012-10-25" 23.262501 23.375 22.782499 20.405727
"2012-10-26" 22.77 22.8375 22.58 20.369984
"2012-10-31" 22.762501 22.9475 22.695 20.421375
"2012-11-01" 22.975 23.9 22.975 21.308578
"2012-11-02" 23.924999 24.184999 23.622499 21.127569
"2012-11-05" 23.637501 23.870001 23.5875 21.288473
"2012-11-06" 23.8125 24.032499 23.6875 21.482893
"2012-11-07" 23.93 23.969999 23.655001 21.152149
"2012-11-08" 23.612499 23.65 22.965 20.528643
"2012-11-09" 22.922501 23.25 22.92 20.629204
"2012-11-12" 23.125 23.299999 22.995001 20.624731
"2012-11-13" 22.7925 23.165001 22.7575 20.441488
"2012-11-14" 22.99 22.99 22.4125 20.247059
"2012-11-15" 22.5725 22.805 22.5175 20.298464
"2012-11-16" 22.959999 23.1875 22.85 20.691776
"2012-11-19" 23.372499 24.084999 23.365 21.525354
"2012-11-20" 24.08 24.129999 23.817499 21.366692
"2012-11-21" 23.889999 23.9575 23.74 21.364447
"2012-11-23" 24 24.190001 23.969999 21.621445
"2012-11-26" 23.870001 24.42 23.844999 21.824814
"2012-11-27" 24.012501 24.5 24.012501 21.67956
"2012-11-28" 24.15 24.790001 24.15 22.15333
"2012-11-29" 24.895 25.0825 24.700001 22.117567
"2012-11-30" 24.615 24.629999 24.227501 21.784584
"2012-12-03" 24.415001 24.727501 24.272499 21.802469
"2012-12-04" 24.407499 24.594999 24.307501 21.827047
"2012-12-05" 24.48 24.52 24.1525 21.829292
"2012-12-06" 24.3675 24.67 24.307501 22.089638
"2012-12-07" 24.727501 24.747499 24.432501 22.127792
