"Index" "Open" "High" "Low" "Price"
"2012-09-17" 19.07 19.110001 18.9 7.357502
"2012-09-18" 19.07 19.1 18.91 7.315151
"2012-09-19" 18.969999 19.08 18.879999 7.292051
"2012-09-20" 18.9 18.950001 18.690001 7.276653
"2012-09-21" 18.950001 19.08 18.52 7.134199
"2012-09-24" 18.389999 18.59 18.209999 7.022545
"2012-09-25" 18.389999 18.559999 18.049999 6.960944
"2012-09-26" 18.030001 18.110001 17.610001 6.957093
"2012-09-27" 18.049999 18.32 18.02 7.010998
"2012-09-28" 18.08 18.120001 17.959999 6.922442
"2012-10-01" 18.049999 18.190001 17.74 6.845443
"2012-10-02" 17.860001 18.07 17.799999 6.907045
"2012-10-03" 17.969999 18.129999 17.790001 6.895494
"2012-10-04" 17.879999 18.02 17.75 6.933994
"2012-10-05" 18.16 18.389999 17.99 6.941696
"2012-10-08" 17.969999 18.030001 17.719999 6.837745
"2012-10-09" 17.700001 17.75 17.5 6.803091
"2012-10-10" 17.65 17.780001 17.549999 6.806943
"2012-10-11" 17.790001 18.1 17.690001 6.910895
"2012-10-12" 17.93 18.07 17.75 6.883943
"2012-10-15" 17.870001 18.02 17.780001 6.914745
"2012-10-16" 18.09 18.360001 17.9 7.053347
"2012-10-17" 18.200001 18.27 17.799999 6.876243
"2012-10-18" 17.860001 18 17.620001 6.841591
"2012-10-19" 17.780001 17.83 17.4 6.710688
"2012-10-22" 17.5 17.5 17.139999 6.672188
"2012-10-23" 17.190001 17.440001 17.02 6.68759
"2012-10-24" 17.51 17.57 17.35 6.691437
"2012-10-25" 18.77 19.09 17.84 7.138047
"2012-10-26" 18.34 18.66 18.15 7.080297
"2012-10-31" 18.4 18.41 18.110001 7.003295
"2012-11-01" 18.190001 18.719999 18.15 7.203501
"2012-11-02" 18.85 18.889999 18.73 7.238151
"2012-11-05" 18.700001 18.889999 18.639999 7.203501
"2012-11-06" 18.709999 19.040001 18.700001 7.2574
"2012-11-07" 18.67 18.67 18.1 7.010998
"2012-11-08" 18.190001 18.27 17.940001 6.910895
"2012-11-09" 18 18.219999 17.93 6.918595
"2012-11-12" 18.01 18.059999 17.92 6.914745
"2012-11-13" 17.68 18.040001 17.68 6.849292
"2012-11-14" 17.91 18 17.49 6.74919
