"Index" "Open" "High" "Low" "Price"
"2012-09-17" 29.41 29.870001 29.4 23.05015
"2012-09-18" 29.57 30.280001 29.5 23.275063
"2012-09-19" 30.18 30.309999 29.84 23.39916
"2012-09-20" 29.940001 30.299999 29.870001 23.453447
"2012-09-21" 30.309999 30.5 30.09 23.631824
"2012-09-24" 30.290001 30.48 29.940001 23.251791
"2012-09-25" 30 30.040001 29.48 22.902784
"2012-09-26" 29.5 29.59 29.23 22.825235
"2012-09-27" 29.43 29.74 29.299999 23.057898
"2012-09-28" 29.59 30.200001 29.5 23.251791
"2012-10-01" 30 30.23 29.610001 23.057898
"2012-10-02" 29.85 30.25 29.84 23.437931
"2012-10-03" 30.219999 30.389999 30.059999 23.515493
"2012-10-04" 30.35 30.51 30.32 23.616323
"2012-10-05" 30.290001 31.18 30.290001 23.880014
"2012-10-08" 30.73 30.84 30.450001 23.748171
"2012-10-09" 30.639999 30.74 30.23 23.476713
"2012-10-10" 30.34 30.48 30.219999 23.608562
"2012-10-11" 30.549999 30.84 30.469999 23.786942
"2012-10-12" 30.719999 30.809999 30.360001 23.864508
"2012-10-15" 30.65 30.98 30.49 24.004108
"2012-10-16" 30.85 31.73 30.809999 24.508232
"2012-10-17" 31 32.07 31 24.663342
"2012-10-18" 31.860001 31.870001 31.27 24.275557
"2012-10-19" 31.32 31.49 31.190001 24.391895
"2012-10-22" 29.24 30.4 28.639999 22.995859
"2012-10-23" 29.67 29.67 28.700001 22.50724
"2012-10-24" 29.139999 29.17 28.25 21.987604
"2012-10-25" 28.5 28.73 28.440001 22.080675
"2012-10-26" 28.52 28.959999 28.389999 22.429688
"2012-10-31" 28.75 29 28.75 22.429688
"2012-11-01" 29 29.58 28.940001 22.941565
"2012-11-02" 29.719999 30 29.66 23.088924
"2012-11-05" 29.639999 29.75 29.25 22.832985
"2012-11-06" 29.549999 29.66 29.200001 22.964836
"2012-11-07" 29.48 29.6 29.17 22.770935
"2012-11-08" 29.299999 29.450001 29.030001 22.514999
"2012-11-09" 29.08 29.08 28.700001 22.328857
"2012-11-12" 28.91 29.110001 28.76 22.42193
"2012-11-13" 28.809999 29 28.530001 22.165993
"2012-11-14" 28.709999 28.870001 28 21.848003
"2012-11-15" 28.17 28.370001 27.559999 21.452457
"2012-11-16" 27.809999 27.98 27.51 21.436945
"2012-11-19" 27.91 27.93 27.299999 21.467974
"2012-11-20" 27.709999 27.85 27.32 21.374897
"2012-11-21" 27.610001 28.18 27.4 21.754929
"2012-11-23" 28.15 28.4 27.889999 21.917807
"2012-11-26" 28.27 28.540001 28.16 21.917807
"2012-11-27" 28.18 28.41 27.9 21.762691
"2012-11-28" 27.9 28.209999 27.73 21.848003
"2012-11-29" 28.290001 28.59 28.120001 22.088432
"2012-11-30" 28.41 28.469999 28.09 21.964336
"2012-12-03" 28.360001 28.540001 28.120001 21.917807
"2012-12-04" 28.190001 28.49 28.190001 22.088432
"2012-12-05" 28.48 28.73 28.25 22.088432
"2012-12-06" 28.5 29.040001 28.5 22.414167
"2012-12-07" 28.77 29.360001 28.77 22.677872
