"Index" "Open" "High" "Low" "Price"
"2012-09-17" 22.059999 22.16 21.709999 17.850109
"2012-09-18" 21.41 21.690001 21.379999 17.587727
"2012-09-19" 21.5 21.6 21.309999 17.587727
"2012-09-20" 21.41 21.629999 21.27 17.612324
"2012-09-21" 21.559999 21.91 21.530001 17.948498
"2012-09-24" 21.809999 22.139999 21.77 18.05509
"2012-09-25" 22.059999 22.16 21.67 17.809107
"2012-09-26" 21.76 21.799999 21.25 17.546724
"2012-09-27" 21.42 21.879999 21.41 17.694323
"2012-09-28" 21.530001 21.709999 21.07 17.538528
"2012-10-01" 21.360001 21.92 21.360001 17.735315
"2012-10-02" 21.780001 21.91 21.620001 17.923901
"2012-10-03" 21.93 22.530001 21.9 18.186289
"2012-10-04" 22.26 22.67 22.17 18.547056
"2012-10-05" 22.690001 22.92 22.41 18.661846
"2012-10-08" 22.65 22.950001 22.549999 18.817633
"2012-10-09" 22.879999 23.5 22.879999 18.932426
"2012-10-10" 23.110001 23.200001 22.870001 18.875032
"2012-10-11" 23.17 23.780001 23.1 19.391594
"2012-10-12" 23.719999 23.75 22.99 18.875032
"2012-10-15" 23.120001 23.299999 22.799999 19.080023
"2012-10-16" 23.190001 23.370001 22.790001 19.047218
"2012-10-17" 23.41 23.5 23.17 19.21941
"2012-10-18" 23.309999 23.719999 23.24 19.080023
"2012-10-19" 23.200001 23.379999 23.15 19.088215
"2012-10-22" 23.290001 23.5 22.9 18.875032
"2012-10-23" 22.66 22.74 21.77 18.366676
"2012-10-24" 22.549999 22.879999 22.34 18.465065
"2012-10-25" 22.65 22.76 22.059999 18.243685
"2012-10-26" 22.52 22.59 21.809999 17.989496
"2012-10-31" 22.07 22.24 21.48 17.750736
"2012-11-01" 21.389999 21.809999 21.34 17.742502
"2012-11-02" 21.540001 21.719999 21.18 17.46257
"2012-11-05" 21.559999 21.639999 20.959999 17.289682
"2012-11-06" 21.17 21.83 21.129999 17.528437
"2012-11-07" 21.110001 21.139999 20.57 17.116783
"2012-11-08" 20.83 21.059999 20.620001 16.97682
"2012-11-09" 20.559999 21.030001 20.43 16.902716
"2012-11-12" 20.34 21 20.030001 16.639256
"2012-11-13" 20.07 20.190001 19.620001 16.194662
"2012-11-14" 19.52 19.74 19.34 15.988838
"2012-11-15" 19.48 19.66 19.15 16.128801
"2012-11-16" 19.629999 19.889999 19.280001 16.285223
"2012-11-19" 19.950001 19.950001 19.49 16.260532
"2012-11-20" 19.65 19.83 19.379999 16.309929
"2012-11-21" 19.92 20.059999 19.74 16.449892
"2012-11-23" 19.959999 20.08 19.719999 16.425192
"2012-11-26" 19.85 20.219999 19.68 16.639256
"2012-11-27" 20.129999 20.799999 19.93 17.017981
"2012-11-28" 20.530001 20.83 20.26 17.12501
"2012-11-29" 20.959999 21.139999 20.719999 17.306145
"2012-11-30" 21.07 21.360001 20.9 17.372013
"2012-12-03" 21.190001 21.23 20.83 17.396709
"2012-12-04" 21.120001 21.35 21.07 17.470806
"2012-12-05" 21.209999 21.82 21.08 17.890701
"2012-12-06" 21.73 22.129999 21.73 18.047131
"2012-12-07" 21.950001 22.07 21.75 18.014196
"2012-12-10" 21.85 22.459999 21.719999 18.261192
"2012-12-11" 22.24 22.58 22.17 18.475256
"2012-12-12" 22.459999 22.76 22.16 18.590523
"2012-12-13" 22.49 22.879999 22.379999 18.72225
"2012-12-14" 22.77 23.540001 22.75 18.936317
"2012-12-17" 23.209999 23.5 23.17 19.306801
"2012-12-18" 23.5 23.74 23.110001 19.02688
"2012-12-19" 23.09 23.129999 22.27 18.755184
"2012-12-20" 22.879999 23.209999 22.790001 19.092747
"2012-12-21" 22.959999 23.02 22.549999 18.829287
"2012-12-24" 22.84 22.879999 22.530001 18.738718
"2012-12-26" 22.780001 22.940001 22.559999 18.606987
"2012-12-27" 22.59 22.98 22.48 18.878685
"2012-12-28" 22.84 22.98 22.57 18.598753
"2012-12-31" 22.530001 23.030001 22.379999 18.92808
"2013-01-02" 23.379999 23.4 22.620001 18.853981
"2013-01-03" 22.84 23.09 22.639999 18.903378
"2013-01-04" 23.030001 23.35 22.860001 19.084505
"2013-01-07" 23.110001 23.18 22.639999 18.672853
"2013-01-08" 22.639999 22.879999 22.6 18.837519
"2013-01-09" 22.940001 23 22.719999 18.771646
"2013-01-10" 22.860001 23.16 22.66 19.051579
"2013-01-11" 23.620001 23.809999 23.360001 19.397375
"2013-01-14" 23.5 23.540001 23.15 19.100977
"2013-01-15" 23.030001 23.73 23.030001 19.282108
"2013-01-16" 23.34 23.389999 23.17 19.150375
"2013-01-17" 23.43 23.76 23.360001 19.49617
"2013-01-18" 23.73 23.889999 23.379999 19.669065
"2013-01-22" 23.82 24.27 23.690001 19.693766
"2013-01-23" 23.879999 23.9 23.6 19.660837
"2013-01-24" 23.860001 24.08 23.620001 19.487934
"2013-01-25" 23.799999 23.82 23.48 19.422073
"2013-01-28" 23.57 23.620001 23.200001 19.413841
"2013-01-29" 23.52 23.93 23.450001 19.660837
"2013-01-30" 23.65 23.950001 23.59 19.718681
"2013-01-31" 23.809999 24.139999 23.790001 19.834383
"2013-02-01" 24.24 24.24 23.940001 19.8757
"2013-02-04" 23.959999 24 23.610001 19.545135
"2013-02-05" 23.709999 23.83 23.59 19.602976
"2013-02-06" 23.57 24.290001 23.530001 20.057522
"2013-02-07" 24.299999 24.360001 24.059999 19.966614
"2013-02-08" 24.139999 24.190001 23.92 19.941818
"2013-02-11" 24.040001 24.190001 23.940001 19.933558
"2013-02-12" 24.15 24.559999 24.110001 20.032728
"2013-02-13" 24.209999 24.35 24.049999 19.933558
"2013-02-14" 24.01 24.209999 23.870001 19.743471
"2013-02-15" 24 24.09 23.83 19.784798
"2013-02-19" 24 24.559999 23.940001 20.272396
"2013-02-20" 24.5 24.5 24.02 19.850914
"2013-02-21" 24 24.139999 23.82 19.79306
"2013-02-22" 23.99 24.1 23.879999 19.859177
"2013-02-25" 24.1 24.370001 23.639999 19.545135
"2013-02-26" 23.709999 24.01 23.43 19.69389
"2013-02-27" 23.82 24.25 23.799999 19.834383
"2013-02-28" 24.07 24.299999 23.85 19.834383
"2013-03-01" 24.030001 24.280001 23.82 19.834383
"2013-03-04" 24 24.129999 23.93 19.941818
"2013-03-05" 24.27 24.549999 24.200001 20.231068
"2013-03-06" 24.559999 24.73 24.459999 20.321978
"2013-03-07" 24.629999 24.77 24.5 20.412895
"2013-03-08" 24.74 24.940001 24.389999 20.561647
"2013-03-11" 24.879999 25.32 24.83 20.83437
"2013-03-12" 25.23 25.379999 25.030001 20.933538
"2013-03-13" 25.35 25.540001 25.24 20.966599
"2013-03-14" 25.440001 25.870001 25.33 21.379816
"2013-03-15" 25.780001 26.34 25.66 21.56163
"2013-03-18" 25.9 26.4 25.780001 21.578156
"2013-03-19" 26.15 26.24 25.790001 21.462458
