"Index" "Open" "High" "Low" "Price"
"2012-09-17" 74.5 74.589996 73.889999 59.246365
"2012-09-18" 74.199997 74.300003 72.970001 59.006912
"2012-09-19" 72.519997 73.389999 71.860001 58.017231
"2012-09-20" 68.040001 68.449997 65.580002 52.765427
"2012-09-21" 66.480003 66.480003 64.949997 51.879471
"2012-09-24" 65.089996 66.5 64.940002 52.901104
"2012-09-25" 66.510002 66.510002 65.07 51.935345
"2012-09-26" 64.809998 65.089996 64.349998 51.536289
"2012-09-27" 65.029999 65.139999 64.150002 51.225006
"2012-09-28" 64.010002 64.029999 63.25 50.786018
"2012-10-01" 64.010002 64.839996 63.779999 51.44051
"2012-10-02" 65.230003 65.5 64.230003 51.895435
"2012-10-03" 65.489998 65.919998 64.779999 52.358364
"2012-10-04" 65.889999 66.309998 65.660004 52.821301
"2012-10-05" 66.540001 67 66.410004 53.395939
"2012-10-08" 66.559998 67.410004 66.5 53.699238
"2012-10-09" 67.25 67.5 66.5 53.435867
"2012-10-10" 66.839996 67.129997 65.919998 52.99688
"2012-10-11" 66.440002 66.800003 65.949997 52.645691
"2012-10-12" 66.160004 67.459999 65.980003 53.699238
"2012-10-15" 67.290001 67.669998 66.75 53.962639
"2012-10-16" 67.809998 68.010002 67.589996 54.042454
"2012-10-17" 67.779999 67.870003 66.190002 53.643387
"2012-10-18" 66.879997 67.269997 66.599998 53.236324
"2012-10-19" 66.510002 66.57 65.540001 52.390278
"2012-10-22" 65.639999 67.139999 65.550003 53.340084
"2012-10-23" 66.07 66.389999 65.239998 52.685596
"2012-10-24" 62.860001 63.060001 60.959999 48.75872
"2012-10-25" 61.240002 62.790001 61.240002 49.939983
"2012-10-26" 62.830002 62.990002 62.450001 50.099609
"2012-10-31" 62.779999 62.889999 61.279999 49.359409
"2012-11-01" 61.599998 62.540001 61.32 49.697334
"2012-11-02" 61.560001 62.52 61.130001 49.182419
"2012-11-05" 61 62.02 60.709999 49.069778
"2012-11-06" 61.18 61.639999 60.860001 49.480099
"2012-11-07" 60.419998 60.98 59.970001 48.257175
"2012-11-08" 60 60.18 59.110001 47.581348
"2012-11-09" 58.950001 59.349998 57.889999 46.664169
"2012-11-12" 58.09 58.630001 57.950001 46.712444
"2012-11-13" 57.759998 59.09 57.759998 47.074486
"2012-11-14" 58.560001 58.810001 57.279999 46.269928
"2012-11-15" 57.459999 57.68 56.73 45.875694
"2012-11-16" 57.009998 57.110001 56.049999 45.328609
"2012-11-19" 56.810001 58.029999 56.66 46.688278
"2012-11-20" 57.91 57.91 56.490002 45.787197
"2012-11-21" 57.119999 57.330002 56.759998 45.883755
"2012-11-23" 57.200001 57.790001 57.080002 46.471066
"2012-11-26" 57.52 58.380001 57.43 46.865307
"2012-11-27" 58.18 59.290001 58.110001 47.420441
"2012-11-28" 58.59 59.779999 58.16 48.039948
"2012-11-29" 60.029999 60.650002 59.889999 48.659466
"2012-11-30" 60.509998 60.59 60 48.57901
"2012-12-03" 60.669998 60.720001 59.259998 47.814682
"2012-12-04" 59.450001 60.349998 59.43 48.442234
"2012-12-05" 60.400002 62.049999 60.310001 49.552521
"2012-12-06" 61.650002 61.82 60.82 49.383564
"2012-12-07" 61.5 61.880001 61.220001 49.488144
"2012-12-10" 61.509998 62.09 61.439999 49.946758
"2012-12-11" 62.32 62.389999 61.290001 49.520336
"2012-12-12" 61.869999 62.290001 61.450001 49.504238
"2012-12-13" 61.610001 62.23 61.09 49.27092
"2012-12-14" 61.110001 62.080002 61.110001 49.367466
"2012-12-17" 61.77 62.200001 61.279999 49.576645
"2012-12-18" 61.650002 62.669998 61.610001 50.236378
"2012-12-19" 62.619999 62.75 62.07 50.003075
"2012-12-20" 62.200001 62.990002 61.799999 50.6628
"2012-12-21" 61.950001 62.73 61.950001 50.324886
"2012-12-24" 62.529999 62.549999 61.77 49.874336
"2012-12-26" 62.049999 62.419998 61.450001 49.560566
"2012-12-27" 61.509998 61.66 60.59 49.254837
"2012-12-28" 60.709999 61.689999 60.66 49.13414
"2012-12-31" 60.82 61.880001 60.700001 49.753643
"2013-01-02" 63.139999 63.790001 62.810001 50.920261
"2013-01-03" 62.650002 64.5 62.650002 51.057026
