"Index" "Open" "High" "Low" "Price"
"2012-09-17" 40.59 40.59 39.610001 29.882662
"2012-09-18" 39.689999 39.880001 38.900002 29.867662
"2012-09-19" 39.860001 39.919998 39.400002 29.680191
"2012-09-20" 39.23 39.709999 38.799999 29.777679
"2012-09-21" 39.93 39.990002 39.419998 29.612711
"2012-09-24" 39.380001 39.759998 39.060001 29.657705
"2012-09-25" 39.639999 39.860001 38.32 28.795334
"2012-09-26" 38.130001 38.490002 37.700001 28.836975
"2012-09-27" 38.419998 38.57 37.869999 29.033825
"2012-09-28" 38.169998 38.369999 37.98 28.965675
"2012-10-01" 38.419998 39.040001 38.150002 28.973255
"2012-10-02" 38.450001 38.59 37.700001 28.632566
"2012-10-03" 37.919998 38.18 37.700001 28.7537
"2012-10-04" 38.220001 38.939999 38.220001 29.268513
"2012-10-05" 38.93 39.110001 38.43 29.207947
"2012-10-08" 38.32 39.330002 38.200001 29.775755
"2012-10-09" 39.400002 39.990002 39.349998 29.904455
"2012-10-10" 39.41 39.529999 38.790001 29.41993
"2012-10-11" 39.169998 39.32 38.849998 29.53348
"2012-10-12" 38.970001 39.099998 38.400002 29.207947
"2012-10-15" 38.610001 39.09 38.369999 29.563768
"2012-10-16" 39.349998 40.049999 39.150002 30.184559
"2012-10-17" 40.119999 40.580002 39.91 30.593386
"2012-10-18" 39.98 41.200001 39.610001 31.040066
"2012-10-19" 40.889999 41.07 40.459999 30.684231
"2012-10-22" 40.59 41.48 40.439999 31.130915
"2012-10-23" 40.439999 40.580002 39.900002 30.563107
"2012-10-24" 40.470001 40.619999 40.16 30.653954
"2012-10-25" 40.849998 40.950001 40.02 30.457111
"2012-10-26" 40.330002 40.669998 39.900002 30.44956
"2012-10-31" 40.490002 40.990002 39.970001 30.381409
"2012-11-01" 40.32 41.860001 40.290001 31.441309
"2012-11-02" 41.689999 42 40.549999 30.767519
"2012-11-05" 40.470001 41.150002 40.41 31.002207
"2012-11-06" 41.169998 41.959999 41.029999 31.403458
"2012-11-07" 40.82 40.860001 40.139999 30.706949
"2012-11-08" 40.470001 40.68 39.959999 30.313274
"2012-11-09" 39.950001 41.16 39.900002 30.691813
"2012-11-12" 40.75 40.75 40.25 30.585815
"2012-11-13" 39.98 40.59 39.919998 30.381409
"2012-11-14" 40.32 40.459999 39.43 29.942312
"2012-11-15" 39.549999 39.939999 39.200001 29.798456
"2012-11-16" 39.32 39.75 38.830002 29.851458
"2012-11-19" 40.029999 40.509998 39.98 30.669098
"2012-11-20" 40.330002 40.549999 39.990002 30.532829
"2012-11-21" 40.450001 40.91 40.240002 30.7978
"2012-11-23" 40.91 41.290001 40.740002 31.146044
"2012-11-26" 40.959999 41.25 40.720001 31.085485
"2012-11-27" 40.919998 41.310001 40.419998 30.638819
"2012-11-28" 40.220001 40.740002 39.84 30.835655
"2012-11-29" 41.060001 41.860001 40.740002 31.070339
"2012-11-30" 41.220001 41.310001 40.919998 31.176336
"2012-12-03" 41.369999 41.48 40.23 30.494968
"2012-12-04" 40.279999 40.98 40.27 30.843235
"2012-12-05" 40.84 41.130001 40.23 30.896235
"2012-12-06" 40.779999 40.810001 40.18 30.7978
"2012-12-07" 40.810001 40.98 40.25 30.828089
"2012-12-10" 40.689999 40.869999 40.41 30.87351
"2012-12-11" 40.950001 41.98 40.950001 31.607868
"2012-12-12" 41.860001 41.98 41.110001 31.206625
"2012-12-13" 41.279999 41.720001 40.98 31.183907
"2012-12-14" 41.189999 42.5 41.040001 32.009125
"2012-12-17" 42.360001 42.790001 42.119999 32.372517
"2012-12-18" 42.439999 43.860001 42.439999 33.03875
"2012-12-19" 43.75 43.799999 43.240002 32.894901
"2012-12-20" 43.439999 43.98 43.25 33.288582
"2012-12-21" 43.48 43.619999 43.09 32.947895
"2012-12-24" 43.34 43.700001 43.34 32.955467
"2012-12-26" 43.700001 44 43.57 33.114464
"2012-12-27" 43.68 43.799999 42.610001 32.944202
"2012-12-28" 42.84 43.060001 42.279999 32.402119
"2012-12-31" 42.349998 43.209999 42.299999 32.951824
"2013-01-02" 44.099998 44.900002 44.09 34.188652
"2013-01-03" 44.77 45.27 44.490002 34.119934
"2013-01-04" 44.700001 45.310001 44.610001 34.570412
"2013-01-07" 45.080002 45.880001 44.880001 34.72311
"2013-01-08" 45.41 45.57 44.709999 34.364258
"2013-01-09" 45.110001 45.34 45.040001 34.547497
"2013-01-10" 45.5 45.599998 45.200001 34.715466
"2013-01-11" 45.389999 45.5 45.09 34.684933
"2013-01-14" 45.490002 45.990002 45.27 34.76128
"2013-01-15" 45.32 46.130001 45.299999 35.16592
"2013-01-16" 45.77 46.060001 45.360001 35.051395
"2013-01-17" 46.099998 46.880001 45.799999 35.608749
"2013-01-18" 46.759998 47.689999 46.549999 36.280605
"2013-01-22" 47.630001 48.369999 47.400002 36.73106
"2013-01-23" 48.240002 48.240002 47.630001 36.631802
"2013-01-24" 48.119999 48.34 47.599998 36.479107
"2013-01-25" 48 48 47.18 36.402756
"2013-01-28" 47.779999 47.779999 46.790001 36.028652
"2013-01-29" 47.529999 47.650002 46.509998 35.914146
"2013-01-30" 47 47.139999 46.220001 35.349174
"2013-01-31" 46.32 46.389999 46 35.127739
"2013-02-01" 46.470001 47.130001 46.189999 35.86832
"2013-02-04" 46.490002 46.669998 46.029999 35.211731
"2013-02-05" 46.25 46.450001 46.029999 35.295712
"2013-02-06" 46.130001 47.279999 46.060001 35.853069
"2013-02-07" 46.869999 46.919998 46.009998 35.333885
"2013-02-08" 46.360001 46.889999 46.360001 35.685097
"2013-02-11" 46.610001 47.080002 46.5 35.784351
"2013-02-12" 46.82 47.52 46.790001 36.066837
